AutoName	AutoId	AutoType	CastPercent	CastSkillId	CastSkillLevel	ParentSkillId	RelativeSkillStyle	MinPerCastTime	MaxCastCount	Param1	Param2
五毒奇經	122	2	{1,2},{10,20},{11,22}	4351	-1		attack_wood_special	{1,15*5},{10,15*5}	-1		
高級·陰風蝕骨	123	24	{1,0},{15,0},{16,5},{20,30}	4371	-1	4309			-1		
心劍	131	2	{1,100},{10,100}	4411	-1		attack_gold_special		-1		
雲棲松	132	4	{1,40},{10,90},{11,95}	4425	-1			{1,15*40},{10,15*40}	-1		
黃龍吐翠	133	2	{1,40},{10,60},{11,60}	4429	-1	attack_gold_special,attack_gold		{1,15*5},{10,15*5}	-1		
高級·平湖斷月	134	24	{16,10},{20,50}	4459	-1	4408	control		-1		
心劍	135	2	{1,100},{10,100}	4489	-1		attack_gold_special		-1		
夜引風嵐	141	1	{1,10},{10,30},{11,32}	4523	-1			{1,15*3},{10,15*3}	-1		
魔音纏繞	142	13	{1,50},{10,70},{11,75}	4528	-1			{1,15*5},{10,15*5}	-1		
回夢逐光	143	4	{1,40},{10,90},{11,95}	4530	-1			{1,15*30},{10,15*30}	-1		
陽春白雪	144	24	{1,10},{10,30},{11,32}	4540	-1		attack_earth_special	{1,15*4},{10,15*2},{11,15*2}	-1		
