ShowAwardID	Award1	Award2	Award3	Award4	Award5
35	item|2089|0	item|2258|0	item|2673|0	item|1395|0	
36	item|2089|0	item|2259|0	item|2674|0	item|1395|0	
37	item|2089|0	item|1399|0	item|1394|0		
38	item|2089|0	item|1400|0	item|1394|0		
39	item|2089|0	item|1401|0	item|1394|0		
40	item|2090|0	item|1398|0	item|2672|0	item|1395|0	
41	item|2090|0	item|2258|0	item|2673|0	item|1395|0	
42	item|2090|0	item|2259|0	item|2674|0	item|1395|0	
43	item|2943|0	item|1399|0	item|3217|0	item|1395|0	
44	item|2943|0	item|1400|0	item|3216|0	item|1395|0	
45	item|2943|0	item|1401|0	item|3215|0	item|1395|0	
46	item|1403|0	item|2113|0	item|1757|0	item|1394|0	
47	item|1402|0	item|2113|0	item|1758|0	item|1394|0	
48	item|2511|0	item|2113|0	item|1759|0	item|1394|0	
49	item|1403|0	item|2114|0	item|1757|0	item|1394|0	
50	item|1402|0	item|2114|0	item|1758|0	item|1394|0	
51	item|2511|0	item|2114|0	item|1759|0	item|1394|0	
52	item|1752|0	item|2943|0	item|1377|0	item|1395|0	
53	item|1751|0	item|2943|0	item|1376|0	item|1395|0	
54	item|1753|0	item|2943|0	item|2235|0	item|1395|0	
55	item|1749|0	item|2943|0	item|1375|0	item|1395|0	
56	item|1748|0	item|2943|0	item|1374|0	item|1395|0	
57	item|1750|0	item|2943|0	item|2236|0	item|1395|0	
58	item|2943|0	item|1398|0	item|2672|0	item|1395|0	
59	item|2943|0	item|2258|0	item|2673|0	item|1395|0	
60	item|2943|0	item|2259|0	item|2674|0	item|1395|0	
61	item|2944|0	item|1399|0	item|3217|0	item|1395|0	
62	item|2944|0	item|1400|0	item|3216|0	item|1395|0	
63	item|2944|0	item|1401|0	item|3215|0	item|1395|0	
64	item|1752|0	item|2944|0	item|1377|0	item|1395|0	
65	item|1751|0	item|2944|0	item|1376|0	item|1395|0	
66	item|1753|0	item|2944|0	item|2235|0	item|1395|0	
67	item|1749|0	item|2944|0	item|1375|0	item|1395|0	
68	item|1748|0	item|2944|0	item|1374|0	item|1395|0	
69	item|1750|0	item|2944|0	item|2236|0	item|1395|0	
70	item|2944|0	item|1398|0	item|2672|0	item|1395|0	
71	item|2944|0	item|2258|0	item|2673|0	item|1395|0	
72	item|2944|0	item|2259|0	item|2674|0	item|1395|0	
73	item|1405|0	item|2967|0	item|1754|0	item|1395|0	
74	item|1404|0	item|2967|0	item|1755|0	item|1395|0	
75	item|2260|0	item|2967|0	item|1756|0	item|1395|0	
76	item|1405|0	item|2968|0	item|1754|0	item|1395|0	
77	item|1404|0	item|2968|0	item|1755|0	item|1395|0	
78	item|2260|0	item|2968|0	item|1756|0	item|1395|0	
79	item|2945|0	item|1399|0	item|3217|0	item|1395|0	
80	item|2945|0	item|1400|0	item|3216|0	item|1395|0	
81	item|2945|0	item|1401|0	item|3215|0	item|1395|0	
82	item|2945|0	item|1752|0	item|1377|0	item|1395|0	
83	item|2945|0	item|1751|0	item|1376|0	item|1395|0	
84	item|2945|0	item|1753|0	item|2235|0	item|1395|0	
85	item|2945|0	item|1749|0	item|1375|0	item|1395|0	
86	item|2945|0	item|1748|0	item|1374|0	item|1395|0	
87	item|2945|0	item|1750|0	item|2236|0	item|1395|0	
88	item|2945|0	item|1398|0	item|2672|0	item|1395|0	
89	item|2945|0	item|2258|0	item|2673|0	item|1395|0	
90	item|2945|0	item|2259|0	item|2674|0	item|1395|0	
91	item|3667|0	item|1399|0	item|3217|0	item|1395|0	
92	item|3667|0	item|1400|0	item|3216|0	item|1395|0	
93	item|3667|0	item|1401|0	item|3215|0	item|1395|0	
94	item|3667|0	item|1752|0	item|1377|0	item|1395|0	
95	item|3667|0	item|1751|0	item|1376|0	item|1395|0	
96	item|3667|0	item|1753|0	item|2235|0	item|1395|0	
97	item|3667|0	item|1749|0	item|1375|0	item|1395|0	
98	item|3667|0	item|1748|0	item|1374|0	item|1395|0	
99	item|3667|0	item|1750|0	item|2236|0	item|1395|0	
100	item|3667|0	item|1398|0	item|2672|0	item|1395|0	
101	item|3667|0	item|2258|0	item|2673|0	item|1395|0	
102	item|3667|0	item|2259|0	item|2674|0	item|1395|0	
103	item|4576|0	item|2969|0	item|4540|0	item|1395|0	
104	item|4577|0	item|2969|0	item|4541|0	item|1395|0	
105	item|4578|0	item|2969|0	item|4542|0	item|1395|0	
106	item|3667|0	item|3553|0	item|4595|0	item|1396|0	
107	item|4576|0	item|3675|0	item|4540|0	item|1395|0	
108	item|4577|0	item|3675|0	item|4541|0	item|1395|0	
109	item|4578|0	item|3675|0	item|4542|0	item|1395|0	
110	item|5761|0	item|1399|0	item|3217|0	item|1395|0	
111	item|5761|0	item|1400|0	item|3216|0	item|1395|0	
112	item|5761|0	item|1401|0	item|3215|0	item|1395|0	
113	item|5761|0	item|1752|0	item|1377|0	item|1395|0	
114	item|5761|0	item|1751|0	item|1376|0	item|1395|0	
115	item|5761|0	item|1753|0	item|2235|0	item|1395|0	
116	item|5761|0	item|1749|0	item|1375|0	item|1395|0	
117	item|5761|0	item|1748|0	item|1374|0	item|1395|0	
118	item|5761|0	item|1750|0	item|2236|0	item|1395|0	
119	item|5761|0	item|1398|0	item|2672|0	item|1395|0	
120	item|5761|0	item|2258|0	item|2673|0	item|1395|0	
121	item|5761|0	item|2259|0	item|2674|0	item|1395|0	
122	item|5761|0	item|3553|0	item|4595|0	item|1396|0	
123	item|3553|0	item|6112|0	item|4595|0	item|1396|0	
