nTemplateId	nX	nY	nYaw
4086	2898	8176	270
4167	5194	16338	270
4162	4452	21952	0
4208	4732	15624	0
4208	4900	15708	0
4241	3150	4914	270
4167	5894	16310	270
4167	4578	21602	0
4208	4984	15708	0
4208	4816	15624	0
4241	2730	4970	270
4210	5194	16198	270
4167	4242	21518	270
4208	4900	15624	0
4208	4984	15624	0
4096	2716	7756	0
4210	4942	16198	270
4140	5894	15232	0
4208	4732	15540	0
4208	4816	15540	0
4136	2576	7700	0
4210	5838	16198	270
4167	4494	5726	0
4208	4900	15540	0
4208	4984	15540	0
4136	2744	7924	0
4210	6342	16198	270
4225	1484	7098	0
4202	5782	15358	270
4202	5222	15358	270
4136	2884	7728	0
4200	5138	16016	0
4225	1484	6006	0
4208	6524	15904	0
4208	6524	15820	0
4136	2744	7616	0
4207	5432	21000	0
4171	2688	5460	0
4208	6524	15736	0
4220	6160	19096	0
4224	2576	7588	270
4225	3626	16968	270
4140	4648	5474	270
4220	5992	19236	0
4220	5992	19096	0
4173	2912	7980	0
4225	3626	17640	270
4173	4564	5488	0
4093	5180	20664	0
4133	5166	20524	270
4169	2898	7658	0
4204	4746	16618	270
4061	2324	8232	270
4133	5040	20650	0
4133	5194	20804	270
4224	1764	8316	0
4219	5908	18382	0
4230	2240	4620	270
4133	5320	20678	0
4207	5348	21000	0
4228	1764	8036	0
4219	5880	17794	0
4241	1834	7406	270
4207	5432	20916	0
4207	5348	20916	0
4170	2002	4606	0
4214	5278	16338	270
4151	3780	6510	0
4197	3920	20510	0
4427	3766	21000	0
4170	2478	4606	0
4214	5810	16310	90
4155	2436	6496	0
4214	3374	21014	270
4119	4298	22134	0
4242	2016	4732	0
4210	3766	17682	0
4110	1722	5950	270
4207	5348	20412	0
4207	5348	20300	0
4112	2002	5544	0
4210	4354	17682	0
4105	2296	6706	270
4207	5236	20412	0
4207	5236	20300	0
4238	1512	6846	0
4210	3766	16954	0
4105	2296	6314	270
4207	5488	20412	0
4200	3976	21406	270
4169	2702	7210	0
4210	3766	16702	0
4215	5124	19572	270
4168	5460	20832	0
4168	5460	20748	0
4177	3024	5432	270
4210	4382	18466	0
4228	4452	5180	270
4207	3780	20104	0
4207	3976	20244	0
4170	2030	5782	0
4210	3794	18494	0
4238	4788	4690	0
4207	3892	20132	0
4207	3724	20188	0
4242	4368	7112	0
4225	3682	18452	270
4105	2576	6314	270
4207	3696	20272	0
4182	3248	4760	0
4225	3626	5908	270
4207	3864	20244	0
4169	4774	5474	0
4216	3766	17514	0
4171	3864	7140	0
6019	4604	6507	0
