PickerType	ItemType	ItemId	Name	Prob0	Prob1	Prob2	Prob3	Prob4	Prob5	Prob6	Prob7	Prob8	Prob9	ProbHighVip0	ProbHighVip1	ProbHighVip2	ProbHighVip3	ProbHighVip4	ProbHighVip5	ProbHighVip6	ProbHighVip7	ProbHighVip8	ProbHighVip9
Gold	Partner	84	封玉書	462	462	462	462							370	370	370	370						
Gold	Partner	85	曲霞	462	462	462	462							370	370	370	370						
Gold	Partner	86	耶律辟離	462	462	462	462							370	370	370	370						
Gold	Partner	87	林海	462	462	462	462							370	370	370	370						
Gold	Partner	88	陸文龍	462	462	462	462							370	370	370	370						
Gold	Partner	89	趙無雙	462	462	462	462							370	370	370	370						
Gold	Partner	90	無相	462	462	462	462							370	370	370	370						
Gold	Partner	91	趙節	462	462	462	462							370	370	370	370						
Gold	Partner	92	邵騎風	462	462	462	462							370	370	370	370						
Gold	Partner	93	何暮雪	462	462	462	462							370	370	370	370						
Gold	Partner	94	趙升權	462	462	462	462							370	370	370	370						
Gold	Partner	95	柴嵩	462	462	462	462							370	370	370	370						
Gold	Partner	73	雙首異獸	231	231	231	231							185	185	185	185						
Gold	Partner	74	奔焰豹王	231	231	231	231							185	185	185	185						
Gold	Partner	75	九尾狐王（以上是A）	231	231	231	231							185	185	185	185						
Gold	Partner	96	小殷方	3401	3401	3401	3401							3574	3574	3574	3574						
Gold	Partner	97	蘇墨芸	3401	3401	3401	3401							3574	3574	3574	3574						
Gold	Partner	98	蕭動塵	3401	3401	3401	3401							3574	3574	3574	3574						
Gold	Partner	102	胡神醫	3401	3401	3401	3401							3574	3574	3574	3574						
Gold	Partner	103	秦沐白	3401	3401	3401	3401							3574	3574	3574	3574						
Gold	Partner	104	張仲天	3401	3401	3401	3401							3574	3574	3574	3574						
Gold	Partner	105	路達	3401	3401	3401	3401							3574	3574	3574	3574						
Gold	Partner	107	盧青	3401	3401	3401	3401							3574	3574	3574	3574						
Gold	Partner	108	鶯兒（以上是B）	3401	3401	3401	3401							3574	3574	3574	3574						
Gold	item	1968	洗髓丹	55890	55890	55890	55890							56830	56830	56830	56830						
Coin	Partner	59	納蘭真	185	185	185	185							185	185	185	185						
Coin	Partner	60	少年楊影楓	185	185	185	185							185	185	185	185						
Coin	Partner	61	楊鐵心	185	185	185	185							185	185	185	185						
Coin	Partner	63	無想	92	92	92	92							92	92	92	92						
Coin	Partner	62	柳瀟庭	92	92	92	92							92	92	92	92						
Coin	Partner	64	李恬兒	92	92	92	92							92	92	92	92						
Coin	Partner	65	李天目	92	92	92	92							92	92	92	92						
Coin	Partner	66	完顏襄	92	92	92	92							92	92	92	92						
Coin	Partner	76	唐瀟	185	185	185	185							185	185	185	185						
Coin	Partner	77	紫軒	185	185	185	185							185	185	185	185						
Coin	Partner	78	薔薇	185	185	185	185							185	185	185	185						
Coin	Partner	79	卓非凡	185	185	185	185							185	185	185	185						
Coin	Partner	80	月明瑤	185	185	185	185							185	185	185	185						
Coin	Partner	81	南宮彩虹	185	185	185	185							185	185	185	185						
Coin	Partner	82	張如夢	185	185	185	185							185	185	185	185						
Coin	Partner	83	張琳心	185	185	185	185							185	185	185	185						
Coin	Partner	84	封玉書	185	185	185	185							185	185	185	185						
Coin	Partner	85	曲霞	185	185	185	185							185	185	185	185						
Coin	Partner	86	耶律辟離	185	185	185	185							185	185	185	185						
Coin	Partner	87	林海	185	185	185	185							185	185	185	185						
Coin	Partner	88	陸文龍	185	185	185	185							185	185	185	185						
Coin	Partner	89	趙無雙	185	185	185	185							185	185	185	185						
Coin	Partner	90	無相	185	185	185	185							185	185	185	185						
Coin	Partner	91	趙節	185	185	185	185							185	185	185	185						
Coin	Partner	92	邵騎風	185	185	185	185							185	185	185	185						
Coin	Partner	93	何暮雪	185	185	185	185							185	185	185	185						
Coin	Partner	94	趙升權	185	185	185	185							185	185	185	185						
Coin	Partner	95	柴嵩	185	185	185	185							185	185	185	185						
Coin	Partner	73	雙首異獸	92	92	92	92							92	92	92	92						
Coin	Partner	74	奔焰豹王	92	92	92	92							92	92	92	92						
Coin	Partner	75	九尾狐王（以上是A）	92	92	92	92							92	92	92	92						
Coin	Partner	96	小殷方	3055	3055	3055	3055							3055	3055	3055	3055						
Coin	Partner	97	蘇墨芸	3055	3055	3055	3055							3055	3055	3055	3055						
Coin	Partner	98	蕭動塵	3055	3055	3055	3055							3055	3055	3055	3055						
Coin	Partner	102	胡神醫	3055	3055	3055	3055							3055	3055	3055	3055						
Coin	Partner	103	秦沐白	3055	3055	3055	3055							3055	3055	3055	3055						
Coin	Partner	104	張仲天	3055	3055	3055	3055							3055	3055	3055	3055						
Coin	Partner	105	路達	3055	3055	3055	3055							3055	3055	3055	3055						
Coin	Partner	107	盧青	3055	3055	3055	3055							3055	3055	3055	3055						
Coin	Partner	108	鶯兒（以上是B）	3055	3055	3055	3055							3055	3055	3055	3055						
Coin	Partner	114	金錢豹	2812	2812	2812	2812							2812	2812	2812	2812						
Coin	Partner	115	黑翼獵鷹	2812	2812	2812	2812							2812	2812	2812	2812						
Coin	Partner	116	武林惡徒	2812	2812	2812	2812							2812	2812	2812	2812						
Coin	Partner	117	猛虎	2812	2812	2812	2812							2812	2812	2812	2812						
Coin	Partner	118	楓林衛	2812	2812	2812	2812							2812	2812	2812	2812						
Coin	Partner	119	猿猴	2812	2812	2812	2812							2812	2812	2812	2812						
Coin	Partner	120	鐵面捕頭	2812	2812	2812	2812							2812	2812	2812	2812						
Coin	Partner	121	紅衣女童	2812	2812	2812	2812							2812	2812	2812	2812						
Coin	Partner	122	鑄劍師	2812	2812	2812	2812							2812	2812	2812	2812						
Coin	Partner	123	獵人	2812	2812	2812	2812							2812	2812	2812	2812						
Coin	Partner	124	紅纓侍	2812	2812	2812	2812							2812	2812	2812	2812						
Coin	Partner	125	強盜	2812	2812	2812	2812							2812	2812	2812	2812						
Coin	Partner	126	藥王谷弟子	2812	2812	2812	2812							2812	2812	2812	2812						
Coin	Partner	127	灰狼	2812	2812	2812	2812							2812	2812	2812	2812						
Coin	Partner	128	東瀛忍者	2812	2812	2812	2812							2812	2812	2812	2812						
Coin	Partner	129	生使	2812	2812	2812	2812							2812	2812	2812	2812						
Coin	Partner	130	死侍	2812	2812	2812	2812							2812	2812	2812	2812						
Coin	Partner	131	火狐	2812	2812	2812	2812							2812	2812	2812	2812						
Coin	Partner	132	九幽弟子	2812	2812	2812	2812							2812	2812	2812	2812						
Coin	Partner	133	黑熊	2812	2812	2812	2812							2812	2812	2812	2812						
Coin	Partner	134	無憂教弟子	2812	2812	2812	2812							2812	2812	2812	2812						
Coin	Partner	135	天工匠者	2812	2812	2812	2812							2812	2812	2812	2812						
Coin	Partner	136	傀儡士兵	2812	2812	2812	2812							2812	2812	2812	2812						
Coin	Partner	137	機關人（以上是C）	2812	2812	2812	2812							2812	2812	2812	2812						
