AttribID	Desc	Scale	IsOrgColorValue	MinCastValue	SlotName1	SlotGray1	SlotMinCast1	Slot1Color1	Slot1Light1	Slot1Color2	Slot1Light2	Slot1Color3	Slot1Light3	SlotName2	SlotGray2	SlotMinCast2	Slot2Color1	Slot2Light1	Slot2Color2	Slot2Light2	Slot2Color3	Slot2Light3
22		1|1|1		0.57	f1_w_001	4	0.57	114|150|218|255	4.12	255|223|141|255	0	115|153|174|255	6.07									
23		1|1|1		0.57	f1_w_001	4	0.57	71|71|71|255	4.12	227|193|122|232	0	131|131|131|255	6.07									
24		1|1|1		0.57	f1_w_001	4	0.57	248|233|234|255	4.12	248|214|136|228	0	255|233|152|88	5.06									
25		1|1|1	1	0.1	f1_w_002	0	0.1	255|255|255|255	0	185|232|255|255	3.95	255|255|255|255	0									
26		1|1|1		0.82	f1_w_002	4	0.82	255|181|234|255	3.93	183|58|58|202	4.22	255|237|0|137	6.64									
27		1|1|1		0.1	f1_w_002	4	0.1	255|217|217|255	4.05	255|155|101|255	5.27	255|176|176|255	0									
28		1|1|1		0.74	f1_w_002	4	0.74	230|161|255|211	3.8	132|61|255|255	5	255|255|255|211	6.2									
29		1|1|1		0.74	f1_w_002	4	0.74	43|37|37|211	3.8	88|81|81|255	5	255|255|255|211	6.2									
30		1|1|1		0.74	f1_w_002	4	0.74	195|195|195|211	3.8	217|209|214|255	5	255|255|255|211	6.2									
31			1		m1_w_001	0									0							
32		1|1|1		0.53	m1_w_001	4	0.53	108|173|253|98	2.5	 63|83|99|0	-1	218|174|80|126	0	m1_w_001_01	4	0.53	130|168|229|90	0	165|230|236|232	-1	255|195|0|83	0
33		1|1|1		0.5	m1_w_001	4	0.5	131|125|120|209	-1	116|109|109|160	-1	197|169|80|126	0	m1_w_001_01	4	0.5	176|164|163|100	0	197|169|80|126	0	255|195|0|83	0
34		1|1|1		0.5	m1_w_001	4	0.5	255|242|242|209	0	255|200|98|65	-1	255|236|250|126	0	m1_w_001_01	4	0.5	180|173|186|100	0	244|244|244|232	-1	255|195|0|83	0
35		1|1|1	1	0.1	m1_w_002	0	0.1	193|253|253|255	3	201|246|255|255	4.11	217|217|217|255	0									
36		1|1|1		0.47	m1_w_002	4	0.47	255|240|218|219	4.2	247|239|220|255	3.25	221|190|87|255	3.7									
37		1|1|1		0.3	m1_w_002	4	0.3	223|219|219|255	4.86	143|157|141|255	3.78	166|204|130|255	3.44									
38		1|1|1		0.41	m1_w_002	4	0.41	52|52|52|255	5.31	174|129|119|255	4.59	121|117|106|143	1.88									
39		1|1|1		0.47	m1_w_002	4	0.47	206|66|66|255	4.2	142|163|145|255	3.25	112|107|107|255	1.68									
40		1|1|1		0.36	m1_w_002	4	0.36	211|255|226|83	2.7	199|249|187|0	4.11	149|149|149|171	4.21									
41		1|1|1	1	0.1	m3_w_001	0	0.1	195|195|195|255	0	255|255|255|255	0	255|255|255|255										
42		1|1|1		0.43	m3_w_001	4	0.43	100|136|158|255	3.87	97|153|236|151	0	248|226|171|164	0									
43		1|1|1		0.41	m3_w_001	4	0.41	84|70|70|255	4.22	114|108|108|204	4.3	255|205|129|209	0									
44		1|1|1		0.54	m3_w_001	4	0.54	255|212|146|0	2.68	152|142|142|103	4	236|214|222|148	0									
45		1|1|1	1	0.49	m3_w_002	0	0.49	163|209|255|120	3	213|247|255|203	2.6	208|208|208|192	3.08									
46		1|1|1		0.38	m3_w_002	4	0.38	117|129|189|255	0	60|60|60|255	2.86	110|81|201|255	3.58									
47		1|1|1		0.36	m3_w_002	4	0.36	158|54|54|255	3.18	59|59|59|255	2.39	184|51|51|255	3.46									
48		1|1|1		0.36	m3_w_002	4	0.36	250|255|236|215	3.18	255|255|255|169	2.39	255|255|255|255	3.46									
49		1|1|1		0.38	m3_w_002	4	0.38	86|81|54|228	3.17	118|127|93|176	3.42	63|69|53|255	3.08									
50		1|1|1		0.38	m3_w_002	4	0.38	92|119|76|228	3.17	175|181|156|203	3.42	68|114|110|171	3.08									
51		1|1|1	1		f3_w_001	0																
52		1|1|1		0.57	f3_w_001	4	0.57	83|140|218|242	3.93	137|153|221|255	4.48	162|174|255|255	3.08									
53		1|1|1		0.57	f3_w_001	4	0.57	135|135|135|255	2.79	159|159|159|255	2.76	184|184|184|255	2.46									
54		1|1|1		0.57	f3_w_001	4	0.57	184|176|162|242	4.73	255|209|160|255	6.61	255|234|212|255	2.74									
55		1|1|1	1	0.1	f3_w_002	0	0.1	195|228|227|255	4.16	255|255|255|255	3.04	255|255|255|255	0									
56		1|1|1		0.51	f3_w_002	4	0.51	121|210|255|234	3.88	136|166|196|255	4.92	255|255|255|255	3.22									
57		1|1|1		0.57	f3_w_002	4	0.57	221|14|61|255	3.56	50|50|50|255	2.54	190|94|241|255	6.73									
58		1|1|1		0.58	f3_w_002	4	0.58	245|111|175|255	5.16	255|196|236|231	2.81	255|238|238|255	4.66									
59		1|1|1		0.58	f3_w_002	4	0.58	255|145|91|255	5.16	249|218|172|231	3.44	255|238|238|255	4.66									
60		1|1|1		0.58	f3_w_002	4	0.58	100|165|122|255	4.07	152|178|103|231	4.08	255|238|238|255	4.66									
61		1.5|1.5|1.5																				
62		1|1|1	1	0.1	f1_001	0	0.1	255|255|255|255	0	59|53|44|255	0	255|255|255|255	0									
63		1.1|1.1|1.1																				
64		1.2|1.2|1.2																				
65		1.3|1.3|1.3																				
66		1.4|1.4|1.4																				
67		1|1|1		0.38	m3_008	4	0.38	255|255|255|255	3.51	255|255|255|255	0	255|255|255|164	3.5									
68		1|1|1	1	0.35	f4_001	0	0.35	255|255|255|255	3.28	255|255|255|255	3.49	255|255|255|255	0									
69		1|1|1	1	0.1	m4_001	0	0.1	255|255|255|255	0	255|255|255|255	0	255|255|255|255	0									
71			1	0.1	m4_w_001	0	0.1	255|255|255|255	3.72	255|255|255|255	4.15	255|255|255|255	3.79									
72		1|1|1		0.7	m4_w_001	4	0.7	105|118|133|255	9.64	55|157|198|255	5.29	131|219|255|255	4.3									
73		1|1|1		0.7	m4_w_001	4	0.7	255|224|0|255	4.48	210|110|98|255	5.29	210|241|255|255	4.3									
74		1|1|1		0.6	m4_w_001	4	0.6	157|138|0|255	8.73	101|101|101|255	5.29	241|241|241|255	4.3									
75		1|1|1	1	0.44	m4_w_002	0	0.44	255|255|255|255	0	208|251|255|255	3.53	255|255|255|255	3.88									
76		1|1|1		0.44	m4_w_002	4	0.44	79|90|91|255	0	243|196|73|255	3.99	118|118|118|255	4.39									
77		1|1|1		0.44	m4_w_002	4	0.44	133|65|92|255	0	249|227|188|255	3.76	230|81|81|255	5.24									
78		1|1|1		0.44	m4_w_002	4	0.44	255|255|255|255	3.16	48|48|48|255	5.37	238|246|255|213	4.44									
79		1|1|1		0.44	m4_w_002	4	0.44	72|65|86|255	3.16	176|41|41|222	4.42	58|58|58|213	6.03									
80		1|1|1		0.44	m4_w_002	4	0.44	44|44|44|255	3.16	168|200|137|255	3.74	130|183|109|213	4.41									
81		1|1|1	1	0.1	f4_w_001	0	0.1	255|255|255|255	0	217|243|195|255	3.9	241|245|245|255	3.51									
82		1|1|1		0.46	f4_w_001	4	0.46	255|214|43|255	5.26	112|123|241|255	3.9	99|145|255|255	5.67									
83		1|1|1		0.46	f4_w_001	4	0.46	255|214|43|255	5.26	204|79|138|255	3.9	255|138|155|255	5.67									
84		1|1|1		0.46	f4_w_001	4	0.46	255|214|43|255	5.26	165|165|165|255	3.9	178|171|172|255	5.34									
85		1|1|1	1	0.1	f4_w_002	0	0.1	255|255|255|255	0	255|255|255|255	0	84|251|237|194	0									
86		1|1|1		0.61	f4_w_002	4	0.61	255|255|255|255	4.7	223|136|136|255	5.45	255|99|179|255	5.82									
87		1|1|1		0.61	f4_w_002	4	0.61	249|208|121|255	4.7	136|151|223|255	5.45	191|194|255|241	5.22									
88		1|1|1		0.5	f4_w_002	4	0.5	230|177|37|255	5.13	255|239|198|255	3.34	255|214|82|255	6.22									
89		1|1|1		0.47	f4_w_002	4	0.47	255|208|149|227	5.13	189|221|167|255	3.52	213|208|132|255	6.22									
90		1|1|1		0.47	f4_w_002	4	0.47	190|221|219|255	5.95	255|255|255|255	3.34	103|198|255|255	8.14									
91		1|1|1	1	0.1	m4_003	0	0.1	255|255|255|255	0	255|255|255|255	0	255|255|255|255	0									
92		1|1|1	1	0.1	m4_002	0	0.1	255|255|255|255	0	255|255|255|255	0	255|255|255|255	0									
93		1|1|1	1	0.1	m4_007	0	0.1	255|255|255|255	0	59|111|163|255	0	255|255|255|255	0									
94		1|1|1	1	0.1	m4_004	0	0.1	255|255|255|255	0	255|255|255|255	0	255|255|255|255	0									
95		1|1|1	1	0.1	m4_006	0	0.1	255|255|255|255	0	255|255|255|255	0	255|249|249|255	0									
96		1|1|1	1	0.1	m4_005	0	0.1	255|255|255|255	0	255|255|255|255	0	255|255|255|255	0									
97		1|1|1	1	0.1	m4_008	0	0.1	255|255|255|255	0	255|255|255|255	0	255|255|255|255	0									
98		1|1|1																				
99		1|1|1	1	0.1	m4_010	0	0.1	255|255|255|255	0	255|255|255|255	0	255|255|255|255	0									
100		1|1|1																				
101		1|1|1	1	0.1	f4_005	0	0.1	255|255|255|255	3.6	255|255|255|255	0	255|255|255|255	0									
102		1|1|1	1	0.35	f4_006	0	0.35	255|255|255|255	3.42	255|255|255|255	3.42	255|255|255|255	0									
103		1|1|1	1	0.1	f4_002	0	0.1	255|255|255|255	0	255|255|255|255	0	255|255|255|255	0									
104		1|1|1	1	0.36	f4_003	0	0.36	255|255|255|235	0	255|255|255|255	0	255|255|255|255	3.5									
105		1|1|1	1	0.1	f4_004	0	0.1	255|255|255|255	0	255|255|255|255	0	255|255|255|255	0									
106		1|1|1	1	0.1	f4_007	0	0.1	255|255|255|255	0	255|255|255|255	0	255|255|255|255	0									
107		1|1|1	1	0.1	f4_008	0	0.1	255|255|255|255	0	255|255|255|255	0	255|255|255|255	0									
108		1|1|1	1	0.1	f4_009	0	0.1	255|255|255|255	0	255|255|255|255	0	255|255|255|255	0									
109		1|1|1	1	0.1	f4_010	0	0.1	255|255|255|255	0	255|255|255|255	0	255|255|255|255	0									
110		1|1|1																				
121		1|1|1	1	0.1	m2_009	0	0.1	255|255|255|255	4.02	255|255|255|255	0	255|255|255|255	0									
122		1|1|1	1	0.1	f2_009	0	0.1	255|255|255|255	0	255|255|255|255	0	255|255|255|255	0									
123		1|1|1	1	0.1	f1_009	0	0.1	255|255|255|255	0	255|255|255|255	0	255|255|255|255	0									
124		1|1|1	1	0.5	m1_009	0	0.5	249|234|234|255	0	255|255|255|255	3.34	217|217|217|255	6.26									
125		1|1|1	1	0.1	m3_009	0	0.1	255|255|255|255	0	241|241|241|255	3.27	255|255|255|255	0									
126		1|1|1	1	0.1	f3_009	0	0.1	255|255|255|255	0	255|255|255|255	0	255|255|255|255	0									
127		1|1|1	1	0.1	m4_009	0	0.1	255|255|255|255	0	255|255|255|255	0	255|255|255|255	0									
128		1|1|1		0.66	npc_151	4	0.66	255|255|255|255		255|44|44|255		255|158|54|171										
129		0.9|0.9|0.9		0.31	npc_153	4	0.31	129|238|167|244		255|237|0|139		67|255|20|188										
130		0.8|0.8|0.8		0.5	npc_134	4	0.5	255|205|0|0		30|123|81|0		255|255|255|255										
131		1|1|1			npc_176A																	
132		0.7|0.7|0.7			npc_176B																	
133		0.7|0.7|0.7			npc_176C																	
134		1|1|1			npc_176D																	
135		1.1|1.1|1.1			npc_176E																	
136		1|1|1		0.5	npc_162	4	0.5	151|255|246|0		255|255|255|255		255|255|255|255										
137		1|1|1		0.5	npc_163	4	0.5	127|175|204|238		255|117|101|168		255|255|255|255										
138		1|1|1		0.5	npc_164	4	0.5	166|204|249|255		195|98|164|110		255|255|255|255										
139		1|1|1		0.5	npc_165	4	0.5	247|219|189|239		247|87|87|142		255|166|7|157										
140		1|1|1		0.5	npc_166	4	0.5	255|172|108|75		206|234|255|125		255|195|149|185										
141		1|1|1		0.1	npc_167	4	0.1	255|65|65|172		125|185|255|124		238|43|192|134										
142		1|1|1		0.5	npc_168	4	0.5	255|255|255|0		255|110|0|2		255|161|89|112										
143		1|1|1		0.5	npc_169	4	0.5	255|69|69|215		249|249|249|255		125|84|255|3										
144		1|1|1		0.5	npc_170	4	0.5	204|204|204|120		179|59|59|0		255|255|255|255										
145		1|1|1		0.5	npc_171	4	0.5	255|247|240|20		172|120|64|26		255|84|84|126										
146		1|1|1		0.5	npc_172	4	0.5	255|187|86|172		255|255|255|255		255|255|255|255										
147		0.95|0.95|0.95		0.5	npc_173	4	0.5	255|54|207|85		183|240|255|48		255|43|249|56										
148		1|1|1		0.5	npc_174	4	0.5	255|33|111|53		185|237|255|236		255|88|167|120										
149		1|1|1		0.5	npc_175	4	0.5	255|190|93|0		255|188|104|8		255|141|13|0										
150		0.9|0.9|0.9		0.1	npc_132	4	0.1	236|59|255|128		255|255|255|255		255|255|255|255										
151		0.8|0.8|0.8		0.5	boss032	4	0.5	255|200|93|171		249|161|49|155		255|232|140|121										
152		0.8|0.8|0.8	1	0.1	boss033	0	0.1	245|48|85|169		33|200|255|96		255|239|153|131										
153		0.7|0.7|0.7	1	0.1	boss034	0	0.1	255|100|0|29		255|227|71|96		255|184|0|0										
154		1|1|1		0.1	boss021	4	0.1	255|73|73|182		255|184|108|139		255|131|164|255										
155		1|1|1		0.39	npc_205	4	0.39	255|56|56|172		95|95|95|169		255|210|63|123										
157		1|1|1		0.5	npc_210	4	0.5	178|116|255|157		255|255|255|255		255|255|255|255										
158		1|1|1		0.1	npc_217	4	0.1	241|7|7|211		255|255|255|255		255|255|255|255										
159		1|1|1		0.1	npc_218	4	0.1	255|255|255|163		255|255|255|255		255|255|255|255										
160		1|1|1		0.5	npc_219	4	0.5	94|93|108|255		255|255|255|254		255|255|255|255										
201		0.9|0.9|0.9																				
202		0.8|0.8|0.8																				
203		0.7|0.7|0.7																				
204		0.6|0.6|0.6																				
205		0.5|0.5|0.5																				
206		0.85|0.85|0.85																				
211		1.8|1.8|1.8																				
212		2|2|2																				
213		2.5|2.5|2.5																				
214		3|3|3																				
215		3.5|3.5|3.5																				
216		4|4|4																				
217		0.95|0.95|0.95																				
218		0.69|0.69|0.69																				
221			1	0.1	m2_010	0	0.1	255|255|255|255	0	255|255|255|255	0	255|255|255|255	0									
222			1	0.1	f2_010	0	0.1	255|255|255|255	0	255|255|255|255	0	255|255|255|255	0									
223			1	0.1	f1_010	0	0.1	255|255|255|255	0	255|255|255|255	0	255|255|255|255	0									
224			1	0.1	m1_010	0	0.1	255|255|255|255	0	255|255|255|255	0	255|255|255|255	0									
225			1	0.21	m3_010	0	0.21	255|255|255|255	0	255|255|255|255	0	255|255|255|255	0									
226			1	0.1	f3_010	0	0.1	255|255|255|255	0	255|255|255|255	0	255|255|255|255	0									
231			1	0.1	m6_010	0	0.1	255|255|255|255	0	255|255|255|255	0	255|255|255|255	0									
232			1	0.36	f6_001	0	0.36	255|255|255|255	2.64	255|255|255|255	3.47	255|255|255|255	3.46									
233			1	0.1	m7_001	0	0.1	255|255|255|255	0	255|255|255|255	0	255|255|255|255	0									
234		1|1|1	1	0.1	f7_001	0	0.1	185|217|255|255	0	255|255|255|255	3.47	178|204|255|255	4.63									
235																						
236																						
237																						
238																						
239																						
240																						
241			1	0.35	m3_011	0	0.35	255|255|255|255	0	255|255|255|255	0	255|255|255|255	3.18									
242		1|1|1	1	0.5	m2_012	0	0.5	255|255|255|255	4.21	255|255|255|255	3.3	255|255|255|255	4.4									
243		1|1|1	1	0	f2_012	0	0	226|255|227|255	0	255|255|255|255	3.26	253|255|254|255	0									
244		1|1|1	1	0.1	f1_012	0	0.1	255|255|255|255	0	255|255|255|255	0	255|255|255|255	0									
245		1|1|1	1	0	m1_012	0	0	255|241|211|255	0	178|255|200|255	3.6	165|251|255|255	3.6									
246		1|1|1	1	0.1	m3_012	0	0.1	255|255|255|255	0	255|255|255|255	0	255|255|255|255	0									
247		1|1|1	1	0.1	f3_012	0	0.1	255|255|255|255	0	255|255|255|255	0	255|255|255|255	0									
248		1|1|1	1	0.1	m4_012	0	0.1	255|255|255|255	0	255|255|255|255	0	255|255|255|255	0									
249		1|1|1	1	0.1	f4_012	0	0.1	255|255|255|255	0	255|255|255|255	0	106|255|181|255	0									
250		1|1|1	1	0.1	m5_012	0	0.1	255|255|255|255	0	255|255|255|255	0	255|255|255|255	0									
251		1|1|1	1	0.1	f5_012	0	0.1	255|255|255|255	0	255|255|255|255	0	255|255|255|255	0									
252		1|1|1	1	0.1	m6_012	0	0.1	255|255|255|255	0	255|255|255|255	0	255|255|255|255	0									
253		1|1|1	1	0.1	f6_012	0	0.1	255|255|255|255	0	255|255|255|255	0	255|255|255|255	0									
254		1|1|1		0.5	m7_002	4	0.5	255|80|80|255	4.58	255|255|255|255	3.89	255|237|165|255	3.87									
255		1|1|1		0.5	m7_003	4	0.5	204|215|255|255	3.91	255|255|255|255	3.54	185|174|174|255	6.93									
256		1|1|1	1	0.1	m7_004	0	0.1	255|255|255|255	0	255|255|255|255	0	255|255|255|255	0									
257		1|1|1		0.18	m7_005	4	0.18	255|121|0|130	4.61	250|255|238|224	0	249|157|157|180	2.73									
258		1|1|1		0.5	m7_009	4	0.5	41|153|232|219	0	179|222|228|199	0	255|241|187|204	3.7									
259		1|1|1	1	0.1	m7_006	0	0.1	255|255|255|255	0	255|255|255|255	0	255|255|255|255	0									
260		1|1|1	1	0.3	m7_008	0	0.3	255|255|255|255	0	255|255|255|255	0	255|255|255|255	3.16									
261		1|1|1		0.1	m7_011	4	0.1	246|255|206|255	3.99	255|255|255|255	0	255|207|54|255	3.87									
262		1|1|1		0.5	m7_007	4	0.5	255|193|170|165	3.33	253|219|160|130	3.73	223|223|223|255	3.84									
263		1|1|1	1	0.01	m7_010	0	0.01	255|255|255|255	0	255|255|255|255	0	61|59|55|255	3.47									
264		1|1|1	1	0.1	m7_012	0	0.1	73|72|67|255	3.32	255|248|238|255	0	230|208|150|255	0									
265		1|1|1	1	0	f7_008	0	0	255|255|255|252	0	95|208|255|255	3.87	255|255|255|255	0									
266		1|1|1	1	0.1	f7_007	0	0.1	255|255|255|255	0	255|255|255|255	0	255|255|255|255	0									
267		1|1|1	1	0.1	f7_002	0	0.1	230|230|230|243	0	255|255|255|255	0	108|230|262|255	0									
268		1|1|1	1	0.1	f7_011	0	0.1	255|255|255|255	0	255|255|255|255	0	255|255|255|255	0									
269		1|1|1	1	0.1	f7_009	0	0.1	169|253|183|255	0	255|255|255|255	0	255|255|255|255	0									
270		1|1|1	1	0.1	f7_010	0	0.1	255|255|255|255	0	255|255|255|255	0	255|255|255|255	0									
271		1|1|1	1	0.1	f7_003	0	0.1	255|255|255|255	0	0|244|255|255	3.37	161|161|161|255	5.96									
272		1|1|1	1	0.1	f7_004	0	0.1	240|240|240|255	3.68	231|148|255|255	0	255|206|253|255	0									
273		1|1|1	1	0.1	f7_012	0	0.1	178|232|255|255	4.13	255|255|255|255	3.61	255|255|255|255	3.35									
274		1|1|1	1	0.1	f7_005	0	0.1	255|255|255|255	0	255|255|255|255	0	254|196|255|255	0									
275		1|1|1		0.1	f7_006	4	0.1	255|255|255|251	3.47	255|97|211|255	3.56	256|135|208|201	2.93									
381		1|1|1		0.23	m5_w_001	4	0.23	166|255|225|255	0	221|255|157|255	0	255|255|255|255	3.57									
382		1|1|1		0.23	m5_w_001	4	0.23	255|80|91|255	0	255|215|86|255	0	255|255|255|255	2.65									
383		1|1|1		0.34	m5_w_001	4	0.34	101|101|101|255	0	226|41|41|255	0	129|129|129|255	4.88									
384		1|1|1		0.4	m5_w_001	4	0.4	255|195|78|195	0	107|183|236|255	0	159|159|159|255	4.76									
385		1|1|1		0.1	m5_w_002	4	0.1	255|208|208|255	4.02	230|255|219|255	3.51	181|255|212|255	3.81									
386		1|1|1		0.1	m5_w_002	4	0.1	255|142|0|106	0	63|63|63|255	0	255|168|59|207	3.48									
387		1|1|1		0.1	m5_w_002	4	0.1	118|192|255|255	0	255|197|74|255	3.81	140|207|255|255	0									
388		1|1|1		0.1	m5_w_002	4	0.1	255|86|86|255	4.85	56|56|56|255	3.69	71|71|71|255	3.17									
389		1|1|1		0.5	m5_w_002	4	0.5	233|136|255|106	0	255|253|211|255	3.82	255|253|210|207	3.48									
390		1|1|1		0.5	m5_w_002	4	0.5	255|211|69|106	4.05	255|56|56|255	3.41	76|13|13|207	4.88									
391		1|1|1	1	0.1	f5_w_001	0	0.1	183|255|225|204	0	255|255|255|255	0	255|255|255|255	0									
392		1|1|1	1	0.67	f5_w_001	0	0.67	208|47|137|148	5.97	255|138|246|192	0	255|219|251|255	0									
393		1|1|1	1	0.67	f5_w_001	0	0.67	255|139|14|255	5.65	247|204|63|192	0	255|219|251|255	0									
394		1|1|1	1	0.67	f5_w_001	0	0.67	89|39|39|176	6.77	255|148|148|163	0	255|219|251|255	0									
395		1|1|1	1	0.1	f5_w_002	0	0.1	249|255|200|255	3.46	255|255|255|255	3.26	255|255|255|255	3.34									
396		1|1|1		0.52	f5_w_002	4	0.52	255|24|130|200	3.45	255|99|99|230	3.64	255|255|255|255	3.34									
397		1|1|1		0.42	f5_w_002	4	0.42	57|162|236|223	3.46	255|213|104|255	3.7	255|255|255|255	3.34									
398		1|1|1	1	0.28	f5_w_002	0	0.28	76|76|76|255	3.63	255|73|73|255	3.07	37|36|36|255	4.95									
399		1|1|1		0.1	f5_w_002	4	0.1	127|56|56|80	1.58	255|255|255|255	3.26	234|113|141|255	3.31									
400		1|1|1		0.1	f5_w_002	4	0.1	88|88|88|80	1.58	255|255|255|255	3.26	255|255|255|255	3.31									
401		1|1|1		0.5	m6_w_001	4	0.5	29|59|55|90	7.42	105|161|128|255	4.53	199|251|221|255	3.59									
402		1|1|1		0.5	m6_w_001	4	0.5	255|245|170|90	5.01	223|140|65|255	5.46	255|245|228|255	3.83									
403		1|1|1		0.5	m6_w_001	4	0.5	255|205|131|90	5.01	249|252|255|255	5.78	70|174|226|255	3.63									
404		1|1|1		0.5	m6_w_001	4	0.5	253|68|68|90	5.34	82|37|43|255	8.76	136|136|136|255	5.57									
405		1|1|1	1	0.1	m6_w_002	0	0.1	255|255|255|255	0	255|255|255|255	0	255|255|255|255	0									
406		1|1|1		0.5	m6_w_002	4	0.5	129|218|255|255	4.86	255|245|225|192	3.15	255|209|110|255	9.1									
407		1|1|1	1	0.5	m6_w_002	0	0.5	219|255|191|255	4.78	164|255|157|192	2.83	108|222|245|255	7.04									
408		1|1|1	1	0.5	m6_w_002	0	0.5	67|130|255|255	5.54	157|218|255|192	3.49	108|132|245|255	6.06									
409		1|1|1	1	0.5	m6_w_002	0	0.5	245|101|241|255	5.54	225|213|255|192	3.49	158|108|245|255	6.83									
410		1|1|1		0.5	m6_w_002	4	0.5	255|252|241|255	1.05	255|134|99|192	3.49	255|99|63|255	7.58									
411		1|1|1	1	0.1	f6_w_001	0	0.1	255|255|255|255	0	255|255|255|255	0	255|255|255|255	0									
412		1|1|1		0.5	f6_w_001	4	0.5	255|120|46|66	4.17	255|245|123|255	3.11	255|252|236|255	3.73									
413		1|1|1		0.5	f6_w_001	4	0.5	255|101|231|148	3.38	142|183|251|228	3.28	226|215|253|169	0									
414		1|1|1		0.5	f6_w_001	4	0.5	255|65|65|161	5.22	255|255|255|255	3.27	61|61|61|196	3.84									
415		1|1|1	1	0.1	f6_w_002	0	0.1	255|255|255|255	0	255|255|255|255	0	255|255|255|255	0									
416		1|1|1		0.42	f6_w_002	4	0.42	242|255|20|222	4.52	260|239|120|228	3.13	127|233|255|255	4.07									
417		1|1|1		0.5	f6_w_002	4	0.5	255|153|231|214	4.22	241|223|255|223	3.52	233|133|255|196	4.32									
418		1|1|1		0.5	f6_w_002	4	0.5	255|245|238|214	4.11	255|176|91|255	4.38	255|253|217|255	4.59									
419		1|1|1		0.39	f6_w_002	4	0.39	255|255|255|174	3.95	75|107|223|222	3.67	149|150|255|255	5.47									
420		1|1|1		0.5	f6_w_002	4	0.5	255|192|112|214	3.98	232|61|61|255	3.92	255|255|255|170	3.42									
421		1|1|1	1	0.1	m7_w_001	0	0.1	255|255|255|255	0	255|255|255|255	0	255|255|255|255	0									
422		1|1|1		0.5	m7_w_001	4	0.5	73|147|249|255	10.59	221|255|255|255	3.61	255|215|131|255	4.09									
423		1|1|1		0.5	m7_w_001	4	0.5	255|222|165|168	3.93	255|240|213|255	3.87	255|231|101|255	3.93									
424		1|1|1		0.5	m7_w_001	4	0.5	253|57|77|255	4.64	255|251|251|255	3.75	255|218|163|255	3.9									
425		1|1|1	1	0.1	m7_w_002	0	0.1	255|255|255|255	0	255|255|255|255	0	255|255|255|255	0									
426		1|1|1		0.5	m7_w_002	4	0.5	251|251|251|255	0	255|221|133|223	3.67	144|22|22|61	8.55									
