ResId	ResFile	ResFile2	ResAttribID	ResAttribID2	Desc
40		Player/Doodads/weapons/Prefabs/m1_l011.prefab		10314	逍遥枪10
41	Player/Doodads/weapons/Prefabs/m3_s006_L.prefab	Player/Doodads/weapons/Prefabs/m3_s006_R.prefab			武当剑1
42	Player/Doodads/weapons/Prefabs/m3_s007_L.prefab	Player/Doodads/weapons/Prefabs/m3_s007_R.prefab			武当剑2
43	Player/Doodads/weapons/Prefabs/m3_s003_L.prefab	Player/Doodads/weapons/Prefabs/m3_s003_R.prefab			武当剑3
44	Player/Doodads/weapons/Prefabs/m3_s004_L.prefab	Player/Doodads/weapons/Prefabs/m3_s004_R.prefab			武当剑4
45	Player/Doodads/weapons/Prefabs/m3_s005_L.prefab	Player/Doodads/weapons/Prefabs/m3_s005_R.prefab			武当剑5
46	Player/Doodads/weapons/Prefabs/m3_s002_L.prefab	Player/Doodads/weapons/Prefabs/m3_s002_R.prefab			武当剑6
47	Player/Doodads/weapons/Prefabs/m3_s008_L.prefab	Player/Doodads/weapons/Prefabs/m3_s008_R.prefab			武当剑7
48	Player/Doodads/weapons/Prefabs/m3_s009_L.prefab	Player/Doodads/weapons/Prefabs/m3_s009_R.prefab	10005	10005	武当剑8
49	Player/Doodads/weapons/Prefabs/m3_s010_L.prefab	Player/Doodads/weapons/Prefabs/m3_s010_R.prefab	10305	10305	武当剑9
50	Player/Doodads/weapons/Prefabs/m3_s011_L.prefab	Player/Doodads/weapons/Prefabs/m3_s011_R.prefab	10315	10315	武当剑10
51	Player/Doodads/weapons/Prefabs/f3_d004_l.prefab	Player/Doodads/weapons/Prefabs/f3_d004_r.prefab			天忍刺1
52	Player/Doodads/weapons/Prefabs/f3_d002_l.prefab	Player/Doodads/weapons/Prefabs/f3_d002_r.prefab			天忍刺2
53	Player/Doodads/weapons/Prefabs/f3_d006_l.prefab	Player/Doodads/weapons/Prefabs/f3_d006_r.prefab			天忍刺3
54	Player/Doodads/weapons/Prefabs/f3_d007_l.prefab	Player/Doodads/weapons/Prefabs/f3_d007_r.prefab			天忍刺4
55	Player/Doodads/weapons/Prefabs/f3_d005_l.prefab	Player/Doodads/weapons/Prefabs/f3_d005_r.prefab			天忍刺5
56	Player/Doodads/weapons/Prefabs/f3_d003_l.prefab	Player/Doodads/weapons/Prefabs/f3_d003_r.prefab			天忍刺6
57	Player/Doodads/weapons/Prefabs/f3_d008_l.prefab	Player/Doodads/weapons/Prefabs/f3_d008_r.prefab			天忍刺7
58	Player/Doodads/weapons/Prefabs/f3_d009_l.prefab	Player/Doodads/weapons/Prefabs/f3_d009_r.prefab	10006	10006	天忍刺8
59	Player/Doodads/weapons/Prefabs/f3_d010_l.prefab	Player/Doodads/weapons/Prefabs/f3_d010_r.prefab	10306	10306	天忍刺9
60	Player/Doodads/weapons/Prefabs/f3_d011_l.prefab	Player/Doodads/weapons/Prefabs/f3_d011_r.prefab	10316	10316	天忍刺10
61		Player/Doodads/weapons/Prefabs/m4_w002.prefab			少林棍1
62		Player/Doodads/weapons/Prefabs/m4_w003.prefab			少林棍2
63		Player/Doodads/weapons/Prefabs/m4_w004.prefab			少林棍3
64		Player/Doodads/weapons/Prefabs/m4_w005.prefab			少林棍4
65		Player/Doodads/weapons/Prefabs/m4_w006.prefab			少林棍5
66		Player/Doodads/weapons/Prefabs/m4_w007.prefab			少林棍6
67		Player/Doodads/weapons/Prefabs/m4_w009.prefab			少林棍7
68		Player/Doodads/weapons/Prefabs/m4_w008.prefab			少林棍8
69		Player/Doodads/weapons/Prefabs/m4_w010.prefab		10307	少林棍9
70		Player/Doodads/weapons/Prefabs/m4_w011.prefab		10317	少林棍10
71		Player/Doodads/weapons/Prefabs/f4_k005.prefab			翠烟伞1
72		Player/Doodads/weapons/Prefabs/f4_k006.prefab			翠烟伞2
73		Player/Doodads/weapons/Prefabs/f4_k002.prefab			翠烟伞3
74		Player/Doodads/weapons/Prefabs/f4_k003.prefab			翠烟伞4
75		Player/Doodads/weapons/Prefabs/f4_k004.prefab			翠烟伞5
76		Player/Doodads/weapons/Prefabs/f4_k007.prefab			翠烟伞6
77		Player/Doodads/weapons/Prefabs/f4_k008.prefab			翠烟伞7
78		Player/Doodads/weapons/Prefabs/f4_k009.prefab			翠烟伞8
79		Player/Doodads/weapons/Prefabs/f4_k010.prefab		10308	翠烟伞9
80		Player/Doodads/weapons/Prefabs/f4_k011.prefab		10318	翠烟伞10
101	Player/Doodads/weapons/Prefabs/m2_h007.prefab	Player/Doodads/weapons/Prefabs/m2_h007.prefab			天王出生锤
102		Player/Doodads/weapons/Prefabs/f2_s001.prefab			峨眉出生剑
103	Player/Doodads/weapons/Prefabs/f1_a001.prefab				桃花出生弓
104		Player/Doodads/weapons/Prefabs/m1_l001.prefab			逍遥出生枪
105	Player/Doodads/weapons/Prefabs/m3_s001_L.prefab	Player/Doodads/weapons/Prefabs/m3_s001_R.prefab			武当出生剑
106	Player/Doodads/weapons/Prefabs/f3_d001_l.prefab	Player/Doodads/weapons/Prefabs/f3_d001_r.prefab			天忍出生刺
107		Player/Doodads/weapons/Prefabs/m4_w001.prefab			少林出生棍
108		Player/Doodads/weapons/Prefabs/f4_k001.prefab			翠烟出生伞
109	Player/Doodads/weapons/Prefabs/m5_a001_l.prefab	Player/Doodads/weapons/Prefabs/m5_a001_r.prefab	10009	10009	唐门出生弩
110	Player/Doodads/weapons/Prefabs/f5_s001_l.prefab	Player/Doodads/weapons/Prefabs/f5_s001_r.prefab	10010	10010	昆仑出生剑
111		Player/Doodads/weapons/Prefabs/m6_h001.prefab		10321	丐帮出生棍
112		Player/Doodads/weapons/Prefabs/f6_h001.prefab		10322	五毒出生笛
113	Player/Doodads/weapons/Prefabs/m7_s001_l.prefab	Player/Doodads/weapons/Prefabs/m7_s001_r.prefab	10323	10323	藏剑出生剑
114		Player/Doodads/weapons/Prefabs/f7_s001.prefab		10324	长歌出生扇
115	Player/Doodads/weapons/Prefabs/m3_s001_L.prefab	Player/Doodads/weapons/Prefabs/m3_s001_R.prefab		10325	15门派出生武器
116	Player/Doodads/weapons/Prefabs/f3_d001_l.prefab	Player/Doodads/weapons/Prefabs/f3_d001_r.prefab		10326	16门派出生武器
117		Player/Doodads/weapons/Prefabs/m4_w001.prefab		10327	17门派出生武器
118		Player/Doodads/weapons/Prefabs/f4_k001.prefab		10328	18门派出生武器
119	Player/Doodads/weapons/Prefabs/m5_a001_l.prefab	Player/Doodads/weapons/Prefabs/m5_a001_r.prefab		10329	19门派出生武器
120	Player/Doodads/weapons/Prefabs/f5_s001_l.prefab	Player/Doodads/weapons/Prefabs/f5_s001_r.prefab		10330	20门派出生武器
601	Player/Doodads/weapons/Prefabs/m5_a002_l.prefab	Player/Doodads/weapons/Prefabs/m5_a002_r.prefab	10021	10021	唐门弩1
602	Player/Doodads/weapons/Prefabs/m5_a003_l.prefab	Player/Doodads/weapons/Prefabs/m5_a003_r.prefab	10022	10022	唐门弩2
603	Player/Doodads/weapons/Prefabs/m5_a004_l.prefab	Player/Doodads/weapons/Prefabs/m5_a004_r.prefab	10023	10023	唐门弩3
604	Player/Doodads/weapons/Prefabs/m5_a005_l.prefab	Player/Doodads/weapons/Prefabs/m5_a005_r.prefab	10024	10024	唐门弩4
605	Player/Doodads/weapons/Prefabs/m5_a009_l.prefab	Player/Doodads/weapons/Prefabs/m5_a009_r.prefab	10025	10025	唐门弩8
606	Player/Doodads/weapons/Prefabs/m5_a007_l.prefab	Player/Doodads/weapons/Prefabs/m5_a007_r.prefab	10026	10026	唐门弩6
607	Player/Doodads/weapons/Prefabs/m5_a006_l.prefab	Player/Doodads/weapons/Prefabs/m5_a006_r.prefab	10027	10027	唐门弩5
608	Player/Doodads/weapons/Prefabs/m5_a008_l.prefab	Player/Doodads/weapons/Prefabs/m5_a008_r.prefab	10028	10028	唐门弩7
609	Player/Doodads/weapons/Prefabs/m5_a010_l.prefab	Player/Doodads/weapons/Prefabs/m5_a010_r.prefab	10029	10029	唐门弩9
610	Player/Doodads/weapons/Prefabs/m5_a011_l.prefab	Player/Doodads/weapons/Prefabs/m5_a011_r.prefab	10030	10030	唐门弩10
611	Player/Doodads/weapons/Prefabs/f5_s002_l.prefab	Player/Doodads/weapons/Prefabs/f5_s002_r.prefab	10011	10011	昆仑剑1
612	Player/Doodads/weapons/Prefabs/f5_s003_l.prefab	Player/Doodads/weapons/Prefabs/f5_s003_r.prefab	10012	10012	昆仑剑2
613	Player/Doodads/weapons/Prefabs/f5_s004_l.prefab	Player/Doodads/weapons/Prefabs/f5_s004_r.prefab	10013	10013	昆仑剑3
614	Player/Doodads/weapons/Prefabs/f5_s005_l.prefab	Player/Doodads/weapons/Prefabs/f5_s005_r.prefab	10014	10014	昆仑剑4
615	Player/Doodads/weapons/Prefabs/f5_s006_l.prefab	Player/Doodads/weapons/Prefabs/f5_s006_r.prefab	10015	10015	昆仑剑5
616	Player/Doodads/weapons/Prefabs/f5_s007_l.prefab	Player/Doodads/weapons/Prefabs/f5_s007_r.prefab	10016	10016	昆仑剑6
617	Player/Doodads/weapons/Prefabs/f5_s008_l.prefab	Player/Doodads/weapons/Prefabs/f5_s008_r.prefab	10017	10017	昆仑剑7
618	Player/Doodads/weapons/Prefabs/f5_s009_l.prefab	Player/Doodads/weapons/Prefabs/f5_s009_r.prefab	10018	10018	昆仑剑8
619	Player/Doodads/weapons/Prefabs/f5_s010_l.prefab	Player/Doodads/weapons/Prefabs/f5_s010_r.prefab	10019	10019	昆仑剑9
620	Player/Doodads/weapons/Prefabs/f5_s011_l.prefab	Player/Doodads/weapons/Prefabs/f5_s011_r.prefab	10020	10020	昆仑剑10
621		Player/Doodads/weapons/Prefabs/m6_h002.prefab		10331	丐帮棍1
622		Player/Doodads/weapons/Prefabs/m6_h003.prefab		10332	丐帮棍2
623		Player/Doodads/weapons/Prefabs/m6_h004.prefab		10333	丐帮棍3
624		Player/Doodads/weapons/Prefabs/m6_h005.prefab		10334	丐帮棍4
625		Player/Doodads/weapons/Prefabs/m6_h006.prefab		10335	丐帮棍5
626		Player/Doodads/weapons/Prefabs/m6_h007.prefab		10336	丐帮棍6
627		Player/Doodads/weapons/Prefabs/m6_h008.prefab		10337	丐帮棍7
628		Player/Doodads/weapons/Prefabs/m6_h009.prefab		10338	丐帮棍8
629		Player/Doodads/weapons/Prefabs/m6_h010.prefab		10339	丐帮棍9
630		Player/Doodads/weapons/Prefabs/m6_h011.prefab		10340	丐帮棍10
631		Player/Doodads/weapons/Prefabs/f6_h002.prefab		10341	五毒笛1
632		Player/Doodads/weapons/Prefabs/f6_h003.prefab		10342	五毒笛2
633		Player/Doodads/weapons/Prefabs/f6_h004.prefab		10343	五毒笛3
634		Player/Doodads/weapons/Prefabs/f6_h005.prefab		10344	五毒笛4
635		Player/Doodads/weapons/Prefabs/f6_h006.prefab		10345	五毒笛5
636		Player/Doodads/weapons/Prefabs/f6_h007.prefab		10346	五毒笛6
637		Player/Doodads/weapons/Prefabs/f6_h008.prefab		10347	五毒笛7
638		Player/Doodads/weapons/Prefabs/f6_h009.prefab		10348	五毒笛8
639		Player/Doodads/weapons/Prefabs/f6_h010.prefab		10349	五毒笛9
640		Player/Doodads/weapons/Prefabs/f6_h011.prefab		10350	五毒笛10
641	Player/Doodads/weapons/Prefabs/m7_s002_l.prefab	Player/Doodads/weapons/Prefabs/m7_s002_r.prefab	10351	10351	藏剑剑1
642	Player/Doodads/weapons/Prefabs/m7_s003_l.prefab	Player/Doodads/weapons/Prefabs/m7_s003_r.prefab	10352	10352	藏剑剑2
643	Player/Doodads/weapons/Prefabs/m7_s004_l.prefab	Player/Doodads/weapons/Prefabs/m7_s004_r.prefab	10353	10353	藏剑剑3
644	Player/Doodads/weapons/Prefabs/m7_s005_l.prefab	Player/Doodads/weapons/Prefabs/m7_s005_r.prefab	10354	10354	藏剑剑4
645	Player/Doodads/weapons/Prefabs/m7_s006_l.prefab	Player/Doodads/weapons/Prefabs/m7_s006_r.prefab	10355	10355	藏剑剑5
646	Player/Doodads/weapons/Prefabs/m7_s007_l.prefab	Player/Doodads/weapons/Prefabs/m7_s007_r.prefab	10356	10356	藏剑剑6
647	Player/Doodads/weapons/Prefabs/m7_s008_l.prefab	Player/Doodads/weapons/Prefabs/m7_s008_r.prefab	10357	10357	藏剑剑7
648	Player/Doodads/weapons/Prefabs/m7_s009_l.prefab	Player/Doodads/weapons/Prefabs/m7_s009_r.prefab	10358	10358	藏剑剑8
649	Player/Doodads/weapons/Prefabs/m7_s010_l.prefab	Player/Doodads/weapons/Prefabs/m7_s010_r.prefab	10359	10359	藏剑剑9
650	Player/Doodads/weapons/Prefabs/m7_s011_l.prefab	Player/Doodads/weapons/Prefabs/m7_s011_r.prefab	10360	10360	藏剑剑10
651		Player/Doodads/weapons/Prefabs/f7_s002.prefab		10361	长歌扇1
652		Player/Doodads/weapons/Prefabs/f7_s003.prefab		10362	长歌扇2
653		Player/Doodads/weapons/Prefabs/f7_s004.prefab		10363	长歌扇3
654		Player/Doodads/weapons/Prefabs/f7_s005.prefab		10364	长歌扇4
655		Player/Doodads/weapons/Prefabs/f7_s006.prefab		10365	长歌扇5
656		Player/Doodads/weapons/Prefabs/f7_s007.prefab		10366	长歌扇6
657		Player/Doodads/weapons/Prefabs/f7_s008.prefab		10367	长歌扇7
658		Player/Doodads/weapons/Prefabs/f7_s009.prefab		10368	长歌扇8
659		Player/Doodads/weapons/Prefabs/f7_s010.prefab		10369	长歌扇9
660		Player/Doodads/weapons/Prefabs/f7_s011.prefab		10370	长歌扇10
661		Player/Doodads/weapons/Prefabs/m1_l002.prefab		10371	15门派武器1
662		Player/Doodads/weapons/Prefabs/m1_l003.prefab		10372	15门派武器2
663		Player/Doodads/weapons/Prefabs/m1_l005.prefab		10373	15门派武器3
664		Player/Doodads/weapons/Prefabs/m1_l007.prefab		10374	15门派武器4
665		Player/Doodads/weapons/Prefabs/m1_l006.prefab		10375	15门派武器5
666		Player/Doodads/weapons/Prefabs/m1_l004.prefab		10376	15门派武器6
667		Player/Doodads/weapons/Prefabs/m1_l008.prefab		10377	15门派武器7
668		Player/Doodads/weapons/Prefabs/m1_l009.prefab		10378	15门派武器8
669		Player/Doodads/weapons/Prefabs/m1_l009.prefab		10379	15门派武器9
670		Player/Doodads/weapons/Prefabs/m1_l009.prefab		10380	15门派武器10
671		Player/Doodads/weapons/Prefabs/m1_l002.prefab		10381	16门派武器1
672		Player/Doodads/weapons/Prefabs/m1_l003.prefab		10382	16门派武器2
673		Player/Doodads/weapons/Prefabs/m1_l005.prefab		10383	16门派武器3
674		Player/Doodads/weapons/Prefabs/m1_l007.prefab		10384	16门派武器4
675		Player/Doodads/weapons/Prefabs/m1_l006.prefab		10385	16门派武器5
676		Player/Doodads/weapons/Prefabs/m1_l004.prefab		10386	16门派武器6
677		Player/Doodads/weapons/Prefabs/m1_l008.prefab		10387	16门派武器7
678		Player/Doodads/weapons/Prefabs/m1_l009.prefab		10388	16门派武器8
679		Player/Doodads/weapons/Prefabs/m1_l009.prefab		10389	16门派武器9
680		Player/Doodads/weapons/Prefabs/m1_l009.prefab		10390	16门派武器10
681		Player/Doodads/weapons/Prefabs/m1_l002.prefab		10391	17门派武器1
682		Player/Doodads/weapons/Prefabs/m1_l003.prefab		10392	17门派武器2
683		Player/Doodads/weapons/Prefabs/m1_l005.prefab		10393	17门派武器3
684		Player/Doodads/weapons/Prefabs/m1_l007.prefab		10394	17门派武器4
685		Player/Doodads/weapons/Prefabs/m1_l006.prefab		10395	17门派武器5
686		Player/Doodads/weapons/Prefabs/m1_l004.prefab		10396	17门派武器6
687		Player/Doodads/weapons/Prefabs/m1_l008.prefab		10397	17门派武器7
688		Player/Doodads/weapons/Prefabs/m1_l009.prefab		10398	17门派武器8
689		Player/Doodads/weapons/Prefabs/m1_l009.prefab		10399	17门派武器9
690		Player/Doodads/weapons/Prefabs/m1_l009.prefab		10400	17门派武器10
691		Player/Doodads/weapons/Prefabs/m1_l002.prefab		10401	18门派武器1
692		Player/Doodads/weapons/Prefabs/m1_l003.prefab		10402	18门派武器2
693		Player/Doodads/weapons/Prefabs/m1_l005.prefab		10403	18门派武器3
694		Player/Doodads/weapons/Prefabs/m1_l007.prefab		10404	18门派武器4
695		Player/Doodads/weapons/Prefabs/m1_l006.prefab		10405	18门派武器5
696		Player/Doodads/weapons/Prefabs/m1_l004.prefab		10406	18门派武器6
697		Player/Doodads/weapons/Prefabs/m1_l008.prefab		10407	18门派武器7
698		Player/Doodads/weapons/Prefabs/m1_l009.prefab		10408	18门派武器8
699		Player/Doodads/weapons/Prefabs/m1_l009.prefab		10409	18门派武器9
700		Player/Doodads/weapons/Prefabs/m1_l009.prefab		10410	18门派武器10
701		Player/Doodads/weapons/Prefabs/m1_l002.prefab		10411	19门派武器1
702		Player/Doodads/weapons/Prefabs/m1_l003.prefab		10412	19门派武器2
703		Player/Doodads/weapons/Prefabs/m1_l005.prefab		10413	19门派武器3
704		Player/Doodads/weapons/Prefabs/m1_l007.prefab		10414	19门派武器4
705		Player/Doodads/weapons/Prefabs/m1_l006.prefab		10415	19门派武器5
706		Player/Doodads/weapons/Prefabs/m1_l004.prefab		10416	19门派武器6
707		Player/Doodads/weapons/Prefabs/m1_l008.prefab		10417	19门派武器7
708		Player/Doodads/weapons/Prefabs/m1_l009.prefab		10418	19门派武器8
709		Player/Doodads/weapons/Prefabs/m1_l009.prefab		10419	19门派武器9
710		Player/Doodads/weapons/Prefabs/m1_l009.prefab		10420	19门派武器10
711		Player/Doodads/weapons/Prefabs/m1_l002.prefab		10421	20门派武器1
712		Player/Doodads/weapons/Prefabs/m1_l003.prefab		10422	20门派武器2
713		Player/Doodads/weapons/Prefabs/m1_l005.prefab		10423	20门派武器3
714		Player/Doodads/weapons/Prefabs/m1_l007.prefab		10424	20门派武器4
715		Player/Doodads/weapons/Prefabs/m1_l006.prefab		10425	20门派武器5
716		Player/Doodads/weapons/Prefabs/m1_l004.prefab		10426	20门派武器6
717		Player/Doodads/weapons/Prefabs/m1_l008.prefab		10427	20门派武器7
718		Player/Doodads/weapons/Prefabs/m1_l009.prefab		10428	20门派武器8
719		Player/Doodads/weapons/Prefabs/m1_l009.prefab		10429	20门派武器9
720		Player/Doodads/weapons/Prefabs/m1_l009.prefab		10430	20门派武器10
801	Player/Doodads/weapons/Prefabs/m2_h012.prefab	Player/Doodads/weapons/Prefabs/m2_h012.prefab	10431	10431	天王锤11
802	Player/Doodads/weapons/Prefabs/m2_h002.prefab	Player/Doodads/weapons/Prefabs/m2_h002.prefab	10432	10432	天王锤12
803	Player/Doodads/weapons/Prefabs/m2_h001.prefab	Player/Doodads/weapons/Prefabs/m2_h001.prefab	10433	10433	天王锤13
804	Player/Doodads/weapons/Prefabs/m2_h003.prefab	Player/Doodads/weapons/Prefabs/m2_h003.prefab	10434	10434	天王锤14
805	Player/Doodads/weapons/Prefabs/m2_h005.prefab	Player/Doodads/weapons/Prefabs/m2_h005.prefab	10435	10435	天王锤15
806	Player/Doodads/weapons/Prefabs/m2_h004.prefab	Player/Doodads/weapons/Prefabs/m2_h004.prefab	10436	10436	天王锤16
807	Player/Doodads/weapons/Prefabs/m2_h008.prefab	Player/Doodads/weapons/Prefabs/m2_h008.prefab	10437	10437	天王锤17
808	Player/Doodads/weapons/Prefabs/m2_h009.prefab	Player/Doodads/weapons/Prefabs/m2_h009.prefab	10438	10438	天王锤18
809	Player/Doodads/weapons/Prefabs/m2_h010.prefab	Player/Doodads/weapons/Prefabs/m2_h010.prefab	10439	10439	天王锤19
810	Player/Doodads/weapons/Prefabs/m2_h011.prefab	Player/Doodads/weapons/Prefabs/m2_h011.prefab	10440	10440	天王锤20
811		Player/Doodads/weapons/Prefabs/f2_s012.prefab		10441	峨眉剑11
812		Player/Doodads/weapons/Prefabs/f2_s003.prefab		10442	峨眉剑12
813		Player/Doodads/weapons/Prefabs/f2_s006.prefab		10443	峨眉剑13
814		Player/Doodads/weapons/Prefabs/f2_s004.prefab		10444	峨眉剑14
815		Player/Doodads/weapons/Prefabs/f2_s005.prefab		10445	峨眉剑15
816		Player/Doodads/weapons/Prefabs/f2_s007.prefab		10446	峨眉剑16
817		Player/Doodads/weapons/Prefabs/f2_s008.prefab		10447	峨眉剑17
818		Player/Doodads/weapons/Prefabs/f2_s009.prefab		10448	峨眉剑18
819		Player/Doodads/weapons/Prefabs/f2_s010.prefab		10449	峨眉剑19
820		Player/Doodads/weapons/Prefabs/f2_s011.prefab		10450	峨眉剑20
821	Player/Doodads/weapons/Prefabs/f1_a012.prefab		10451		桃花弓11
822	Player/Doodads/weapons/Prefabs/f1_a002.prefab		10452		桃花弓12
823	Player/Doodads/weapons/Prefabs/f1_a003.prefab		10453		桃花弓13
824	Player/Doodads/weapons/Prefabs/f1_a005.prefab		10454		桃花弓14
825	Player/Doodads/weapons/Prefabs/f1_a006.prefab		10455		桃花弓15
826	Player/Doodads/weapons/Prefabs/f1_a007.prefab		10456		桃花弓16
827	Player/Doodads/weapons/Prefabs/f1_a008.prefab		10457		桃花弓17
828	Player/Doodads/weapons/Prefabs/f1_a009.prefab		10458		桃花弓18
829	Player/Doodads/weapons/Prefabs/f1_a010.prefab		10459		桃花弓19
830	Player/Doodads/weapons/Prefabs/f1_a011.prefab		10460		桃花弓20
831		Player/Doodads/weapons/Prefabs/m1_l012.prefab		10461	逍遥枪11
832		Player/Doodads/weapons/Prefabs/m1_l003.prefab		10462	逍遥枪12
833		Player/Doodads/weapons/Prefabs/m1_l005.prefab		10463	逍遥枪13
834		Player/Doodads/weapons/Prefabs/m1_l007.prefab		10464	逍遥枪14
835		Player/Doodads/weapons/Prefabs/m1_l006.prefab		10465	逍遥枪15
836		Player/Doodads/weapons/Prefabs/m1_l004.prefab		10466	逍遥枪16
837		Player/Doodads/weapons/Prefabs/m1_l008.prefab		10467	逍遥枪17
838		Player/Doodads/weapons/Prefabs/m1_l009.prefab		10468	逍遥枪18
839		Player/Doodads/weapons/Prefabs/m1_l010.prefab		10469	逍遥枪19
840		Player/Doodads/weapons/Prefabs/m1_l011.prefab		10470	逍遥枪20
841	Player/Doodads/weapons/Prefabs/m3_s012_L.prefab	Player/Doodads/weapons/Prefabs/m3_s012_R.prefab	10471	10471	武当剑11
842	Player/Doodads/weapons/Prefabs/m3_s007_L.prefab	Player/Doodads/weapons/Prefabs/m3_s007_R.prefab	10472	10472	武当剑12
843	Player/Doodads/weapons/Prefabs/m3_s003_L.prefab	Player/Doodads/weapons/Prefabs/m3_s003_R.prefab	10473	10473	武当剑13
844	Player/Doodads/weapons/Prefabs/m3_s004_L.prefab	Player/Doodads/weapons/Prefabs/m3_s004_R.prefab	10474	10474	武当剑14
845	Player/Doodads/weapons/Prefabs/m3_s005_L.prefab	Player/Doodads/weapons/Prefabs/m3_s005_R.prefab	10475	10475	武当剑15
846	Player/Doodads/weapons/Prefabs/m3_s002_L.prefab	Player/Doodads/weapons/Prefabs/m3_s002_R.prefab	10476	10476	武当剑16
847	Player/Doodads/weapons/Prefabs/m3_s008_L.prefab	Player/Doodads/weapons/Prefabs/m3_s008_R.prefab	10477	10477	武当剑17
848	Player/Doodads/weapons/Prefabs/m3_s009_L.prefab	Player/Doodads/weapons/Prefabs/m3_s009_R.prefab	10478	10478	武当剑18
849	Player/Doodads/weapons/Prefabs/m3_s010_L.prefab	Player/Doodads/weapons/Prefabs/m3_s010_R.prefab	10479	10479	武当剑19
850	Player/Doodads/weapons/Prefabs/m3_s011_L.prefab	Player/Doodads/weapons/Prefabs/m3_s011_R.prefab	10480	10480	武当剑20
851	Player/Doodads/weapons/Prefabs/f3_d012_l.prefab	Player/Doodads/weapons/Prefabs/f3_d012_r.prefab	10481	10481	天忍刺11
852	Player/Doodads/weapons/Prefabs/f3_d002_l.prefab	Player/Doodads/weapons/Prefabs/f3_d002_r.prefab	10482	10482	天忍刺12
853	Player/Doodads/weapons/Prefabs/f3_d006_l.prefab	Player/Doodads/weapons/Prefabs/f3_d006_r.prefab	10483	10483	天忍刺13
