ResId	ResFile	ResFile2	Desc
1301	Effect/Prefabs/JueSe/FM/CJ_WQ_01.prefab	Effect/Prefabs/JueSe/FM/CJ_WQ_01.prefab	藏剑武器发光1级
1302	Effect/Prefabs/JueSe/FM/CJ_WQ_02.prefab	Effect/Prefabs/JueSe/FM/CJ_WQ_02.prefab	藏剑武器发光2级
1303	Effect/Prefabs/JueSe/FM/CJ_WQ_03.prefab	Effect/Prefabs/JueSe/FM/CJ_WQ_03.prefab	藏剑武器发光3级
1304	Effect/Prefabs/JueSe/FM/CJ_WQ_04.prefab	Effect/Prefabs/JueSe/FM/CJ_WQ_04.prefab	藏剑武器发光4级
1305	Effect/Prefabs/JueSe/FM/CJ_WQ_05.prefab	Effect/Prefabs/JueSe/FM/CJ_WQ_05.prefab	藏剑武器发光5级
1401		Effect/Prefabs/JueSe/FM/CG_WQ_01.prefab	长歌武器发光1级
1402		Effect/Prefabs/JueSe/FM/CG_WQ_02.prefab	长歌武器发光2级
1403		Effect/Prefabs/JueSe/FM/CG_WQ_03.prefab	长歌武器发光3级
1404		Effect/Prefabs/JueSe/FM/CG_WQ_04.prefab	长歌武器发光4级
1405		Effect/Prefabs/JueSe/FM/CG_WQ_05.prefab	长歌武器发光5级
