EquipItem	WaiYiItem	Cost	TimeOut	Desc
5978	5895			【昆侖】浮光·夢緣
5979	5899			【丐幫】浮光·夢緣
5980	5903			【五毒】浮光·夢蝶
5981	5907			【藏劍】浮光·夢緣
5982	5911			【長歌】浮光·夢緣
3569	3568		15552000	藝趣·盛典華服
3645	3568		604800	藝趣·盛典華服（7天）
4745	4743		259200	周年慶典華服·3天
4891	4892			周年慶典華服
3895	3896		604800	江湖俠少裝(7天)
4493	2516		259200	T1時裝·3天
4494	2516		604800	T1時裝·7天
4495	2516		2592000	T1時裝·30天
4496	4481		259200	T2時裝·3天
4497	4481		604800	T2時裝·7天
4498	4481		2592000	T2時裝·30天
4499	4484		259200	T3時裝·3天
4500	4484		604800	T3時裝·7天
4501	4484		2592000	T3時裝·30天
4502	4487		259200	T4時裝·3天
4503	4487		604800	T4時裝·7天
4504	4487		2592000	T4時裝·30天
4505	4490		259200	T5時裝·3天
4506	4490		604800	T5時裝·7天
4507	4490		2592000	T5時裝·30天
4760	4772		5184000	【天王】T6時裝·60天
4761	4773		5184000	【峨眉】T6時裝·60天
4762	4774		5184000	【桃花】T6時裝·60天
4763	4775		5184000	【逍遙】T6時裝·60天
4764	4776		5184000	【武當】T6時裝·60天
4765	4777		5184000	【天忍】T6時裝·60天
4766	4778		5184000	【少林】T6時裝·60天
4767	4779		5184000	【翠煙】T6時裝·60天
4768	4780		5184000	【唐門】T6時裝·60天
4769	4781		5184000	【昆侖】T6時裝·60天
4770	4782		5184000	【丐幫】T6時裝·60天
4771	4783		5184000	【五毒】T6時裝·60天
1	3249	300000		T1武器
2	3250	300000		T2武器
3	3251	300000		T3武器
4	3252	300000		T4武器
5	3253	300000		T5武器
6	3254	300000		T6武器
7	3255	300000		T7武器
8	3256	300000		T8武器
9	3257	300000		T9武器
10	3258	300000		T10武器
4901	5311	300000		T11武器
101	3249	300000		T1【稀有】武器
102	3250	300000		T2【稀有】武器
103	3251	300000		T3【稀有】武器
104	3252	300000		T4【稀有】武器
105	3253	300000		T5【稀有】武器
106	3254	300000		T6【稀有】武器
107	3255	300000		T7【稀有】武器
108	3256	300000		T8【稀有】武器
109	3257	300000		T9【稀有】武器
110	3258	300000		T10【稀有】武器
5001	5311	300000		T11【稀有】武器
1530	3249	300000		T1【傳承】武器
1531	3250	300000		T2【傳承】武器
1532	3251	300000		T3【傳承】武器
1533	3252	300000		T4【傳承】武器
1534	3253	300000		T5【傳承】武器
1535	3254	300000		T6【傳承】武器
1536	3255	300000		T7【傳承】武器
1537	3256	300000		T8【傳承】武器
3599	3257	300000		T9【傳承】武器
3600	3258	300000		T10【傳承】武器
5101	5311	300000		T11【傳承】武器
1246	3249	300000		T1武器（訂製）
4738	4735		2592000	寒霜（外裝30天）
4739	4736		2592000	寒霜倩影（外裝30天）
4740	4737		2592000	小黑（外裝30天）
4863	4865		31536000	紫幽靈鹿（外裝1年）
4864	4866		31536000	雲魅靈鹿（外裝1年）
4869	4868		31536000	星芒·雲魅靈鹿（外裝1年）
4746	3933			【天王】流星水果錘
4747	4381			【峨眉】薔薇風霜劍
4748	4385			【桃花】晴天落花弓
4749	4389			【逍遙】飛天流彗槍
4750	4393			【武當】太岳金桔劍
4751	4397			【天忍】破月春花刺
4752	4401			【少林】扶風破夢杖
4753	4405			【翠煙】夢幻芙蕖枝
4754	4409			【唐門】神弩木生花
4755	4413			【昆侖】桃花笑春風
4756	4417			【丐幫】翠玉青竹杖
4757	4421			【五毒】苗疆朝顏笛
6206	5351			【藏劍】冷杉翠芽枝
6207	5355			【長歌】搖曳百合束
