Index	Name	AttribID	AttackSpeed	MaxLife	FightPower	Miss	HitRate	MinBaseAttack	MaxBaseAttack	WoodDamage	WaterDamage	FireDamage	EarthDamage	WoodResist	WaterResist	FireResist	EarthResist	DeadlyStrike	MetalDamage	MetalResist	SeriesDamageValue
Team_dadao_15s	大盗	52	15	{10,30000},{20,80000},{30,200000},{40,350000}	0	0	{10,1000},{100,2800},{150,7000}	{10,30},{20,120*2},  {30,250*2},    {40,400*2}	{10,30},{20,120*2},  {30,250*2},    {40,400*2}	0	0	0	0	0	0	0	0	{1,50},{10,100},{50,150},{70,200},{110,800}			
Team_dadao_20s	大盗	53	15	{10,40000},{20,100000},{30,250000},{40,400000}	0	0	{10,1000},{100,2800},{150,7000}	{10,30},{20,120*2},  {30,250*2},    {40,400*2}	{10,30},{20,120*2},  {30,250*2},    {40,400*2}	0	0	0	0	0	0	0	0	{1,200},{10,250},{50,350},{70,400},{110,1600}			
Kin_Theif	家族盗贼	61	15	{10,40000},{20,80000*1.3},{30,150000*1.3},{40,250000*1.3}	0	0	{10,1000},{100,2800},{150,7000}	{10,30},{20,120*2},  {30,250*2},    {40,400*2}	{10,30},{20,120*2},  {30,250*2},    {40,400*2}	0	0	0	0	0	0	0	0	{1,50},{10,100},{50,150},{70,200},{110,800}			
Kin_Tasknpc	家族任务NPC	62	15	{10,27500},{20,80000},{30,110000},{40,160000}	0	0	{10,1000},{100,2800},{150,7000}	{10,30},{20,120*2},  {30,250*2},    {40,400*2}	{10,30},{20,120*2},  {30,250*2},    {40,400*2}	0	0	0	0	0	0	0	0	{1,50},{10,100},{50,150},{70,200},{110,800}			
newrole_boss	新人秘境BOSS	91	15	{1,84000},{10,320000}	0	0	{10,1000},{100,2800},{150,7000}	{1,6},{2,7},{3,12},{4,14},{5,18},{6,24},{7,36},{8,42},{9,48},{10,54},{30,120},{40,180}	{1,6},{2,7},{3,12},{4,14},{5,18},{6,24},{7,36},{8,42},{9,48},{10,54},{30,120},{40,180}	0	0	0	0	0	0	0	0	{1,50},{10,100},{50,150},{70,200},{110,800}			
newrole_normal	新人秘境普通	92	15	{1,6800},{10,24800}	0	0	{10,1000},{100,2800},{150,7000}	{1,5},{2,6},{3,10},{4,12},{5,15},{6,20},{7,30},{8,35},{9,40},{10,45},{30,100},{40,150}	{1,5},{2,6},{3,10},{4,12},{5,15},{6,20},{7,30},{8,35},{9,40},{10,45},{30,100},{40,150}	0	0	0	0	0	0	0	0	{1,50},{10,100},{50,150},{70,200},{110,800}			
newrole_jy	新人秘境精英	93	15	{1,10200},{10,37200}	0	0	{10,1000},{100,2800},{150,7000}	{1,5},{2,6},{3,10},{4,12},{5,15},{6,20},{7,30},{8,35},{9,40},{10,45},{30,100},{40,150}	{1,5},{2,6},{3,10},{4,12},{5,15},{6,20},{7,30},{8,35},{9,40},{10,45},{30,100},{40,150}	0	0	0	0	0	0	0	0	{1,50},{10,100},{50,150},{70,200},{110,800}			
	木桩	100	15	{10,100000},{100,1000000}	0																
		101	15	10	0																
muzhuang_gold	金系木桩	111	15	{5,320*0.5},{10,650*0.5},{20,2500*0.5},{30,3500*0.5},{40,6000*0.5},{50,9000*0.5},{60,13500*0.5},{70,20000*0.5},{80,30000*0.5},{100,60000*0.5},{110,75000*0.5}										1000	200	0	200			200	1000
muzhuang_wood	木系木桩	112	15	{5,320*0.5},{10,650*0.5},{20,2500*0.5},{30,3500*0.5},{40,6000*0.5},{50,9000*0.5},{60,13500*0.5},{70,20000*0.5},{80,30000*0.5},{100,60000*0.5},{110,75000*0.5}										200	200	200	1000			0	1000
muzhuang_water	水系木桩	113	15	{5,320*0.5},{10,650*0.5},{20,2500*0.5},{30,3500*0.5},{40,6000*0.5},{50,9000*0.5},{60,13500*0.5},{70,20000*0.5},{80,30000*0.5},{100,60000*0.5},{110,75000*0.5}										200	200	1000	0			200	1000
muzhuang_fire	火系木桩	114	15	{5,320*0.5},{10,650*0.5},{20,2500*0.5},{30,3500*0.5},{40,6000*0.5},{50,9000*0.5},{60,13500*0.5},{70,20000*0.5},{80,30000*0.5},{100,60000*0.5},{110,75000*0.5}										200	0	200	200			1000	1000
muzhuang_earth	土系木桩	115	15	{5,320*0.5},{10,650*0.5},{20,2500*0.5},{30,3500*0.5},{40,6000*0.5},{50,9000*0.5},{60,13500*0.5},{70,20000*0.5},{80,30000*0.5},{100,60000*0.5},{110,75000*0.5}										0	1000	200	200			200	1000
act_shouwei_gold	守卫名侠-金系怪	151	15	{10,700*2.4},  {14,1500*2.4},  {20,3000*2.4},  {30,8000*2.4},  {40,10000*2.4},  {100,100000*2.4},  {110,120000*2.4}			{10,1000},{100,2800},{150,7000}	100	100					{10,500},{20,1000},{30,1500},{40,1900},{50,2400},{60,2800},{70,3300},{80,3800},{90,4250},{100,4700}	{10,500*0.7},{20,1000*0.7},{30,1500*0.7},{40,1900*0.7},{50,2400*0.7},{60,2800*0.7},{70,3300*0.7},{80,3800*0.7},{90,4250*0.7},{100,4700*0.7}	0	{10,500*0.7},{20,1000*0.7},{30,1500*0.7},{40,1900*0.7},{50,2400*0.7},{60,2800*0.7},{70,3300*0.7},{80,3800*0.7},{90,4250*0.7},{100,4700*0.7}			{10,500*0.7},{20,1000*0.7},{30,1500*0.7},{40,1900*0.7},{50,2400*0.7},{60,2800*0.7},{70,3300*0.7},{80,3800*0.7},{90,4250*0.7},{100,4700*0.7}	1000
act_shouwei_wood	守卫名侠-木系怪	152	15	{10,700*2.4},  {14,1500*2.4},  {20,3000*2.4},  {30,8000*2.4},  {40,10000*2.4},  {100,100000*2.4},  {110,120000*2.4}			{10,1000},{100,2800},{150,7000}	100	100					{10,500*0.7},{20,1000*0.7},{30,1500*0.7},{40,1900*0.7},{50,2400*0.7},{60,2800*0.7},{70,3300*0.7},{80,3800*0.7},{90,4250*0.7},{100,4700*0.7}	{10,500*0.7},{20,1000*0.7},{30,1500*0.7},{40,1900*0.7},{50,2400*0.7},{60,2800*0.7},{70,3300*0.7},{80,3800*0.7},{90,4250*0.7},{100,4700*0.7}	{10,500*0.7},{20,1000*0.7},{30,1500*0.7},{40,1900*0.7},{50,2400*0.7},{60,2800*0.7},{70,3300*0.7},{80,3800*0.7},{90,4250*0.7},{100,4700*0.7}	{10,500},{20,1000},{30,1500},{40,1900},{50,2400},{60,2800},{70,3300},{80,3800},{90,4250},{100,4700}			0	1000
act_shouwei_water	守卫名侠-水系怪	153	15	{10,700*2.4},  {14,1500*2.4},  {20,3000*2.4},  {30,8000*2.4},  {40,10000*2.4},  {100,100000*2.4},  {110,120000*2.4}			{10,1000},{100,2800},{150,7000}	100	100					{10,500*0.7},{20,1000*0.7},{30,1500*0.7},{40,1900*0.7},{50,2400*0.7},{60,2800*0.7},{70,3300*0.7},{80,3800*0.7},{90,4250*0.7},{100,4700*0.7}	{10,500*0.7},{20,1000*0.7},{30,1500*0.7},{40,1900*0.7},{50,2400*0.7},{60,2800*0.7},{70,3300*0.7},{80,3800*0.7},{90,4250*0.7},{100,4700*0.7}	{10,500},{20,1000},{30,1500},{40,1900},{50,2400},{60,2800},{70,3300},{80,3800},{90,4250},{100,4700}	0			{10,500*0.7},{20,1000*0.7},{30,1500*0.7},{40,1900*0.7},{50,2400*0.7},{60,2800*0.7},{70,3300*0.7},{80,3800*0.7},{90,4250*0.7},{100,4700*0.7}	1000
act_shouwei_fire	守卫名侠-火系怪	154	15	{10,700*2.4},  {14,1500*2.4},  {20,3000*2.4},  {30,8000*2.4},  {40,10000*2.4},  {100,100000*2.4},  {110,120000*2.4}			{10,1000},{100,2800},{150,7000}	100	100					{10,500*0.7},{20,1000*0.7},{30,1500*0.7},{40,1900*0.7},{50,2400*0.7},{60,2800*0.7},{70,3300*0.7},{80,3800*0.7},{90,4250*0.7},{100,4700*0.7}	0	{10,500*0.7},{20,1000*0.7},{30,1500*0.7},{40,1900*0.7},{50,2400*0.7},{60,2800*0.7},{70,3300*0.7},{80,3800*0.7},{90,4250*0.7},{100,4700*0.7}	{10,500*0.7},{20,1000*0.7},{30,1500*0.7},{40,1900*0.7},{50,2400*0.7},{60,2800*0.7},{70,3300*0.7},{80,3800*0.7},{90,4250*0.7},{100,4700*0.7}			{10,500},{20,1000},{30,1500},{40,1900},{50,2400},{60,2800},{70,3300},{80,3800},{90,4250},{100,4700}	1000
act_shouwei_earth	守卫名侠-土系怪	155	15	{10,700*2.4},  {14,1500*2.4},  {20,3000*2.4},  {30,8000*2.4},  {40,10000*2.4},  {100,100000*2.4},  {110,120000*2.4}			{10,1000},{100,2800},{150,7000}	100	100					0	{10,500},{20,1000},{30,1500},{40,1900},{50,2400},{60,2800},{70,3300},{80,3800},{90,4250},{100,4700}	{10,500*0.7},{20,1000*0.7},{30,1500*0.7},{40,1900*0.7},{50,2400*0.7},{60,2800*0.7},{70,3300*0.7},{80,3800*0.7},{90,4250*0.7},{100,4700*0.7}	{10,500*0.7},{20,1000*0.7},{30,1500*0.7},{40,1900*0.7},{50,2400*0.7},{60,2800*0.7},{70,3300*0.7},{80,3800*0.7},{90,4250*0.7},{100,4700*0.7}			{10,500*0.7},{20,1000*0.7},{30,1500*0.7},{40,1900*0.7},{50,2400*0.7},{60,2800*0.7},{70,3300*0.7},{80,3800*0.7},{90,4250*0.7},{100,4700*0.7}	1000
act_mingxia_gold	守卫名侠-金系名侠	156	15	{20,3000*33},{30,4000*33},{40,5000*33},{50,10000*33},{60,15000*33},{70,25000*33},{80,35000*33},{90,55000*33},{100,60000*33},{110,75000*33}	0		{10,1000},{100,2800},{150,7000}	{20,1000},      {30,1800},      {40,2500},      {50,3500},    {60,4800},    {70,6500},    {80,9300},    {90,12000},    {100,14000},    {110,17000}	{20,1000},      {30,1800},      {40,2500},      {50,3500},    {60,4800},    {70,6500},    {80,9300},    {90,12000},    {100,14000},    {110,17000}	0	0	0	0	{10,100},{30,150},{40,200},{50,250},{60,300},{70,350},{80,400}	{10,100},{30,150},{40,200},{50,250},{60,300},{70,350},{80,400}	{10,100},{30,150},{40,200},{50,250},{60,300},{70,350},{80,400}	{10,100},{30,150},{40,200},{50,250},{60,300},{70,350},{80,400}	{1,50},{10,100},{50,150},{70,200},{110,800}			
act_mingxia_wood	守卫名侠-木系名侠	157	15	{20,3000*33},{30,4000*33},{40,5000*33},{50,10000*33},{60,15000*33},{70,25000*33},{80,35000*33},{90,55000*33},{100,60000*33},{110,75000*33}	0		{10,1000},{100,2800},{150,7000}	{20,1000},      {30,1800},      {40,2500},      {50,3500},    {60,4800},    {70,6500},    {80,9300},    {90,12000},    {100,14000},    {110,17000}	{20,1000},      {30,1800},      {40,2500},      {50,3500},    {60,4800},    {70,6500},    {80,9300},    {90,12000},    {100,14000},    {110,17000}	0	0	0	0	{10,100},{30,150},{40,200},{50,250},{60,300},{70,350},{80,400}	{10,100},{30,150},{40,200},{50,250},{60,300},{70,350},{80,400}	{10,100},{30,150},{40,200},{50,250},{60,300},{70,350},{80,400}	{10,100},{30,150},{40,200},{50,250},{60,300},{70,350},{80,400}	{1,50},{10,100},{50,150},{70,200},{110,800}			
act_mingxia_water	守卫名侠-水系名侠	158	15	{20,3000*33},{30,4000*33},{40,5000*33},{50,10000*33},{60,15000*33},{70,25000*33},{80,35000*33},{90,55000*33},{100,60000*33},{110,75000*33}	0		{10,1000},{100,2800},{150,7000}	{20,1000},      {30,1800},      {40,2500},      {50,3500},    {60,4800},    {70,6500},    {80,9300},    {90,12000},    {100,14000},    {110,17000}	{20,1000},      {30,1800},      {40,2500},      {50,3500},    {60,4800},    {70,6500},    {80,9300},    {90,12000},    {100,14000},    {110,17000}	0	0	0	0	{10,100},{30,150},{40,200},{50,250},{60,300},{70,350},{80,400}	{10,100},{30,150},{40,200},{50,250},{60,300},{70,350},{80,400}	{10,100},{30,150},{40,200},{50,250},{60,300},{70,350},{80,400}	{10,100},{30,150},{40,200},{50,250},{60,300},{70,350},{80,400}	{1,50},{10,100},{50,150},{70,200},{110,800}			
act_mingxia_fire	守卫名侠-火系名侠	159	15	{20,3000*33},{30,4000*33},{40,5000*33},{50,10000*33},{60,15000*33},{70,25000*33},{80,35000*33},{90,55000*33},{100,60000*33},{110,75000*33}	0		{10,1000},{100,2800},{150,7000}	{20,1000},      {30,1800},      {40,2500},      {50,3500},    {60,4800},    {70,6500},    {80,9300},    {90,12000},    {100,14000},    {110,17000}	{20,1000},      {30,1800},      {40,2500},      {50,3500},    {60,4800},    {70,6500},    {80,9300},    {90,12000},    {100,14000},    {110,17000}	0	0	0	0	{10,100},{30,150},{40,200},{50,250},{60,300},{70,350},{80,400}	{10,100},{30,150},{40,200},{50,250},{60,300},{70,350},{80,400}	{10,100},{30,150},{40,200},{50,250},{60,300},{70,350},{80,400}	{10,100},{30,150},{40,200},{50,250},{60,300},{70,350},{80,400}	{1,50},{10,100},{50,150},{70,200},{110,800}			
act_mingxia_earth	守卫名侠-土系名侠	160	15	{20,3000*33},{30,4000*33},{40,5000*33},{50,10000*33},{60,15000*33},{70,25000*33},{80,35000*33},{90,55000*33},{100,60000*33},{110,75000*33}	0		{10,1000},{100,2800},{150,7000}	{20,1000},      {30,1800},      {40,2500},      {50,3500},    {60,4800},    {70,6500},    {80,9300},    {90,12000},    {100,14000},    {110,17000}	{20,1000},      {30,1800},      {40,2500},      {50,3500},    {60,4800},    {70,6500},    {80,9300},    {90,12000},    {100,14000},    {110,17000}	0	0	0	0	{10,100},{30,150},{40,200},{50,250},{60,300},{70,350},{80,400}	{10,100},{30,150},{40,200},{50,250},{60,300},{70,350},{80,400}	{10,100},{30,150},{40,200},{50,250},{60,300},{70,350},{80,400}	{10,100},{30,150},{40,200},{50,250},{60,300},{70,350},{80,400}	{1,50},{10,100},{50,150},{70,200},{110,800}			
act_mingxia_zrm	守卫名侠-张如梦	161	15	50000	0		{10,1000},{100,2800},{150,7000}	{20,1000},      {30,1800},      {40,2500},      {50,3500},    {60,4800},    {70,6500},    {80,9300},    {90,12000},    {100,14000},    {110,17000}	{20,1000},      {30,1800},      {40,2500},      {50,3500},    {60,4800},    {70,6500},    {80,9300},    {90,12000},    {100,14000},    {110,17000}	0	0	0	0								
ArborDay_Enemy	植树节怪	162	15	{10,650*8},{20,5000*10},{30,12000*10},{40,28000*10},{50,40000*10},{60,60000*10},{70,80000*10},{80,160000*10},{90,270000*10},{100,350000*10},{110,450000*10}	0	0	{10,1000},{100,2800},{150,7000}	{10,5},{20,10},{30,40},{40,80},{50,200},{60,250},{70,350},{80,600},{110,1200}	{10,5},{20,10},{30,40},{40,80},{50,200},{60,250},{70,350},{80,600},{110,1200}	0	0	0	0	{10,100},{30,150},{40,200},{50,250},{60,300},{70,350},{80,400},{110,800}	{10,100},{30,150},{40,200},{50,250},{60,300},{70,350},{80,400},{110,800}	{10,100},{30,150},{40,200},{50,250},{60,300},{70,350},{80,400},{110,800}	{10,100},{30,150},{40,200},{50,250},{60,300},{70,350},{80,400},{110,800}	{1,50},{10,100},{50,150},{70,200},{110,800}			
Spokesperson_Enemy	代言人活动肉盾	163	15	{1,3000},{20,3000*33},{30,4000*33},{40,5000*33},{50,10000*33},{60,15000*33},{70,25000*33},{80,35000*33},{90,55000*33},{100,60000*33},{110,75000*33}	0		{10,1000},{100,2800},{150,7000}	{20,1000},      {30,1800},      {40,2500},      {50,3500},    {60,4800},    {70,6500},    {80,9300},    {90,12000},    {100,14000},    {110,17000}	{20,1000},      {30,1800},      {40,2500},      {50,3500},    {60,4800},    {70,6500},    {80,9300},    {90,12000},    {100,14000},    {110,17000}	0	0	0	0	{10,100},{30,150},{40,200},{50,250},{60,300},{70,350},{80,400}	{10,100},{30,150},{40,200},{50,250},{60,300},{70,350},{80,400}	{10,100},{30,150},{40,200},{50,250},{60,300},{70,350},{80,400}	{10,100},{30,150},{40,200},{50,250},{60,300},{70,350},{80,400}	{1,50},{10,100},{50,150},{70,200},{110,800}			
Personal_fb_normal	单人关卡普通	201	15	{1,150},{2,180},{3,200},{4,230},{5,320},{6,400},{7,450},{8,500},{9,560},{10,650},{20,2500},{30,3500},{40,6000},{50,9000},{60,13500},{70,20000},{80,30000},{100,60000},{110,75000}	0	0	{10,1000},{100,2800},{150,7000}	{1,3},{2,3},{3,4},{4,5},{5,8},{6,15},{7,20},{8,25},{9,35},{10,40},{20,80},{21,110},{30,190},{31,230},{40,380},{41,420},{50,600}	{1,3},{2,3},{3,4},{4,5},{5,8},{6,15},{7,20},{8,25},{9,35},{10,40},{20,80},{21,110},{30,190},{31,230},{40,380},{41,420},{50,600}	0	0	0	0	0	0	0	0	{1,50},{10,100},{50,150},{70,200},{110,800}			
Personal_fb_tiny	单人关卡弱	202	15	{1,150*0.5},{5,320*0.5},{10,650*0.5},{20,2500*0.5},{30,3500*0.5},{40,6000*0.5},{100,60000*0.5},{110,75000*0.5}	0	0	{10,1000},{100,2800},{150,7000}	{1,3*0.5},{10,40*0.5},{20,80*0.5},{30,130*0.5},{40,250*0.5},{50,350*0.5}	{1,3*0.5},{10,40*0.5},{20,80*0.5},{30,130*0.5},{40,250*0.5},{50,350*0.5}	0	0	0	0	0	0	0	0	{1,50},{10,100},{50,150},{70,200},{110,800}			
Personal_fb_elite	单人关卡精英	203	15	{1,400},{30,7600},{40,8000},{100,60000*1.3},{110,75000*1.3}	0	0	{10,1000},{100,2800},{150,7000}	{1,3},{2,3},{3,4},{4,5},{5,8},{6,15},{7,20},{8,25},{9,35},{10,40},{20,80},{21,110},{30,190},{31,230},{40,380},{41,420},{50,600}	{1,3},{2,3},{3,4},{4,5},{5,8},{6,15},{7,20},{8,25},{9,35},{10,40},{20,80},{21,110},{30,190},{31,230},{40,380},{41,420},{50,600}	0	0	0	0	0	0	0	0	{1,50},{10,100},{50,150},{70,200},{110,800}			
Personal_fb_captain	单人关卡首领	204	15	{1,800},{30,11400},{40,12000},{100,60000*2},{110,75000*2}	0	0	{10,1000},{100,2800},{150,7000}	{1,3},{2,3},{3,4},{4,5},{5,8},{6,15},{7,20},{8,25},{9,35},{10,40},{20,80},{21,110},{30,190},{31,230},{40,380},{41,420},{50,600}	{1,3},{2,3},{3,4},{4,5},{5,8},{6,15},{7,20},{8,25},{9,35},{10,40},{20,80},{21,110},{30,190},{31,230},{40,380},{41,420},{50,600}	0	0	0	0	0	0	0	0	{1,50},{10,100},{50,150},{70,200},{110,800}			
Personal_fb_boss	单人关卡BOSS	205	15	{1,1500},{2,1800},{3,2200},{4,2600},{5,4000},{6,7500},{7,8500},{8,9500},{9,12000},{10,14000},{15,20000},{20,36000},{30,56000},{40,76000},{100,60000*12},{110,75000*12}	0	0	{10,1000},{100,2800},{150,7000}	{1,3},{2,3},{3,4},{4,5},{5,12},{6,18},{7,30},{8,35},{9,50},{10,70},{15,110},{20,160},{21,110*2},{30,230*2},{31,196*2},{40,380*2},{41,420*2},{50,600*2}	{1,3},{2,3},{3,4},{4,5},{5,12},{6,18},{7,30},{8,35},{9,50},{10,70},{15,110},{20,160},{21,110*2},{30,230*2},{31,196*2},{40,380*2},{41,420*2},{50,600*2}	0	0	0	0	0	0	0	0	{1,50},{10,100},{50,150},{70,200},{110,800}			
Personal_fb_special	单人关卡萧动尘	206	15	{1,1500},{2,1800},{3,2200},{4,2600},{5,11000}	0	0	{10,1000},{100,2800},{150,7000}	{1,3},{2,3},{3,4},{4,5},{5,12},{6,18},{7,30},{8,35},{9,50},{10,70},{15,110},{20,160},{21,110*2},{30,230*2},{31,196*2},{40,380*2},{41,420*2},{50,600*2}	{1,3},{2,3},{3,4},{4,5},{5,12},{6,18},{7,30},{8,35},{9,50},{10,70},{15,110},{20,160},{21,110*2},{30,230*2},{31,196*2},{40,380*2},{41,420*2},{50,600*2}	0	0	0	0	0	0	0	0	{1,50},{10,100},{50,150},{70,200},{110,800}			
Guanka_Tiny	小怪	210	15	{1,150*0.5},{5,350*0.5},{10,900*0.5},{20,3500*0.5},{30,4000*0.5},{40,7000*0.5},{50,10000*0.5},{60,13500*0.5},{70,20000*0.5},{80,30000*0.5},{100,60000*0.5},{110,75000*0.5}	0	0	{10,1000},{100,2800},{150,7000}	{1,3},{5,8},{6,15},{7,18},{8,20},{9,25},{10,30},{20,40},{30,150},{40,350},{41,420},{50,600}	{1,3},{5,8},{6,15},{7,18},{8,20},{9,25},{10,30},{20,40},{30,150},{40,350},{41,420},{50,600}	0	0	0	0	0	0	0	0	{1,50},{10,100},{50,150},{70,200},{110,800}			
Guanka_Normal_1	怪物1	211	15	{1,180},{5,350},{10,900},{20,3500},{30,4000},{40,7000},{50,10000},{60,13500},{70,20000},{80,30000},{100,60000},{110,75000}	0	0	{10,1000},{100,2800},{150,7000}	{1,3},{5,8},{6,15},{7,18},{8,20},{9,25},{10,30},{20,40},{30,150},{40,350},{41,420},{50,600}	{1,3},{5,8},{6,15},{7,18},{8,20},{9,25},{10,30},{20,40},{30,150},{40,350},{41,420},{50,600}	0	0	0	0	0	0	0	0	{1,50},{10,100},{50,150},{70,200},{110,800}			
Guanka_Normal_2	怪物2	212	15	{1,180*1.5},{5,350*1.5},{10,900*1.5},{20,3500*1.5},{30,4000*1.5},{40,7000*1.5},{50,10000*1.5},{60,13500*1.5},{70,20000*1.5},{80,30000*1.5},{100,60000*1.5},{110,75000*1.5}	0	0	{10,1000},{100,2800},{150,7000}	{1,3},{5,8},{6,15},{7,18},{8,20},{9,25},{10,30},{20,40},{30,150},{40,350},{41,420},{50,600}	{1,3},{5,8},{6,15},{7,18},{8,20},{9,25},{10,30},{20,40},{30,150},{40,350},{41,420},{50,600}	0	0	0	0	0	0	0	0	{1,50},{10,100},{50,150},{70,200},{110,800}			
Guanka_Elite_1	精英1	213	15	{1,180*2.5},{5,350*2.5},{10,900*2.5},{20,3500*2.5},{30,4000*2.5},{40,7000*2.5},{50,10000*2.5},{60,13500*2.5},{70,20000*2.5},{80,30000*2.5},{100,60000*2.5},{110,75000*2.5}	0	0	{10,1000},{100,2800},{150,7000}	{1,3},{5,8},{6,15},{7,18},{8,20},{9,25},{10,30},{20,40},{30,150},{40,350},{41,420},{50,600}	{1,3},{5,8},{6,15},{7,18},{8,20},{9,25},{10,30},{20,40},{30,150},{40,350},{41,420},{50,600}	0	0	0	0	0	0	0	0	{1,50},{10,100},{50,150},{70,200},{110,800}			
Guanka_Elite_2	精英2	214	15	{1,180*5},{5,350*5},{10,900*5},{20,3500*5},{30,4000*5},{40,7000*5},{50,10000*5},{60,13500*5},{70,20000*5},{80,30000*5},{100,60000*5},{110,75000*5}	0	0	{10,1000},{100,2800},{150,7000}	{1,3},{5,8},{6,15},{7,18},{8,20},{9,25},{10,30},{20,40},{30,150},{40,350},{41,420},{50,600}	{1,3},{5,8},{6,15},{7,18},{8,20},{9,25},{10,30},{20,40},{30,150},{40,350},{41,420},{50,600}	0	0	0	0	0	0	0	0	{1,50},{10,100},{50,150},{70,200},{110,800}			
Guanka_Captain_1	首领1	215	15	{1,180*7.5},{5,350*7.5},{10,900*7.5},{20,3500*7.5},{30,4000*7.5},{40,7000*7.5},{50,10000*7.5},{60,13500*7.5},{70,20000*7.5},{80,30000*7.5},{100,60000*7.5},{110,75000*7.5}	0	0	{10,1000},{100,2800},{150,7000}	{1,3},{5,8},{6,15},{7,18},{8,20},{9,25},{10,30},{20,40},{30,150},{40,350},{41,420},{50,600}	{1,3},{5,8},{6,15},{7,18},{8,20},{9,25},{10,30},{20,40},{30,150},{40,350},{41,420},{50,600}	0	0	0	0	0	0	0	0	{1,50},{10,100},{50,150},{70,200},{110,800}			
Guanka_Captain_2	首领2	216	15	{1,180*10},{5,350*10},{10,900*10},{20,3500*10},{30,4000*10},{40,7000*10},{50,10000*10},{60,13500*10},{70,20000*10},{80,30000*10},{100,60000*10},{110,75000*10}	0	0	{10,1000},{100,2800},{150,7000}	{1,3},{5,8},{6,15},{7,18},{8,20},{9,25},{10,30},{20,40},{30,150},{40,350},{41,420},{50,600}	{1,3},{5,8},{6,15},{7,18},{8,20},{9,25},{10,30},{20,40},{30,150},{40,350},{41,420},{50,600}	0	0	0	0	0	0	0	0	{1,50},{10,100},{50,150},{70,200},{110,800}			
Guanka_Boss_1	boss1	217	15	{1,180*12},{5,350*12},{10,900*12},{20,3500*12},{30,4000*12},{40,7000*12},{50,10000*12},{60,13500*12},{70,20000*12},{80,30000*12},{100,60000*12},{110,75000*12}	0	0	{10,1000},{100,2800},{150,7000}	{1,3},{5,12},{6,18},{7,25},{8,30},{9,50},{10,60},{20,100},{30,150*2},{40,350*2},{41,420*2},{50,600*2}	{1,3},{5,12},{6,18},{7,25},{8,30},{9,50},{10,60},{20,100},{30,150*2},{40,350*2},{41,420*2},{50,600*2}	0	0	0	0	0	0	0	0	{1,50},{10,100},{50,150},{70,200},{110,800}			
