szType	nLevel	nPreferential	szParam	nLight	nCalendarId	bShowTicket	szIconAltas	szIconSprite	szName	szDesc	
ActShow	20	2	DaXueZhang;20:00-20:14		43		UI/Atlas/NewAtlas/Icon/ActivityIcon/ActivityIcon.prefab	daxuezhang	打雪仗	正在進行	szParam說明：第一個參數為活動Type，第二個參數為時間範圍，中間用";""隔開"
PreView	60	2	16:00-16:30		42		UI/Atlas/NewAtlas/Icon/ActivityIcon/ActivityIcon.prefab	xinmohuanjing	心魔幻境	下午16:25	
PreView	60	3	16:25-16:30	1	42		UI/Atlas/NewAtlas/Icon/ActivityIcon/ActivityIcon.prefab	xinmohuanjing	心魔幻境	正在報名	
PreView	60	2	20:00-20:31		42	1	UI/Atlas/NewAtlas/Icon/ActivityIcon/ActivityIcon.prefab	xinmohuanjing	心魔幻境	今晚20:26	
PreView	60	3	20:26-20:31	1	42	1	UI/Atlas/NewAtlas/Icon/ActivityIcon/ActivityIcon.prefab	xinmohuanjing	心魔幻境	正在報名	
PreView	60	2	22:05-22:30		42		UI/Atlas/NewAtlas/Icon/ActivityIcon/ActivityIcon.prefab	xinmohuanjing	心魔幻境	今晚22:25	
PreView	60	3	22:25-22:30	1	42		UI/Atlas/NewAtlas/Icon/ActivityIcon/ActivityIcon.prefab	xinmohuanjing	心魔幻境	正在報名	
PreView	24	2	16:00-16:30		46		UI/Atlas/NewAtlas/Icon/ActivityIcon/ActivityIcon.prefab	songjinzhanchang	宋金攻防戰	下午16:30	
PreView	24	3	16:30-16:35	1	46		UI/Atlas/NewAtlas/Icon/ActivityIcon/ActivityIcon.prefab	songjinzhanchang	宋金攻防戰	正在報名	
PreView	24	2	20:00-20:30		46		UI/Atlas/NewAtlas/Icon/ActivityIcon/ActivityIcon.prefab	songjinzhanchang	宋金攻防戰	今晚20:30	
PreView	24	3	20:30-20:35	1	46		UI/Atlas/NewAtlas/Icon/ActivityIcon/ActivityIcon.prefab	songjinzhanchang	宋金攻防戰	正在報名	
PreView	24	2	22:00-22:30		46		UI/Atlas/NewAtlas/Icon/ActivityIcon/ActivityIcon.prefab	songjinzhanchang	宋金攻防戰	今晚22:30	
PreView	24	3	22:30-22:35	1	46		UI/Atlas/NewAtlas/Icon/ActivityIcon/ActivityIcon.prefab	songjinzhanchang	宋金攻防戰	正在報名	
