nSectionIdx	nSubSectionIdx	nFubenIndex	szTitle		szUiTypeName	szUiAtlas	nNeedTaskId	nType	bFFHideUi	ExtPosition
4	3	20	福緣莊	和張如夢、獨孤劍一起擊敗路達及其手下	Fuben7_1	UI/Atlas/Fuben/FubenMap_03.prefab	1	1	1	
4	4	21	碧霞島	在碧霞島擊敗殺手和頭目採花賊，救下張琳心和何梅	Fuben8_3	UI/Atlas/Fuben/FubenMap_03.prefab	1	1	1	405|6100|10500|500|225
4	5	22	臨安城東	與張如夢戰鬥，張如夢剩餘30%血量時通過。觸發蒙面女子救走張如夢的劇情	Fuben4_1	UI/Atlas/Fuben/FubenMap_01.prefab	1	1	1	405|14550|14020|500|233
5	1	23	武夷派	清理武夷派中的五色教弟子，見到張林。	Fuben5_1	UI/Atlas/Fuben/FubenMap_01.prefab	1	1	1	488|3000|6300|500|246
5	2	24	武夷禁地	在武夷禁地擊敗五色教殺手及頭目，救下柳中原。	Fuben8_2	UI/Atlas/Fuben/FubenMap_03.prefab	1	1	1	489|3600|5550|500|253
5	3	25	臨安驛道	擊退重傷的南宮滅。	Fuben1_2	UI/Atlas/Fuben/FubenMap_01.prefab	1	1	1	490|7400|5500|500|264
5	4	26	暗影竹林	擊敗姚公子及其手下，抓住姚公子。其低於30%血量時非戰投降。	Fuben2_1	UI/Atlas/Fuben/FubenMap_01.prefab	1	1	1	493|5500|6400|500|280
5	5	27	幽暗地牢	擊敗監獄中的敵人，救下李三和天王右使楊湖。	Fuben5_3	UI/Atlas/Fuben/FubenMap_03.prefab	1	1	1	493|5500|6400|500|287
6	1	28	長安郊外	抓住華山弟子林對兒，其低於30%血量時非戰投降。	Fuben2_4	UI/Atlas/Fuben/FubenMap_01.prefab	1	1	1	491|2200|3750|500|296
6	2	29	華山派	在華山派擊敗林海及其走狗	Fuben1_1	UI/Atlas/Fuben/FubenMap_01.prefab	1	1	1	491|8050|7520|500|305
6	3	30	少林幽谷	與無相大師戰鬥，血量低於30%劇情展現其逃跑。	Fuben4_2	UI/Atlas/Fuben/FubenMap_01.prefab	1	1	1	406|9350|10850|500|317
6	4	31	古戰場	偽裝潛入金軍大營，劇情展現如何勸服陸文龍。	Fuben7_1	UI/Atlas/Fuben/FubenMap_03.prefab	1	1	1	479|2510|1040|500|334
6	5	32	蕭瑟戰場	與南宮滅戰鬥，血量低於25%時獨孤劍施展天魔解體大法擊殺南宮滅。	Fuben2_1	UI/Atlas/Fuben/FubenMap_01.prefab	1	1	1	
7	1	34	天山淒道	張琳心為救獨孤劍，獨自來到天山尋找雪蓮王	Fuben2_1	UI/Atlas/Fuben/FubenMap_03.prefab	1	1	1	
7	2	35	洞庭迷宮	獨孤劍通過洞庭迷宮	Fuben5_3	UI/Atlas/Fuben/FubenMap_01.prefab	1	1	1	411|4050|14300|500|372
7	3	36	天王校場	獨孤劍與楊瑛發現封玉書背叛天王幫的面目	Fuben2_4	UI/Atlas/Fuben/FubenMap_01.prefab	1	1	1	411|7660|9240|500|378
7	4	37	五色老巢	在方員外山莊大戰五色教	Fuben1_1	UI/Atlas/Fuben/FubenMap_01.prefab	1	1	1	411|5310|4820|500|387
7	5	38	三魔絕地	獨孤劍闖三魔陣	Fuben4_2	UI/Atlas/Fuben/FubenMap_03.prefab	1	1	1	411|14000|8770|500|392
7	6	39	悲泣荒穀	張如夢與南宮彩虹大戰劍門關	Fuben7_1	UI/Atlas/Fuben/FubenMap_01.prefab	1	1	1	411|14180|6970|500|399
7	7	40	鳳凰山	擊敗方勉	Fuben2_1	UI/Atlas/Fuben/FubenMap_01.prefab	1	1	1	411|13150|3550|500|408
8	1	41	狂風穀	通過地下廢墟來到狂沙鎮。	Fuben2_4	UI/Atlas/Fuben/FubenMap_01.prefab	1	1	1	
8	2	42	葬馬崗	調查鐵門寨事件初遇燕若雪，並一起擊敗葬馬崗山賊。	Fuben1_1	UI/Atlas/Fuben/FubenMap_01.prefab	1	1	1	
8	3	43	府衙密室	去府衙奪取官印以從上官豹處獲得玉圭。	Fuben4_2	UI/Atlas/Fuben/FubenMap_03.prefab	1	1	1	
8	4	44	風雪山莊	在這裡大戰趙升權，失敗。	Fuben7_1	UI/Atlas/Fuben/FubenMap_01.prefab	1	1	1	
8	5	45	唐門幽徑	在唐門開戰，擊敗唐瀟，但被門主唐離制服。	Fuben2_1	UI/Atlas/Fuben/FubenMap_01.prefab	1	1	1	
9	1	46	密洞洞天	掉進洞窟，開啟經脈	Fuben1000_1	UI/Atlas/Fuben/FubenMap_01.prefab	1	1	1	
9	2	47	密洞洞天	掉進洞窟，開啟經脈	Fuben1000_1	UI/Atlas/Fuben/FubenMap_01.prefab	1	1	1	
