GroupId	SaveId	Desc	Level	Attrib1Type	Attrib1Value1	Attrib1Value2	Attrib1Value3	Attrib2Type	Attrib2Value1	Attrib2Value2	Attrib2Value3	Attrib3Type	Attrib3Value1	Attrib3Value2	Attrib3Value3	Attrib4Type	Attrib4Value1	Attrib4Value2	Attrib4Value3	Attrib5Type	Attrib5Value1	Attrib5Value2	Attrib5Value3
3		头衔激活属性	11	lifemax_p	120			lifemax_v	8800			all_series_resist_v	300			defense_v	880			physical_damage_v	880		880
3		头衔激活属性	12	lifemax_p	130			lifemax_v	10400			all_series_resist_v	400			defense_v	1040			physical_damage_v	1040		1040
3		头衔激活属性	13	lifemax_p	150			lifemax_v	12000			all_series_resist_v	500			defense_v	1200			physical_damage_v	1200		1200
4		附魔·攻击1级	1	physical_damage_v	100		100	physics_potentialdamage_p	10														
4		附魔·攻击2级	2	physical_damage_v	200		200	physics_potentialdamage_p	20														
4		附魔·攻击3级	3	physical_damage_v	350		350	physics_potentialdamage_p	30														
10		黄金套装激活属性	1	lifemax_p	50																		
10		黄金套装激活属性	2	lifemax_p	50			physics_potentialdamage_p	40														
10		黄金套装激活属性	3	lifemax_p	50			physics_potentialdamage_p	40			add_allfaction	1										
101	1	同伴激活属性	1	physical_damage_v	40		40	lifemax_v	800														
102	2	同伴激活属性	1	vitality_v	40			energy_v	20														
103	3	同伴激活属性	1	lifemax_p	10																		
104	4	同伴激活属性	1	vitality_v	40																		
105	5	同伴激活属性	1	strength_v	40																		
106	6	同伴激活属性	1	lifemax_p	10																		
107	7	同伴激活属性	1	energy_v	40																		
108	8	同伴激活属性	1	strength_v	40			dexterity_v	20														
109	9	同伴激活属性	1	dexterity_v	40																		
110	10	同伴激活属性	1	add_seriesstate_time_v	30			add_seriesstate_rate_v	30														
111	11	同伴激活属性	1	recover_life_v	300	75																	
112	12	同伴激活属性	1	resist_allseriesstate_time_v	20																		
113	13	同伴激活属性	1	defense_v	15																		
114	14	同伴激活属性	1	attackrate_v	30																		
115	15	同伴激活属性	1	deadlystrike_v	15																		
116	16	同伴激活属性	1	deadlystrike_damage_p	20																		
117	17	同伴激活属性	1	meleedamagereturn_p	10			rangedamagereturn_p	10														
118	18	同伴激活属性	1	physical_damage_v	100		100	all_series_resist_v	25														
119	19	同伴激活属性	1	ignore_all_resist_v	100	50		ignore_defense_v	100														
120	20	同伴激活属性	1	physical_earthdamage_v	30																		
121	21	同伴激活属性	1	physical_waterdamage_v	30			physical_firedamage_v	30														
122	22	同伴激活属性	1	physical_wooddamage_v	30																		
123	23	同伴激活属性	1	lifemax_p	10																		
124	24	同伴激活属性	1	lifemax_p	10																		
125	25	同伴激活属性	1	lifemax_p	10																		
126	26	同伴激活属性	1	lifemax_p	10																		
127	27	同伴激活属性	1	lifemax_p	10																		
201		吃书-力量	1	strength_v	1																		
201		吃书-力量	2	strength_v	2																		
201		吃书-力量	3	strength_v	3																		
201		吃书-力量	4	strength_v	4																		
201		吃书-力量	5	strength_v	5																		
201		吃书-力量	6	strength_v	6																		
201		吃书-力量	7	strength_v	7																		
201		吃书-力量	8	strength_v	8																		
201		吃书-力量	9	strength_v	9																		
201		吃书-力量	10	strength_v	10																		
201		吃书-力量	11	strength_v	11																		
201		吃书-力量	12	strength_v	12																		
201		吃书-力量	13	strength_v	13																		
201		吃书-力量	14	strength_v	14																		
201		吃书-力量	15	strength_v	15																		
201		吃书-力量	16	strength_v	16																		
201		吃书-力量	17	strength_v	17																		
201		吃书-力量	18	strength_v	18																		
201		吃书-力量	19	strength_v	19																		
201		吃书-力量	20	strength_v	20																		
201		吃书-力量	21	strength_v	21																		
201		吃书-力量	22	strength_v	22																		
201		吃书-力量	23	strength_v	23																		
201		吃书-力量	24	strength_v	24																		
201		吃书-力量	25	strength_v	25																		
201		吃书-力量	26	strength_v	26																		
201		吃书-力量	27	strength_v	27																		
201		吃书-力量	28	strength_v	28																		
201		吃书-力量	29	strength_v	29																		
201		吃书-力量	30	strength_v	30																		
201		吃书-力量	31	strength_v	31																		
201		吃书-力量	32	strength_v	32																		
201		吃书-力量	33	strength_v	33																		
201		吃书-力量	34	strength_v	34																		
201		吃书-力量	35	strength_v	35																		
201		吃书-力量	36	strength_v	36																		
201		吃书-力量	37	strength_v	37																		
201		吃书-力量	38	strength_v	38																		
201		吃书-力量	39	strength_v	39																		
201		吃书-力量	40	strength_v	40																		
202		吃书-敏捷	1	dexterity_v	1																		
202		吃书-敏捷	2	dexterity_v	2																		
202		吃书-敏捷	3	dexterity_v	3																		
202		吃书-敏捷	4	dexterity_v	4																		
202		吃书-敏捷	5	dexterity_v	5																		
202		吃书-敏捷	6	dexterity_v	6																		
202		吃书-敏捷	7	dexterity_v	7																		
202		吃书-敏捷	8	dexterity_v	8																		
202		吃书-敏捷	9	dexterity_v	9																		
202		吃书-敏捷	10	dexterity_v	10																		
202		吃书-敏捷	11	dexterity_v	11																		
202		吃书-敏捷	12	dexterity_v	12																		
202		吃书-敏捷	13	dexterity_v	13																		
202		吃书-敏捷	14	dexterity_v	14																		
202		吃书-敏捷	15	dexterity_v	15																		
202		吃书-敏捷	16	dexterity_v	16																		
202		吃书-敏捷	17	dexterity_v	17																		
202		吃书-敏捷	18	dexterity_v	18																		
202		吃书-敏捷	19	dexterity_v	19																		
202		吃书-敏捷	20	dexterity_v	20																		
202		吃书-敏捷	21	dexterity_v	21																		
202		吃书-敏捷	22	dexterity_v	22																		
202		吃书-敏捷	23	dexterity_v	23																		
202		吃书-敏捷	24	dexterity_v	24																		
202		吃书-敏捷	25	dexterity_v	25																		
202		吃书-敏捷	26	dexterity_v	26																		
202		吃书-敏捷	27	dexterity_v	27																		
202		吃书-敏捷	28	dexterity_v	28																		
202		吃书-敏捷	29	dexterity_v	29																		
202		吃书-敏捷	30	dexterity_v	30																		
202		吃书-敏捷	31	dexterity_v	31																		
202		吃书-敏捷	32	dexterity_v	32																		
202		吃书-敏捷	33	dexterity_v	33																		
202		吃书-敏捷	34	dexterity_v	34																		
202		吃书-敏捷	35	dexterity_v	35																		
202		吃书-敏捷	36	dexterity_v	36																		
202		吃书-敏捷	37	dexterity_v	37																		
202		吃书-敏捷	38	dexterity_v	38																		
202		吃书-敏捷	39	dexterity_v	39																		
202		吃书-敏捷	40	dexterity_v	40																		
203		吃书-体质	1	vitality_v	1																		
203		吃书-体质	2	vitality_v	2																		
203		吃书-体质	3	vitality_v	3																		
203		吃书-体质	4	vitality_v	4																		
203		吃书-体质	5	vitality_v	5																		
203		吃书-体质	6	vitality_v	6																		
203		吃书-体质	7	vitality_v	7																		
203		吃书-体质	8	vitality_v	8																		
203		吃书-体质	9	vitality_v	9																		
203		吃书-体质	10	vitality_v	10																		
203		吃书-体质	11	vitality_v	11																		
203		吃书-体质	12	vitality_v	12																		
203		吃书-体质	13	vitality_v	13																		
203		吃书-体质	14	vitality_v	14																		
203		吃书-体质	15	vitality_v	15																		
203		吃书-体质	16	vitality_v	16																		
203		吃书-体质	17	vitality_v	17																		
203		吃书-体质	18	vitality_v	18																		
203		吃书-体质	19	vitality_v	19																		
203		吃书-体质	20	vitality_v	20																		
203		吃书-体质	21	vitality_v	21																		
203		吃书-体质	22	vitality_v	22																		
203		吃书-体质	23	vitality_v	23																		
203		吃书-体质	24	vitality_v	24																		
203		吃书-体质	25	vitality_v	25																		
203		吃书-体质	26	vitality_v	26																		
203		吃书-体质	27	vitality_v	27																		
203		吃书-体质	28	vitality_v	28																		
203		吃书-体质	29	vitality_v	29																		
203		吃书-体质	30	vitality_v	30																		
203		吃书-体质	31	vitality_v	31																		
203		吃书-体质	32	vitality_v	32																		
203		吃书-体质	33	vitality_v	33																		
203		吃书-体质	34	vitality_v	34																		
203		吃书-体质	35	vitality_v	35																		
203		吃书-体质	36	vitality_v	36																		
203		吃书-体质	37	vitality_v	37																		
203		吃书-体质	38	vitality_v	38																		
203		吃书-体质	39	vitality_v	39																		
203		吃书-体质	40	vitality_v	40																		
204		吃书-技巧	1	energy_v	1																		
204		吃书-技巧	2	energy_v	2																		
204		吃书-技巧	3	energy_v	3																		
204		吃书-技巧	4	energy_v	4																		
204		吃书-技巧	5	energy_v	5																		
204		吃书-技巧	6	energy_v	6																		
204		吃书-技巧	7	energy_v	7																		
204		吃书-技巧	8	energy_v	8																		
204		吃书-技巧	9	energy_v	9																		
204		吃书-技巧	10	energy_v	10																		
204		吃书-技巧	11	energy_v	11																		
204		吃书-技巧	12	energy_v	12																		
204		吃书-技巧	13	energy_v	13																		
204		吃书-技巧	14	energy_v	14																		
204		吃书-技巧	15	energy_v	15																		
204		吃书-技巧	16	energy_v	16																		
204		吃书-技巧	17	energy_v	17																		
204		吃书-技巧	18	energy_v	18																		
204		吃书-技巧	19	energy_v	19																		
204		吃书-技巧	20	energy_v	20																		
204		吃书-技巧	21	energy_v	21																		
204		吃书-技巧	22	energy_v	22																		
204		吃书-技巧	23	energy_v	23																		
204		吃书-技巧	24	energy_v	24																		
204		吃书-技巧	25	energy_v	25																		
204		吃书-技巧	26	energy_v	26																		
204		吃书-技巧	27	energy_v	27																		
204		吃书-技巧	28	energy_v	28																		
204		吃书-技巧	29	energy_v	29																		
204		吃书-技巧	30	energy_v	30																		
204		吃书-技巧	31	energy_v	31																		
204		吃书-技巧	32	energy_v	32																		
204		吃书-技巧	33	energy_v	33																		
204		吃书-技巧	34	energy_v	34																		
204		吃书-技巧	35	energy_v	35																		
204		吃书-技巧	36	energy_v	36																		
204		吃书-技巧	37	energy_v	37																		
204		吃书-技巧	38	energy_v	38																		
204		吃书-技巧	39	energy_v	39																		
204		吃书-技巧	40	energy_v	40																		
1001		任脉穴位主角属性1	1	lifemax_v	100																		
1001		任脉穴位主角属性1	2	lifemax_v	358																		
1001		任脉穴位主角属性1	3	lifemax_v	616																		
1001		任脉穴位主角属性1	4	lifemax_v	874																		
1001		任脉穴位主角属性1	5	lifemax_v	1132																		
1001		任脉穴位主角属性1	6	lifemax_v	1390																		
1001		任脉穴位主角属性1	7	lifemax_v	1648																		
1001		任脉穴位主角属性1	8	lifemax_v	1906																		
1001		任脉穴位主角属性1	9	lifemax_v	2164																		
1001		任脉穴位主角属性1	10	lifemax_v	2422																		
1001		任脉穴位主角属性1	11	lifemax_v	2680																		
1001		任脉穴位主角属性1	12	lifemax_v	2938																		
1001		任脉穴位主角属性1	13	lifemax_v	3196																		
1001		任脉穴位主角属性1	14	lifemax_v	3454																		
1001		任脉穴位主角属性1	15	lifemax_v	3712																		
1001		任脉穴位主角属性1	16	lifemax_v	3970																		
1001		任脉穴位主角属性1	17	lifemax_v	4228																		
1001		任脉穴位主角属性1	18	lifemax_v	4486																		
1001		任脉穴位主角属性1	19	lifemax_v	4744																		
1001		任脉穴位主角属性1	20	lifemax_v	5000																		
1002		任脉穴位主角属性2	1	metal_resist_v	10																		
1002		任脉穴位主角属性2	2	metal_resist_v	19																		
1002		任脉穴位主角属性2	3	metal_resist_v	28																		
1002		任脉穴位主角属性2	4	metal_resist_v	37																		
1002		任脉穴位主角属性2	5	metal_resist_v	46																		
1002		任脉穴位主角属性2	6	metal_resist_v	55																		
1002		任脉穴位主角属性2	7	metal_resist_v	64																		
1002		任脉穴位主角属性2	8	metal_resist_v	73																		
1002		任脉穴位主角属性2	9	metal_resist_v	82																		
1002		任脉穴位主角属性2	10	metal_resist_v	91																		
1002		任脉穴位主角属性2	11	metal_resist_v	100																		
1002		任脉穴位主角属性2	12	metal_resist_v	109																		
1002		任脉穴位主角属性2	13	metal_resist_v	118																		
1002		任脉穴位主角属性2	14	metal_resist_v	127																		
1002		任脉穴位主角属性2	15	metal_resist_v	136																		
1002		任脉穴位主角属性2	16	metal_resist_v	145																		
1002		任脉穴位主角属性2	17	metal_resist_v	154																		
1002		任脉穴位主角属性2	18	metal_resist_v	163																		
1002		任脉穴位主角属性2	19	metal_resist_v	172																		
1002		任脉穴位主角属性2	20	metal_resist_v	180																		
1003		任脉穴位主角属性3	1	wood_resist_v	10																		
1003		任脉穴位主角属性3	2	wood_resist_v	19																		
1003		任脉穴位主角属性3	3	wood_resist_v	28																		
1003		任脉穴位主角属性3	4	wood_resist_v	37																		
1003		任脉穴位主角属性3	5	wood_resist_v	46																		
1003		任脉穴位主角属性3	6	wood_resist_v	55																		
1003		任脉穴位主角属性3	7	wood_resist_v	64																		
1003		任脉穴位主角属性3	8	wood_resist_v	73																		
1003		任脉穴位主角属性3	9	wood_resist_v	82																		
1003		任脉穴位主角属性3	10	wood_resist_v	91																		
1003		任脉穴位主角属性3	11	wood_resist_v	100																		
1003		任脉穴位主角属性3	12	wood_resist_v	109																		
1003		任脉穴位主角属性3	13	wood_resist_v	118																		
1003		任脉穴位主角属性3	14	wood_resist_v	127																		
1003		任脉穴位主角属性3	15	wood_resist_v	136																		
1003		任脉穴位主角属性3	16	wood_resist_v	145																		
1003		任脉穴位主角属性3	17	wood_resist_v	154																		
1003		任脉穴位主角属性3	18	wood_resist_v	163																		
1003		任脉穴位主角属性3	19	wood_resist_v	172																		
1003		任脉穴位主角属性3	20	wood_resist_v	180																		
1004		任脉穴位主角属性4	1	water_resist_v	10																		
1004		任脉穴位主角属性4	2	water_resist_v	19																		
1004		任脉穴位主角属性4	3	water_resist_v	28																		
1004		任脉穴位主角属性4	4	water_resist_v	37																		
1004		任脉穴位主角属性4	5	water_resist_v	46																		
1004		任脉穴位主角属性4	6	water_resist_v	55																		
1004		任脉穴位主角属性4	7	water_resist_v	64																		
1004		任脉穴位主角属性4	8	water_resist_v	73																		
1004		任脉穴位主角属性4	9	water_resist_v	82																		
1004		任脉穴位主角属性4	10	water_resist_v	91																		
1004		任脉穴位主角属性4	11	water_resist_v	100																		
1004		任脉穴位主角属性4	12	water_resist_v	109																		
1004		任脉穴位主角属性4	13	water_resist_v	118																		
1004		任脉穴位主角属性4	14	water_resist_v	127																		
1004		任脉穴位主角属性4	15	water_resist_v	136																		
1004		任脉穴位主角属性4	16	water_resist_v	145																		
1004		任脉穴位主角属性4	17	water_resist_v	154																		
1004		任脉穴位主角属性4	18	water_resist_v	163																		
1004		任脉穴位主角属性4	19	water_resist_v	172																		
1004		任脉穴位主角属性4	20	water_resist_v	180																		
1005		任脉穴位主角属性5	1	fire_resist_v	10																		
1005		任脉穴位主角属性5	2	fire_resist_v	19																		
1005		任脉穴位主角属性5	3	fire_resist_v	28																		
1005		任脉穴位主角属性5	4	fire_resist_v	37																		
1005		任脉穴位主角属性5	5	fire_resist_v	46																		
1005		任脉穴位主角属性5	6	fire_resist_v	55																		
1005		任脉穴位主角属性5	7	fire_resist_v	64																		
1005		任脉穴位主角属性5	8	fire_resist_v	73																		
1005		任脉穴位主角属性5	9	fire_resist_v	82																		
1005		任脉穴位主角属性5	10	fire_resist_v	91																		
1005		任脉穴位主角属性5	11	fire_resist_v	100																		
1005		任脉穴位主角属性5	12	fire_resist_v	109																		
1005		任脉穴位主角属性5	13	fire_resist_v	118																		
1005		任脉穴位主角属性5	14	fire_resist_v	127																		
1005		任脉穴位主角属性5	15	fire_resist_v	136																		
1005		任脉穴位主角属性5	16	fire_resist_v	145																		
1005		任脉穴位主角属性5	17	fire_resist_v	154																		
1005		任脉穴位主角属性5	18	fire_resist_v	163																		
1005		任脉穴位主角属性5	19	fire_resist_v	172																		
1005		任脉穴位主角属性5	20	fire_resist_v	180																		
1006		任脉穴位主角属性6	1	earth_resist_v	10																		
1006		任脉穴位主角属性6	2	earth_resist_v	19																		
1006		任脉穴位主角属性6	3	earth_resist_v	28																		
1006		任脉穴位主角属性6	4	earth_resist_v	37																		
1006		任脉穴位主角属性6	5	earth_resist_v	46																		
1006		任脉穴位主角属性6	6	earth_resist_v	55																		
1006		任脉穴位主角属性6	7	earth_resist_v	64																		
1006		任脉穴位主角属性6	8	earth_resist_v	73																		
1006		任脉穴位主角属性6	9	earth_resist_v	82																		
1006		任脉穴位主角属性6	10	earth_resist_v	91																		
1006		任脉穴位主角属性6	11	earth_resist_v	100																		
1006		任脉穴位主角属性6	12	earth_resist_v	109																		
1006		任脉穴位主角属性6	13	earth_resist_v	118																		
1006		任脉穴位主角属性6	14	earth_resist_v	127																		
1006		任脉穴位主角属性6	15	earth_resist_v	136																		
1006		任脉穴位主角属性6	16	earth_resist_v	145																		
1006		任脉穴位主角属性6	17	earth_resist_v	154																		
1006		任脉穴位主角属性6	18	earth_resist_v	163																		
1006		任脉穴位主角属性6	19	earth_resist_v	172																		
1006		任脉穴位主角属性6	20	earth_resist_v	180																		
1007		任脉穴位主角属性7	1	basic_damage_v	20		20																
1007		任脉穴位主角属性7	2	basic_damage_v	30		30																
1007		任脉穴位主角属性7	3	basic_damage_v	40		40																
1007		任脉穴位主角属性7	4	basic_damage_v	50		50																
1007		任脉穴位主角属性7	5	basic_damage_v	60		60																
1007		任脉穴位主角属性7	6	basic_damage_v	70		70																
1007		任脉穴位主角属性7	7	basic_damage_v	80		80																
1007		任脉穴位主角属性7	8	basic_damage_v	90		90																
1007		任脉穴位主角属性7	9	basic_damage_v	100		100																
1007		任脉穴位主角属性7	10	basic_damage_v	110		110																
1007		任脉穴位主角属性7	11	basic_damage_v	120		120																
1007		任脉穴位主角属性7	12	basic_damage_v	130		130																
1007		任脉穴位主角属性7	13	basic_damage_v	140		140																
1007		任脉穴位主角属性7	14	basic_damage_v	150		150																
1007		任脉穴位主角属性7	15	basic_damage_v	160		160																
1007		任脉穴位主角属性7	16	basic_damage_v	170		170																
1007		任脉穴位主角属性7	17	basic_damage_v	179		179																
1007		任脉穴位主角属性7	18	basic_damage_v	187		187																
1007		任脉穴位主角属性7	19	basic_damage_v	194		194																
1007		任脉穴位主角属性7	20	basic_damage_v	200		200																
1008		任脉穴位主角属性8	1	ignore_defense_v	30																		
1008		任脉穴位主角属性8	2	ignore_defense_v	45																		
1008		任脉穴位主角属性8	3	ignore_defense_v	60																		
1008		任脉穴位主角属性8	4	ignore_defense_v	75																		
1008		任脉穴位主角属性8	5	ignore_defense_v	90																		
1008		任脉穴位主角属性8	6	ignore_defense_v	105																		
1008		任脉穴位主角属性8	7	ignore_defense_v	120																		
1008		任脉穴位主角属性8	8	ignore_defense_v	135																		
1008		任脉穴位主角属性8	9	ignore_defense_v	150																		
1008		任脉穴位主角属性8	10	ignore_defense_v	165																		
1008		任脉穴位主角属性8	11	ignore_defense_v	180																		
1008		任脉穴位主角属性8	12	ignore_defense_v	195																		
1008		任脉穴位主角属性8	13	ignore_defense_v	210																		
1008		任脉穴位主角属性8	14	ignore_defense_v	225																		
1008		任脉穴位主角属性8	15	ignore_defense_v	240																		
1008		任脉穴位主角属性8	16	ignore_defense_v	252																		
1008		任脉穴位主角属性8	17	ignore_defense_v	264																		
1008		任脉穴位主角属性8	18	ignore_defense_v	276																		
1008		任脉穴位主角属性8	19	ignore_defense_v	288																		
1008		任脉穴位主角属性8	20	ignore_defense_v	300																		
1009		任脉穴位主角属性9	1	damage4npc_p	1																		
1009		任脉穴位主角属性9	2	damage4npc_p	2																		
1009		任脉穴位主角属性9	3	damage4npc_p	3																		
1009		任脉穴位主角属性9	4	damage4npc_p	4																		
1009		任脉穴位主角属性9	5	damage4npc_p	5																		
1009		任脉穴位主角属性9	6	damage4npc_p	6																		
1009		任脉穴位主角属性9	7	damage4npc_p	7																		
1009		任脉穴位主角属性9	8	damage4npc_p	8																		
1009		任脉穴位主角属性9	9	damage4npc_p	9																		
1009		任脉穴位主角属性9	10	damage4npc_p	10																		
1009		任脉穴位主角属性9	11	damage4npc_p	11																		
1009		任脉穴位主角属性9	12	damage4npc_p	12																		
1009		任脉穴位主角属性9	13	damage4npc_p	13																		
1009		任脉穴位主角属性9	14	damage4npc_p	14																		
1009		任脉穴位主角属性9	15	damage4npc_p	15																		
1009		任脉穴位主角属性9	16	damage4npc_p	16																		
1009		任脉穴位主角属性9	17	damage4npc_p	17																		
1009		任脉穴位主角属性9	18	damage4npc_p	18																		
1009		任脉穴位主角属性9	19	damage4npc_p	19																		
1009		任脉穴位主角属性9	20	damage4npc_p	20																		
1010		任脉穴位主角属性10	1	lifemax_v	150																		
1010		任脉穴位主角属性10	2	lifemax_v	458																		
1010		任脉穴位主角属性10	3	lifemax_v	766																		
1010		任脉穴位主角属性10	4	lifemax_v	1074																		
1010		任脉穴位主角属性10	5	lifemax_v	1382																		
1010		任脉穴位主角属性10	6	lifemax_v	1690																		
1010		任脉穴位主角属性10	7	lifemax_v	1998																		
1010		任脉穴位主角属性10	8	lifemax_v	2306																		
1010		任脉穴位主角属性10	9	lifemax_v	2614																		
1010		任脉穴位主角属性10	10	lifemax_v	2922																		
1010		任脉穴位主角属性10	11	lifemax_v	3230																		
1010		任脉穴位主角属性10	12	lifemax_v	3538																		
1010		任脉穴位主角属性10	13	lifemax_v	3846																		
1010		任脉穴位主角属性10	14	lifemax_v	4154																		
1010		任脉穴位主角属性10	15	lifemax_v	4462																		
1010		任脉穴位主角属性10	16	lifemax_v	4770																		
1010		任脉穴位主角属性10	17	lifemax_v	5078																		
1010		任脉穴位主角属性10	18	lifemax_v	5386																		
1010		任脉穴位主角属性10	19	lifemax_v	5694																		
