EquipItem	WaiYiItem	Cost	TimeOut	Desc
5980	5903			【五毒】浮光·梦蝶
5981	5907			【藏剑】浮光·梦缘
5982	5911			【长歌】浮光·梦缘
3569	3568		15552000	艺趣·盛典华服
3645	3568		604800	艺趣·盛典华服（7天）
4745	4743		259200	周年庆典华服·3天
4891	4892			周年庆典华服
3895	3896		604800	江湖侠少装(7天)
4493	2516		259200	T1时装·3天
4494	2516		604800	T1时装·7天
4495	2516		2592000	T1时装·30天
4496	4481		259200	T2时装·3天
4497	4481		604800	T2时装·7天
4498	4481		2592000	T2时装·30天
4499	4484		259200	T3时装·3天
4500	4484		604800	T3时装·7天
4501	4484		2592000	T3时装·30天
4502	4487		259200	T4时装·3天
4503	4487		604800	T4时装·7天
4504	4487		2592000	T4时装·30天
4505	4490		259200	T5时装·3天
4506	4490		604800	T5时装·7天
4507	4490		2592000	T5时装·30天
4760	4772		5184000	【天王】T6时装·60天
4761	4773		5184000	【峨眉】T6时装·60天
4762	4774		5184000	【桃花】T6时装·60天
4763	4775		5184000	【逍遥】T6时装·60天
4764	4776		5184000	【武当】T6时装·60天
4765	4777		5184000	【天忍】T6时装·60天
4766	4778		5184000	【少林】T6时装·60天
4767	4779		5184000	【翠烟】T6时装·60天
4768	4780		5184000	【唐门】T6时装·60天
4769	4781		5184000	【昆仑】T6时装·60天
4770	4782		5184000	【丐帮】T6时装·60天
4771	4783		5184000	【五毒】T6时装·60天
1	3249	300000		T1武器
2	3250	300000		T2武器
3	3251	300000		T3武器
4	3252	300000		T4武器
5	3253	300000		T5武器
6	3254	300000		T6武器
7	3255	300000		T7武器
8	3256	300000		T8武器
9	3257	300000		T9武器
10	3258	300000		T10武器
4901	5311	300000		T11武器
101	3249	300000		T1【稀有】武器
102	3250	300000		T2【稀有】武器
103	3251	300000		T3【稀有】武器
104	3252	300000		T4【稀有】武器
105	3253	300000		T5【稀有】武器
106	3254	300000		T6【稀有】武器
107	3255	300000		T7【稀有】武器
108	3256	300000		T8【稀有】武器
109	3257	300000		T9【稀有】武器
110	3258	300000		T10【稀有】武器
5001	5311	300000		T11【稀有】武器
1530	3249	300000		T1【传承】武器
1531	3250	300000		T2【传承】武器
1532	3251	300000		T3【传承】武器
1533	3252	300000		T4【传承】武器
1534	3253	300000		T5【传承】武器
1535	3254	300000		T6【传承】武器
1536	3255	300000		T7【传承】武器
1537	3256	300000		T8【传承】武器
3599	3257	300000		T9【传承】武器
3600	3258	300000		T10【传承】武器
5101	5311	300000		T11【传承】武器
1246	3249	300000		T1武器（定制）
4738	4735		2592000	寒霜（外装30天）
4739	4736		2592000	寒霜倩影（外装30天）
4740	4737		2592000	小黑（外装30天）
4863	4865		31536000	紫幽灵鹿（外装1年）
4864	4866		31536000	云魅灵鹿（外装1年）
4869	4868		31536000	星芒·云魅灵鹿（外装1年）
4746	3933			【天王】流星水果锤
4747	4381			【峨眉】蔷薇风霜剑
4748	4385			【桃花】晴天落花弓
4749	4389			【逍遥】飞天流彗枪
4750	4393			【武当】太岳金桔剑
4751	4397			【天忍】破月春花刺
4752	4401			【少林】扶风破梦杖
4753	4405			【翠烟】梦幻芙蕖枝
4754	4409			【唐门】神弩木生花
4755	4413			【昆仑】桃花笑春风
4756	4417			【丐帮】翠玉青竹杖
4757	4421			【五毒】苗疆朝颜笛
6206	5351			【藏剑】冷杉翠芽枝
6207	5355			【长歌】摇曳百合束
