ParamId	DefaultRandomId	Desc0	TimeFrame1	RandomId1	Desc1	TimeFrame2	RandomId2	Desc2	TimeFrame3	RandomId3	Desc3	TimeFrame4	RandomId4	Desc4	TimeFrame5	RandomId5	Desc5	TimeFrame6	RandomId6	Desc6	TimeFrame7	RandomId7	Desc7	TimeFrame8	RandomId8	Desc8	TimeFrame9	RandomId9	Desc9	TimeFrame10	RandomId10	Desc10	Desc
11	2165		OpenLevel69	2669		OpenLevel79	2670		OpenLevel89	2671		OpenLevel99	2672		OpenLevel109	2673																	4级魂石箱（大号）
12	3231		OpenLevel69	3232		OpenLevel79	3233		OpenLevel89	3234		OpenLevel99	3235		OpenLevel109	3236																	4级魂石箱（小号）
13	3593		OpenLevel39	3593																													随机铭刻石
14	45210		OpenDay33	45211																													答对礼包
15	45220		OpenDay33	45221																													答错礼包
16	45230		OpenDay33	45231																													守护礼包1
17	45240		OpenDay33	45241																													守护礼包2
18	45250		OpenDay33	45251																													守护礼包3
19	45260		OpenDay33	45261																													守护礼包4
20	45270		OpenDay33	45271																													守护礼包5
21	45280		OpenDay33	45281																													守护礼包6
22	45290		OpenDay33	45291																													守护礼包7
23	4624		OpenLevel49	4624		OpenLevel59	4625		OpenLevel69	4626		OpenLevel79	4627		OpenLevel89	4628		OpenLevel99	4629		OpenLevel109	4630		OpenLevel119	4651								传承武器宝箱
24	4633		OpenLevel49	4633		OpenLevel59	4634		OpenLevel69	4635		OpenLevel79	4636		OpenLevel89	4637		OpenLevel99	4638		OpenLevel109	4639		OpenLevel119	4650								稀有武器宝箱
25	4641		OpenLevel49	4641		OpenLevel59	4642		OpenLevel69	4643		OpenLevel79	4644		OpenLevel89	4645		OpenLevel99	4646		OpenLevel109	4647		OpenLevel119	4649								传承首饰宝箱
26	4652		OpenLevel49	4652		OpenLevel59	4653		OpenLevel69	4654		OpenLevel79	4655		OpenLevel89	4656		OpenLevel99	4657		OpenLevel109	4658		OpenLevel119	4659								稀有首饰宝箱
27	4660		OpenLevel49	4660		OpenLevel59	4661		OpenLevel69	4662		OpenLevel79	4663		OpenLevel89	4664		OpenLevel99	4665		OpenLevel109	4666		OpenLevel119	4667								传承防具宝箱
28	4668		OpenLevel49	4668		OpenLevel59	4669		OpenLevel69	4670		OpenLevel79	4671		OpenLevel89	4672		OpenLevel99	4673		OpenLevel109	4674		OpenLevel119	4675								稀有防具宝箱
29	4676		OpenDay69	4680																													家具材料宝箱
30	4679		OpenDay69	4681		OpenDay114	4682																										高级家具材料宝箱
31	4801		OpenDay3C	4802		OpenDay6	4803		OpenDay7	4804		OpenDay35	4805		OpenDay52	4806		OpenDay116	4807		OpenDay128	4808		OpenLevel109	4809		OpenDay251	4810					同伴招募宝箱
32	12420	使用后必然获得[FFFE0D]白水晶*6、黄金宝箱*1、20元宝、2000银两[-]。同时有概率获得额外赠送的[FFFE0D]盟主令、3阶稀有装备、随机2级魂石或随机1级魂石[-]。	OpenLevel59	12421	使用后必然获得[FFFE0D]白水晶*6、黄金宝箱*1、20元宝、2000银两[-]。同时有概率获得额外赠送的[FFFE0D]名将令、4阶稀有装备、随机3级魂石或随机2级魂石[-]。	OpenLevel69	12422	使用后必然获得[FFFE0D]白水晶*6、黄金宝箱*1、20元宝、2000银两[-]。同时有概率获得额外赠送的[FFFE0D]名将令、5阶稀有装备、随机3级魂石或随机2级魂石[-]。	OpenLevel79	12423	使用后必然获得[FFFE0D]白水晶*6、黄金宝箱*1、20元宝、2000银两[-]。同时有概率获得额外赠送的[FFFE0D]逐鹿令、6阶稀有装备、随机3级魂石或随机2级魂石[-]。	OpenLevel89	12424	使用后必然获得[FFFE0D]白水晶*6、黄金宝箱*1、20元宝、2000银两[-]。同时有概率获得额外赠送的[FFFE0D]逐鹿令、7阶稀有装备、随机4级魂石、随机3级魂石或随机2级魂石[-]。	OpenLevel99	12425	使用后必然获得[FFFE0D]白水晶*6、黄金宝箱*1、20元宝、2000银两[-]。同时有概率获得额外赠送的[FFFE0D]逐鹿令、8阶稀有装备、随机4级魂石、随机3级魂石或随机2级魂石[-]。	OpenLevel109	12426	使用后必然获得[FFFE0D]白水晶*6、黄金宝箱*1、20元宝、2000银两[-]。同时有概率获得额外赠送的[FFFE0D]帝皇令、9阶稀有装备、随机4级魂石、随机3级魂石或随机2级魂石[-]。	OpenLevel119	12427	使用后必然获得[FFFE0D]白水晶*6、黄金宝箱*1、20元宝、2000银两[-]。同时有概率获得额外赠送的[FFFE0D]帝皇令、10阶稀有装备、随机4级魂石、随机3级魂石或随机2级魂石[-]。	OpenLevel129	12428	使用后必然获得[FFFE0D]白水晶*6、黄金宝箱*1、20元宝、2000银两[-]。同时有概率获得额外赠送的[FFFE0D]帝皇令、11阶稀有装备、随机4级魂石、随机3级魂石或随机2级魂石[-]。							0.99美元礼包（国内版本）
33	60900		OpenLevel59	60901		OpenLevel69	60902		OpenLevel79	60903		OpenLevel89	60904		OpenLevel99	60905																	蓝色魂石随机宝箱
34	60920		OpenDay7	60921		OpenDay35	60922		OpenDay116	60923		OpenDay251	60924																				S级同伴招募令
