szKey	nReqLevel	szUiName	szTitle	nShowPriority	szContent	szTimeFunc	szTimeParam1	szTimeParam2	szClickFunc	szBtnName	szBtnTrap	nBtnCloseWnd
OpenLevel119	10		119級等級上限		[FFFE0D]119級即將開放[-]\n    諸位俠士，江湖即將開放119級等級上限，諸位可做好歷練準備，爭取早日名動武林。開放119級上限後，武林各大活動將會有更多稀有物品掉落！\n\n[FFFE0D]新增活動獎勵[-]\n   [FFFE0D]提升周卡、月卡每日領取額度（周卡每日280元寶、月卡每日200元寶）。[-]\n   武林盟主：[ff8f06] [url=openwnd:10階稀有衣服碎片, ItemTips,  "Item", nil, 3679, me.nFaction] [-]\n   英雄挑戰：[ff8f06] [url=openwnd:10階稀有腰帶碎片, ItemTips,  "Item", nil, 3683, me.nFaction] [-]\n   野外首領：[ff8f06] [url=openwnd:10階稀有護身符碎片, ItemTips,  "Item", nil, 3675, me.nFaction] [-]\n   歷代名將：[ff8f06] [url=openwnd:10階稀有武器碎片, ItemTips,  "Item", nil, 3667, me.nFaction] [-] [ff578c] [url=openwnd:帝皇令, ItemTips, "Item", nil, 1396] [-]\n   組隊秘境：[ff8f06] [url=openwnd:10階稀有帽子碎片, ItemTips,  "Item", nil, 3677, me.nFaction] [-]\n   懲惡任務：[ff8f06] [url=openwnd:10階稀有護腕碎片, ItemTips,  "Item", nil, 3681, me.nFaction] [-]\n   商會任務：[ff8f06] [url=openwnd:10階稀有玉佩碎片, ItemTips,  "Item", nil, 3673, me.nFaction] [-]\n   宋金戰場：[ff8f06] [url=openwnd:10階稀有戒指碎片, ItemTips,  "Item", nil, 3671, me.nFaction] [-] [aa62fc] [url=openwnd:10階傳承戒指碎片, ItemTips, "Item", nil, 3672, me.nFaction] [-]\n   通天塔：   [ff8f06] [url=openwnd:10階稀有鞋子碎片, ItemTips,  "Item", nil, 3685, me.nFaction] [-]\n   武神殿：   [ff8f06] [url=openwnd:10階稀有項鍊碎片, ItemTips,  "Item", nil, 3669, me.nFaction] [-] [ff8f06] [url=openwnd:天河石, ItemTips, "Item", nil, 4325] [-]\n   心魔幻境：  [ff8f06] [url=openwnd:10階稀有戒指碎片, ItemTips, "Item", nil, 3671, me.nFaction] [-]\n   門派競技：[aa62fc] [i]3級家園材料[/i] [-]\n   藏寶圖：   [aa62fc] [i]3級家園材料[/i] [-]\n   黃金寶箱：[aa62fc] [i]10階傳承裝備碎片[/i] [-] [aa62fc] [i]3級家園材料[/i] [-]\n   1元超值禮包：[ff8f06] [i]10階稀有裝備[/i] [-]\n   3元超值禮包：[ff8f06] [i]10階稀有裝備[/i] [-]\n   6元超值禮包：[ff8f06] [i]10階稀有裝備[/i] [-]\n   除以上特殊獎勵外，其他活動的獎勵也將整體提升！備戰武林，好獎相迎！	fnOpenServer	OpenLevel119|-3	OpenLevel119|2				
FieldBoss1	20		40級歷代名將		[FFFE0D]40級歷代名將[-]\n\n 諸位俠士，前朝諸多奇人異士即將在特定時間現身江湖，擊敗他們將獲得高額獎勵！\n\n[FFFE0D]名將出現時間[-]\n 每日下午15：30\n 每日晚上22：00\n\n[FFFE0D]名將對應關係[-]\n 鼇拜 地牢禁地\n 袁承志 落葉禁地\n 韓世忠 竹林禁地\n 哲別 輪回禁地\n 高長恭 溟淵禁地\n 秦良玉 森羅禁地\n\n小提示：進入歷代名將地圖後強制開啟[FFFE0D]幫派模式[-]\n	fnOpenServer	OpenDay7|-1	OpenDay7|2				
FieldBoss2	20		60級歷代名將		[FFFE0D]60級歷代名將[-]\n\n    諸位俠士，前朝諸多奇人異士即將在特定時間現身江湖，擊敗他們將獲得高額獎勵！\n\n[FFFE0D]名將出現時間[-]\n   每日下午15：30\n   每日晚上22：00\n\n[FFFE0D]名將對應關係[-]\n   荊軻       望月遺跡\n   虞姬       凝塵遺跡\n   岳飛       千葉遺跡   \n\n小提示：進入歷代名將地圖後強制開啟[FFFE0D]幫派模式[-]\n	fnOpenServer	OpenDay52|-1	OpenDay52|2				
FieldBoss3	20		80級歷代名將		[FFFE0D]80級歷代名將[-]\n\n    諸位俠士，前朝諸多奇人異士即將在特定時間現身江湖，擊敗他們將獲得高額獎勵！\n\n[FFFE0D]名將出現時間[-]\n   每日晚上22：00\n\n[FFFE0D]名將對應關係[-]\n   李廣       黑獄廢墟\n   趙雲       長阪廢墟\n   李元霸       禁穀廢墟   \n\n小提示：進入歷代名將地圖後強制開啟[FFFE0D]幫派模式[-]\n	fnOpenServer	OpenDay128|-1	OpenDay128|2				
FieldBoss4	20		110級歷代名將		[FFFE0D]110級歷代名將[-]\n\n    諸位俠士，前朝名將項羽即將在特定時間現身江湖，擊敗他將獲得高額獎勵！\n\n[FFFE0D]名將出現時間[-]\n   名將挑戰日晚上22：00\n\n[FFFE0D]名將出現地圖[-]\n   黑獄廢墟、長阪廢墟與禁穀廢墟中隨機出現   \n\n小提示：進入歷代名將地圖後強制開啟[FFFE0D]幫派模式[-]\n	fnOpenServer	OpenDay353|-1	OpenDay353|2				
ChuanGong	10		幫派傳功		[FFFE0D]幫派傳功開放[-]\n\n    諸位俠士，江湖中成名已久的俠士如今功力已頗為深厚，可以福澤武林中的新秀，通過給[FFFE0D]幫派成員[-]傳功，被傳功者可獲得大量經驗，快速成長。	fnOpenServer	OpenDay2	OpenDay4				
DomainBattle	20		攻城戰將臨		[FFFE0D]攻城戰開放[-]\n\n    諸位俠士，江湖即將開放攻城戰，諸位俠士可做好準備投身歷練，為幫派爭奪領地、劍指襄陽盡一份力。佔據領地後，每日更有領地行商到幫派拍賣珍稀物品，參與城戰的幫派成員天天都有分紅拿！	fnOpenServer	OpenDomainBattle|-2	OpenDomainBattle|1				
DuanWuJie	20		端午節活動預告		[FFFE0D]端午節活動預告[-]\n\n    諸位俠士，端午節，為每年農曆五月初五。據《荊楚歲時記》記載，因仲夏登高，順陽在上，五月是仲夏，它的第一個午日正是登高順陽好天氣之日，故五月初五亦稱為“端陽節”。\n    此外端午節還稱“午日節、五月節、龍舟節、浴蘭節”等。端午節是我華夏四大傳統節日之一，值此佳節，端午節活動也將於[FFFE0D]5月28日淩晨4時[-]正式開啟！	fnSpecialTime	2017/5/25	2017/5/28				
Weekend6	10	Weekend6	不限號週末狂歡			fnSpecialTime	2016/6/5	2016/6/12				
WeekendActivity	10		週末狂歡		[FFFE0D]週末來臨，歡慶武林[-]\n 諸位俠士，喜迎週末，武林將開啟歡慶活動！\n 活動時間：[c8ff00]本週末6月25日淩晨4點開啟，6月26日0點結束[-]\n\n活動一：\n 炎炎夏日，烈火融金；福利狂歡，元寶為鄰；活動期間，儲值送禮活動7日禮包、30日禮包可額外領取[FFFE0D]100%元寶[-]\n\n活動二：\n 炎炎夏日，熱情不減；挑戰盟主，元寶不斷；陽剛熱忱的盟主獨孤劍將褒獎諸位挑戰者，活動期間，挑戰盟主的拍賣物品的產出將提升[FFFE0D]50%[-]\n\n活動三：\n 炎炎夏日，熱情高漲；幫派烤火，人人有獎；活動期間參與幫派烤火，答題將獲得[FFFE0D]雙倍貢獻[-]，且投擲骰子的獲獎成員[FFFE0D]增加一倍[-]	fnSpecialTime	2016/6/22	2016/6/25				
CardCollection_1	30		凌絕峰收集活動		[FFFE0D]凌絕峰收集活動開放[-]\n\n 諸位俠士，開放59級等級上限後，江湖將會開放凌絕峰收集活動！\n 開放後的每一個月，大俠們參加凌絕峰的過程中可能獲得各種卡片，收集起來進行為期一月的排行爭奪，最終獲得高額獎勵。\n 若活動開放當天已超過本月20日，活動將在下月1日開放，請各位大俠周知。活動獎勵如下：\n 第1名：藍水晶×50，橙色稱號\n 第2-10名：藍水晶×30，粉色稱號\n 第11-30名：藍水晶×25，紫色稱號\n 第31-100名：藍水晶×20\n 第101-200名：藍水晶×15\n 第201-300名：藍水晶×12\n 第301-500名：藍水晶×10\n 第501-1000名：藍水晶×8\n 第1001-1500名：藍水晶×6\n 第1500名以後：藍水晶×5	fnOpenServer	OpenLevel49|-2	OpenLevel49|1				
SummerGift	20		盛夏之周		[FFFE0D]盛夏之周，武林狂歡[-]\n    諸位俠士，武林即將迎來一場大變革，此次將會有許多全新的人與物出現在閣下的面前，敬請期待。在此之前，如今武林中的一些活動也會與我等共襄盛舉，參與活動均將獲得一份額外獎勵，同時累積參加滿一定天數還將獲得另外一份獎勵！與我一同[47f005][url=openwnd:前往參與活動, WelfareActivity, SummerGift][-]吧！[-]	fnSpecialTime	2016/7/23	2016/7/30				
NewPackageGift	20	NewPackageGift	新版本更換			fnNewPackage						
OpenDay89	20		秦始皇陵		[FFFE0D]秦始皇陵[-]\n\n    諸位俠士，武林中風雲變幻，竟有一批盜墓賊發現了通往秦始皇陵的線索，近日江湖中鬧得沸沸揚揚，俠士若是有興致，不妨也去查探一番，有機會從其中復活的士兵身上找到密室，前去爭奪寶藏，或許會有意料之外的收穫。秦始皇陵中十分兇險，最好組隊前往。另外，秦始皇陵內毒霧彌漫，不能常駐其中！   \n\n小提示：進入秦始皇陵地圖後強制開啟[FFFE0D]幫派模式[-]\n	fnOpenServer	OpenDay89|-2	OpenDay89|1				
NyBless	10		新年祝福		[FFFE0D]新年祝福活動即將開始！[-]\n\n    通過祝福道具給好友送出祝福並獲得獎勵。活動共開啟[FFFE0D]3輪[-]，分別在[FFFE0D]1月28日、2月1日、2月5日[-]0點開始，[FFFE0D]下一天4點[-]結束。\n    [FFFE0D]參與等級：[-]20級\n\n    活動開啟後，滿足條件的玩家能收到一封系統郵件，查收附件可得到[FFFE0D]新年祝福函[-]。\n    使用祝福函後，在祝福介面可對好友送出祝福，同時對方能獲得[FFFE0D]祝福寶箱[-]。每輪活動，每個玩家最多獲得[FFFE0D]10個[-]祝福寶箱。\n    每輪活動，每位俠客最多向[FFFE0D]20名[-]好友送出祝福，對同一好友最多祝福1次。消耗元寶祝福不會消耗祝福次數。\n    可能獲得獎勵：[11adf6][url=openwnd:修煉丹, ItemTips, "Item", nil, 2301][-]，[11adf6][url=openwnd:傳功丹, ItemTips, "Item", nil, 2759][-]，[11adf6][url=openwnd:外裝染色劑, ItemTips, "Item", nil, 2569][-]，[11adf6][url=openwnd:紫水晶, ItemTips, "Item", nil, 224][-]。	fnSpecialTime	2017.1.25 4:00:00	2017.1.28				
NewWaiYiActivity	1		邪魅狷狂外裝		邪魅一笑，狷狂自任。\n\n11月27日~12月10日期間，黎飾商店[47f005]七折限時限量[-]出售邪魅狷狂外裝\n\n[e6d012][url=openwnd:【天王】狂客, WaiyiPreview, 6288, 1][-]        [e6d012][url=openwnd:【峨眉】狷者, WaiyiPreview, 6292, 2][-]\n[e6d012][url=openwnd:【桃花】魅靈, WaiyiPreview, 6296, 3][-]        [e6d012][url=openwnd:【逍遙】邪俠, WaiyiPreview, 6300, 4][-]\n[e6d012][url=openwnd:【武當】邪俠, WaiyiPreview, 6304, 5][-]        [e6d012][url=openwnd:【天忍】狷者, WaiyiPreview, 6308, 6][-]\n[e6d012][url=openwnd:【少林】狂客, WaiyiPreview, 6312, 7][-]        [e6d012][url=openwnd:【翠煙】魅靈, WaiyiPreview, 6316, 8][-]\n[e6d012][url=openwnd:【唐門】邪俠, WaiyiPreview, 6320, 9][-]        [e6d012][url=openwnd:【昆侖】狷者, WaiyiPreview, 6324, 10][-]\n[e6d012][url=openwnd:【丐幫】狂客, WaiyiPreview, 6328, 11][-]        [e6d012][url=openwnd:【五毒】魅靈, WaiyiPreview, 6332, 12][-]\n[e6d012][url=openwnd:【藏劍】邪俠, WaiyiPreview, 6336, 13][-]        [e6d012][url=openwnd:【長歌】魅靈, WaiyiPreview, 6340, 14][-]\n\n除此之外，還有更具性價比的[e6d012][url=openwnd:<邪魅狷狂無敵寶箱>, ItemTips, "Item", nil, 6358][-]感興趣的少俠可不要錯過哦，可前往[47f005] [url=openwnd:黎飾商店, CommonShop, 'Dress'] [-]購買！	fnSpecialTime	2017.11.27 4:00:00	2017.12.11		去看看	[url=openwnd:點擊此處, CommonShop, 'Dress']	
NpcBiWuZhaoQinMale	60		真兒比武招親		活動時間：[FFFE0D]2017年6月18日20：30-21：30[-]\n\n[FFFE0D]天生麗質，冰雪聰穎[-]\n    諸位俠士，近日江湖出了一位了不得的女中豪傑，她非但傾國傾城，武藝超群，更是心地善良，聰慧過人。相信諸位俠士也有所耳聞，此人便是如今風頭正勁的女俠——真兒！如今她即將在襄陽城中擺下比武招親擂臺，歡迎各路俠士前來參與，比賽規則如下：\n\n參與等級：\n最低參與等級：[FFFE0D]60級[-]\n開放89級上限：[FFFE0D]70級[-]\n開放99級上限：[FFFE0D]80級[-]\n開放109級上限：[FFFE0D]90級[-]\n開放119級上限：[FFFE0D]100級[-]\n\n[FFFE0D]參與招親比賽[-]\n2017年6月18日20：30活動開啟時，前往襄陽尋找[FFFE0D][url=npc:真兒, 2279, 10][-]繳納報名費參加\n需注意報名時間僅有[FFFE0D]5分鐘[-]，過期不候\n比賽為無差別形式，報名後以當前門派參賽，所有參賽者公平競爭，[FFFE0D]等級、戰力相同，無裝備等外在因素差異，無五行相克[-]\n參賽人數最多[FFFE0D]128人[-]，開始後兩兩隨機配對戰鬥，贏者晉級，剩餘參賽人數不大於[FFFE0D]8人[-]後進入決賽階段\n決賽階段比賽在[FFFE0D]場內擂臺[-]上進行，玩家可以進行[FFFE0D]觀戰[-]\n\n[FFFE0D]活動獎勵[-]\n所有未獲得優勝的參賽者均將獲得一份獎勵\n優勝者不但可獲得真兒的情緣稱號，真兒/楊大俠的頭像繪卷，更可邀請她前往自己家園小憩一番	fnSpecialTime	2017.6.12	2017.6.18 21:30:00		去看看	[url=npc:真兒, 2279, 10]	1
NpcBiWuZhaoQinFemale	60		楊大俠比武招親		活動時間：[FFFE0D]2017年6月11日20：30-21：30[-]\n\n[FFFE0D]英俊瀟灑，玉樹臨風[-]\n    諸位俠士，近日江湖出了位了不得的人物，此人非但風姿卓越，武藝超群，更能征善戰，足智多謀。相信諸位俠士也有所耳聞，此人便是如今風頭正勁的少俠——楊大俠！如今楊大俠在襄陽城中擺下比武招親擂臺，歡迎各路俠士前來參與，比賽規則如下：\n\n參與等級：\n最低參與等級：[FFFE0D]60級[-]\n開放89級上限：[FFFE0D]70級[-]\n開放99級上限：[FFFE0D]80級[-]\n開放109級上限：[FFFE0D]90級[-]\n開放119級上限：[FFFE0D]100級[-]\n\n[FFFE0D]參與招親比賽[-]\n2017年6月11日20：30活動開啟時，前往襄陽尋找[FFFE0D][url=npc:楊大俠, 2326, 10][-]繳納報名費參加\n需注意報名時間僅有[FFFE0D]5分鐘[-]，過期不候\n比賽為無差別形式，報名後以當前門派參賽，所有參賽者公平競爭，[FFFE0D]等級、戰力相同，無裝備等外在因素差異，無五行相克[-]\n參賽人數最多[FFFE0D]128人[-]，開始後兩兩隨機配對戰鬥，贏者晉級，剩餘參賽人數不大於[FFFE0D]8人[-]後進入決賽階段\n決賽階段比賽在[FFFE0D]場內擂臺[-]上進行，玩家可以進行[FFFE0D]觀戰[-]\n\n[FFFE0D]活動獎勵[-]\n所有未獲得優勝的參賽者均將獲得一份獎勵\n優勝者不但可獲得楊大俠的情緣稱號，真兒/楊大俠的頭像繪卷，更可邀請他前往自己家園小憩一番	fnSpecialTime	2017.6.6	2017.6.11 21:30:00		去看看	[url=npc:楊大俠, 2326, 10]	1
NewWaiYiActivity_xm3	1		浮光若夢外裝		9月19日~10月2日期間，首款以稀世珍品【浮光錦】為面料的外裝【浮光若夢】系列限時上架黎飾商店。\n[e6d012][url=openwnd:【桃花】浮光·夢蝶, WaiyiPreview, 5867, 3][-]        [e6d012][url=openwnd:【翠煙】浮光·夢蝶, WaiyiPreview, 5887, 8][-]\n[e6d012][url=openwnd:【五毒】浮光·夢蝶, WaiyiPreview, 5903, 12][-]        [e6d012][url=openwnd:【唐門】浮光·夢羽, WaiyiPreview, 5891, 9][-]\n[e6d012][url=openwnd:【逍遙】浮光·夢羽, WaiyiPreview, 5871, 4][-]        [e6d012][url=openwnd:【天忍】浮光·夢羽, WaiyiPreview, 5879, 6][-]\n[e6d012][url=openwnd:【天王】浮光·夢羽, WaiyiPreview, 3878, 1][-]        [e6d012][url=openwnd:【峨眉】浮光·夢緣, WaiyiPreview, 5863, 2][-]\n[e6d012][url=openwnd:【武當】浮光·夢緣, WaiyiPreview, 5875, 5][-]        [e6d012][url=openwnd:【長歌】浮光·夢緣, WaiyiPreview, 5911, 14][-]\n[e6d012][url=openwnd:【藏劍】浮光·夢緣, WaiyiPreview, 5907, 13][-]        [e6d012][url=openwnd:【昆侖】浮光·夢緣, WaiyiPreview, 5895, 10][-]\n[e6d012][url=openwnd:【丐幫】浮光·夢緣, WaiyiPreview, 5899, 11][-]        [e6d012][url=openwnd:【少林】浮光·夢緣, WaiyiPreview, 5883, 7][-]\n絕代匠師精心裁設，流光溢彩質感非凡，除此之外還有更具性價比的[e6d012][url=openwnd:<浮光若夢盛典箱>, ItemTips, "Item", nil, 6020][-]，一次性獲得全部4種配色並附贈獨有稱號的[e6d012][url=openwnd:<浮光若夢豪華箱>, ItemTips, "Item", nil, 6021][-]\n\n稀世珍品，只給品位不凡的你！心動的少俠請抓緊時間前往[47f005] [url=openwnd:黎飾商店, CommonShop, 'Dress', 'tabActShop'] [-]搶購	fnSpecialTime	2017.9.19 4:00:00	2017.10.3		去看看	[url=openwnd:點擊此處, CommonShop, 'Dress']	
NewWaiYiActivity_xm4	1		園藝武器外裝		10月9日~10月15日期間，“園藝”系列武器外裝售價低至6.8折，僅限6天！自用送人兩相宜，心動的少俠請打開【黎飾商城】[47f005] [url=openwnd:限時限購, CommonShop, 'Dress'] [-]分頁購買！\n\n[e6d012][url=openwnd:【天王】流星水果錘, WaiyiPreview, 3933, 1][-]        [e6d012][url=openwnd:【峨眉】薔薇風霜劍, WaiyiPreview, 4381, 2][-]\n[e6d012][url=openwnd:【桃花】晴天落花弓, WaiyiPreview, 4385, 3][-]        [e6d012][url=openwnd:【逍遙】飛天流彗槍, WaiyiPreview, 4389, 4][-]\n[e6d012][url=openwnd:【武當】太岳金桔劍, WaiyiPreview, 4393, 5][-]        [e6d012][url=openwnd:【天忍】破月春花刺, WaiyiPreview, 4397, 6][-]\n[e6d012][url=openwnd:【少林】扶風破夢杖, WaiyiPreview, 4401, 7][-]        [e6d012][url=openwnd:【翠煙】夢幻芙蕖枝, WaiyiPreview, 4405, 8][-]\n[e6d012][url=openwnd:【唐門】神弩木生花, WaiyiPreview, 4409, 9][-]        [e6d012][url=openwnd:【昆侖】桃花笑春風, WaiyiPreview, 4413, 10][-]\n[e6d012][url=openwnd:【丐幫】翠玉青竹杖, WaiyiPreview, 4417, 11][-]        [e6d012][url=openwnd:【五毒】苗疆朝顏笛, WaiyiPreview, 4421, 12][-]\n[e6d012][url=openwnd:【藏劍】冷杉翠芽枝, WaiyiPreview, 5351, 13][-]        [e6d012][url=openwnd:【長歌】搖曳百合束, WaiyiPreview, 5355, 14][-]	fnSpecialTime	2017.10.09	2017.10.16		去看看	[url=openwnd:點擊此處, CommonShop, 'Dress']	
