EmotionId	Length	SizeX	SizeY	Atlas	Desc
52	25	22	22	UI/Atlas/NewAtlas/Emotions/Emotions3.prefab	
53	25	22	22	UI/Atlas/NewAtlas/Emotions/Emotions3.prefab	
54	25	22	22	UI/Atlas/NewAtlas/Emotions/Emotions3.prefab	
55	25	22	22	UI/Atlas/NewAtlas/Emotions/Emotions3.prefab	
56	25	22	22	UI/Atlas/NewAtlas/Emotions/Emotions3.prefab	
57	25	22	22	UI/Atlas/NewAtlas/Emotions/Emotions3.prefab	
58	25	22	22	UI/Atlas/NewAtlas/Emotions/Emotions3.prefab	
59	25	22	22	UI/Atlas/NewAtlas/Emotions/Emotions3.prefab	
60	25	22	22	UI/Atlas/NewAtlas/Emotions/Emotions3.prefab	
61	25	22	22	UI/Atlas/NewAtlas/Emotions/Emotions3.prefab	
62	25	22	22	UI/Atlas/NewAtlas/Emotions/Emotions3.prefab	
63	25	22	22	UI/Atlas/NewAtlas/Emotions/Emotions3.prefab	
64	25	22	22	UI/Atlas/NewAtlas/Emotions/Emotions3.prefab	
65	25	22	22	UI/Atlas/NewAtlas/Emotions/Emotions3.prefab	
66	25	22	22	UI/Atlas/NewAtlas/Emotions/Emotions3.prefab	
67	25	22	22	UI/Atlas/NewAtlas/Emotions/Emotions3.prefab	
68	25	22	22	UI/Atlas/NewAtlas/Emotions/Emotions3.prefab	
69	25	22	22	UI/Atlas/NewAtlas/Emotions/Emotions3.prefab	
70	25	22	22	UI/Atlas/NewAtlas/Emotions/Emotions3.prefab	
71	25	22	22	UI/Atlas/NewAtlas/Emotions/Emotions3.prefab	
83	50	48	22	UI/Atlas/NewAtlas/Emotions/Emotions.prefab	
84	50	48	22	UI/Atlas/NewAtlas/Emotions/Emotions.prefab	
85	50	48	22	UI/Atlas/NewAtlas/Emotions/Emotions.prefab	
86	50	48	22	UI/Atlas/NewAtlas/Emotions/Emotions.prefab	
87	50	48	22	UI/Atlas/NewAtlas/Emotions/Emotions.prefab	
88	50	48	22	UI/Atlas/NewAtlas/Emotions/Emotions.prefab	
89	25	22	22	UI/Atlas/NewAtlas/Emotions/Emotions.prefab	
90	25	22	22	UI/Atlas/NewAtlas/Emotions/Emotions.prefab	
91	25	22	22	UI/Atlas/NewAtlas/Emotions/Emotions.prefab	
101	25	22	22	UI/Atlas/NewAtlas/Emotions/Emotions.prefab	
102	25	22	22	UI/Atlas/NewAtlas/Emotions/Emotions.prefab	
103	25	22	22	UI/Atlas/NewAtlas/Emotions/Emotions.prefab	
104	25	22	22	UI/Atlas/NewAtlas/Emotions/Emotions.prefab	
105	25	22	22	UI/Atlas/NewAtlas/Emotions/Emotions.prefab	
106	25	22	22	UI/Atlas/NewAtlas/Emotions/Emotions.prefab	
107	25	22	22	UI/Atlas/NewAtlas/Emotions/Emotions.prefab	
108	50	48	22	UI/Atlas/NewAtlas/Emotions/Emotions.prefab	
109	50	48	22	UI/Atlas/NewAtlas/Emotions/Emotions.prefab	
110	50	48	22	UI/Atlas/NewAtlas/Emotions/Emotions.prefab	
111	25	22	22	UI/Atlas/NewAtlas/Emotions/Emotions3.prefab	
112	25	22	22	UI/Atlas/NewAtlas/Emotions/Emotions3.prefab	
113	25	22	22	UI/Atlas/NewAtlas/Emotions/Emotions3.prefab	
114	25	22	22	UI/Atlas/NewAtlas/Emotions/Emotions3.prefab	
115	25	22	22	UI/Atlas/NewAtlas/Emotions/Emotions3.prefab	
116	25	22	22	UI/Atlas/NewAtlas/Emotions/Emotions3.prefab	
117	25	22	22	UI/Atlas/NewAtlas/Emotions/Emotions3.prefab	
118	25	22	22	UI/Atlas/NewAtlas/Emotions/Emotions3.prefab	
119	25	22	22	UI/Atlas/NewAtlas/Emotions/Emotions3.prefab	
120	25	22	22	UI/Atlas/NewAtlas/Emotions/Emotions3.prefab	
121	25	22	22	UI/Atlas/NewAtlas/Emotions/Emotions3.prefab	
122	25	22	22	UI/Atlas/NewAtlas/Emotions/Emotions3.prefab	
123	25	22	22	UI/Atlas/NewAtlas/Emotions/Emotions3.prefab	
124	25	22	22	UI/Atlas/NewAtlas/Emotions/Emotions3.prefab	
125	25	22	22	UI/Atlas/NewAtlas/Emotions/Emotions3.prefab	
126	25	22	22	UI/Atlas/NewAtlas/Emotions/Emotions3.prefab	
127	25	22	22	UI/Atlas/NewAtlas/Emotions/Emotions3.prefab	
935	25	22	22	UI/Atlas/NewAtlas/Emotions/Emotions.prefab	貨幣：真氣
936	83	81	19	UI/Atlas/NewAtlas/Emotions/Emotions2.prefab	聊天首碼：武林至尊
937	83	81	19	UI/Atlas/NewAtlas/Emotions/Emotions2.prefab	聊天首碼：國色天香
938	83	81	19	UI/Atlas/NewAtlas/Emotions/Emotions2.prefab	聊天首碼：藏劍大師兄
939	83	81	19	UI/Atlas/NewAtlas/Emotions/Emotions2.prefab	聊天首碼：長歌大師姐
940	25	22	22	UI/Atlas/NewAtlas/Emotions/Emotions.prefab	世界紅包
943	116	114	19	UI/Atlas/NewAtlas/Emotions/Emotions2.prefab	聊天首碼：本服第一美女
942	116	114	19	UI/Atlas/NewAtlas/Emotions/Emotions2.prefab	聊天首碼：武林十大美女
941	116	114	19	UI/Atlas/NewAtlas/Emotions/Emotions2.prefab	聊天首碼：武林第一美女
944	25	22	22	UI/Atlas/NewAtlas/Emotions/Emotions.prefab	
945	25	22	22	UI/Atlas/NewAtlas/Emotions/Emotions.prefab	
946	83	81	19	UI/Atlas/NewAtlas/Emotions/Emotions2.prefab	
947	83	81	19	UI/Atlas/NewAtlas/Emotions/Emotions2.prefab	
948	83	81	19	UI/Atlas/NewAtlas/Emotions/Emotions2.prefab	
949	40	47	19	UI/Atlas/NewAtlas/Emotions/Emotions2.prefab	
950	83	81	19	UI/Atlas/NewAtlas/Emotions/Emotions2.prefab	
951	83	81	19	UI/Atlas/NewAtlas/Emotions/Emotions2.prefab	
952	25	22	22	UI/Atlas/NewAtlas/Emotions/Emotions.prefab	
953	25	22	22	UI/Atlas/NewAtlas/Emotions/Emotions.prefab	
954	25	22	22	UI/Atlas/NewAtlas/Emotions/Emotions.prefab	
955	25	22	22	UI/Atlas/NewAtlas/Emotions/Emotions.prefab	
956	25	22	22	UI/Atlas/NewAtlas/Emotions/Emotions.prefab	
957	83	81	19	UI/Atlas/NewAtlas/Emotions/Emotions2.prefab	
958	83	81	19	UI/Atlas/NewAtlas/Emotions/Emotions2.prefab	
959	83	81	19	UI/Atlas/NewAtlas/Emotions/Emotions2.prefab	
960	83	81	19	UI/Atlas/NewAtlas/Emotions/Emotions2.prefab	
961	83	81	19	UI/Atlas/NewAtlas/Emotions/Emotions2.prefab	
962	83	81	19	UI/Atlas/NewAtlas/Emotions/Emotions2.prefab	
963	83	81	19	UI/Atlas/NewAtlas/Emotions/Emotions2.prefab	
964	83	81	19	UI/Atlas/NewAtlas/Emotions/Emotions2.prefab	
965	25	22	22	UI/Atlas/NewAtlas/Emotions/Emotions.prefab	
966	25	22	22	UI/Atlas/NewAtlas/Emotions/Emotions.prefab	
967	25	22	22	UI/Atlas/NewAtlas/Emotions/Emotions.prefab	
968	25	22	22	UI/Atlas/NewAtlas/Emotions/Emotions.prefab	
969	25	22	22	UI/Atlas/NewAtlas/Emotions/Emotions.prefab	
970	25	22	22	UI/Atlas/NewAtlas/Emotions/Emotions.prefab	
971	25	22	22	UI/Atlas/NewAtlas/Emotions/Emotions.prefab	
972	83	81	19	UI/Atlas/NewAtlas/Emotions/Emotions.prefab	
973	25	22	22	UI/Atlas/NewAtlas/Emotions/Emotions.prefab	
974	25	22	22	UI/Atlas/NewAtlas/Emotions/Emotions.prefab	
975	25	22	22	UI/Atlas/NewAtlas/Emotions/Emotions.prefab	
976	25	22	22	UI/Atlas/NewAtlas/Emotions/Emotions.prefab	
977	25	22	22	UI/Atlas/NewAtlas/Emotions/Emotions.prefab	
978	25	22	22	UI/Atlas/NewAtlas/Emotions/Emotions.prefab	
979	25	22	22	UI/Atlas/NewAtlas/Emotions/Emotions.prefab	
980	25	22	22	UI/Atlas/NewAtlas/Emotions/Emotions.prefab	
981	25	22	22	UI/Atlas/NewAtlas/Emotions/Emotions.prefab	
982	25	22	22	UI/Atlas/NewAtlas/Emotions/Emotions.prefab	
983	25	22	22	UI/Atlas/NewAtlas/Emotions/Emotions.prefab	
984	25	22	22	UI/Atlas/NewAtlas/Emotions/Emotions.prefab	
985	25	22	22	UI/Atlas/NewAtlas/Emotions/Emotions.prefab	
986	25	22	22	UI/Atlas/NewAtlas/Emotions/Emotions.prefab	
987	25	22	22	UI/Atlas/NewAtlas/Emotions/Emotions.prefab	
988	25	22	22	UI/Atlas/NewAtlas/Emotions/Emotions.prefab	
989	25	22	22	UI/Atlas/NewAtlas/Emotions/Emotions.prefab	
990	25	22	22	UI/Atlas/NewAtlas/Emotions/Emotions.prefab	
991	25	22	22	UI/Atlas/NewAtlas/Emotions/Emotions.prefab	
992	25	22	22	UI/Atlas/NewAtlas/Emotions/Emotions.prefab	
993	25	22	22	UI/Atlas/NewAtlas/Emotions/Emotions.prefab	
994	25	22	22	UI/Atlas/NewAtlas/Emotions/Emotions.prefab	
995	25	22	22	UI/Atlas/NewAtlas/Emotions/Emotions.prefab	
996	25	22	22	UI/Atlas/NewAtlas/Emotions/Emotions.prefab	
997	25	22	22	UI/Atlas/NewAtlas/Emotions/Emotions.prefab	
998	25	22	22	UI/Atlas/NewAtlas/Emotions/Emotions.prefab	
999	25	22	22	UI/Atlas/NewAtlas/Emotions/Emotions.prefab	
