TimeFrame	Day	Name	ScriptFunc	WeekDay	Time1	Time2	Time3	Time4	Time5	Time6	Time7	Time8	Time9	Time10	Param1	Param2	Param3	Param4	Param5
OpenLevel79	12	秦始皇陵開放	SendTimeFrameMail		4:05										OpenDay89	1	活動預告\n    【預告】%date開放新內容：諸位俠士，武林中風雲變幻，竟有一批盜墓賊發現了通往秦始皇陵的線索，今日江湖中鬧得沸沸揚揚，俠士若是有興致，不妨也去查探一番，或許會有意料之外的收穫。\n\n   此外，由於皇陵吸引了大批武林高手前往，皇陵開放後，[FFFE0D]每日下午15：30的歷代名將將關閉！[-]\n   活動詳情請查看活動日曆介面的秦始皇陵活動介紹！	Coin|1000	
OpenLevel89	8	89級上限	SendTimeFrameMail		4:05										OpenLevel89	1	活動預告\n    【預告】%date開放新內容：幫派建築（兵甲坊、首飾坊、防具坊）開放7階裝備打造、角色等級限制開放至89級。	Coin|1000	
OpenLevel89	1	珍寶閣降價	SendTimeFrameMail	1	4:05										OpenLevel89	1	每週限購降價\n    隨著伺服器開放89級等級上限，商會老闆萬金財決定降價珍寶閣【每週限購】內的部分物品，助力諸位俠士早日成為武林翹楚。\n    [FFFE0D]紫水晶[-]\n    價格：640元寶[FFFE0D]（新上架物品）[-]\n    [FFFE0D]白水晶[-]\n    原價：6元寶            現價：5元寶\n    [FFFE0D]綠水晶[-]\n    原價：35元寶          現價：30元寶\n    [FFFE0D]藍水晶[-]\n    原價：160元寶        現價：140元寶\n    [FFFE0D]未雕琢的神秘礦石[-]\n    原價：25元寶          現價：20元寶\n    [FFFE0D]普通的神秘礦石[-]\n    原價：140元寶        現價：120元寶\n    [FFFE0D]無暇的神秘礦石[-]\n    原價：640元寶        現價：560元寶		
OpenLevel89	8	80級野外首領	SendTimeFrameMail		4:05										OpenDay116	1	活動預告\n    【預告】%date開放新內容：80級野外首領。\n   活動詳情請查看活動日曆介面的野外首領活動介紹！	Coin|1000	
OpenLevel89	1	行腳商人	SendTimeFrameMail		4:05											1	賈有錢的飛鴿傳書\n見信好：\n    江湖只知商會萬金財，卻少有人知我行腳商賈有錢。此次西行收穫頗多，我將會在拍賣行[FFFE0D]停留3天[-]，[FFFE0D]每天19:05[-]開設專場拍賣。屆時將競拍[FFFE0D]各類稀有珍品[-]，諸位俠士們可不要錯過哦！	Coin|1000	
OpenLevel89	8	80級歷代名將	SendTimeFrameMail		4:05										OpenDay128	1	活動預告\n    【預告】%date開放新內容：80級歷代名將。\n   活動詳情請查看活動日曆介面的歷代名將活動介紹！	Coin|1000	
OpenLevel89	15	秦始皇陵黃金圖譜變更	SendTimeFrameMail		4:05										OpenDay153	1	活動預告\n    【預告】%date秦始皇陵黃金圖譜產出提示:秦始皇陵中千變萬化，內蘊天機，今日起始皇降世將新增黃金武器、黃金玉佩的圖譜，請諸位俠士周知！\n   活動詳情請查看活動日曆介面的始皇降世活動介紹！	Coin|1000	
OpenLevel99	10	角色等級99級	SendTimeFrameMail		4:05										OpenLevel99	1	活動預告\n    【預告】%date開放新內容：幫派建築（兵甲坊、首飾坊、防具坊）開放8階裝備打造、角色等級限制開放至99級。	Coin|1000	
OpenLevel99	10	凌絕峰苦痛難度	SendTimeFrameMail		4:05										OpenLevel99	1	活動預告\n    【預告】%date開放新內容：凌絕峰苦痛難度。\n   活動詳情請查看活動日曆介面凌絕峰的相關説明資訊！	Coin|1000	
OpenLevel99	1	行腳商人	SendTimeFrameMail		4:05											1	賈有錢的飛鴿傳書\n見信好：\n    江湖只知商會萬金財，卻少有人知我行腳商賈有錢。此次西行收穫頗多，我將會在拍賣行[FFFE0D]停留3天[-]，[FFFE0D]每天19:05[-]開設專場拍賣。屆時將競拍[FFFE0D]各類稀有珍品[-]，諸位俠士們可不要錯過哦！	Coin|1000	
OpenLevel109	12	角色等級109級	SendTimeFrameMail		4:05										OpenLevel109	1	活動預告\n    【預告】%date開放新內容：幫派建築（兵甲坊、首飾坊、防具坊）開放9階裝備打造、角色等級限制開放至109級。	Coin|1000	
OpenLevel109	1	行腳商人	SendTimeFrameMail		4:05											1	賈有錢的飛鴿傳書\n見信好：\n    江湖只知商會萬金財，卻少有人知我行腳商賈有錢。此次西行收穫頗多，我將會在拍賣行[FFFE0D]停留3天[-]，[FFFE0D]每天19:05[-]開設專場拍賣。屆時將競拍[FFFE0D]各類稀有珍品[-]，諸位俠士們可不要錯過哦！	Coin|1000	
OpenLevel109	12	100級野外首領	SendTimeFrameMail		4:05										OpenDay251	1	活動預告\n    【預告】%date開放新內容：100級野外首領。\n   活動詳情請查看活動日曆介面的野外首領活動介紹！	Coin|1000	
OpenLevel89	10	跨服通天塔	SendTimeFrameMail	26	4:05										OpenLevel89	1	跨服通天塔開啟\n    各位俠士，通天塔活動迎來了新的階段，開啟了跨服模式。通天塔起始層數將會提高一層，在最後一輪競技中，將有可能遇到來自其他伺服器的對手。通天塔全新八層，等你來挑戰！		
OpenLevel89	8	心魔幻境	SendTimeFrameMail	135	4:05										OpenDay118	1	活動預告\n    【預告】%date開放新內容：心魔幻境\n    3人組隊跨服無差別競技，[FFFE0D]固定80級、不攜帶同伴、初始擁有相同的戰力水準[-]。擺脫裝備和等級的桎梏，感受純操作的競技快感！\n   活動詳情請查看活動日曆介面的心魔幻境活動介紹！	Coin|1000	1
OpenLevel99	5	無雙頭銜	SendTimeFrameMail		4:05										OpenDay188	1	頭銜開放預告\n    諸位俠士！[FFFE0D]「無雙」[-]頭銜將於%date開放，屆時滿足條件的俠士即可消耗[FFFE0D]帝皇令[-]完成晉升。	Coin|1000	
OpenLevel99	16	秦始皇同伴掉落	SendTimeFrameMail	36	4:05										OpenDay204	1	活動預告\n    [FFFE0D]SSS級同伴「秦始皇」[-]產出提示：秦始皇陵中千變萬化，內蘊天機，%date起始皇降世將新增[FFFE0D]SSS級同伴「秦始皇」[-]，請諸位俠士周知！\n   活動詳情請查看活動日曆介面的始皇降世活動介紹！	Coin|1000	1
OpenLevel99	18	秦始皇本命武器掉落	SendTimeFrameMail	36	4:05										OpenDay234	1	活動預告\n    秦始皇本命武器「泰阿劍」即將重見天日！\n    %date起[FFFE0D]始皇降世[-]將新增產出[FFFE0D]秦始皇本命武器「泰阿劍」[-]，請諸位俠士周知！\n   活動詳情請查看活動日曆介面的始皇降世活動介紹！	Coin|1000	1
OpenLevel89	15	開放同伴覺醒功能	SendTimeFrameMail		4:05										OpenDay159	1	同伴覺醒預告\n    諸位俠士！同伴覺醒功能將於%date開放，覺醒後的同伴將永久提升各項潛能，[FFFE0D]正式開放同伴覺醒後可在【同伴】介面進行相關操作[-]。\n\n                                               [00FF00][url=openwnd:覺醒規則, GeneralHelpPanel, "PartnerAwarenessHelp"][-]	Coin|1000	
OpenLevel119	15	角色等級119級	SendTimeFrameMail		4:05										OpenLevel119	1	活動預告\n    【預告】%date開放新內容：幫派建築（兵甲坊、首飾坊、防具坊）開放10階裝備打造、角色等級限制開放至119級。	Coin|1000	
OpenLevel119	10	門派秘卷	SendTimeFrameMail		4:05										OpenLevel119	1	活動預告\n    【預告】%date開放新內容：門派信物將可兌換門派秘卷。\n   詳情請查看技能介面中的技能道具分頁！	Coin|1000	
OpenLevel119	1	行腳商人	SendTimeFrameMail		4:05											1	賈有錢的飛鴿傳書\n見信好：\n    江湖只知商會萬金財，卻少有人知我行腳商賈有錢。此次西行收穫頗多，我將會在拍賣行[FFFE0D]停留3天[-]，[FFFE0D]每天19:05[-]開設專場拍賣。屆時將競拍[FFFE0D]各類稀有珍品[-]，諸位俠士們可不要錯過哦！	Coin|1000	
OpenLevel119	15	110級歷代名將	SendTimeFrameMail		4:05										OpenDay353	1	活動預告\n    【預告】%date開放新內容：110級歷代名將。\n   活動詳情請查看活動日曆介面的歷代名將活動介紹！	Coin|1000	
OpenLevel129	17	角色等級129級	SendTimeFrameMail		4:05										OpenLevel129	1	活動預告\n    【預告】%date開放新內容：幫派建築（兵甲坊、首飾坊、防具坊）開放11階裝備打造、角色等級限制開放至129級。	Coin|1000	
OpenLevel109	1	珍寶閣降價	SendTimeFrameMail	1	4:05										OpenLevel109	1	每週限購降價\n    隨著伺服器開放109級等級上限，商會老闆萬金財決定降價珍寶閣【每週限購】內的部分物品，助力諸位俠士早日成為武林翹楚。\n    [FFFE0D]綠水晶[-]\n    原價：30元寶          現價：25元寶\n    [FFFE0D]藍水晶[-]\n    原價：140元寶        現價：120元寶\n    [FFFE0D]紫水晶[-]\n    原價：640元寶        現價：560元寶\n    [FFFE0D]普通的神秘礦石[-]\n    原價：120元寶        現價：100元寶\n    [FFFE0D]無暇的神秘礦石[-]\n    原價：560元寶        現價：480元寶		
OpenLevel109	17	完顏洪烈同伴掉落	SendTimeFrameMail	15	4:05										OpenDay279	1	活動預告\n    [FFFE0D]SSS級同伴「完顏洪烈」[-]產出提示：%date起始攻城戰將新增產出[FFFE0D]SSS級同伴「完顏洪烈」[-]，請諸位俠士周知！\n   詳情請查看活動日曆介面的攻城戰介紹！	Coin|1000	
OpenLevel69	-1	開放家園系統	SendTimeFrameMail		4:05										OpenDay33	1	家園開放預告\n    諸位俠士，[FFFE0D]家園系統[-]將於%date開放，屆時可前往[FFFE0D][url=npc:真兒, 2279, 10][-]處接受家園建造任務，完成後即可免費獲得屬於自己的一片小天地。\n\n                                               [00FF00][url=openwnd:家園介紹, GeneralHelpPanel, "HouseHelp"][-]	Coin|1000	
OpenLevel79	3	開放3級家園	SendTimeFrameMail		4:05										OpenDay69	1	活動預告\n    【預告】%date開放新內容：家園等級限制開放至3級。	Coin|1000	
OpenLevel79	3	開放3級傢俱製作	SendTimeFrameMail		4:05										OpenDay99	1	活動預告\n    【預告】%date開放新內容：傢俱坊開放3級傢俱製作。	Coin|1000	
OpenLevel89	4	開放4級家園	SendTimeFrameMail		4:05										OpenDay114	1	活動預告\n    【預告】%date開放新內容：家園等級限制開放至4級。	Coin|1000	
OpenLevel99	5	開放5級家園	SendTimeFrameMail		4:05										OpenDay174	1	活動預告\n    【預告】%date開放新內容：家園等級限制開放至5級。	Coin|1000	
OpenLevel99	4	開放4級傢俱製作	SendTimeFrameMail		4:05										OpenDay224	1	活動預告\n    【預告】%date開放新內容：傢俱坊開放4級傢俱製作	Coin|1000	
OpenLevel109	3	開放6級家園	SendTimeFrameMail		4:05										OpenDay249	1	活動預告\n    【預告】%date開放新內容：家園等級限制開放至6級。	Coin|1000	
OpenLevel119	5	開放5級傢俱製作	SendTimeFrameMail		4:05										OpenDay399	1	活動預告\n    【預告】%date開放新內容：傢俱坊開放5級傢俱製作	Coin|1000	
OpenLevel109	20	完顏洪烈本命武器掉落	SendTimeFrameMail	15	4:05										OpenDay279	1	活動預告\n    完顏洪烈本命武器「金龍禦鷹手」即將重見天日！\n    %date起[FFFE0D]攻城戰[-]將新增產出[FFFE0D]完顏洪烈本命武器「金龍禦鷹手」[-]，請諸位俠士周知！\n   活動詳情請查看活動日曆介面的攻城戰活動介紹！	Coin|1000	1
OpenLevel119	1	珍寶閣降價	SendTimeFrameMail	1	4:05										OpenLevel119	1	每週限購降價\n    隨著伺服器開放119級等級上限，商會老闆萬金財決定降價珍寶閣【每週限購】內的部分物品，助力諸位俠士早日成為武林翹楚。\n    [FFFE0D]藍水晶[-]\n    原價：120元寶        現價：100元寶\n    [FFFE0D]紫水晶[-]\n    原價：560元寶        現價：480元寶\n    [FFFE0D]破損的神秘礦石[-]\n    原價：20元寶          現價：15元寶\n    [FFFE0D]普通的神秘礦石[-]\n    原價：100元寶        現價：80元寶\n    [FFFE0D]無暇的神秘礦石[-]\n    原價：480元寶        現價：400元寶		
OpenLevel129	1	行腳商人	SendTimeFrameMail		4:05											1	賈有錢的飛鴿傳書\n見信好：\n    江湖只知商會萬金財，卻少有人知我行腳商賈有錢。此次西行收穫頗多，我將會在拍賣行[FFFE0D]停留3天[-]，[FFFE0D]每天19:05[-]開設專場拍賣。屆時將競拍[FFFE0D]各類稀有珍品[-]，諸位俠士們可不要錯過哦！	Coin|1000	
OpenLevel129	25	女帝復蘇	SendTimeFrameMail		4:05										OpenLevel129Add10	1	活動預告\n    【預告】%date開放新內容：女帝復蘇\n   各位武林同道，女帝武則天將復蘇於世，還請諸位俠士早日做好準備，與幫派成員一同前往。\n   活動詳情請查看活動日曆介面！	Coin|1000	
OpenDay353	-1	跨服歷代名將開啟	SendActNewInfomation		4:05										跨服歷代名將開啟	CrossLDMJ	OpenDay353	3	
OpenLevel139	20	角色等級139級	SendTimeFrameMail		4:05										OpenLevel139	1	活動預告\n    【預告】%date開放新內容：角色等級限制開放至139級。	Coin|1000	
