KEY_GROUP	KEY_ID_BEGIN	KEY_ID_END	TYPE	PLAYER_SAVE_TABLE	SYNC	DESC
65	1	25	0		1	雙十錦繡山河活動卡片收集相關
65	50	52	0		1	雙十錦繡山河活動鑒定相關
66	1	50	0		1	週末答題活動
66	51	51	0		1	每日活躍附加活躍
66	56	60	0		1	直升數據
67	1	20	0		1	許願活動
68	1	10	0		1	登錄領獎活動
68	11	20	0		1	情人節活動
68	21	40	0		1	婦女節活動
68	41	80	0		1	武林第一美女
69	1	50	0		1	植樹節 節流
70	1	255	0		1	成就計數6到10級
71	1	255	0		1	成就計數擴展6到10級
72	1	255	0		1	榮譽成就
73	1	10	0		1	代言人任務副本
74	1	50	0		1	植樹節 節流 單植物模式
78	1	2	0		1	抽卡打折活動
79	1	10	0		1	提示引導
80	1	255	0		1	每天登入信件獎勵，掃蕩，月卡
81	1	2	0		1	盜寶賊發獎勵的最大數量
82	1	255	0		0	問卷調查完成狀態
83	1	2	0		1	增加傳功次數道具的使用個數
84	1	5	0		1	離線掛機相關
85	1	4	0		1	玩家禮包數據
86	1	25	0		1	所有sdK接入相關, 目前用到24
87	1	26	0		0	抽卡緩存
88	1	3	0		1	抽卡同步到用戶端的資訊
89	1	255	0		0	幫派紅包發放時間
90	1	2	0		0	隨機BOSS觸摸獎勵
91	1	2	0		0	武神殿歷史最高記錄
92	1	3	0		1	修煉丹的次數
93	1	80	0		0	兵甲方打造潛規則，稀有
94	1	80	0		0	兵甲方打造潛規則，傳承
95	1	1	0	0	1	秘笈
96	1	2	0		1	大師兄投票次數和投票當屆的開始時間
97	1	2	0		1	個人搶紅包次數每日上限
98	1	2	0		1	託管重置掛機時間相關的時間
99	1	2	0		1	線上託管開始時間
100	1	2	0		0	武林盟主服務端分數記錄
101	1	255	0		1	記錄同伴擁有資料
102	1	2	0		0	Vip禮包兌換補償
103	1	3	0		0	華山論劍
104	1	4	0		0	轉門派
105	1	3	0		1	華山論劍競猜
106	1	255	0		0	師徒目標進度
107	1	10	0		0	師徒稱號
108	1	1	1		0	Efun綁定的facebookId
109	1	255	0		1	名望商店
110	1	1	0		0	華山論劍榮譽
111	1	1	0		1	同伴戰鬥ID
112	1	10	0		1	玩家的屬性
113	1	1	0		1	心得書
114	1	2	0		1	心得書使用次數
115	1	4	0		1	抽獎相關
116	1	4	0		1	送祝福活動
117	1	1	0		1	組隊的自動同意資料
118	1	9	0		1	心魔幻境
119	1	2			1	成語接龍次數
120	1	2	0		1	守衛名俠次數
121	1	1	0		0	每日禮包加嗎活動
122	1	6	0		1	打雪仗
123	1	5	0		1	堆雪人
124	1	50	0		1	銘刻石
125	1	2	0		1	比武招親
126	1	255	0		1	聊天頻道首碼，及其過期時間
127	1	10	0		1	同伴覺醒
128	1	2	0		1	年獸寶箱
129	1	1	0		1	活動限制次數箱子
130	1	2	0		1	入住家園房主，入住時間
131	1	8	0		1	冥想
132	1	30	0		0	真元打造
133	1	2	0		1	養護次數
133	3	4	0		1	協助養護次數
134	1	10	0		1	技能等級上限次數
135	1	10	0		1	擴展背包道具
136	1	2	0		1	武林大會
137	1	4	0		0	家園守衛
138	1	1	0		1	上次登入時間
139	1	10	0		1	結婚
140	1	255	0		1	經脈
141	1	255	0		1	經脈
142	1	5	0		1	經脈丹田
143	1	2	0		1	獎券數量
