szTimeFrame	nNpcTID	Npc	Name	nMapId	nX	nY	Desc	nDir
OpenLevel49	1983	秋依水	見性峰	407	14900	5400	東北	48
OpenLevel49	1984	萬金財	劍門關	408	2400	10630	西南	39
OpenLevel49	1985	虞姬	劍門關	408	14770	14730	北	39
OpenLevel69	1966	納蘭潛凜	鎖雲淵	400	14350	8920	北	45
OpenLevel69	1967	納蘭真	武夷山	401	4300	13320	西	30
OpenLevel69	1968	獨孤劍	雁蕩山	402	10220	12040	東	32
OpenLevel69	1969	張琳心	洞庭湖畔	403	3400	7600	西南	25
OpenLevel69	1970	南宮飛雲	苗嶺	404	5170	2860	南	40
OpenLevel69	1971	燕若雪	點蒼山	405	14240	5440	東	0
OpenLevel69	1972	孟知秋	夜郎廢墟	409	630	4270	南	0
OpenLevel69	1973	月眉兒	響水洞	406	10450	12250	北	32
OpenLevel69	1974	楊影楓	響水洞	406	7230	630	東南	55
OpenLevel69	1975	薔薇	見性峰	407	5430	4560	南	41
OpenLevel69	1976	張如夢	見性峰	407	14900	5400	東北	48
OpenLevel69	1977	南宮彩虹	劍門關	408	2400	10630	西南	39
OpenLevel69	1978	卓非凡	劍門關	408	14770	14730	北	39
OpenLevel69	1979	紫軒	薦菊洞	410	1770	8930	西南	19
OpenLevel69	1980	柴嵩	薦菊洞	410	13400	13480	北	43
OpenLevel69	1981	楊瑛	伏牛山	411	14250	5260	東北	46
OpenLevel69	1982	胡神醫	伏牛山	411	4980	14150	西	32
OpenLevel69	1983	秋依水	古戰場	412	14666	5600	東北	50
OpenLevel69	1984	萬金財	古戰場	412	6360	14100	西	31
OpenLevel69	1985	虞姬	風陵渡	419	14630	10560	北	44
OpenLevel89	1966	納蘭潛凜	鎖雲淵	400	14350	8920	北	45
OpenLevel89	1967	納蘭真	武夷山	401	4300	13320	西	30
OpenLevel89	1968	獨孤劍	雁蕩山	402	10220	12040	東	32
OpenLevel89	1969	張琳心	洞庭湖畔	403	3400	7600	西南	25
OpenLevel89	1970	南宮飛雲	苗嶺	404	5170	2860	南	40
OpenLevel89	1971	燕若雪	點蒼山	405	14240	5440	東	0
OpenLevel89	1972	孟知秋	夜郎廢墟	409	630	4270	南	0
OpenLevel89	1973	月眉兒	響水洞	406	10450	12250	北	32
OpenLevel89	1974	楊影楓	見性峰	407	5430	4560	南	41
OpenLevel89	1975	薔薇	劍門關	408	2400	10630	西南	39
OpenLevel89	1976	張如夢	薦菊洞	410	1770	8930	西南	16
OpenLevel89	1977	南宮彩虹	伏牛山	411	14250	5260	東北	45
OpenLevel89	1978	卓非凡	古戰場	412	14666	5600	東北	50
OpenLevel89	1979	紫軒	風陵渡	419	14630	10560	北	44
OpenLevel89	1980	柴嵩	祁連山	413	16330	9830	北	41
OpenLevel89	1981	楊瑛	祁連山	413	6500	13420	西	35
OpenLevel89	1982	胡神醫	沙漠遺跡	414	3060	12980	西	40
OpenLevel89	1983	秋依水	沙漠遺跡	414	13600	2470	東	42
OpenLevel89	1984	萬金財	敦煌古城	415	14000	13780	北	40
OpenLevel89	1985	虞姬	敦煌古城	415	5940	2580	南	15
