nId	szTitle	nAnswerId	szA1	szA2	szA3	szA4
108	中國最早的神話小說是	3	《山海經》	《古鏡記》	《搜神記》	《世說新語》
109	中國古代“雙手抱拳舉過頭頂，鞠躬”這是什麼拜禮？	1	長揖	再拜	頓首	稽首
110	世界上最大的海是哪一個？	1	地中海	黑海	黃海	紅海
111	道教首創之地是哪裡？	4	齊雲山	武當山	龍虎山	鶴鳴山
112	“但願人長久，千里共嬋娟”是哪位元作家的作品？	1	蘇軾	蘇澈	蘇洵	蘇雯
113	“文章本無成，妙手偶得之”出自誰之口？	1	杜甫	李白	白居易	陶淵明
114	哈雷慧星的最早記錄是哪國人留下的？	3	美國人	英國人	中國人	德國人
115	人體最大的器官是	1	皮膚	心臟	肺	腸
116	“名不正則言不順”是哪家的思想？	2	佛家	儒家	墨家	道家
117	北極星處於天空中的	3	大熊星座	仙女座	小熊星座	獵戶座
118	人體內的水份約占體重的百分比是多少？	2	0.5	0.6	0.7	0.8
119	被稱為菊月的月份是	1	九月	十月	八月	七月
120	太陽金字塔坐落在哪裡？	2	埃及	墨西哥	印度	衣索比亞
121	“三過家門而不人”是哪一歷史人物的故事？	1	大禹	夏啟	黃帝	蚩尤
122	“七月流火”指天氣	2	炎熱	轉涼	轉熱	涼爽
123	《本草綱目》的作者是	3	華佗	扁鵲	李時珍	李善蘭
124	薄公英靠什麼傳播種子？	4	蜜蜂	動物	雨滴	風力
125	引起中毒的“煤氣”中主要的有毒氣體是	1	一氧化碳	二氧化碳	硫化氫	二氧化硫
126	舞曲中的“圓舞曲”也叫	2	探戈	華爾滋	桑巴	踢踏舞
127	“國色天香”最初形容的是	3	美人	玫瑰	牡丹	荷花
128	《一千零一夜》又名《天方夜譚》，這裡的“天方”是指	4	古巴比倫	古埃及	古印度	古代阿拉伯
129	《十面埋伏》是	1	琵琶曲	古琴曲	二胡曲	洞簫曲
130	號“六一居士”的是	2	李白	歐陽修	白居易	李清照
131	“智者千慮，必有一失”語出	3	論語	孟子	晏子春秋	戰國策
132	國際象棋共有多少顆棋子？	4	16	24	30	32
133	世界上最深的湖在哪個國家？	1	俄羅斯	中國	墨西哥	英國
134	人體最大的解毒器官是	2	腎臟	肝臟	大腸	小腸
135	為什麼女士服裝的扣子都釘在左邊？	3	表示尊卑	風俗習慣	方便傭人系扣	美觀大方
136	中國著名的趙州橋建於哪個朝代？	4	周	宋	唐	隋
137	古代六藝中的“禦”是指	1	駕車	騎馬	劍術	摔跤
138	、被稱為“命運交響曲”的是貝多芬的	2	第三交響曲	第五交響曲	第一交響曲	第四交響曲
139	中國象棋的雙方各有幾種棋子？	3	五種	六種	七種	八種
140	屈原是春秋時代哪國人？	4	秦國	齊國	燕國	楚國
141	中國最早的敘事詩是	1	孔雀東南飛	木蘭辭	離騷	國風
142	“金屋藏嬌”的故事與哪一位皇帝有關？	2	曹操	漢武帝	董卓	呂布
143	人腦中控制人平衡力的是	3	腦幹	大腦	小腦	下丘腦
144	古代歐洲文明發源於	4	瑪雅文明	古巴比倫	古埃及	愛琴文明
145	“藕”是蓮的	1	莖	根	杆	葉
146	諸葛亮的辦公地點，武侯祠在什麼地方？	2	湖北襄陽	四川成都	雲南大理	河南洛陽
147	古詩雲：洞庭天下水，岳陽天下樓。岳陽樓在哪座湖上？	3	潘陽湖	洪湖	洞庭湖	青島湖
148	急性扭傷後應立即	4	扭動	按摩	熱敷	冷敷
149	“碧螺春”是一種	1	綠茶	紅茶	福茶	烏龍茶
150	以下哪一類茶是半發酵茶？	2	綠茶	福茶	烏龍茶	紅茶
151	從何時起，對最高統治者稱“王”？	3	周	夏	商	隋
152	“君子之交淡若水，小人之交甘若醴”出自下列哪部作品？	4	老子	論語	史記	莊子
153	下列哪部作品不屬於杜甫的“三別”？	4	新婚別	垂老別	無家別	生死別
154	泰戈爾是印度著名作家、詩人，于1913年獲得諾貝爾文學獎，為其贏得該獎的作品是	4	飛鳥集	新月集	園丁集	吉檀迦利
155	“碧雲天，黃葉地，北雁南飛”語出	2	木蘭辭	西廂記	孔雀東南飛	陌上桑
156	四大名茶之一的龍井茶產地是	4	福建安溪	雲南普洱	河南信陽	浙江杭州
157	白菜屬於什麼科？	3	豆科	菊科	十字花科	薔薇科
158	世界上迄今為止保存的最完整的最早的一部成文法典是	1	漢謨拉比法典	摩奴法典	十二銅表法	國法大全
159	蚯蚓的血是什麼顏色	3	白色	藍色	紅色	黑色
160	“我愛吾師，我更愛智慧。”是下列哪位哲學家說的？	1	蘇格拉底	亞里斯多德	尼采	阿拉克薩哥拉
161	中國傳統工藝有“三絕”，下列不是的是？	4	景泰藍	景德鎮瓷器	脫胎瓷器	宜興紫砂
162	中國古代中最早提到小孔成像的原理的著作是？	2	九章算術	墨經	天工開物	四庫全書
163	五大淡水湖中面積最大的是	1	潘陽湖	洞庭湖	洪湖	青島湖
164	《孫子兵法》是中國對世界的一大貢獻，請問這本兵書有多少篇？	2	12	13	14	15
165	紙張取代簡牘成為最主要的書寫材料是在	3	戰國時期	秦漢時期	魏晉南北朝時期	隋唐時期
166	黃河注入什麼海？	1	渤海	黃海	東海	南海
167	中國古代“不惑”是指男子多少歲？	2	30	40	50	60
168	一本書共100頁，小明第一天看了1/5，第二天看了剩下的1/4，第三天看完，看了多少頁？	3	50	55	60	65
169	1英寸等於多少毫米？	2	18.5	25.4	33.2	41.5
170	10歲時，人腦的容積已達成人的	4	0.8	0.85	0.9	0.95
171	咖啡的故鄉是哪裡？	4	亞洲	美洲	大洋洲	非洲
172	中國發現最早的紙幣是在哪個時期？	2	唐	宋	元	明
173	神話《白蛇傳》中“白娘娘盜仙草”盜的是	3	人參	冬蟲夏草	靈芝	蟠桃
174	下列河流哪一條是世界流程最長	1	尼羅河	長江	亞馬遜河	密西西比河
175	史書《資治通鑒》是屬於哪一類體例的歷史？	3	紀傳體	紀事本末體	編年體	國別體
176	阿姆斯壯是乘哪個飛船成功登月的？	1	阿波羅11號	阿波羅12號	和平5號	愛國者6號
177	下列中國哪個古跡被譽為“世界八大奇跡”？	3	萬里長城	樂山大佛	秦始皇兵馬俑	莫高窟
178	“隱形飛機”是指什麼樣的飛機？	4	肉眼不可見	體積小	聲呐探測不到	雷達探測不到
179	中國是在哪個時期進入奴隸社會的？	1	夏	商	戰國	周
180	三原色是指	3	紅黃藍	紅黃青	紅綠藍	紅黃綠
181	流行性感冒的病原是	2	細菌	病毒	衣原體	支原體
182	愛滋病的醫學全名是什麼？	4	埃博拉病毒	全身免疫系統紊亂症	體液癌症	獲得性免疫缺陷綜合症
183	“江山社稷”中的“稷”在古代是指	3	土地之神	黎民百姓	五穀之神	祈求豐收
184	由唐代詩人賈島和韓愈斟酌的詩句引申而來的詞語	2	切磋	推敲	琢磨	品味
185	京劇中的臉譜使人的性格一目了然，一般紅色臉譜代表	3	耿直	奸邪	忠勇	圓滑
186	“相敬如賓”最初是指什麼人之間相互尊敬的樣子？	4	君臣	朋友	兄弟	夫妻
187	能夠有效地阻擋太陽的紫外線輻射的氣層是	2	大氣上層	臭氧層	大氣下層	外大氣層
188	蜻蜓“點水”的目的是什麼？	1	產卵	喝水	覓食	排泄
189	世界上是被稱為“教育王國”的哪一個國家？	3	中國	美國	以色列	日本
190	請問:火車連續發出兩聲長鳴，這表示	3	前進	停留	倒退	故障
191	“不為五斗米折腰”的古代人物是	1	陶淵明	紀曉嵐	李白	杜甫
192	“四羊方尊”是哪個朝代的文物？	2	夏	商	戰國	周
193	成語“雞鳴狗盜”與戰國四君子哪位有所關聯？	3	春申君	平原君	孟嘗君	信陵君
194	春秋戰國時期的“諸子百家”不包括	1	佛家	道家	儒家	墨家
195	中國哪位皇帝採取了“焚書坑儒”的政策	1	秦始皇	周文王	商紂王	隋煬帝
196	三國時建造“銅雀台”的是誰？	2	劉備	曹操	孫權	劉表
197	三國時期“火燒連營”一戰的對陣雙方是	1	陸遜、劉備	關羽、曹操	張飛、夏侯惇	周瑜、諸葛亮
198	“床前明月光”的“床“是什麼意思？	3	窗臺	屋簷	井欄	臥床
