nEventId	nTypeId	szTyepName	nTarget	nBaseGold	szAddGoldList	nCount	nAverageMin
98	67	武林大会十六强		3000	15000_6000_3000	80	30
99	68	武林大会精英		500	2500_1000_500	30	5
100	69	武林大会冠军（全服红包）		50000	250000_100000_50000	500	100
101	70	武林大会四强（全服红包）		10000	50000_20000_10000	200	50
102	71	购买感激涕零礼包		1000	5000_2000_1000	50	20
103	72	购买投桃报李礼包		600	3000_1200_600	40	15
104	73	购买知恩图报礼包		400	2000_800_400	30	13
105	74	购买饮水思源礼包		150	750_300_150	20	7
106	75	行脚商拍卖竞价超1千元宝		1000	5000_2000_1000	100	10
107	76	行脚商拍卖竞价超2千元宝		2000	10000_4000_2000	100	20
108	77	行脚商拍卖竞价超5千元宝		5000	25000_10000_5000	150	33
109	78	行脚商拍卖竞价超1万元宝		10000	50000_20000_10000	200	50
110	79	行脚商拍卖竞价超2万元宝		20000	100000_40000_20000	300	66
111	80	行脚商拍卖竞价超5万元宝		50000	250000_100000_50000	600	83
112	81	行脚商拍卖竞价超10万元宝		100000	500000_200000_100000	1000	100
113	82	行脚商拍卖竞价超12万元宝		120000	600000_240000_120000	1000	120
114	83	行脚商拍卖竞价超15万元宝		150000	750000_300000_150000	1000	150
115	84	行脚商拍卖竞价超18万元宝		180000	900000_360000_180000	1000	180
116	85	行脚商拍卖竞价超20万元宝		200000	1000000_400000_200000	1000	200
121	90	举办庄园·晚樱连理婚礼	5	1000	5000_2000_1000	50	10
122	90	举办庄园·晚樱连理婚礼	6	1000	5000_2000_1000	50	10
123	90	举办庄园·晚樱连理婚礼	7	2000	10000_4000_2000	50	40
124	90	举办庄园·晚樱连理婚礼	8	2000	10000_4000_2000	50	40
125	90	举办庄园·晚樱连理婚礼	9	3500	17500_7000_3500	50	70
126	90	举办庄园·晚樱连理婚礼	10	3500	17500_7000_3500	50	70
127	90	举办庄园·晚樱连理婚礼	11	3500	17500_7000_3500	50	70
128	90	举办庄园·晚樱连理婚礼	12	3500	17500_7000_3500	50	70
129	90	举办庄园·晚樱连理婚礼	13	3500	17500_7000_3500	50	70
130	90	举办庄园·晚樱连理婚礼	14	3500	17500_7000_3500	50	70
131	90	举办庄园·晚樱连理婚礼	15	3500	17500_7000_3500	50	70
132	90	举办庄园·晚樱连理婚礼	16	3500	17500_7000_3500	50	70
133	90	举办庄园·晚樱连理婚礼	17	3500	17500_7000_3500	50	70
134	90	举办庄园·晚樱连理婚礼	18	3500	17500_7000_3500	50	70
135	91	举办海岛·红鸾揽月婚礼	9	3000	15000_6000_3000	50	60
136	91	举办海岛·红鸾揽月婚礼	10	6000	30000_12000_6000	100	60
137	91	举办海岛·红鸾揽月婚礼	11	6000	30000_12000_6000	100	60
138	91	举办海岛·红鸾揽月婚礼	12	10000	50000_20000_10000	100	100
139	91	举办海岛·红鸾揽月婚礼	13	10000	50000_20000_10000	100	100
140	91	举办海岛·红鸾揽月婚礼	14	10000	50000_20000_10000	100	100
141	91	举办海岛·红鸾揽月婚礼	15	10000	50000_20000_10000	100	100
142	91	举办海岛·红鸾揽月婚礼	16	10000	50000_20000_10000	100	100
143	91	举办海岛·红鸾揽月婚礼	17	10000	50000_20000_10000	100	100
144	91	举办海岛·红鸾揽月婚礼	18	10000	50000_20000_10000	100	100
145	92	举办舫舟·乘龙配凤婚礼	12	10000	50000_20000_10000	100	100
146	92	举办舫舟·乘龙配凤婚礼	13	20000	100000_40000_20000	100	200
147	92	举办舫舟·乘龙配凤婚礼	14	20000	100000_40000_20000	100	200
148	92	举办舫舟·乘龙配凤婚礼	15	20000	100000_40000_20000	100	200
149	92	举办舫舟·乘龙配凤婚礼	16	30000	150000_60000_30000	100	300
150	92	举办舫舟·乘龙配凤婚礼	17	30000	150000_60000_30000	100	300
151	92	举办舫舟·乘龙配凤婚礼	18	30000	150000_60000_30000	100	300
