Level	SSS	SSS_Base	SS	SS_Base	S	S_Base	A	A_Base	B	B_Base	C	C_Base
31	1105000	1000	1020000	1000	935000	1000	850000	1000	680000	1000	510000	1000
32	1235000	1000	1140000	1000	1045000	1000	950000	1000	760000	1000	570000	1000
33	1365000	1000	1260000	1000	1155000	1000	1050000	1000	840000	1000	630000	1000
34	1495000	1000	1380000	1000	1265000	1000	1150000	1000	920000	1000	690000	1000
35	1625000	1000	1500000	1000	1375000	1000	1250000	1000	1000000	1000	750000	1000
36	1755000	1000	1620000	1000	1485000	1000	1350000	1000	1080000	1000	810000	1000
37	1885000	1000	1740000	1000	1595000	1000	1450000	1000	1160000	1000	870000	1000
38	2015000	1000	1860000	1000	1705000	1000	1550000	1000	1240000	1000	930000	1000
39	2145000	1000	1980000	1000	1815000	1000	1650000	1000	1320000	1000	990000	1000
40	2925000	1250	2700000	1250	2475000	1250	2250000	1250	1800000	1250	1350000	1250
41	3412500	1250	3150000	1250	2887500	1250	2625000	1250	2100000	1250	1575000	1250
42	3900000	1250	3600000	1250	3300000	1250	3000000	1250	2400000	1250	1800000	1250
43	4387500	1250	4050000	1250	3712500	1250	3375000	1250	2700000	1250	2025000	1250
44	4875000	1250	4500000	1250	4125000	1250	3750000	1250	3000000	1250	2250000	1250
45	5362500	1250	4950000	1250	4537500	1250	4125000	1250	3300000	1250	2475000	1250
46	5850000	1250	5400000	1250	4950000	1250	4500000	1250	3600000	1250	2700000	1250
47	6337500	1250	5850000	1250	5362500	1250	4875000	1250	3900000	1250	2925000	1250
48	6825000	1250	6300000	1250	5775000	1250	5250000	1250	4200000	1250	3150000	1250
49	7312500	1250	6750000	1250	6187500	1250	5625000	1250	4500000	1250	3375000	1250
50	9126000	1500	8424000	1500	7722000	1500	7020000	1500	5616000	1500	4212000	1500
51	9906000	1500	9144000	1500	8382000	1500	7620000	1500	6096000	1500	4572000	1500
52	10686000	1500	9864000	1500	9042000	1500	8220000	1500	6576000	1500	4932000	1500
53	11466000	1500	10584000	1500	9702000	1500	8820000	1500	7056000	1500	5292000	1500
54	12246000	1500	11304000	1500	10362000	1500	9420000	1500	7536000	1500	5652000	1500
55	13026000	1500	12024000	1500	11022000	1500	10020000	1500	8016000	1500	6012000	1500
56	13806000	1500	12744000	1500	11682000	1500	10620000	1500	8496000	1500	6372000	1500
57	14586000	1500	13464000	1500	12342000	1500	11220000	1500	8976000	1500	6732000	1500
58	15366000	1500	14184000	1500	13002000	1500	11820000	1500	9456000	1500	7092000	1500
59	16146000	1500	14904000	1500	13662000	1500	12420000	1500	9936000	1500	7452000	1500
60	23341500	1750	21546000	1750	19750500	1750	17955000	1750	14364000	1750	10773000	1750
61	24706500	1750	22806000	1750	20905500	1750	19005000	1750	15204000	1750	11403000	1750
62	26071500	1750	24066000	1750	22060500	1750	20055000	1750	16044000	1750	12033000	1750
63	27436500	1750	25326000	1750	23215500	1750	21105000	1750	16884000	1750	12663000	1750
64	28801500	1750	26586000	1750	24370500	1750	22155000	1750	17724000	1750	13293000	1750
65	30166500	1750	27846000	1750	25525500	1750	23205000	1750	18564000	1750	13923000	1750
66	31531500	1750	29106000	1750	26680500	1750	24255000	1750	19404000	1750	14553000	1750
67	32896500	1750	30366000	1750	27835500	1750	25305000	1750	20244000	1750	15183000	1750
68	34261500	1750	31626000	1750	28990500	1750	26355000	1750	21084000	1750	15813000	1750
69	35626500	1750	32886000	1750	30145500	1750	27405000	1750	21924000	1750	16443000	1750
70	41769000	2000	38556000	2000	35343000	2000	32130000	2000	25704000	2000	19278000	2000
71	43719000	2000	40356000	2000	36993000	2000	33630000	2000	26904000	2000	20178000	2000
72	45669000	2000	42156000	2000	38643000	2000	35130000	2000	28104000	2000	21078000	2000
73	47619000	2000	43956000	2000	40293000	2000	36630000	2000	29304000	2000	21978000	2000
74	49569000	2000	45756000	2000	41943000	2000	38130000	2000	30504000	2000	22878000	2000
75	51519000	2000	47556000	2000	43593000	2000	39630000	2000	31704000	2000	23778000	2000
76	53469000	2000	49356000	2000	45243000	2000	41130000	2000	32904000	2000	24678000	2000
77	55419000	2000	51156000	2000	46893000	2000	42630000	2000	34104000	2000	25578000	2000
78	57369000	2000	52956000	2000	48543000	2000	44130000	2000	35304000	2000	26478000	2000
79	59319000	2000	54756000	2000	50193000	2000	45630000	2000	36504000	2000	27378000	2000
80	62653500	2250	57834000	2250	53014500	2250	48195000	2250	38556000	2250	28917000	2250
81	65578500	2250	60534000	2250	55489500	2250	50445000	2250	40356000	2250	30267000	2250
82	68503500	2250	63234000	2250	57964500	2250	52695000	2250	42156000	2250	31617000	2250
83	71428500	2250	65934000	2250	60439500	2250	54945000	2250	43956000	2250	32967000	2250
84	74353500	2250	68634000	2250	62914500	2250	57195000	2250	45756000	2250	34317000	2250
85	77278500	2250	71334000	2250	65389500	2250	59445000	2250	47556000	2250	35667000	2250
86	80203500	2250	74034000	2250	67864500	2250	61695000	2250	49356000	2250	37017000	2250
87	83128500	2250	76734000	2250	70339500	2250	63945000	2250	51156000	2250	38367000	2250
88	86053500	2250	79434000	2250	72814500	2250	66195000	2250	52956000	2250	39717000	2250
89	88978500	2250	82134000	2250	75289500	2250	68445000	2250	54756000	2250	41067000	2250
90	97461000	2500	89964000	2500	82467000	2500	74970000	2500	59976000	2500	44982000	2500
91	102011000	2500	94164000	2500	86317000	2500	78470000	2500	62776000	2500	47082000	2500
92	106561000	2500	98364000	2500	90167000	2500	81970000	2500	65576000	2500	49182000	2500
93	111111000	2500	102564000	2500	94017000	2500	85470000	2500	68376000	2500	51282000	2500
94	115661000	2500	106764000	2500	97867000	2500	88970000	2500	71176000	2500	53382000	2500
95	120211000	2500	110964000	2500	101717000	2500	92470000	2500	73976000	2500	55482000	2500
96	124761000	2500	115164000	2500	105567000	2500	95970000	2500	76776000	2500	57582000	2500
97	129311000	2500	119364000	2500	109417000	2500	99470000	2500	79576000	2500	59682000	2500
98	133861000	2500	123564000	2500	113267000	2500	102970000	2500	82376000	2500	61782000	2500
99	138411000	2500	127764000	2500	117117000	2500	106470000	2500	85176000	2500	63882000	2500
100	156000000	2500	144000000	2500	132000000	2500	120000000	2500	96000000	2500	72000000	2500
101	159900000	2500	147600000	2500	135300000	2500	123000000	2500	98400000	2500	73800000	2500
102	163800000	2500	151200000	2500	138600000	2500	126000000	2500	100800000	2500	75600000	2500
103	167700000	2500	154800000	2500	141900000	2500	129000000	2500	103200000	2500	77400000	2500
104	171600000	2500	158400000	2500	145200000	2500	132000000	2500	105600000	2500	79200000	2500
105	175500000	2500	162000000	2500	148500000	2500	135000000	2500	108000000	2500	81000000	2500
106	179400000	2500	165600000	2500	151800000	2500	138000000	2500	110400000	2500	82800000	2500
107	183300000	2500	169200000	2500	155100000	2500	141000000	2500	112800000	2500	84600000	2500
108	187200000	2500	172800000	2500	158400000	2500	144000000	2500	115200000	2500	86400000	2500
109	191100000	2500	176400000	2500	161700000	2500	147000000	2500	117600000	2500	88200000	2500
110	195000000	2500	180000000	2500	165000000	2500	150000000	2500	120000000	2500	90000000	2500
111	198900000	2500	183600000	2500	168300000	2500	153000000	2500	122400000	2500	91800000	2500
112	202800000	2500	187200000	2500	171600000	2500	156000000	2500	124800000	2500	93600000	2500
113	206700000	2500	190800000	2500	174900000	2500	159000000	2500	127200000	2500	95400000	2500
114	210600000	2500	194400000	2500	178200000	2500	162000000	2500	129600000	2500	97200000	2500
115	214500000	2500	198000000	2500	181500000	2500	165000000	2500	132000000	2500	99000000	2500
116	218400000	2500	201600000	2500	184800000	2500	168000000	2500	134400000	2500	100800000	2500
117	222300000	2500	205200000	2500	188100000	2500	171000000	2500	136800000	2500	102600000	2500
118	226200000	2500	208800000	2500	191400000	2500	174000000	2500	139200000	2500	104400000	2500
119	230100000	2500	212400000	2500	194700000	2500	177000000	2500	141600000	2500	106200000	2500
120	230100000	2500	212400000	2500	194700000	2500	177000000	2500	141600000	2500	106200000	2500
121	234000000	2500	216000000	2500	198000000	2500	180000000	2500	144000000	2500	108000000	2500
122	239850000	2500	221400000	2500	202950000	2500	184500000	2500	147600000	2500	110700000	2500
123	245700000	2500	226800000	2500	207900000	2500	189000000	2500	151200000	2500	113400000	2500
124	251550000	2500	232200000	2500	212850000	2500	193500000	2500	154800000	2500	116100000	2500
125	257400000	2500	237600000	2500	217800000	2500	198000000	2500	158400000	2500	118800000	2500
126	263250000	2500	243000000	2500	222750000	2500	202500000	2500	162000000	2500	121500000	2500
127	269100000	2500	248400000	2500	227700000	2500	207000000	2500	165600000	2500	124200000	2500
128	274950000	2500	253800000	2500	232650000	2500	211500000	2500	169200000	2500	126900000	2500
129	280800000	2500	259200000	2500	237600000	2500	216000000	2500	172800000	2500	129600000	2500
130	280800000	2500	259200000	2500	237600000	2500	216000000	2500	172800000	2500	129600000	2500
