UpgradeID	DESC	PlayerLevel	TimeFrame	BookLevel	BookSkillLevel	CostItem1	CostItemCount1	CostItem2	CostItemCount2
3268	秘籍·暴雨梨花	70	OpenLevel69	100	10	3268	2	2424	200
3269	秘籍·迷影纵	75	OpenLevel69	100	10	3269	2	2424	200
3270	秘籍·九宫飞星	80	OpenLevel69	100	10	3270	2	2424	200
3271	秘籍·仙人指路	65	OpenLevel69	100	10	3271	2	2424	200
3272	秘籍·啸风三连击	70	OpenLevel69	100	10	3272	2	2424	200
3273	秘籍·混沌剑阵	75	OpenLevel69	100	10	3273	2	2424	200
3274	秘籍·雷动九天	80	OpenLevel69	100	10	3274	2	2424	200
4021	秘籍·亢龙有悔	65	OpenLevel69	100	10	4021	2	2424	200
4022	秘籍·困龙功	70	OpenLevel69	100	10	4022	2	2424	200
4023	秘籍·醉蝶狂舞	75	OpenLevel69	100	10	4023	2	2424	200
4024	秘籍·龙战于野	80	OpenLevel69	100	10	4024	2	2424	200
4025	秘籍·阴风蚀骨	65	OpenLevel69	100	10	4025	2	2424	200
4026	秘籍·召唤毒虫	70	OpenLevel69	100	10	4026	2	2424	200
4027	秘籍·迷心蛊	75	OpenLevel69	100	10	4027	2	2424	200
4028	秘籍·万蛊蚀心	80	OpenLevel69	100	10	4028	2	2424	200
5201	秘籍·九溪弥烟	65	OpenLevel69	100	10	5201	2	2424	200
5202	秘籍·心剑	70	OpenLevel69	100	10	5202	2	2424	200
5203	秘籍·平湖断月	75	OpenLevel69	100	10	5203	2	2424	200
5204	秘籍·峰插云景	80	OpenLevel69	100	10	5204	2	2424	200
5205	秘籍·平沙雁落	65	OpenLevel69	100	10	5205	2	2424	200
5206	秘籍·云生结海	70	OpenLevel69	100	10	5206	2	2424	200
5207	秘籍·清音长啸	75	OpenLevel69	100	10	5207	2	2424	200
5208	秘籍·江逐月天	80	OpenLevel69	100	10	5208	2	2424	200
2725	中级秘籍·野蛮冲撞	85	OpenLevel99	150	15	2398	5	2424	300
2726	中级秘籍·血战八方	90	OpenLevel99	150	15	2401	5	2424	300
2728	中级秘籍·金钟罩	95	OpenLevel99	150	15	2719	5	2424	300
2727	中级秘籍·霸王怒吼	100	OpenLevel99	150	15	2402	5	2424	300
2732	中级秘籍·江海凝波	85	OpenLevel99	150	15	2720	5	2424	300
2729	中级秘籍·天舞宝轮	90	OpenLevel99	150	15	2403	5	2424	300
2730	中级秘籍·慈航普渡	95	OpenLevel99	150	15	2404	5	2424	300
2731	中级秘籍·白露凝霜	100	OpenLevel99	150	15	2405	5	2424	300
2737	中级秘籍·飞火流星	85	OpenLevel99	150	15	2409	5	2424	300
2740	中级秘籍·九耀连珠	90	OpenLevel99	150	15	2722	5	2424	300
2738	中级秘籍·火凤燎原	95	OpenLevel99	150	15	2410	5	2424	300
2739	中级秘籍·穿云破月	100	OpenLevel99	150	15	2411	5	2424	300
2736	中级秘籍·白虹贯日	85	OpenLevel99	150	15	2721	5	2424	300
2733	中级秘籍·七探蛇盘	90	OpenLevel99	150	15	2406	5	2424	300
2734	中级秘籍·斗转星移	95	OpenLevel99	150	15	2407	5	2424	300
2735	中级秘籍·风卷残云	100	OpenLevel99	150	15	2408	5	2424	300
2741	中级秘籍·剑飞惊天	85	OpenLevel99	150	15	2412	5	2424	300
2742	中级秘籍·坐忘无我	90	OpenLevel99	150	15	2413	5	2424	300
2743	中级秘籍·天地无极	95	OpenLevel99	150	15	2414	5	2424	300
2744	中级秘籍·人剑合一	100	OpenLevel99	150	15	2723	5	2424	300
2748	中级秘籍·死亡回旋	85	OpenLevel99	150	15	2724	5	2424	300
2745	中级秘籍·魔焰在天	90	OpenLevel99	150	15	2415	5	2424	300
2746	中级秘籍·血月之影	95	OpenLevel99	150	15	2416	5	2424	300
2747	中级秘籍·摄魂乱心	100	OpenLevel99	150	15	2417	5	2424	300
2751	中级秘籍·降龙棍	85	OpenLevel99	150	15	2713	5	2424	300
2752	中级秘籍·大力金刚指	90	OpenLevel99	150	15	2714	5	2424	300
2753	中级秘籍·金刚伏魔	95	OpenLevel99	150	15	2715	5	2424	300
2754	中级秘籍·十二擒龙手	100	OpenLevel99	150	15	2749	5	2424	300
2755	中级秘籍·璇玑罗舞	85	OpenLevel99	150	15	2716	5	2424	300
2756	中级秘籍·雨打梨花	90	OpenLevel99	150	15	2717	5	2424	300
2757	中级秘籍·召唤啵啵	95	OpenLevel99	150	15	2718	5	2424	300
2758	中级秘籍·冰踪无影	100	OpenLevel99	150	15	2750	5	2424	300
3275	中级秘籍·缠身刺	85	OpenLevel99	150	15	3267	5	2424	300
3276	中级秘籍·暴雨梨花	90	OpenLevel99	150	15	3268	5	2424	300
3277	中级秘籍·迷影纵	95	OpenLevel99	150	15	3269	5	2424	300
3278	中级秘籍·九宫飞星	100	OpenLevel99	150	15	3270	5	2424	300
3279	中级秘籍·仙人指路	85	OpenLevel99	150	15	3271	5	2424	300
3280	中级秘籍·啸风三连击	90	OpenLevel99	150	15	3272	5	2424	300
3281	中级秘籍·混沌剑阵	95	OpenLevel99	150	15	3273	5	2424	300
3282	中级秘籍·雷动九天	100	OpenLevel99	150	15	3274	5	2424	300
4029	中级秘籍·亢龙有悔	85	OpenLevel99	150	15	4021	5	2424	300
4030	中级秘籍·困龙功	90	OpenLevel99	150	15	4022	5	2424	300
4031	中级秘籍·醉蝶狂舞	95	OpenLevel99	150	15	4023	5	2424	300
4032	中级秘籍·龙战于野	100	OpenLevel99	150	15	4024	5	2424	300
4033	中级秘籍·阴风蚀骨	85	OpenLevel99	150	15	4025	5	2424	300
4034	中级秘籍·召唤毒虫	90	OpenLevel99	150	15	4026	5	2424	300
4035	中级秘籍·迷心蛊	95	OpenLevel99	150	15	4027	5	2424	300
4036	中级秘籍·万蛊蚀心	100	OpenLevel99	150	15	4028	5	2424	300
5209	中级秘籍·九溪弥烟	85	OpenLevel99	150	15	5201	5	2424	300
5210	中级秘籍·心剑	90	OpenLevel99	150	15	5202	5	2424	300
5211	中级秘籍·平湖断月	95	OpenLevel99	150	15	5203	5	2424	300
5212	中级秘籍·峰插云景	100	OpenLevel99	150	15	5204	5	2424	300
5213	中级秘籍·平沙雁落	85	OpenLevel99	150	15	5205	5	2424	300
5214	中级秘籍·云生结海	90	OpenLevel99	150	15	5206	5	2424	300
5215	中级秘籍·清音长啸	95	OpenLevel99	150	15	5207	5	2424	300
5216	中级秘籍·江逐月天	100	OpenLevel99	150	15	5208	5	2424	300
