nFurnitureItemId	IS_NEW	Desc	nWorldMsg	nKinMsg	nScale	nPX	nPY	nPZ	nRX	nRY	nRZ	szCost1	szCost2	szCost3	szCost4	szCost5
4096		幻彩流光圓桌		702	0.35	0	85	17	-11	-57	14	Contrib|6000	Item|4299|3	Item|4309|3		
4097		紫檀鎏金圓桌		702	0.35	0	85	17	-11	-57	14	Contrib|12000	Item|4300|3	Item|4310|3		
4098		松木案			0.35	0	85	17	-11	-57	14	Contrib|600	Item|4296|3	Item|4316|3		
4099		樺木案			0.35	0	85	17	-11	-57	14	Contrib|1500	Item|4297|3	Item|4317|3		
4100		墨香案			0.35	0	85	17	-11	-57	14	Contrib|3000	Item|4298|3	Item|4318|3		
4101		幻彩流光案		702	0.35	0	85	17	-11	-57	14	Contrib|6000	Item|4299|3	Item|4319|3		
4102		紫檀鎏金案		702	0.35	0	85	17	-11	-57	14	Contrib|12000	Item|4300|3	Item|4320|3		
4103		松木方案			0.35	0	85	17	-11	-57	14	Contrib|600	Item|4296|3	Item|4316|3		
4104		樺木方案			0.35	0	85	17	-11	-57	14	Contrib|1500	Item|4297|3	Item|4317|3		
4105		墨香方案			0.35	0	85	17	-11	-57	14	Contrib|3000	Item|4298|3	Item|4318|3		
4106		幻彩流光方案		702	0.35	0	85	17	-11	-57	14	Contrib|6000	Item|4299|3	Item|4319|3		
4107		紫檀鎏金方案		702	0.35	0	85	17	-11	-57	14	Contrib|12000	Item|4300|3	Item|4320|3		
4108		松木翹頭案			0.35	0	85	17	-11	-57	14	Contrib|600	Item|4296|3	Item|4316|3		
4109		樺木翹頭案			0.35	0	85	17	-11	-57	14	Contrib|1500	Item|4297|3	Item|4317|3		
4110		墨香翹頭案			0.35	0	85	17	-11	-57	14	Contrib|3000	Item|4298|3	Item|4318|3		
4111		幻彩流光翹頭案		702	0.35	0	85	17	-11	-57	14	Contrib|6000	Item|4299|3	Item|4319|3		
4112		紫檀鎏金翹頭案		702	0.35	0	85	17	-11	-57	14	Contrib|12000	Item|4300|3	Item|4320|3		
4113		松木盆景架			0.35	0	85	17	-11	-57	14	Contrib|600	Item|4296|3	Item|4306|3		
4114		樺木盆景架			0.35	0	85	17	-11	-57	14	Contrib|1500	Item|4297|3	Item|4307|3		
4115		墨香盆景架			0.35	0	85	17	-11	-57	14	Contrib|3000	Item|4298|3	Item|4308|3		
4116		幻彩流光盆景架		702	0.35	0	85	17	-11	-57	14	Contrib|6000	Item|4299|3	Item|4309|3		
4117		紫檀鎏金盆景架		702	0.35	0	85	17	-11	-57	14	Contrib|12000	Item|4300|3	Item|4310|3		
4118		松木棋盤			0.35	0	85	17	-11	-57	14	Contrib|600	Item|4296|3	Item|4306|3		
4119		樺木棋盤			0.35	0	85	17	-11	-57	14	Contrib|1500	Item|4297|3	Item|4307|3		
4120		墨香棋盤			0.35	0	85	17	-11	-57	14	Contrib|3000	Item|4298|3	Item|4308|3		
4121		幻彩流光棋盤		702	0.35	0	85	17	-11	-57	14	Contrib|6000	Item|4299|3	Item|4309|3		
4122		紫檀鎏金棋盤		702	0.35	0	85	17	-11	-57	14	Contrib|12000	Item|4300|3	Item|4310|3		
4123		稻禾蒲團			0.5	0	85	3	-19	7	-4	Contrib|200	Item|4301|2			
4124		筍殼蒲團			0.5	0	85	3	-19	7	-4	Contrib|500	Item|4302|2			
4125		紫羅蘭			0.5	0	85	3	-19	7	-4	Contrib|1000	Item|4303|2			
4126		冷玉琅繯			0.5	0	85	3	-19	7	-4	Contrib|2000	Item|4304|2			
4127		紫玉成煙			0.5	0	85	3	-19	7	-4	Contrib|4000	Item|4305|2			
4128		粗麻方墊			0.5	0	85	3	-19	7	-4	Contrib|200	Item|4301|2			
4129		棉質方墊			0.5	0	85	3	-19	7	-4	Contrib|500	Item|4302|2			
4130		幽芳			0.5	0	85	3	-19	7	-4	Contrib|1000	Item|4303|2			
4131		紅塵客夢			0.5	0	85	3	-19	7	-4	Contrib|2000	Item|4304|2			
4132		金蘭			0.5	0	85	3	-19	7	-4	Contrib|4000	Item|4305|2			
4133		松木長凳			0.5	6	87	19	-8	-59	17	Contrib|200	Item|4296|1	Item|4306|1		
4134		樺木長凳			0.5	6	87	19	-8	-59	17	Contrib|500	Item|4297|1	Item|4307|1		
4135		墨香圓凳			0.5	3	86	16	-10	-47	10	Contrib|1000	Item|4298|1	Item|4308|1		
4136		幻彩流光圓凳			0.5	3	86	16	-10	-47	10	Contrib|2000	Item|4299|1	Item|4309|1		
4137		紫檀鎏金圓凳			0.5	3	86	16	-10	-47	10	Contrib|4000	Item|4300|1	Item|4310|1		
4138		松木椅			0.5	2	87	20	-10	-59	16	Contrib|200	Item|4296|1	Item|4306|1		
4139		核桃木扶手椅			0.5	2	87	20	-10	-59	16	Contrib|1000	Item|4298|1	Item|4308|1		
4140		朱丹描金椅			0.5	2	87	20	-10	-59	16	Contrib|4000	Item|4300|1	Item|4310|1		
4141		松木浴盆			1	4	-350	3000	-12	-56	19	Contrib|1200	Item|4296|6	Item|4306|6		
4142		樺木浴盆			1	4	-350	3000	-12	-56	19	Contrib|3000	Item|4297|6	Item|4307|6		
4143		墨香浴盆		702	1	4	-350	3000	-12	-56	19	Contrib|6000	Item|4298|6	Item|4308|6		
4144		鏡花水月		702	1	4	-350	3000	-12	-56	19	Contrib|16000	Item|4299|8	Item|4309|8		
4145		瓊瑤碧落		702	1	4	-350	3000	-12	-56	19	Contrib|32000	Item|4300|8	Item|4310|8		
4146		虎嘯山林		702	0.3	40	154	-2	-12	-57	23	Contrib|6000	Item|4319|6			
4147		飛熊入夢		702	0.3	40	180	-2	-12	-57	23	Contrib|12000	Item|4320|6			
4148		星懸長空（中）			0.28	9	144	-2	-24	40	-10	Contrib|1500	Item|4317|6			
4149		海枯石爛（中）			0.28	9	144	-2	-24	40	-10	Contrib|3000	Item|4318|6			
4150		火鳳金鸞地衣（中）		702	0.28	9	156	-2	-24	40	-10	Contrib|6000	Item|4319|6			
4151		金榜提名（中）		702	0.25	18	156	-2	-24	40	-10	Contrib|12000	Item|4320|6			
4152		星懸長空（大）			0.2	15	180	5	-11	-67	28	Contrib|1500	Item|4317|6			
4153		海枯石爛（大）			0.2	15	180	5	-11	-67	28	Contrib|3000	Item|4318|6			
4154		火鳳金鸞地衣（大）		702	0.2	15	180	5	-11	-67	28	Contrib|6000	Item|4319|6			
4155		金榜提名（大）		702	0.2	15	180	5	-11	-67	28	Contrib|12000	Item|4320|6			
4156	1	幻彩流光地衣（中）		702	0.28	9	156	-2	-24	40	-10	Contrib|6000	Item|4319|6			
4157	1	幻彩流光地衣（大）		702	0.2	15	180	5	-11	-67	28	Contrib|6000	Item|4319|6			
4221		松木錦盒			0.45	0	88	26	-6	-64	16	Contrib|400	Item|4296|2	Item|4316|2		
4222		百寶箱			0.45	0	88	26	-6	-64	16	Contrib|2000	Item|4298|2	Item|4318|2		
4223		雙龍銜珠		702	0.45	0	88	26	-6	-64	16	Contrib|8000	Item|4300|2	Item|4320|2		
4224		金枝玉葉（合）			0.35	-7	0	16	-7	-61	12	Contrib|1000	Item|4297|2	Item|4302|2		
4225		寒梅傲雪			0.4	5	48	29	-5	-72	16	Contrib|4000	Item|4299|2	Item|4324|2		
4226		青松迎客		702	0.4	5	48	29	-5	-72	16	Contrib|8000	Item|4300|2	Item|4325|2		
4227		粗麻屏風			0.35	-7	28	16	-7	-61	12	Contrib|400	Item|4296|2	Item|4301|2		
4228		金枝玉葉（張）			0.35	-7	9	16	-7	-61	12	Contrib|1000	Item|4297|2	Item|4302|2		
4229		太嶽入雲			0.32	-7	15	16	-7	-61	12	Contrib|2000	Item|4298|2	Item|4303|2		
4230		三生連理			0.35	-7	17	16	-7	-61	12	Contrib|4000	Item|4299|2	Item|4304|2		
4231		星懸長空（小）			0.35	1	109	26	-9	-61	27	Contrib|1000	Item|4317|4			
4232		海枯石爛（小）			0.35	1	109	26	-9	-61	27	Contrib|2000	Item|4318|4			
4233		火鳳金鸞地衣（小）			0.35	1	109	26	-9	-61	27	Contrib|4000	Item|4319|4			
4234		金榜提名（小）		702	0.35	1	109	26	-9	-61	27	Contrib|8000	Item|4320|4			
4235		銅雀香爐			0.45	0	40	28	-16	-12	3	Contrib|400	Item|4306|2	Item|4311|2		
4236		玉蓮香爐			0.45	-8	41	31	-11	44	-11	Contrib|1000	Item|4307|2	Item|4312|2		
4237		熟銅香爐			0.45	-2	40	28	-8	-61	14	Contrib|2000	Item|4308|2	Item|4313|2		
4238		七繡雲香			0.45	-3	40	27	-5	-72	15	Contrib|4000	Item|4309|2	Item|4314|2		
4239		翠玉爐襯紫金葫蘆		702	0.45	6	41	32	-4	-77	15	Contrib|8000	Item|4310|2	Item|4315|2		
5225	1	幻彩流光地衣（小）			0.35	1	109	26	-9	-61	27	Contrib|4000	Item|4319|4			
4162		松木燈			0.4	0	12	44	-17	15	-5	Contrib|200	Item|4296|1	Item|4306|1		
4163		樺木燈			0.4	0	12	44	-17	15	-5	Contrib|500	Item|4297|1	Item|4307|1		
4164		墨香燈			0.4	0	12	44	-17	15	-5	Contrib|1000	Item|4298|1	Item|4308|1		
4165		幻彩流光燈			0.4	0	12	44	-17	15	-5	Contrib|2000	Item|4299|1	Item|4309|1		
4166		紫檀鎏金燈			0.4	0	12	44	-17	15	-5	Contrib|4000	Item|4300|1	Item|4310|1		
4167		絳桃春			0.4	0	24	30	-8	-63	21	Contrib|200	Item|4311|2			
4168		鬱金香			0.4	0	15	54	-7	-67	16	Contrib|500	Item|4312|2			
4169		青玉瓷瓶			0.4	0	-2	46	-6	-69	17	Contrib|1000	Item|4313|2			
4170		一剪梅			0.37	0	-14	56	5	-106	20	Contrib|2000	Item|4314|2			
4171		七菱冰玄花			0.4	0	30	61	16	-161	5	Contrib|4000	Item|4315|2			
4172		檀香木盒			0.4	0	71	50	7	112	-16	Contrib|200	Item|4296|2			
4173		畫筒			0.4	0	59	48	12	-137	12	Contrib|500	Item|4297|1	Item|4302|1		
4240		金獅攬玉瓶			0.4	0	50	44	9	118	-15	Contrib|1000	Item|4313|2			
4241		瑞鶴仙			0.4	0	40	59	17	178	0	Contrib|2000	Item|4314|2			
4242		青花孔雀花卉紋瓶			0.4	0	57	34	-2	-73	9	Contrib|4000	Item|4315|2			
4174		輕竹簾			0.4	0	-106	-5	0	-87	1	Contrib|400	Item|4296|2	Item|4301|2		
4175		蘇幕遮			0.35	0	-18	-5	0	-87	1	Contrib|1000	Item|4307|2	Item|4302|2		
4176		一簾幽夢			0.35	0	0	-5	0	-87	1	Contrib|2000	Item|4308|2	Item|4303|2		
4177		珥金拖紫			0.35	0	0	-5	0	-87	1	Contrib|4000	Item|4309|2	Item|4304|2		
4178		金玉滿堂		702	0.4	0	-106	-5	0	-87	1	Contrib|8000	Item|4310|2	Item|4305|2		
4179		半透紗簾			0.4	0	-106	-5	0	-87	1	Contrib|1000	Item|4297|2	Item|4302|2		
4180		落霞映山圖			0.4	0	-95	71	-5	-64	10	Contrib|4000	Item|4299|2	Item|4304|2		
4181		翠笛			0.4	0	-106	-5	0	-87	1	Contrib|400	Item|4296|2	Item|4306|2		
4182		滿月阮			0.4	0	-106	-5	0	-87	1	Contrib|1000	Item|4297|2	Item|4307|2		
4183		浣花琵琶			0.4	0	-106	-5	0	-87	1	Contrib|2000	Item|4313|2	Item|4308|2		
4184		獨幽			0.4	0	-106	-47	0	-87	-7	Contrib|4000	Item|4314|2	Item|4309|2		
4185		大聖遺音		702	0.4	0	-106	-5	0	-87	1	Contrib|8000	Item|4315|2	Item|4310|2		
4186		紅鸞星動			0.4	0	-106	-5	0	-87	1	Contrib|400	Item|4301|4			
4187		祥雲紙鳶			0.4	0	-106	-5	0	-87	1	Contrib|1000	Item|4297|2	Item|4302|2		
4188		紫珠號角			0.4	0	-106	-5	0	-87	1	Contrib|2000	Item|4298|2	Item|4313|2		
4189		山水繪卷			0.4	0	-106	-5	0	-87	1	Contrib|4000	Item|4299|2	Item|4304|2		
4190		銀翎柘木弓		702	0.4	0	-106	-5	0	-87	1	Contrib|8000	Item|4300|2	Item|4310|2		
4191		孩童秋千			0.33	0	46	32	-5	-53	7	Contrib|600	Item|4296|3	Item|4306|3		
4192		銅木兵器架			0.33	0	46	32	-5	-53	7	Contrib|1500	Item|4297|3	Item|4307|3		
4193		百花繚亂			0.33	0	61	43	-9	-58	16	Contrib|3000	Item|4323|6			
4194		萬紫千紅		702	0.33	0	68	65	0	88	-16	Contrib|6000	Item|4324|6			
4195		月明花影		702	0.3	0	46	32	-5	-53	7	Contrib|12000	Item|4300|3	Item|4310|3		
4196		青石圓桌			0.33	0	48	41	-13	-55	14	Contrib|600	Item|4321|6			
4197		三人行			0.33	40	73	41	-13	-55	14	Contrib|1500	Item|4322|6			
4198		海角奇石			0.3	0	34	32	-5	-53	7	Contrib|3000	Item|4323|6			
4199		群峰聳翠		702	0.3	0	34	32	-5	-53	7	Contrib|6000	Item|4324|6			
4200		三生三世		702	0.33	0	61	74	-8	-68	24	Contrib|12000	Item|4325|6			
4201		青石古井			0.33	0	54	49	-13	-55	15	Contrib|600	Item|4321|3	Item|4296|3		
4202		樺木鼓架			0.33	0	45	31	-3	-68	7	Contrib|1500	Item|4297|3	Item|4307|3		
4203		燕語			0.33	0	45	31	-3	-68	7	Contrib|3000	Item|4298|3	Item|4308|3		
4204		編鐘		702	0.33	0	45	31	-3	-68	7	Contrib|6000	Item|4299|3	Item|4309|3		
4205		遏雲		702	0.33	0	45	31	-3	-68	7	Contrib|12000	Item|4300|3	Item|4310|3		
5226	1	朝顏花欄			0.33	-5	85	45	-6	-71	19	Contrib|3000	Item|4298|3	Item|4308|3		
5227	1	小綠陰		702	0.25	37	10	47	-19	-26	12	Contrib|6000	Item|4299|6			
5228	1	十裡桃花		702	0.25	37	10	47	-19	-26	12	Contrib|12000	Item|4300|6			
5229	1	朝顏花棚架			0.25	-5	85	45	-6	-71	19	Contrib|3000	Item|4298|3	Item|4308|3		
5230	1	銀石雙人椅		702	0.33	15	82	26	-6	-70	19	Contrib|6000	Item|4324|3	Item|4309|3		
5231	1	鎏金雙人椅		702	0.33	15	82	26	-6	-70	19	Contrib|12000	Item|4325|3	Item|4310|3		
5232	1	浮雕照壁		702	0.23	2	71	48	-4	-66	12	Contrib|6000	Item|4324|3	Item|4309|3		
5233	1	荷花小池		702	0.27	8	96	44	-12	-46	10	Contrib|12000	Item|4325|3	Item|4300|3		
4206		青石圓凳			0.4	0	44	25	-16	0	0	Contrib|200	Item|4321|2			
4207		陳年老酒罈			0.4	0	44	25	-16	0	0	Contrib|500	Item|4322|2			
4208		赤銅壺			0.4	0	43	23	-11	41	-8	Contrib|1000	Item|4308|2			
4209		湛藍紋金象耳罐			0.4	0	44	25	-7	-64	14	Contrib|2000	Item|4314|2			
4220		海納百川			0.4	0	44	25	-8	-60	13	Contrib|4000	Item|4315|2			
4210		青石護欄			0.4	0	44	28	-7	-61	14	Contrib|200	Item|4321|2			
4211		稻草人			0.4	0	48	39	-6	-64	14	Contrib|500	Item|4297|1	Item|4302|1		
4212		百花盞			0.4	0	44	25	-16	0	0	Contrib|1000	Item|4323|2			
4213		姹紫嫣紅			0.4	0	44	25	8	121	-13	Contrib|2000	Item|4324|2			
4214		月上柳梢頭			0.3	0	22	18	-13	35	-9	Contrib|4000	Item|4300|1	Item|4310|1		
4215		石獅子			0.4	0	45	29	-5	-71	15	Contrib|200	Item|4321|2			
4216		花崗石燈			0.4	0	44	25	-14	-27	7	Contrib|500	Item|4322|2			
4217		雲紋鑲金石燈			0.4	0	44	25	-14	-27	7	Contrib|1000	Item|4323|2			
4218		金碧貔貅			0.4	0	44	26	-9	-56	13	Contrib|2000	Item|4324|1	Item|4309|1		
4219		翠玉雕龍			0.4	0	44	26	-9	-56	13	Contrib|4000	Item|4325|1	Item|4310|1		
5234	1	藍朝顏			0.36	-3	52	45	-11	-73	27	Contrib|200	Item|4296|2			
5235	1	午時花			0.4	3	60	30	-5	-86	19	Contrib|500	Item|4297|2			
5236	1	紫蝴蝶			0.36	2	62	64	-19	-46	23	Contrib|200	Item|4296|2			
5237	1	帝女花			0.4	9	48	35	-8	-53	25	Contrib|500	Item|4297|2			
