nFurnitureTemplateId	Desc	nType	nLevel	nDecorationId	nIsHouse
2512	幻彩流光地衣（大）	6	4	2512	1
3001	松木錦盒	7	1	3001	1
3002	百寶箱	7	3	3002	1
3003	雙龍銜珠	7	5	3003	1
3004	金枝玉葉（合）	7	2	3004	2
3005	寒梅傲雪	7	4	3005	2
3006	青松迎客	7	5	3006	2
3007	粗麻屏風	7	1	3007	2
3008	金枝玉葉（張）	7	2	3008	2
3009	太嶽入雲	7	3	3009	2
3010	三生連理	7	4	3010	2
3011	星懸長空（小）	7	2	3011	1
3012	海枯石爛（小）	7	3	3012	1
3013	火鳳金鸞地衣（小）	7	4	3013	1
3014	金榜提名（小）	7	5	3014	1
3015	銅雀香爐	7	1	3015	1
3016	玉蓮香爐	7	2	3016	1
3017	熟銅香爐	7	3	3017	1
3018	七繡雲香	7	4	3018	1
3019	翠玉爐襯紫金葫蘆	7	5	3019	1
3020	幻彩流光地衣（小）	7	4	3020	1
3501	松木燈	8	1	3501	2
3502	樺木燈	8	2	3502	2
3503	墨香燈	8	3	3503	2
3504	幻彩流光燈	8	4	3504	2
3505	紫檀鎏金燈	8	5	3505	2
3506	絳桃春	8	1	3506	2
3507	鬱金香	8	2	3507	2
3508	青玉瓷瓶	8	3	3508	2
3509	一剪梅	8	4	3509	2
3510	七菱冰玄花	8	5	3510	2
3511	檀香木盒	8	1	3511	1
3512	畫筒	8	2	3512	1
3513	金獅攬玉瓶	8	3	3513	1
3514	瑞鶴仙	8	4	3514	1
3515	青花孔雀花卉紋瓶	8	5	3515	1
4001	輕竹簾	9	1	4001	1
4002	蘇幕遮	9	2	4002	1
4003	一簾幽夢	9	3	4003	1
4004	珥金拖紫	9	4	4004	1
4005	金玉滿堂	9	5	4005	1
4006	半透紗簾	9	2	4006	1
4007	落霞映山圖	9	4	4007	1
4008	翠笛	9	1	4008	1
4009	滿月阮	9	2	4009	1
4010	浣花琵琶	9	3	4010	1
4011	獨幽	9	4	4011	1
4012	大聖遺音	9	5	4012	1
4013	紅鸞星動	9	1	4013	1
4014	祥雲紙鳶	9	2	4014	1
4015	紫珠號角	9	3	4015	1
4016	山水繪卷	9	4	4016	1
4017	銀翎柘木弓	9	5	4017	1
4501	孩童秋千	10	1	4501	0
4502	銅木兵器架	10	2	4502	0
4503	百花繚亂	10	3	4503	0
4504	萬紫千紅	10	4	4504	0
4505	月明花影	10	5	4505	0
4506	青石圓桌	10	1	4506	0
4507	三人行	10	2	4507	0
4508	海角奇石	10	3	4508	0
4509	群峰聳翠	10	4	4509	0
4510	三生三世	10	5	4510	0
4511	青石古井	10	1	4511	0
4512	樺木鼓架	10	2	4512	0
4513	燕語	10	3	4513	0
4514	編鐘	10	4	4514	0
4515	遏雲	10	5	4515	0
4516	朝顏花欄	10	3	4516	0
4517	小綠陰	10	4	4517	0
4518	十裡桃花	10	5	4518	0
4519	朝顏花棚架	10	3	4519	0
4520	銀石雙人椅	10	4	4520	0
4521	鎏金雙人椅	10	5	4521	0
4522	浮雕照壁	10	4	4522	0
4523	荷花小池	10	5	4523	0
5001	青石圓凳	11	1	5001	0
5002	陳年老酒罈	11	2	5002	0
5003	赤銅壺	11	3	5003	0
5004	湛藍紋金象耳罐	11	4	5004	0
5005	海納百川	11	5	5005	0
5006	青石護欄	11	1	5006	0
5007	稻草人	11	2	5007	0
5008	百花盞	11	3	5008	0
5009	姹紫嫣紅	11	4	5009	0
5010	月上柳梢頭	11	5	5010	0
5011	石獅子	11	1	5011	0
5012	花崗石燈	11	2	5012	0
5013	雲紋鑲金石燈	11	3	5013	0
5014	金碧貔貅	11	4	5014	0
5015	翠玉雕龍	11	5	5015	0
5016	藍朝顏	11	1	5016	0
5017	午時花	11	2	5017	0
5018	紫蝴蝶	11	1	5018	0
5019	帝女花	11	2	5019	0
10000	首席弟子	1001	5	10000	2
10001	獨孤求敗	1001	5	10001	2
10002	武極天下	1001	5	10002	2
10003	神兵利器	1001	5	10003	2
10004	技壓群雄	1001	5	10004	2
10005	如虎添翼	1001	5	10005	2
10006	富可敵國	1001	5	10006	2
10007	登峰造極	1001	5	10007	2
10008	吉光鳳羽	1001	6	10008	1
10009	火鳳金鸞地衣（心形）	1001	5	10009	1
10010	武林至尊	1001	6	10010	2
10011	金童	1001	5	10011	2
10012	玉女	1001	5	10012	2
10013	婚床·晚櫻連理	1001	3	10013	1
10014	婚床·紅鸞攬月	1001	4	10014	1
10015	婚床·乘龍配鳳	1001	5	10015	1
10016	浴盆·晚櫻連理	1001	3	10016	1
10017	浴盆·紅鸞攬月	1001	4	10017	1
10018	浴盆·乘龍配鳳	1001	5	10018	1
10019	永結同心	1001	5	10019	1
10020	新穎圖屏風	1001	5	10020	2
10021	結婚-普通椅子	1001	3	10021	2
10022	結婚-普通空桌	1001	3	10022	2
10023	結婚-普通滿桌	1001	3	10023	2
10024	結婚-隆重椅子	1001	4	10024	2
10025	結婚-隆重空桌	1001	4	10025	2
10026	結婚-隆重滿桌	1001	4	10026	2
10027	結婚-豪華椅子	1001	5	10027	2
10028	結婚-豪華空桌	1001	5	10028	2
10029	結婚-豪華滿桌	1001	5	10029	2
20000	苗圃	1002	5	20000	0
30000	主座	1001	1	30000	2
