Id	Info	Name	StoneIcon	StoneValue	Value	Type	QualityLevel	QualityType	GrowthType	GradeType	EquipType	NpcTemplateId	Skill1	Skill2	Skill3	Skill4	Skill5	Skill6	Skill7	Skill8	Skill9	Skill10
48	S級同伴	方勉	1	50	2000000	1	3	9	309	21	21	326		2876	2880	2613	2624					
135	S級同伴	秋依水	1	50	2000000	1	3	2	302	14	14	437		2847	2848	2615	2621					
131	S級同伴	燕若雪	1	50	2000000	1	3	6	306	18	18	1055		2528	2529	2617	2622					
132	S級同伴	楊再興	1	50	2000000	1	3	1	301	13	13	1056		2877	2881	2613	2624					
133	S級同伴	韓世忠	1	50	2000000	1	3	7	307	19	19	1057		2842	2670	2613	2624					
134	A級同伴	聶小倩	1	50	900000	8	4	2	402	2	2	332		1181	1188							
49	A級同伴	納蘭真	1	50	900000	0	4	4	404	4	4	327		2560	2561	2604						
126	A級同伴	少年楊影楓	1	50	900000	0	4	1	401	1	1	1062		2564	2565	2608						
50	A級同伴，天王大師兄	楊鐵心	1	50	900000	0	4	1	401	1	1	328		1101	1106	2608						
51	A級同伴，逍遙大師兄	柳瀟庭	1	50	900000	0	4	3	403	3	3	329		1221	1232	2609						
52	A級同伴，峨嵋大師兄	無想	1	50	900000	0	4	2	402	2	2	330		1131	1136	2603						
53	A級同伴，桃花大師姐	李恬兒	1	50	900000	0	4	4	404	4	4	331		1181	1188	2604						
54	A級同伴，武當大師兄	天目	1	50	900000	0	4	5	405	5	5	332		2801	2805	2608						
55	A級同伴，天忍大師姐	完顏襄	1	50	900000	8	4	6	406	6	6	333		1295	1296	2606						
56	A級同伴，少林大師兄	玄慈	1	50	900000	8	4	7	407	7	7	334		1181	1188							
57	A級同伴，翠煙大師姐	尹筱雨	1	50	900000	8	4	8	408	8	8	335		1181	1188							
136	A級同伴，丐幫大師兄	石軒轅	1	50	900000	8	4	9	409	9	9	1063		1181	1188							
137	A級同伴，昆侖大師兄	宋秋石	1	50	900000	8	4	10	410	10	10	1064		1181	1188							
138	A級同伴，五毒大師兄	古嫣然	1	50	900000	8	4	11	411	11	11	1065		1181	1188							
139	A級同伴，唐門大師兄	唐曉	1	50	900000	8	4	12	412	12	12	1066		1181	1188							
58	A級同伴，野外首領	寒玉鹿王	1	50	900000	0	4	3	403	3	3	336		2552	2553	2607						
59	A級同伴，野外首領	大地狼王	1	50	900000	0	4	9	409	9	9	337		2532	2533	2605						
60	A級同伴，野外首領	奔焰豹王	1	50	900000	0	4	6	406	6	6	338		2539	2541	2606						
61	A級同伴，野外首領	九尾狐王	1	50	900000	0	4	12	412	12	12	339		2546	2547	2604						
62	A級同伴	南宮彩虹	1	50	900000	0	4	2	402	2	2	340		2696	2699	2606						
63	A級同伴	張琳心	1	50	900000	0	4	8	408	8	8	341		2698	2502	2604						
64	A級同伴	薔薇	1	50	900000	0	4	2	402	2	2	342		2501	2882	2607						
65	A級同伴	耶律辟離	1	50	900000	0	4	6	406	6	6	343		2629	2630	2605						
66	A級同伴	蘇墨芸	1	50	900000	0	4	9	409	9	9	344		1289	1290	2603						
67	A級同伴	卓非凡	1	50	900000	0	4	5	405	5	5	345		2865	2832	2609						
68	A級同伴	紫軒	1	50	900000	0	4	8	408	8	8	346		2639	2863	2607						
69	A級同伴	張如夢	1	50	900000	0	4	5	405	5	5	347		2581	2582	2608						
70	A級同伴	林海	1	50	900000	0	4	10	410	10	10	348		2884	2886	2607						
71	A級同伴	陸文龍	1	50	900000	0	4	11	411	11	11	349		2836	2635	2608						
72	A級同伴	無相	1	50	900000	0	4	7	407	7	7	350		2885	1296	2606						
73	A級同伴	趙升權	1	50	900000	0	4	10	410	10	10	351		1295	2888	2606						
74	A級同伴	趙節	1	50	900000	0	4	1	401	1	1	352		2508	2509	2604						
75	A級同伴	邵騎風	1	50	900000	0	4	3	403	3	3	353		2862	2837	2609						
76	A級同伴	A28	1	50	900000	8	4	1	401	1	1	354		1270	1278							
77	A級同伴	A29	1	50	900000	8	4	1	401	1	1	355		1270	1278							
78	B級同伴	小李子	1	50	300000	0	5	1	501	1	1	356		2891	2591	2593						
79	B級同伴	蕭動塵	1	50	300000	0	5	3	503	3	3	357		1281	1282	2594						
80	B級同伴	心魔	1	50	300000	0	5	5	505	5	5	358		1286	2692	2596						
81	B級同伴	胡神醫	1	50	300000	0	5	2	502	2	2	359		2693	2694	2593						
82	B級同伴	秦沐白	1	50	300000	0	5	10	510	10	10	360		2568	2569	2598						
83	B級同伴	張仲天	1	50	300000	0	5	12	512	12	12	361		2651	2657	2598						
84	B級同伴	路達	1	50	300000	0	5	11	511	11	11	362		2652	2663	2598						
85	B級同伴	李三	1	50	300000	0	5	4	504	4	4	363		2653	2664	2596						
86	B級同伴	盧青	1	50	300000	0	5	6	506	6	6	364		2869	2893	2598						
87	B級同伴	鶯兒	1	50	300000	0	5	8	508	8	8	365		2892	2660	2593						
88	B級同伴	顧武	1	50	300000	0	5	7	507	7	7	366		1271	2662	2594						
89	B級同伴	B12	1	50	300000	8	5	1	501	1	1	367		2652	2663	2598						
90	B級同伴	B13	1	50	300000	8	5	12	512	12	12	368		2650	2655	2595						
91	B級同伴	B14	1	50	300000	8	5	1	501	1	1	369		1270	1278							
92	B級同伴	B15	1	50	300000	8	5	1	501	1	1	370		1270	1278							
93	B級同伴	B16	1	50	300000	8	5	1	501	1	1	371		1270	1278							
94	B級同伴	B17	1	50	300000	8	5	1	501	1	1	372		1270	1278							
95	B級同伴	B18	1	50	300000	8	5	1	501	1	1	373		1270	1278							
96	C級同伴	金錢豹	1	50	50000	0	6	1	601	1	1	374		1261	1262							
97	C級同伴	黑翼獵鷹	1	50	50000	0	6	1	601	1	1	375		1261	1262							
98	C級同伴	武林惡徒	1	50	50000	0	6	1	601	1	1	376		1270	1278							
99	C級同伴	猛虎	1	50	50000	0	6	1	601	1	1	377		1261	1262							
100	C級同伴	楓林衛	1	50	50000	0	6	1	601	1	1	378		1270	1278							
101	C級同伴	猿猴	1	50	50000	0	6	1	601	1	1	379		1274	1280							
102	C級同伴	鐵面捕頭	1	50	50000	0	6	1	601	1	1	380		1270	1278							
103	C級同伴	紅衣女童	1	50	50000	0	6	1	601	1	1	381		1270	1278							
104	C級同伴	鑄劍師	1	50	50000	0	6	1	601	1	1	382		1270	1278							
105	C級同伴	獵人	1	50	50000	0	6	1	601	1	1	383		2557	2558							
106	C級同伴	紅纓侍	1	50	50000	0	6	1	601	1	1	384		1276	1278							
107	C級同伴	強盜	1	50	50000	0	6	1	601	1	1	385		1270	1278							
108	C級同伴	藥王谷弟子	1	50	50000	0	6	1	601	1	1	386		1274	1280							
109	C級同伴	灰狼	1	50	50000	0	6	1	601	1	1	387		1261	1262							
110	C級同伴	東瀛忍者	1	50	50000	0	6	1	601	1	1	388		1270	1278							
111	C級同伴	生使	1	50	50000	0	6	1	601	1	1	389		1270	1278							
112	C級同伴	死侍	1	50	50000	0	6	1	601	1	1	390		1270	1278							
113	C級同伴	火狐	1	50	50000	0	6	1	601	1	1	391		1261	1262							
114	C級同伴	九幽弟子	1	50	50000	0	6	1	601	1	1	392		1270	1278							
115	C級同伴	黑熊	1	50	50000	0	6	1	601	1	1	393		1261	1262							
116	C級同伴	無憂教弟子	1	50	50000	0	6	1	601	1	1	394		1274	1280							
117	C級同伴	天工匠者	1	50	50000	0	6	1	601	1	1	395		1270	1278							
118	C級同伴	傀儡士兵	1	50	50000	0	6	1	601	1	1	396		1270	1278							
119	C級同伴	機關人	1	50	50000	0	6	1	601	1	1	397		1274	1280							
120	C級同伴	C25	1	50	50000	8	6	1	601	1	1	398		1270	1278							
121	C級同伴	C26	1	50	50000	8	6	1	601	1	1	399		1270	1278							
122	C級同伴	C27	1	50	50000	8	6	1	601	1	1	400		1270	1278							
123	C級同伴	C28	1	50	50000	8	6	1	601	1	1	401		1270	1278							
124	C級同伴	C29	1	50	50000	8	6	1	601	1	1	402		1270	1278							
125	C級同伴	C30	1	50	50000	8	6	1	601	1	1	403		1270	1278							
