nId	nHouse	nQuality	szQualityName	szName	nItem1Id	nItem2Id	nItem3Id	nRate1	nRate2	nRate3	szMoneyType	nPrice
29	8	4	4阶	T4项链(未鉴定）	1035	1623	1135	75	20	5	Contrib	2000
30	8	4	4阶	T4戒指(未鉴定）	1045	1631	1145	75	20	5	Contrib	2000
31	8	4	4阶	T4玉佩(未鉴定）	1055	1639	1155	75	20	5	Contrib	2000
32	8	4	4阶	T4护身符(未鉴定）	1065	1647	1165	75	20	5	Contrib	2000
33	8	5	5阶	T5项链(未鉴定）	1036	1624	1136	75	20	5	Contrib	4800
34	8	5	5阶	T5戒指(未鉴定）	1046	1632	1146	75	20	5	Contrib	4800
35	8	5	5阶	T5玉佩(未鉴定）	1056	1640	1156	75	20	5	Contrib	4800
36	8	5	5阶	T5护身符(未鉴定）	1066	1648	1166	75	20	5	Contrib	4800
37	8	6	6阶	T6项链(未鉴定）	1037	1625	1137	75	20	5	Contrib	6000
38	8	6	6阶	T6戒指(未鉴定）	1047	1633	1147	75	20	5	Contrib	6000
39	8	6	6阶	T6玉佩(未鉴定）	1057	1641	1157	75	20	5	Contrib	6000
40	8	6	6阶	T6护身符(未鉴定）	1067	1649	1167	75	20	5	Contrib	6000
41	8	7	7阶	T7项链(未鉴定）	1038	1626	1138	75	20	5	Contrib	8000
42	8	7	7阶	T7戒指(未鉴定）	1048	1634	1148	75	20	5	Contrib	8000
43	8	7	7阶	T7玉佩(未鉴定）	1058	1642	1158	75	20	5	Contrib	8000
44	8	7	7阶	T7护身符(未鉴定）	1068	1650	1168	75	20	5	Contrib	8000
45	8	8	8阶	T8项链(未鉴定）	1039	1627	1139	75	20	5	Contrib	10800
46	8	8	8阶	T8戒指(未鉴定）	1049	1635	1149	75	20	5	Contrib	10800
47	8	8	8阶	T8玉佩(未鉴定）	1059	1643	1159	75	20	5	Contrib	10800
48	8	8	8阶	T8护身符(未鉴定）	1069	1651	1169	75	20	5	Contrib	10800
49	8	9	9阶	T9项链(未鉴定）	1040	3649	1140	75	20	5	Contrib	14400
50	8	9	9阶	T9戒指(未鉴定）	1050	3651	1150	75	20	5	Contrib	14400
51	8	9	9阶	T9玉佩(未鉴定）	1060	3653	1160	75	20	5	Contrib	14400
52	8	9	9阶	T9护身符(未鉴定）	1070	3655	1170	75	20	5	Contrib	14400
53	8	10	10阶	T10项链(未鉴定）	1041	3650	1141	75	20	5	Contrib	18000
54	8	10	10阶	T10戒指(未鉴定）	1051	3652	1151	75	20	5	Contrib	18000
55	8	10	10阶	T10玉佩(未鉴定）	1061	3654	1161	75	20	5	Contrib	18000
56	8	10	10阶	T10护身符(未鉴定）	1071	3656	1171	75	20	5	Contrib	18000
57	8	11	11阶	T11项链(未鉴定）	5471	5671	5571	75	20	5	Contrib	22500
58	8	11	11阶	T11戒指(未鉴定）	5481	5681	5581	75	20	5	Contrib	22500
59	8	11	11阶	T11玉佩(未鉴定）	5491	5691	5591	75	20	5	Contrib	22500
60	8	11	11阶	T11护身符(未鉴定）	5501	5701	5601	75	20	5	Contrib	22500
61	6	2	2阶	T2帽子(未鉴定）	1073	1653	1173	75	20	5	Contrib	200
62	6	2	2阶	T2护腕(未鉴定）	1093	1669	1193	75	20	5	Contrib	200
63	6	2	2阶	T2腰带(未鉴定）	1103	1677	1203	75	20	5	Contrib	200
64	6	2	2阶	T2鞋子(未鉴定）	1113	1685	1213	75	20	5	Contrib	200
65	6	3	3阶	T3帽子(未鉴定）	1074	1654	1174	75	20	5	Contrib	400
66	6	3	3阶	T3护腕(未鉴定）	1094	1670	1194	75	20	5	Contrib	400
67	6	3	3阶	T3腰带(未鉴定）	1104	1678	1204	75	20	5	Contrib	400
68	6	3	3阶	T3鞋子(未鉴定）	1114	1686	1214	75	20	5	Contrib	400
69	6	4	4阶	T4帽子(未鉴定）	1075	1655	1175	75	20	5	Contrib	1000
70	6	4	4阶	T4护腕(未鉴定）	1095	1671	1195	75	20	5	Contrib	1000
71	6	4	4阶	T4腰带(未鉴定）	1105	1679	1205	75	20	5	Contrib	1000
72	6	4	4阶	T4鞋子(未鉴定）	1115	1687	1215	75	20	5	Contrib	1000
73	6	5	5阶	T5帽子(未鉴定）	1076	1656	1176	75	20	5	Contrib	2400
74	6	5	5阶	T5护腕(未鉴定）	1096	1672	1196	75	20	5	Contrib	2400
75	6	5	5阶	T5腰带(未鉴定）	1106	1680	1206	75	20	5	Contrib	2400
76	6	5	5阶	T5鞋子(未鉴定）	1116	1688	1216	75	20	5	Contrib	2400
77	6	6	6阶	T6帽子(未鉴定）	1077	1657	1177	75	20	5	Contrib	3000
78	6	6	6阶	T6护腕(未鉴定）	1097	1673	1197	75	20	5	Contrib	3000
79	6	6	6阶	T6腰带(未鉴定）	1107	1681	1207	75	20	5	Contrib	3000
80	6	6	6阶	T6鞋子(未鉴定）	1117	1689	1217	75	20	5	Contrib	3000
81	6	7	7阶	T7帽子(未鉴定）	1078	1658	1178	75	20	5	Contrib	4000
82	6	7	7阶	T7护腕(未鉴定）	1098	1674	1198	75	20	5	Contrib	4000
83	6	7	7阶	T7腰带(未鉴定）	1108	1682	1208	75	20	5	Contrib	4000
84	6	7	7阶	T7鞋子(未鉴定）	1118	1690	1218	75	20	5	Contrib	4000
85	6	8	8阶	T8帽子(未鉴定）	1079	1659	1179	75	20	5	Contrib	5400
86	6	8	8阶	T8护腕(未鉴定）	1099	1675	1199	75	20	5	Contrib	5400
87	6	8	8阶	T8腰带(未鉴定）	1109	1683	1209	75	20	5	Contrib	5400
88	6	8	8阶	T8鞋子(未鉴定）	1119	1691	1219	75	20	5	Contrib	5400
89	6	9	9阶	T9帽子(未鉴定）	1080	3657	1180	75	20	5	Contrib	7200
90	6	9	9阶	T9护腕(未鉴定）	1100	3661	1200	75	20	5	Contrib	7200
91	6	9	9阶	T9腰带(未鉴定）	1110	3663	1210	75	20	5	Contrib	7200
92	6	9	9阶	T9鞋子(未鉴定）	1120	3665	1220	75	20	5	Contrib	7200
93	6	10	10阶	T10帽子(未鉴定）	1081	3658	1181	75	20	5	Contrib	9000
94	6	10	10阶	T10护腕(未鉴定）	1101	3662	1201	75	20	5	Contrib	9000
95	6	10	10阶	T10腰带(未鉴定）	1111	3664	1211	75	20	5	Contrib	9000
96	6	10	10阶	T10鞋子(未鉴定）	1121	3666	1221	75	20	5	Contrib	9000
97	6	11	11阶	T11帽子(未鉴定）	5511	5711	5611	75	20	5	Contrib	11250
98	6	11	11阶	T11护腕(未鉴定）	5531	5731	5631	75	20	5	Contrib	11250
99	6	11	11阶	T11腰带(未鉴定）	5541	5741	5641	75	20	5	Contrib	11250
100	6	11	11阶	T11鞋子(未鉴定）	5551	5751	5651	75	20	5	Contrib	11250
