Level	Layer	EquipId	Desc
90	1	465	
90	2	473	
90	3	481	
90	1	370	
90	2	378	
90	3	386	
90	1	394	
90	2	401	
90	3	409	
90	1	441	
90	2	449	
90	3	457	
90	1	417	
90	2	425	
90	3	433	
90	1	561	
90	2	569	
90	3	577	
90	1	489	
90	2	497	
90	3	505	
90	1	537	
90	2	545	
90	3	553	
90	1	513	
90	2	521	
90	3	529	
90	1	346	
90	2	354	
90	3	362	
100	1	466	T8头盔（低）
100	2	474	T8头盔（中）
100	3	482	T8头盔（高）
100	1	371	T8衣服（低）
100	2	379	T8衣服（中）
100	3	387	T8衣服（高）
100	1	395	T8腰带（低）
100	2	402	T8腰带（中）
100	3	410	T8腰带（高）
100	1	442	T8护腕(低）
100	2	450	T8护腕(中）
100	3	458	T8护腕(高）
100	1	418	T8鞋子（低）
100	2	426	T8鞋子（中）
100	3	434	T8鞋子（高）
100	1	562	T8武器（低）
100	2	570	T8武器（中）
100	3	578	T8武器（高）
100	1	490	T8项链（低）
100	2	498	T8项链（中）
100	3	506	T8项链（高）
100	1	538	T8戒指（低）
100	2	546	T8戒指（中）
100	3	554	T8戒指（高）
100	1	514	T8玉佩（低）
100	2	522	T8玉佩（中）
100	3	530	T8玉佩（高）
100	1	347	T8护身符（低）
100	2	355	T8护身符（中）
100	3	363	T8护身符（高）
110	1	3824	T9帽子（低）
110	2	3826	T9帽子（中）
110	3	3828	T9帽子（高）
110	1	3830	T9衣服（低）
110	2	3832	T9衣服（中）
110	3	3834	T9衣服（高）
110	1	3842	T9腰帶（低）
110	2	3844	T9腰帶（中）
110	3	3846	T9腰帶（高）
110	1	3836	T9護腕(低）
110	2	3838	T9護腕(中）
110	3	3840	T9護腕(高）
110	1	3848	T9鞋子（低）
110	2	3850	T9鞋子（中）
110	3	3852	T9鞋子（高）
110	1	3794	T9武器（低）
110	2	3796	T9武器（中）
110	3	3798	T9武器（高）
110	1	3800	T9項鍊（低）
110	2	3802	T9項鍊（中）
110	3	3804	T9項鍊（高）
110	1	3806	T9戒指（低）
110	2	3808	T9戒指（中）
110	3	3810	T9戒指（高）
110	1	3812	T9玉佩（低）
110	2	3814	T9玉佩（中）
110	3	3816	T9玉佩（高）
110	1	3818	T9護身符（低）
110	2	3820	T9護身符（中）
110	3	3822	T9護身符（高）
120	1	3825	T10帽子（低）
120	2	3827	T10帽子（中）
120	3	3829	T10帽子（高）
120	1	3831	T10衣服（低）
120	2	3833	T10衣服（中）
120	3	3835	T10衣服（高）
120	1	3843	T10腰帶（低）
120	2	3845	T10腰帶（中）
120	3	3847	T10腰帶（高）
120	1	3837	T10護腕(低）
120	2	3839	T10護腕(中）
120	3	3841	T10護腕(高）
120	1	3849	T10鞋子（低）
120	2	3851	T10鞋子（中）
120	3	3853	T10鞋子（高）
120	1	3795	T10武器（低）
120	2	3797	T10武器（中）
120	3	3799	T10武器（高）
120	1	3801	T10項鍊（低）
120	2	3803	T10項鍊（中）
120	3	3805	T10項鍊（高）
120	1	3807	T10戒指（低）
120	2	3809	T10戒指（中）
120	3	3811	T10戒指（高）
120	1	3813	T10玉佩（低）
120	2	3815	T10玉佩（中）
120	3	3817	T10玉佩（高）
120	1	3819	T10護身符（低）
120	2	3821	T10護身符（中）
120	3	3823	T10護身符（高）
