Level	Layer	EquipPos	StoneId1	StoneId2	StoneId3	StoneId4	StoneId5	StoneId6	StoneId7	desc	desc2
40	3	0	1866	1866	1866					頭	3個4級
40	3	1	1851	1851	1851					衣服	3個4級
40	3	2	1883	1883	1883					腰帶	3個4級
40	3	5	1875	1875	1875					護腕	3個4級
40	3	4	1917	1917	1917					鞋子	3個4級
40	3	3	1916	1916	1916					武器	3個4級
40	3	8	1884	1884	1884					項鍊	3個4級
40	3	7	1878	1878	1878					戒指	3個4級
40	3	9	1881	1881	1881					玉佩	3個4級
40	3	6	1853	1853	1853					護身符	3個4級
50	1	1	1851	1851	1851					衣服	3個4級
50	1	2	1883	1883	1883					腰帶	3個4級
50	1	5	1875	1875	1875					護腕	3個4級
50	1	4	1917	1917	1917					鞋子	3個4級
50	1	3	1916	1916	1916					武器	3個4級
50	1	8	1884	1884	1884					項鍊	3個4級
50	1	7	1878	1878	1878					戒指	3個4級
50	1	9	1881	1881	1881					玉佩	3個4級
50	1	6	1853	1853	1853					護身符	3個4級
50	2	1	1851	1851	1851					衣服	3個4級
50	2	2	1883	1883	1883					腰帶	3個4級
50	2	5	1875	1875	1875					護腕	3個4級
50	2	4	1917	1917	1917					鞋子	3個4級
50	2	3	1916	1916	1916					武器	3個4級
50	2	8	1884	1884	1884					項鍊	3個4級
50	2	7	1878	1878	1878					戒指	3個4級
50	2	9	1881	1881	1881					玉佩	3個4級
50	2	6	1853	1853	1853					護身符	3個4級
50	3	1	1851	1851	1851	1851				衣服	3個4級
50	3	2	1883	1883	1883	1883				腰帶	3個4級
50	3	5	1875	1875	1875	1875				護腕	3個4級
50	3	4	1917	1917	1917	1917				鞋子	3個4級
50	3	3	1916	1916	1916	1916				武器	3個4級
50	3	8	1884	1884	1884	1884				項鍊	3個4級
50	3	7	1878	1878	1878	1878				戒指	3個4級
50	3	9	1881	1881	1881	1881				玉佩	3個4級
50	3	6	1853	1853	1853	1853				護身符	3個4級
80	1	0	2533	2668	1814	1845				頭	4個4級
80	1	1	2529	2825	1791	1810				衣服	4個4級
80	1	2	2535	1812	1846	1860				腰帶	4個4級
80	1	5	1813	1842	1754	1755				護腕	4個4級
80	1	4	2532	2672	1844	1847				鞋子	4個4級
80	1	3	2528	1808	1827	1828				武器	4個4級
80	1	8	2531	2674	2824	1821				項鍊	4個4級
80	1	7	2534	1809	1840	1878				戒指	4個4級
80	1	9	2530	2673	2826	1817				玉佩	4個4級
80	1	6	1756	2536	2696	1807				護身符	4個4級
80	2	0	2533	2668	1814	1845	1866			頭	5個4級
80	2	1	2529	2825	1791	1810	1867			衣服	5個4級
80	2	2	2535	1812	1846	1860	1861			腰帶	5個4級
80	2	5	1813	1842	1754	1755	1757			護腕	5個4級
80	2	4	2532	2672	1844	1847	1900			鞋子	5個4級
80	2	3	2528	1808	1827	1828	1829			武器	5個4級
80	2	8	2531	2674	2824	1821	1848			項鍊	5個4級
80	2	7	2534	1809	1809	1840	1878			戒指	5個4級
80	2	9	2530	2673	2826	1817	1841			玉佩	5個4級
80	2	6	1756	2536	2696	1807	1811			護身符	5個4級
80	3	0	2542	2669	1892	1923	1866			頭	5個5級
80	3	1	2538	2830	1869	1888	1867			衣服	5個5級
80	3	2	2544	1890	1924	1860	1861			腰帶	5個5級
80	3	5	1891	1920	1832	1833	1835			護腕	5個5級
80	3	4	2541	2675	1922	1926	1900			鞋子	5個5級
80	3	3	2537	1886	1905	1906	1907			武器	5個5級
80	3	8	2540	2677	2829	1899	1925			項鍊	5個5級
80	3	7	2543	1887	1887	1918	1918			戒指	5個5級
80	3	9	2539	2676	2831	1895	1919			玉佩	5個5級
80	3	6	1834	2545	2697	1885	1889			護身符	5個5級
100	1	0	2533	2668	1814	1845	1866			頭	5個4級
100	1	1	2529	2825	1791	1810	1867			衣服	5個4級
100	1	2	2535	1812	1846	1860	1861			腰帶	5個4級
100	1	5	1754	1755	1757	1758	1759			護腕	5個4級
100	1	4	2532	2672	1844	1847	3215			鞋子	5個4級
100	1	3	2528	1808	1827	1828	1829			武器	5個4級
100	1	8	2531	2674	2824	1821	1848			項鍊	5個4級
100	1	7	2534	1809	3216	1840	2880			戒指	5個4級
100	1	9	2530	2673	2826	1817	1841			玉佩	5個4級
100	1	6	1756	2536	2696	1807	1811			護身符	5個4級
100	2	0	2542	2669	1814	1845	1866			頭	2個5級+3個4級
100	2	1	2538	2830	1791	1810	1867			衣服	2個5級+3個4級
100	2	2	2544	1890	1846	1860	1861			腰帶	2個5級+3個4級
100	2	5	1832	1833	1757	1758	1759			護腕	2個5級+3個4級
100	2	4	2541	2675	1844	1847	3215			鞋子	2個5級+3個4級
100	2	3	2537	1886	1827	1828	1829			武器	2個5級+3個4級
100	2	8	2540	2677	2824	1821	1848			項鍊	2個5級+3個4級
100	2	7	2543	1887	3216	1840	2880			戒指	2個5級+3個4級
100	2	9	2539	2676	2826	1817	1841			玉佩	2個5級+3個4級
100	2	6	1834	2545	2696	1807	1811			護身符	2個5級+3個4級
100	3	0	2542	2669	1892	1923	3375	2827		頭	6個5級
100	3	1	2538	2830	1869	1888	3023	1888		衣服	6個5級
100	3	2	2544	1890	1924	3374	2883	2828		腰帶	6個5級
100	3	5	1832	1833	1835	1836	1837	3220		護腕	6個5級
100	3	4	2541	2675	1922	1926	3218	3710		鞋子	6個5級
100	3	3	2537	1886	1905	1906	1907	1908		武器	6個5級
100	3	8	2540	2677	2829	1899	1925	1925		項鍊	6個5級
100	3	7	2543	1887	1918	3219	2882	1918		戒指	6個5級
100	3	9	2539	2676	2831	1895	1919	1921		玉佩	6個5級
100	3	6	1834	2545	2697	1885	1889	2851		護身符	6個5級
110	1	0	2533	2668	1814	1845	1866	3372		頭	6個4級
110	1	1	2529	2825	1791	1810	1867	3022		衣服	6個4級
110	1	2	2535	1812	1846	1860	1861	2881		腰帶	6個4級
110	1	5	1754	1755	1757	1758	1759	3217		護腕	6個4級
110	1	4	2532	2672	1844	1847	3215	3709		鞋子	6個4級
110	1	3	2528	1808	1827	1828	1829	1826		武器	6個4級
110	1	8	2540	2677	2829	1821	1848	1848		項鍊	6個4級
110	1	7	2534	1809	3216	1840	2880	1840		戒指	6個4級
110	1	9	2530	2673	2826	1817	1841	1843		玉佩	6個4級
110	1	6	1756	2536	2696	1807	1811	2849		護身符	6個4級
110	2	0	2542	2669	1892	1845	1866	3372		頭	3個5級+3個4級
110	2	1	2538	2830	1869	1810	1867	3022		衣服	3個5級+3個4級
110	2	2	2544	1890	1924	1860	1861	2881		腰帶	3個5級+3個4級
110	2	5	1832	1833	1835	1758	1759	3217		護腕	3個5級+3個4級
110	2	4	2541	2675	1922	1847	3215	3709		鞋子	3個5級+3個4級
110	2	3	2537	1886	1905	1828	1829	1826		武器	3個5級+3個4級
110	2	8	2531	2674	2824	1821	1848	1848		項鍊	3個5級+3個4級
110	2	7	2543	1887	1918	1840	2880	1840		戒指	3個5級+3個4級
110	2	9	2539	2676	2831	1817	1841	1843		玉佩	3個5級+3個4級
110	2	6	1834	2545	2697	1807	1811	2849		護身符	3個5級+3個4級
110	3	0	2551	2669	1892	1923	3375	2827	1923	頭	1個6級+6個5級
110	3	1	2547	2830	1869	1888	3023	1888	1888	衣服	1個6級+6個5級
110	3	2	2553	1890	1924	3374	2883	2828	1924	腰帶	1個6級+6個5級
110	3	5	1832	1833	1835	1836	1837	1891	3223	護腕	1個6級+6個5級
110	3	4	2550	2675	1922	1926	3218	3710	1926	鞋子	1個6級+6個5級
110	3	3	2546	1886	1905	1906	1907	1908	1909	武器	1個6級+6個5級
110	3	8	2549	2677	2829	1899	1925	1925	1925	項鍊	1個6級+6個5級
110	3	7	2552	1887	1918	3219	2882	1918	1918	戒指	1個6級+6個5級
110	3	9	2548	2676	2831	1895	1919	1921	1919	玉佩	1個6級+6個5級
110	3	6	1912	2545	2697	1885	1889	2851	1885	護身符	1個6級+6個5級
120	1	0	2533	2668	1814	1845	1866	3372	1866	頭	7個4級
120	1	1	2529	2825	1791	1810	1867	3022	1810	衣服	7個4級
120	1	2	2535	1812	1846	1860	1861	2881	1846	腰帶	7個4級
120	1	5	1754	1755	1757	1758	1759	1813	3217	護腕	7個4級
120	1	4	2532	2672	1844	1847	3215	3709	1847	鞋子	7個4級
120	1	3	2528	1808	1827	1828	1829	1830	1831	武器	7個4級
120	1	8	2531	2674	2824	1821	1848	1848	1848	項鍊	7個4級
120	1	7	2534	1809	3216	1840	2880	1840	1840	戒指	7個4級
120	1	9	2530	2673	2826	1817	1841	1843	1841	玉佩	7個4級
120	1	6	1756	2536	2696	1807	1811	2849	1807	護身符	7個4級
120	2	0	2542	2669	1892	1923	1866	3372	1866	頭	4個5級+3個4級
120	2	1	2538	2830	1869	1888	1867	3022	1810	衣服	4個5級+3個4級
120	2	2	2544	1890	1924	3374	1861	2881	1846	腰帶	4個5級+3個4級
120	2	5	1832	1833	1835	1836	1759	1813	3217	護腕	4個5級+3個4級
120	2	4	2541	2675	1922	1926	3215	3709	1847	鞋子	4個5級+3個4級
120	2	3	2537	1886	1905	1906	1829	1830	1831	武器	4個5級+3個4級
120	2	8	2540	2677	2829	1899	1848	1848	1848	項鍊	4個5級+3個4級
120	2	7	2543	1887	1918	3219	2880	1840	1840	戒指	4個5級+3個4級
120	2	9	2539	2676	2831	1895	1841	1843	1841	玉佩	4個5級+3個4級
120	2	6	1834	2545	2697	1885	1811	2849	1807	護身符	4個5級+3個4級
120	3	0	2551	2670	1892	1923	3375	2827	1923	頭	2個6級+5個5級
120	3	1	2547	2835	1869	1888	3023	1888	1888	衣服	2個6級+5個5級
120	3	2	2553	1890	1924	3374	2885	2828	1924	腰帶	2個6級+5個5級
120	3	5	1910	1833	1835	1836	1837	1891	3223	護腕	2個6級+5個5級
120	3	4	2550	2678	1922	1926	3218	3710	1926	鞋子	2個6級+5個5級
120	3	3	2546	2852	1904	1906	1907	1908	1909	武器	2個6級+5個5級
120	3	8	2549	2680	2829	1899	1925	1925	1925	項鍊	2個6級+5個5級
120	3	7	2552	1887	1918	3222	2882	1918	1918	戒指	2個6級+5個5級
120	3	9	2548	2679	2831	1895	1919	1921	1919	玉佩	2個6級+5個5級
120	3	6	1912	2554	2697	1885	1889	2851	1885	護身符	2個6級+5個5級
