nShowId	nNpcId	nMapTemplateId	nX	nY	nDir	Trap	bIsTaskNpc	bIsFollow	szStartFunc	szStartParam	Desc	Map
50	1107	402	7160	5120	15				MoveAndDelete	yds_yme1	月眉兒-移動	雁蕩山
51	1049	402	6840	5120	15		1				楊影楓-任務	雁蕩山
52	1050	402	6840	5120	15						楊影楓-表現	雁蕩山
53	1343	999	6180	4200	15				MoveAndDelete	wyd_yyf3	楊影楓-移動	新手村
54	1079	402	6840	5120	15			1			楊影楓-跟隨	雁蕩山
55	1049	402	10780	3410	16		1				楊影楓-任務	雁蕩山
56	1050	402	10780	3410	16						楊影楓-表現	雁蕩山
57	1049	402	2800	2800	16		1				楊影楓-任務	雁蕩山
58	1050	402	2800	2800	16						楊影楓-表現	雁蕩山
59	1069	483	7780	6410	3						卓非凡-表現	藏劍山莊
60	1071	483	7760	6700	32						紫軒-表現	藏劍山莊
61	1091	403	5250	4300	36		1				紫軒-任務	洞庭湖
62	1092	403	5250	4300	36						紫軒-表現	洞庭湖
63	1343	401	9200	11800	17				MoveAndDelete	wys_yyf1	楊影楓-移動	武夷山
64	1343	401	8900	6900	36				MoveAndDelete	wys_yyf2	楊影楓-移動	武夷山
65	1080	999	3800	2500	24			1			納蘭真-跟隨	新手村
66	1081	999	3670	2380	36			1			楊影楓-跟隨	新手村
67	1082	401	12400	11450	39			1			楊影楓-跟隨	武夷山
68	1082	401	11200	5000	39			1			楊影楓-跟隨	武夷山
69	1082	401	7450	1930	3			1			楊影楓-跟隨	武夷山
70	1094	403	8130	4400				1			楊影楓-跟隨	洞庭湖
71	1093	403	8130	4400			1				楊影楓-任務	洞庭湖
72	1095	403	8130	4400							楊影楓-表現	洞庭湖
73	1093	403	6250	5700	2		1				楊影楓-任務	洞庭湖
74	1095	403	6250	5700	2						楊影楓-表現	洞庭湖
75	1093	403	9150	8150			1				楊影楓-任務	洞庭湖
76	1281	403	11330	7800	44				Move	dth_qw2	薔薇-移動	洞庭湖
77	1098	403	5850	7710	57		1				薔薇-任務	洞庭湖
78	1108	403	5850	7710	57			1			薔薇-跟隨	洞庭湖
79	1098	403	10100	8050	29		1				薔薇-任務	洞庭湖
80	1108	403	10100	8050	29			1			薔薇-跟隨	洞庭湖
81	1631	403	8820	4940	51				Move	dth_qw1	薔薇-移動	洞庭湖
82	1109	403	9020	4880	51				Move	dth_ly1	獵鷹-移動	洞庭湖
83	1092	403	3900	5450	25						紫軒-表現	洞庭湖
84	1097	403	4040	5380	58						月眉兒-表現	洞庭湖
85	1100	498	4085	3015	49		1				納蘭真-任務	悲魔山莊
86	724	498	4085	3015	49			1			納蘭真-跟隨	悲魔山莊
87	1080	999	6600	3730	43			1			納蘭真-跟隨	新手村
88	1110	403	9200	7800	43						李總管-表現	洞庭湖
89	1112	403	6400	9800	44						可含-表現	洞庭湖
90	1092	403	9600	10850	35						紫軒-表現	洞庭湖
91	1384	494	2680	4150	32				MoveAndDelete	flb_lzh1	盧肇顥-表現	飛龍堡
92	1106	403	14240	3850	49				Move	dth_zx2	紫軒-移動	洞庭湖
93	1096	494	6500	7100	56		1				月眉兒-任務	飛龍堡
94	1097	494	6500	7100	56						月眉兒-表現	飛龍堡
95	724	494	6500	7100				1			納蘭真-跟隨	飛龍堡
96	1099	403	7650	7300	47						薔薇-表現	洞庭湖
97	1080	999	6600	3730	43			1			納蘭真-跟隨	新手村
98	1107	403	8150	13000	56						月眉兒-移動	洞庭湖
99	1080	999	6600	3730	43			1			納蘭真-跟隨	新手村
100	1099	403	10940	8040	47						薔薇-表現	洞庭湖
101	1391	403	14170	5810	55		1				天星道長-任務	洞庭湖
102	1392	403	14170	5810	55						天星道長-表現	洞庭湖
103	1102	403	11100	7750	41		1				孟知秋-任務	洞庭湖
104	1103	403	11100	7750	41						孟知秋-表現	洞庭湖
105	1108	403	9200	7950	58			1			薔薇-跟隨	洞庭湖
106	1092	403	13500	3910	50						紫軒-表現	洞庭湖
107	1099	498	3500	3110	16						薔薇-表現	悲魔山莊
108	721	498	3480	2890	15						納蘭真-表現	悲魔山莊
109	1108	999	1760	4312	58			1			薔薇-跟隨	新手村
110	1108	498	1550	5650	58			1			薔薇-跟隨	悲魔山莊
111	1006	401	9200	8200	43						月眉兒-表現	武夷山
112	1091	401	9400	8100	42		1				紫軒-任務	武夷山
113	1083	401	9200	8200	42			1			月眉兒-跟隨	武夷山
114	1156	401	9400	8100	42			1			紫軒-跟隨	武夷山
115	1342	498	3860	3020	47				MoveAndDelete	beimo_nlql	納蘭潛凜-移動	悲魔山莊
116	1083	498	1550	5650	42			1			月眉兒-跟隨	悲魔山莊
117	1156	498	1550	5650	42			1			紫軒-跟隨	悲魔山莊
118	1096	497	7490	8980	37		1				月眉兒-任務	飛龍堡
119	1098	497	7979	6922	48						薔薇-跟隨	飛龍堡
120	1113	494	6620	6930	46						盧肇顥-表現	飛龍堡
121	1160	404	3130	7150	30		1				盧青-任務	苗嶺
122	1162	404	3130	7150	30			1			盧青-跟隨	苗嶺
123	1160	486	2350	3400	45		1				盧青-任務	衡山腳下
124	1161	486	2350	3400	45						盧青-表現	衡山腳下
125	1163	404	13950	6450	46		1				樵夫-任務	苗嶺
126	1164	404	13950	6450	46						樵夫-表現	苗嶺
127	1165	487	6780	6540	45		1				武夷派弟子-任務	九猴洞
128	1167	487	6780	6540	45						武夷派弟子-表現	九猴洞
129	1166	488	3180	7100	56		1				張林-任務	武夷山
130	1311	488	3180	7100	56				MoveAndDelete	wyp_zl1	張林-移動	武夷山
131	1176	404	6200	8100	48		1				何筱薔-任務	苗嶺
132	1177	404	6200	8100	48						何筱薔-表現	苗嶺
133	1171	404	5650	14300							趙七娘-表現	苗嶺
134	1174	404	6300	14200							周小富-表現	苗嶺
135	1170	404	6050	14500			1				周木匠-任務	苗嶺
136	1175	404	6050	14500							周木匠-表現	苗嶺
137	1178	404	8650	12450			1				劍雲-任務	苗嶺
138	1179	404	8650	12450							劍雲-表現	苗嶺
139	1180	404	8650	12450	39			1			劍雲-跟隨	苗嶺
140	1179	404	12900	13400	39						劍雲-表現	苗嶺
141	1181	404	12700	13450	29		1				秋雨-任務	苗嶺
142	1182	404	12700	13450	29						秋雨-表現	苗嶺
143	1202	10	7460	15340	11		1				衛兵-任務	襄陽
144	1204	10	7460	15340	11						衛兵-表現	襄陽
145	1183	405	6100	10500	48		1				老王-任務	點蒼山
146	1184	405	6100	10500	48						老王-表現	點蒼山
147	1185	405	14750	14050	42		1				賈老實-任務	點蒼山
148	1186	405	14750	14050	42						賈老實-表現	點蒼山
149	1176	405	6400	13550	48		1				何筱薔-任務	點蒼山
150	1177	405	6400	13550	48						何筱薔-表現	點蒼山
151	1173	405	5750	14100	22						周小富-任務	點蒼山
152	1215	405	5750	14100	22				Move	dcs_zxf1	周小富-移動	點蒼山
153	1205	405	9250	11250	21		1				何梅-任務	點蒼山
154	1206	405	9250	11250	21						何梅-表現	點蒼山
155	1107	497	7470	8920	15				MoveAndDelete	flb_yme1	月眉兒-移動	飛龍堡
156	1280	403	8280	5150	0						捕獸夾-表現	洞庭湖
157	1208	405	5530	4900	47		1				段芙蓉-任務	點蒼山
158	1214	405	5530	4900	47			1			段芙蓉-跟隨	點蒼山
159	1208	490	7650	6700	43		1				段芙蓉-任務	臨安驛道
160	1436	490	7650	6700	43				MoveAndDelete	layd_dfr1	段芙蓉-移動	臨安驛道
161	1233	406	7440	6700	48		1				村民-任務	響水洞
162	1234	406	7440	6700	48						村民-表現	響水洞
163	1163	406	7600	13900	32		1				樵夫-任務	響水洞
164	1432	406	7600	13900	32				MoveAndDelete	xsd_qf1	樵夫-移動	響水洞
165	1235	493	3000	3330	32		1				華山弟子-任務	華山密道
166	1236	493	3000	3330	32						華山弟子-表現	華山密道
167	1239	406	10200	9900	22		1				少林弟子-任務	響水洞
168	1240	406	10200	9900	22						少林弟子-表現	響水洞
169	1241	406	9460	9370	43		1				孩童-任務	響水洞
170	1242	406	9460	9370	43						孩童-表現	響水洞
171	1243	406	9350	10850	11		1				無智-任務	響水洞
172	1244	406	9350	10850	11						無智-表現	響水洞
173	1163	493	5500	6400	23		1				樵夫-任務	華山密道
174	1164	493	5500	6400	23						樵夫-表現	華山密道
175	1250	493	3600	5700	23			1			樵夫-跟隨	華山密道
176	1058	493	5750	6500	39						篝火-表現	華山密道
177	1163	493	3600	4000	23						樵夫-表現	華山密道
178	1432	493	3470	3230	23				Move	hsmd_qf1	樵夫-移動	華山密道
179	1235	491	2200	3750	17		1				華山弟子-任務	華山
180	1236	491	2200	3750	17						華山弟子-表現	華山
181	1261	406	10200	9900	35			1			少林弟子-跟隨	響水洞
182	954	498	3860	3020	47						納蘭潛凜-表現	悲魔山莊
183	721	400	8060	8100	32						納蘭真-表現	鎖雲淵
184	1106	402	6060	3870	43				Move	yds_zx1	紫軒-移動	雁蕩山
185	1311	488	7450	9870	34				MoveAndDelete	wyp_zl2	張林-移動	武夷劍派
186	1168	489	3300	5960	48						張林-表現	武夷禁地
187	1433	493	2370	3600					Move	hsmd_hsdz1	華山弟子-出現	華山密道
188	1433	493	3000	3330					MoveAndDelete	hsmd_hsdz2	華山弟子-離開	華山密道
189	1160	486	3200	4550	47		1				盧青-任務	衡山腳下
190	1161	486	3200	4550	47						盧青-表現	衡山腳下
191	1173	405	6170	13710	22		1				周小富-任務	點蒼山
192	1215	405	6170	13710	22				MoveAndDelete	dcs_zxf2	周小富-移動	點蒼山
193	1310	487	7250	6570	45				Move	jhd_wydz1	武夷派弟子-任務	九猴洞
194	1310	487	6780	6540	45				MoveAndDelete	jhd_wydz2	武夷派弟子-表現	九猴洞
195	1166	488	7450	9870	34		1				張林-任務	武夷劍派
196	1168	488	7450	9870	34						張林-表現	武夷派
197	1166	489	3300	5960	48		1				張林-任務	武夷禁地
198	1311	489	3300	5960	34				MoveAndDelete	wyjd_zl1	張林-移動	武夷劍派
199	1166	489	770	1120	15		1				張林-任務	武夷禁地
200	1168	489	770	1120	15						張林-表現	武夷禁地
201	1208	490	2700	7200	22		1				段芙蓉-任務	臨安驛道
202	1209	490	2700	7200	22						段芙蓉-表現	臨安驛道
203	725	484	2870	2420	60				Move	wyxw_nlz1	納蘭真-入屋	忘憂島小屋
204	725	484	2000	3200	24				MoveAndDelete	wyxw_nlz2	納蘭真-出屋	忘憂島小屋
205	725	484	2870	2420	60				Move	syyxw_nlz1	納蘭真-入屋	鎖雲淵小屋
206	725	484	2120	3150	24				MoveAndDelete	syyxw_nlz2	納蘭真-出屋	鎖雲淵小屋
207	1342	484	2640	2420	55				Move	syyxw_nlql1	納蘭潛凜-入屋	鎖雲淵小屋
208	1342	484	1830	3140	24				MoveAndDelete	syyxw_nlql2	納蘭潛凜-出屋	鎖雲淵小屋
209	721	400	4050	8670	41						納蘭真-表現	鎖雲淵
210	1343	400	4830	8970	43				Move	syy_yyf2	楊影楓-移動	鎖雲淵
211	724	499	2150	3400	0			1			納蘭真-跟隨	離憂山洞
212	1081	499	1890	3370	0			1			楊影楓-跟隨	離憂山洞
213	730	499	5110	2300	17		1				楊影楓-任務	離憂山洞
214	1343	499	5110	2300	17				MoveAndDelete	lysd_yyf1	楊影楓-出洞	離憂山洞
215	721	481	2940	3120	0						納蘭真-表現	忘憂谷小屋
216	724	485	800	880	14			1			納蘭真-跟隨	忘憂谷
217	731	481	2740	3190	7						楊影楓-打坐	忘憂谷小屋
218	1081	485	1220	700				1			楊影楓-跟隨	忘憂谷
219	725	481	3190	2120	7				Move	wygxw_nlz1	納蘭真-移動	忘憂谷小屋
220	725	481	3100	2900					Move	wygxw_nlz2	納蘭真-移動	忘憂谷小屋
221	1343	481	2790	2100	7				Move	wygxw_yyf1	楊影楓-移動	忘憂谷小屋
222	1343	481	2550	2510					Move	wygxw_yyf2	楊影楓-移動	忘憂谷小屋
223	724	481	2940	3120				1			納蘭真-跟隨	忘憂谷小屋
224	1081	481	2740	3190				1			楊影楓-跟隨	忘憂谷小屋
225	725	999	6300	4240	49				MoveAndDelete	wyd_nlz1	納蘭真-移動	忘憂島
226	1343	999	2290	4140	16				MoveAndDelete	wyd_yyf1	楊影楓-移動	忘憂島
227	1343	999	2870	4210	49				Move	wyd_yyf2	楊影楓-移動	忘憂島
228	1343	999	6580	3860	34				MoveAndDelete	wyd_yyf4	楊影楓-移動	忘憂島
229	1343	403	5580	4050	21				MoveAndDelete	dth_yyf1	楊影楓-移動	洞庭湖
230	1343	403	5940	8000	27				MoveAndDelete	dth_yyf2	楊影楓-移動	洞庭湖
231	1098	403	5750	12080	47		1				薔薇-任務	洞庭湖
232	1108	403	5750	12080	47			1			薔薇-跟隨	洞庭湖
233	1210	498	4085	3015	49		1				鐵雲-任務	悲魔山莊
234	1211	498	4085	3015	49			1			鐵雲-表現	悲魔山莊
235	725	999	6000	6970	16				Move	wyd_nlz2	納蘭真-移動	忘憂谷
236	725	999	6310	6500	21				MoveAndDelete	wyd_nlz3	納蘭真-移動	忘憂谷
237	725	999	6680	4230	16				MoveAndDelete	wyd_nlz4	納蘭真-移動	忘憂谷
238	1107	999	2920	6760	30				Move	wyd_yme1	月眉兒-移動	忘憂谷
239	1094	495	1680	4680	30			1			楊影楓-跟隨	無憂禁地
240	1108	495	1260	4730	30			1			薔薇-跟隨	無憂禁地
241	730	495	9400	5450	14		1				楊影楓-任務	無憂禁地
242	1094	495	9400	5450	14			1			楊影楓-跟隨	無憂禁地
243	1091	496	8481	9932	36		1				紫軒-任務	摘星樓
244	1156	496	8481	9932	36			1			紫軒-跟隨	摘星樓
245	1106	496	1800	3560	45				MoveAndDelete	zxl_zx1	紫軒-移動	摘星樓
246	1094	496	1600	3700	14			1			楊影楓-跟隨	摘星樓
247	1108	497	7979	6922	48			1			薔薇-跟隨	飛龍堡
248	1081	498	2210	3000	36			1			楊影楓-跟隨	悲魔山莊
249	725	498	7000	3100	49		1		MoveAndDelete	bmsz_nlz1	納蘭真-移動	悲魔山莊
250	1281	498	6800	2950	49				MoveAndDelete	bmsz_qw1	薔薇-移動	悲魔山莊
251	725	498	7600	3000	49				MoveAndDelete	bmsz_nlz2	納蘭真-移動	悲魔山莊
252	730	498	6000	8550	48		1				楊影楓-任務	悲魔山莊
253	1095	498	6000	8550	48						楊影楓-表現	悲魔山莊
254	721	498	5380	8780	28						納蘭真-表現	悲魔山莊
255	1092	498	5770	8800	38						紫軒-表現	悲魔山莊
256	1099	498	5770	8370	54						薔薇-表現	悲魔山莊
257	1006	498	5400	8360	7						月眉兒-表現	悲魔山莊
258	1081	497	2700	2100	36			1			楊影楓-跟隨	悲魔山莊
259	1165	480	6780	6540	45		1				武夷派弟子-任務	九猴洞
260	1167	480	6780	6540	45						武夷派弟子-表現	九猴洞
261	1310	480	7250	6570	45				Move	jhd_wydz1	武夷派弟子-任務	九猴洞
262	1310	480	6780	6540	45				MoveAndDelete	jhd_wydz2	武夷派弟子-表現	九猴洞
263	1433	491	2200	3750					MoveAndDelete	hsp_hsdz1	華山弟子-離開	華山
264	1433	491	3200	5550					Move	hsp_hsdz2	華山弟子-出現	華山
265	1434	491	8050	7520			1				華山長老-任務	華山
266	1435	491	8050	7520							華山長老-表現	華山
267	1436	490	2700	7200	43				MoveAndDelete	layd_dfr2	段芙蓉-移動	臨安驛道
268	1437	491	2500	7930							頑猴	華山
269	1437	491	3600	7900							頑猴	華山
270	1438	491	2500	7930					MoveAndDelete	hsp_hz1	頑猴	華山
271	1438	491	3600	7900					MoveAndDelete	hsp_hz2	頑猴	華山
272	1264	491	3200	8890							落葉堆	華山
273	1440	408	7480	8530	32		1				嚴將軍-任務	劍門關
274	1441	408	7480	8530	32						嚴將軍-表現	劍門關
275	1443	408	16300	12222	47		1				茅山道長-任務	劍門關
276	1452	408	16300	12222	47			1			茅山道長-跟隨	劍門關
277	1443	408	7870	7750	29		1				茅山道長-任務	劍門關
278	1445	408	7870	7750	29				MoveAndDelete	jmg_msdz1	茅山道長-移動	劍門關
279	1442	408	7480	8530	43				MoveAndDelete	jmg_yjj1	嚴將軍-移動	劍門關
280	1442	479	1550	1260	0				MoveAndDelete	gzc_yjj1	嚴將軍-移動	古戰場
281	1440	479	1550	1260	0		1				嚴將軍-任務	古戰場
282	1441	479	1550	1260	0						嚴將軍-表現	古戰場
283	1440	479	5430	2000	0		1				嚴將軍-任務	古戰場
284	1441	479	5430	2000	0						嚴將軍-表現	古戰場
285	1077	408	5000	5500	50		1				綠林頭領-任務	劍門關
286	1078	408	5000	5500	50						綠林頭領-表現	劍門關
287	1068	408	13370	11100	44		1				村民-任務	劍門關
288	1090	408	13370	11100	44			1			村民-跟隨	劍門關
289	1442	479	5430	2000	0				MoveAndDelete	gzc_yjj2	嚴將軍-移動	古戰場
290	1457	408	8000	8580	0			1			士兵-跟隨	劍門關
291	1453	408	7170	8150	33				Move	jmg_sb1	士兵-移動	劍門關
292	1453	408	7390	7130	35				Move	jmg_sb2	士兵-移動	劍門關
293	1453	408	8500	7000	47				Move	jmg_sb3	士兵-移動	劍門關
294	1453	408	8000	8600	35				Move	jmg_sb4	士兵-移動	劍門關
295	1453	408	7550	7780	0				MoveAndDelete	jmg_sb5	士兵-移動	劍門關
296	1453	408	7650	7400	0				MoveAndDelete	jmg_sb6	士兵-移動	劍門關
297	1453	408	8130	7360	0				MoveAndDelete	jmg_sb7	士兵-移動	劍門關
298	1453	408	8000	8000	0				MoveAndDelete	jmg_sb8	士兵-移動	劍門關
299	1453	408	7170	8150	33						士兵-表現	劍門關
300	1453	408	7390	7130	35						士兵-表現	劍門關
301	1453	408	8500	7000	47						士兵-表現	劍門關
302	1453	408	8000	8600	35						士兵-表現	劍門關
303	1453	479	6000	2640	40				Move	gzc_sb1	士兵-移動	古戰場
304	1453	479	4900	2600	23				Move	gzc_sb2	士兵-移動	古戰場
305	1453	479	4960	1730	6				Move	gzc_sb3	士兵-移動	古戰場
306	1453	479	5830	1420	53				Move	gzc_sb4	士兵-移動	古戰場
307	1454	479	5400	2900	34				Move	gzc_smr1	神秘人-移動	古戰場
308	1454	479	5390	2380	34				MoveAndDelete	gzc_smr2	神秘人-移動	古戰場
309	720	400	4050	8670	41		1				納蘭真-任務	鎖雲淵
310	1343	402	2800	2800	15				MoveAndDelete	yds_yyf1	楊影楓-移動	雁蕩山
311	1629	403	5850	7710	57		1				薔薇-任務	洞庭湖
312	1632	403	5850	7710	57			1			薔薇-跟隨	洞庭湖
313	1646	411	14400	12060	44		1				白衣少女-任務	伏牛山
314	1647	411	14400	12060	44						白衣少女-表現	伏牛山
315	1648	411	9340	9000	49		1				顧清雪-任務	伏牛山
316	1649	411	9340	9000	49						顧清雪-表現	伏牛山
317	1276	411	12700	14100	0						採集	伏牛山
318	1658	411	4050	14300	30			1			雲笑風-跟隨	伏牛山
319	1650	411	10500	14100	34		1				雲笑風-任務	伏牛山
320	1651	411	10500	14100	34						雲笑風-表現	伏牛山
321	1650	411	7130	14120	35		1				雲笑風-任務	伏牛山
322	1651	411	7130	14120	35						雲笑風-表現	伏牛山
323	1652	411	4050	14300	30		1				阿邦-任務	伏牛山
324	1653	411	4050	14300	30						阿邦-表現	伏牛山
325	1659	411	5600	9540	41			1			阿邦-跟隨	伏牛山
326	1661	411	5300	5000	35			1			楊瑛-跟隨	伏牛山
327	1652	411	7660	9240	35		1				阿邦-任務	伏牛山
328	1653	411	7660	9240	35						阿邦-表現	伏牛山
329	1654	411	6900	3180	0		1				楊瑛-任務	伏牛山
330	1655	411	6900	3180	0						楊瑛-表現	伏牛山
331	1654	411	5300	5000	35		1				楊瑛-任務	伏牛山
332	1655	411	5300	5000	35						楊瑛-表現	伏牛山
333	1654	411	14220	8770	47		1				楊瑛-任務	伏牛山
334	1655	411	14220	8770	47						楊瑛-表現	伏牛山
335	1656	484	1610	3080	21		1				獨孤劍-任務	伏牛山
336	1657	484	1610	3080	21						獨孤劍-表現	伏牛山
337	1656	411	13430	3480	51		1				獨孤劍-任務	伏牛山
338	1657	411	13430	3480	51						獨孤劍-表現	伏牛山
339	1068	411	9800	11550	38		1				村民-任務	伏牛山
340	1234	411	9800	11550	38			1			村民-表現	伏牛山
341	1651	411	4140	13950	55						雲笑風-表現	伏牛山
342	1651	411	7950	9200	33						雲笑風-表現	伏牛山
343	1654	411	14420	7020	47		1				楊瑛-任務	伏牛山
344	1655	411	14420	7020	47						楊瑛-表現	伏牛山
345	1662	411	13430	3480	51			1			獨孤劍-跟隨	伏牛山
346	1764	411	14200	5100	32				MoveAndDelete	fns_dgj1	獨孤劍-移動	伏牛山
800	1667	10	17720	12650	52						小緣-表現	襄陽
801	1679	801	4600	950	49				Move	yfg_tt1	挺哥-移動	玉楓谷
802	1679	801	3600	1000					MoveAndTalk	yfg_tt2|小緣…我會珍惜你，保護你。	挺哥-移動	玉楓谷
803	1678	801	2400	950	18				MoveAndTalk	yfg_yy1|終於等到你，還好我沒放棄。	小緣-移動	玉楓谷
804	1685	10	17720	12650	52		1				小緣-任務	襄陽
805	1679	801	4600	950	49						挺哥-表現	玉楓谷
