nDialogId	szDialogIndex	nLookNpcTemplateId	nNpcTemplateId	szNpcSay	szPlayerSay	szStoryBefore	szStoryAfter	nSoundId	szAction
11	11				納蘭姑娘，怎麼方才不過去？這般小心所為何事？				
11	11		413	（遲疑）我看你的傷已好得差不多了，不知道你能不能陪我去一趟後山，楊大哥內傷未愈，所需一味草藥，乃忘憂島後山獨有，後山有毒蜂，爹爹不讓我去，很危險，你要考慮清楚。					
11	11				（沉吟）納蘭姑娘，取藥不難，只是後山有毒蜂，你還是莫要前去了，我將草藥形狀記下，自行前去即可。				
11	11		413	不行！我不能讓你獨自一個人去冒險！不過這個毒蜂真的好厲害，正巧胡神醫在此間做客，他可是天下首屈一指的名醫，也許他會有辦法！					
11	11				那我們趕快去見見胡神醫吧！				
12	12		417	喲，納蘭小丫頭，你怎麼有空來找我？（眼睛一亮）莫非是準備跟老夫前去藥王谷學醫了？這才對嘛！你天資卓越，未來定能成為名動天下的名醫！					
12	12				原來您就是鼎鼎大名的胡神醫，我與納蘭姑娘此次前來相見，是想問問您可知有什麼方法能抵禦毒蜂的毒性。				
12	12		417	（臉色一冷）哼，就知道這小丫頭找我准沒好事，一點也不順我的心，你說說，天下有幾個名醫能高明得過我？偏生你就是不肯拜我為師！唉！					
12	12		413	（拉住胡神醫衣袖）胡神醫，您就幫幫我吧，我最近新學了幾道拿手小菜，回頭做給您吃。					
12	12		417	哼，老夫豈會為這些所動？想要就找殷童丫頭，這臭丫頭不但天賦好，口中的姥姥也不知道是誰，教她的醫術頗具一格，唉，這麼一棵好苗子要是我的徒弟可就好嘍！					
12	12				多謝胡神醫相告！納蘭姑娘你就在此等我片刻，我去去就回！				
13	13				小姑娘，不知道你能不能告訴我殷童姑娘身在何處？				
13	13		1340	嗯？你找我呀？是納蘭伯伯讓你來的，還是胡伯伯讓你來的？					
13	13				（什麼！想不到連胡神醫都覺得天賦不凡的竟是如此之小的姑娘……）你……你就是殷童？在下冒昧，想問問赤心花的下落。				
13	13		1340	你是大俠嗎？					
13	13				（大俠？這是什麼意思？）我初出江湖不久，又豈能當得起「大俠」二字？				
13	13		1340	（拍了拍胸口）不是就好，姥姥教我們醫術，我們發誓，絕不醫治所謂大俠。赤心花就在前方懸崖，你若是要去采，可千萬要小心。					
13	13				（真是奇怪，為什麼他們對大俠有這麼奇怪的見解，算了，先不管了）多謝殷姑娘！				
13	13		1340	嗯嗯，你快點去吧，回頭要記得來我這裡玩哦！					
15	15				胡神醫，赤心花已經採來，不知道藥水……				
15	15		417	拿來，其他的藥早就準備完畢了，就差這一味主藥了，成了！拿去拿去！					
15	15				多謝胡神醫！納蘭姑娘，一切都已經準備就緒了！				
15	15		413	謝謝你，我們這就出發吧！					happy
17	17		413	實在是辛苦你了，我這便去調配藥膏。					
17	17				嗯，先前多虧了小童告訴我赤心花的所在，我得去向她道謝。				
18	18		1340	啊，$N，你這麼快就回來啦？					
18	18				小童，我是專程來向你道謝的，多謝你告訴我赤心花的位置。說起來，你和你姥姥為什麼這麼討厭大俠？				
18	18		1340	就在半年前，我和爹爹媽媽隱居在一個靠山的鎮上，過著與世無爭的日子，他們都很疼我。可惜他們終究出身五毒教。後面爹爹一個五毒教故友遭人追捕，逃到鎮上，爹媽收留了他。					
18	18		1340	最終還是讓仇家給知道了，所謂的白道大俠追來，母親護著當時我們兄妹逃跑，父親留下斷後，卻被亂劍捅成了刺蝟。後來母親也在關帝廟前因箭創發作，大出血而亡。嗚嗚，嗚嗚...媽媽...					
18	18		1340	後來一同逃亡的醜姥姥救了我們，教我們醫術，告訴我們所謂大俠，不過是靠擊敗的人多得的名聲，哪個手上沾的人血多，哪個就是大俠！哼！					
18	18				（原來如此……）小童，你要記住，世上無論是什麼身份的人，都有善惡之分，都有迫不得已的時候，絕非一言就可定罪的。				
18	18		1340	哼，我才不信呢，什麼迫不得已，世上的人都一樣自私，說到底都是為了自己，犧牲其他人罷了！					
18	18				小童姑娘，有朝一日，你或許會明白……等等，追捕，是了！那一日的朝廷將軍如今怎麼樣了！糟糕！我忘了這事！得趕緊去問問！				
19	19				大人！不知大人可曾知曉……				
19	19		91	哦？近日裡也有不少像你一樣的武林人士參軍，你看起來武功底子不錯，你可是前來報名的？					
19	19				大人！請聽我一言！我有一事想要詢問，不知道嚴大將軍如今在哪？				
19	19		91	你認得嚴將軍？他之前上戰場遇伏，受了傷，如今在家中好生休養，暫時沒來這戰場，所以金軍才如此氣焰囂張！哼！					
19	19				真是可惡！果然是他們下的黑手！劉大人，請讓我前去和他們一戰！				
19	19		91	好！有志氣！上了戰場，刀槍無眼，你自己小心！去吧！					
20	20		91	哦？你回來了？怎麼樣？沒受傷吧？					
20	20				沙場果真兇險萬分，危險異常！武功再高，雙拳也難敵四手！日後若真是上了戰場，我一定會加倍小心！				
20	20		91	嗯，年輕人，江湖固然逍遙自在，然國若不在，何以為家？希望有朝一日你能夠成為國之棟樑！					
21	21				納蘭姑娘！總算是找到你了！楊兄傷勢如何了？				
21	21		413	$N你從戰場回來啦？怎麼樣、沒受傷吧？我可擔心你了！楊大哥的傷勢好多了，多虧你幫我找到了銀絲草！不過現在還需要一些藥草持續調理，小殷方正要替我去找。					
21	21				好……小殷方！你……你怎、怎麼離開忘憂島了！胡鬧！這附近似乎不太安定，還是我來幫你找吧！				
21	21		578	哼！整日待在忘憂島實在是太無趣啦！童兒整日就知道研究醫經，一點意思都沒有，難得有機會出來，怎麼能放過呢！					
21	21		413	好啦好啦，我還得熬藥，就勞煩$N帶著小殷方一起去找吧，附近有個商人叫萬金財，不知道他如今是否還在鎖雲淵，他手上有許多藥材，你幫我去找他問問吧！					
21	21				好吧……				
22	22				在下$N，敢問閣下是否萬金財？				
22	22		1380	（愁眉苦臉）唉，正是，你找我有什麼事嗎？					
22	22				實不相瞞，在下有一位元朋友得了重傷，需要這張藥材單上的藥材，不知……				
22	22		1380	（看了一眼你手中的藥單）都是些稀鬆平常的藥材，藥材、藥材！別給我提藥材！我辛辛苦苦採摘的血牡丹都被馬賊給搶走了！你要是能替我找回來！這些東西我送你又如何！					
22	22				此事恐怕……				
22	22		578	（打斷你的話）一言為定！胖子你可別出爾反爾，打馬賊我倆最拿手了！你準備好藥材等著我們回來吧！					
22	22				（這臭小子……）既然如此，就請萬兄在此靜候片刻。				
23	23				這些應當就是萬金財遺失的貨物，走，趁著附近沒人，趕快搬走！				
23	23		578	真沒意思！馬賊怎麼都不見了！唉！沒意思沒意思！					
23	23				小聲點小聲點！別大聲嚷嚷……萬一引來……				
23	23		1749	站住！你們竟然敢打我們黑風寨的東西的主意？找死不成？弟兄們！上！					
23	23		578	$N！我、我這就去搬東西！接下來就看你的了！					
23	23				好了好了！不必擔心，我本來也打算教訓教訓這些馬賊，你就跟在我身邊，別跑太遠！				
24	24		1749	小爺饒命啊！我們下次再也不敢了！我們也是迫不得已的啊！					
24	24		578	哼！看在你們有悔改之心的份上，滾吧！記住，小爺叫殷方！					
24	24				（這小子還真是有模有樣的……唉，誰讓他是我的救命恩人呢……）				
25	25		578	哎喲哎喲，東西好沉，嘿嘿，剛才幸虧有你，你的武功真厲害！什麼時候教我兩手啊？					
25	25				好了好了，我們快回去找那個胖子拿藥吧！				
26	26		1380	你們真的找回來了！少俠，請恕在下眼拙，想不到閣下竟能以一人之力對付這麼多馬賊……$F果然名不虛傳！					
26	26				多謝誇獎，等等……萬兄是怎麼知道我是$F門下？				
26	26		1380	咳咳，閣下的武器獨具一格，一眼便知，好了好了，不談這個了，這些藥草是我給你的報酬，日後你若是也想賺些盤纏，不妨來襄陽城找我。老萬我就先行告辭了！					
26	26				（這個胖子莫非是故意施計讓我們幫他的？此人不簡單……）若有機會，自當拜訪。				
27	27		413	你回來啦？走吧走吧！楊大哥剛剛醒來不久，我們一起進屋看看他！					
27	27		414	（眼珠一轉）你們去吧！出來這麼久，我準備回忘憂島了，就不進去啦！					
27	27				（咦？這個頑皮小子轉性了？竟然這麼快就願意回去了）那你一路小心！納蘭姑娘，我們走吧。				
28	28				這屋子……				
28	28		413	嘻嘻，怎麼樣？是不是和忘憂島的一模一樣？我可是精心佈置了許久呢！					
29	29	415			楊兄，數日不見，你精神了許多啊！看你已能夠下床行走，莫非傷勢已好得差不多了？				
29	29		415	唉，內傷雖愈，卻內力全失，如今成了一個廢人，不但舊仇難報，即使在九泉之下，也無顏見爹爹，更別說什麼天下第一了…					sad
29	29				楊兄，內傷既然能夠痊癒，內力未必便不能恢復過來，				
6029	6029		413	你們好好聊一聊，也許爹爹能治好楊大哥的傷，我得回家找爹爹來。					
30	30		719	你們相談甚歡，楊影楓與你講述了一些兒時的趣事，約莫半個時辰過後，屋外傳來一陣爽朗的笑聲……					
6030	6030		954	能讓我這個天不怕地不怕的女兒另眼相看的人，我倒是第一次遇到，哈哈哈……					
6030	6030		413	爹！你再說我可要生氣了！楊大哥，我爹為你看病來了！					
6030	6030		415	在下楊影楓，見過納蘭前輩！					
6030	6030		954	不必多禮，讓我來看看你的傷勢，你只需全身放鬆即可。					
31	31		719	納蘭島主將手搭于楊影楓的手腕，片刻之後，他眉頭微蹙，將手收了回去……					
31	31		954	唉……恕我直言，楊公子所受的內傷極重，加上在海裡浸泡過久，以至於冷熱相抗導致真氣逆行，導致內力全失，要想恢復功力恐怕是沒有希望了。					
31	31		415	如此……多謝前輩。					sad
31	31		413	爹！楊大哥，你不要難過，你的病……也未必如我爹所說的那般絕對。對了，爹！我們的無憂神功不是可以恢復真力的嗎？你可以傳授……					
31	31		954	不行！難道你忘了本教武功，從來不外傳的教規嗎？！我先回去了，你不許胡鬧！不過世事無絕對，機緣巧合之下恢復功力也不是沒有可能的。楊公子，你好生休養吧，我先回去了。					
6031	6031		413	爹，你別走啊！爹！					
32	32		413	楊大哥，你不要太難過，也許，也許……					
32	32		415	姑娘不必為在下擔心，在下很清楚自己目前的狀況，你爹說得對，世事無絕對，只要有一線機會，我都不會放棄！					
32	32		413	不行！我要再去找爹！你等我一會，一定會有辦法的！					
32	32		719	納蘭真追出了屋子					
6032	6032				楊兄……				
6032	6032		415	不必多說，你的好意我知道。我有些累了，想休息一會。					sad
6032	6032				……那我也先出去看看納蘭姑娘。				
33	33				納蘭姑娘，事情可有轉機？				
33	33		413	唉，爹不同意將武功傳給楊大哥，楊大哥他怎麼樣了？他受到這麼大的打擊，心情一定很不好，我們快去看看他吧。					
34	34		413	楊大哥！楊大哥哪裡去了？！他心情如此不穩定，我得出去看看！					
34	34				納蘭姑娘莫要心急，我跟你一塊去找他！				
35	35		413	楊大哥！					
36	36		413	楊大哥，晚上天氣很涼，你怎麼一個人跑到外面來了。傷還沒痊癒，當心著涼。我們發現你不在屋裡，還以為……					
36	36		415	真兒，我心情不好，所以出來走走，沒想到會讓你擔心。真兒，你是不是覺得我很怪？你可知我因何流落此地？					
36	36		415	唉，我初涉江湖，認識了一個人，原以為志同道合，便結為異姓兄弟。誰知因為一件偶然之事，我發現這位義兄竟是一個道貌岸然的偽君子。					think
36	36		415	我這位義兄，身為藏劍山莊的莊主，在中原武林聲名顯赫，可他為了得到一本武林秘笈，不擇手段，害人性命，我找他當面對質，他為了掩蓋自己的醜行，竟然把我打落懸崖滅口。					
36	36		413	啊？竟有這種事！怎麼會這樣……					
36	36				（藏劍山莊莊主？想不到名門大派竟然也會有這種無恥敗類！）				
36	36		415	後來，我大難不死，被你救下，總算揀回一條小命。我爹爹希望我成為天下第一高手。為了這個目標，我十年苦練，總算小有成就，可沒想到如今，已經功力盡失，哎！還談什麼天下第一呢。					sad
36	36		413	楊大哥，你不要灰心，天將降大任於斯人也，必先苦其心智，我相信上天不會讓你白白吃苦的。楊大哥，走，我帶你到一個好玩的地方去。					
37	37		415	真兒，這裡的入口這麼隱秘，到底是什麼地方？					
37	37		413	無憂教的禁地！告訴你吧，我爹每到月圓之夜，漲潮之時，總要獨自到教中禁地裡去，我想他定是在練無憂神功，你可以和我一起前往，暗中觀摩學習無憂神功，好治療內傷！					
37	37		415	這個……似乎不妥吧？真兒，擅闖禁地不好，萬一被你爹發現了會怪罪於你。					think
37	37		413	怕什麼，不用擔心，我爹向來疼我，即使被發現了，也不會對我怎麼樣的。我偏要帶你進去，裡面危險重重，你若是這麼迂腐，不跟我進去，大不了我自己去！					
37	37				楊兄，看來是沒別的辦法了，總不能眼睜睜的看著納蘭姑娘步入險境，走吧！				
39	39				楊兄，你也知道武道德經？				
39	39		415	唉，都怪我太過吃驚，一時沒留神，此話暫且不提，你我分開去找真兒吧！					blush
39	39				也對，那我們快些出發吧！				
39	39		414	哎呀！你們總算出來了！我剛才看到真兒姐姐跑到那邊去了！					
39	39				小殷方？你怎麼會在這裡？你……難道一直偷偷跟著我們？				
39	39		414	（嘟嘴）哼，我倒是想跟著你們，可是那個禁地裡面的機關好生厲害，我躲不過去，只能在外面等你們啦，沒想到看到真兒姐姐一出來就跑了！					
39	39		415	此地馬賊眾多，恐怕不太安全，不能將殷方一個人留在此處，他就交給你了，我們得趕快找到真兒！					
39	39				好吧……小殷方，你跟著我，莫要走丟了！				
40	40				在下$N，乃是$F弟子，不知各位是否見過一位身穿藍衣的姑娘經過？				
40	40		1748	嘿嘿嘿，當然見到了，那妞兒可真是標緻，嘖嘖嘖，不過可惜被我們老大看中了，如今只怕已經……					
40	40		414	放屁！納蘭姑娘豈是你們這群渣滓能夠降伏的住的？看小爺怎麼教訓你們！					
40	40				你這小子……唉，不過他們的嘴著實有些髒，教訓教訓他們倒也無妨！				
41	41		1748	哎喲，大俠！我們錯了！求你饒了我們吧！都是小人的錯，小人不該胡言亂語，小人看見那個藍衣姑娘往那邊去了！					
41	41		414	哼，知道殷小爺的厲害了吧！滾吧！再有下次，休怪我手下無情！					
41	41				好了好了，小殷方，趕快走吧，我們得趕快找到納蘭姑娘！				
42	42				納蘭姑娘！				
42	42		415	真兒！$N，沒想到你我竟然幾乎是同時抵達……					
6042	6042		413	嗚嗚嗚，爹爹從未對我如此兇惡過……					
6042	6042		415	真兒，不要傷心了……					
6042	6042		413	楊大哥，$N，我小時候沒人陪我玩，就一個人四處亂跑，結果發現了一個秘密的地方，只有我一個人知道，我們不如去看看。					
6042	6042		415	……（這個真兒，可真夠淘氣的！）真兒，那個神秘的地方在哪裡？					happy
6042	6042		413	去到那裡你們就知道了。走吧！					
6042	6042		414	我也要去我也要去！					
6042	6042				（無奈）小殷方，你到底要跟我們跟到什麼時候？				
6042	6042		414	那個……$N，我不想走啦，我想和你闖蕩江湖！你帶上我一塊好不好？					
6042	6042				不行！闖蕩江湖何等兇險，你年紀尚小……				
6042	6042		414	哼！就知道你會找這個藉口，我自小苦練劍法，就是為了與人結伴行走江湖，你若是不答應，我就不回去了！大不了死在這裡了！唉，反正救人一命也不是什麼大事……					
6042	6042				……（臭小子）你聽我說……				
6042	6042		719	經過一番討價還價，威逼利誘，舌槍唇劍……小殷方最終還是說服了你，從此之後，你就有一個無論風雨都與你一同前行的小同伴了！					
43	43		413	沒錯沒錯！想不到過了這麼多年這裡還是這個樣子，陰風陣陣的，和我當年來的時候一模一樣，不過這回我不會害怕啦！因為有[FFFE0D]$N[-]和影楓哥哥在我身邊！		洞中雜草和蔓藤叢生，經過一小段曲折的小道，終於進入了漆黑的洞窟，四周陰風獵獵，仿佛連身邊的溫度都隨之下降……			
43	43		415	（沉默片刻）走吧，我們去前面看看，這洞中究竟有什麼！					think
45	45		415	這……你我應當去救真兒還是先告訴島主呢？不行！我可不能丟下真兒不管！					
45	45				（咬牙）說的是！納蘭姑娘救你我性命，豈可置她於不顧？走！我們下去！				
46	46		413	$N！$N！你沒事吧？		你覺得自己的身體不斷地下墜，耳邊的風呼嘯而過，似乎墜落了相當長的一段時間，最後摔落在一片青翠的草地上……			
46	46				（你動了動，發現全身頗為疼痛，但並無大礙）這裡到底是什麼地方？你們怎麼樣了？				
46	46		413	我沒什麼事，但是……楊大哥內力盡失，無法施展輕功，可還是為了我奮不顧身的跳了下來……					
46	46		415	真兒，$N，別擔心，我沒事。這裡……倒是別有洞天，好像是個風景優美的盆地。剛才山洞裡的秘道恐怕是人工所為，裡面怕是有機關！					think
46	46		415	我們是從這裡掉下來的，可是洞口這麼高，看來很難上去。我們再找找看有沒有別的路口。					
47	47		413	這裡有一間茅屋！說不定有人住在裡面！請問有人在家嗎？					
47	47		415	在下楊影楓，偶入貴地，特來討杯水喝！					cool
47	47		413	怎麼沒人答應？不如我們進去看看！					
6049	6049		413	啊！骷髏……					
6049	6049		415	別怕，真兒。只是……這人為何死得這般淒涼！我總覺得這一定隱藏著什麼秘密！我們四處看看有什麼古怪。					
48	48		413	咦？這房子看上去好像很久沒有人居住了！					
48	48				楊兄，你我四處查看一番吧，千萬要小心，說不定屋中有什麼機關！				
49	49				納蘭姑娘，楊兄，這裡有一張絲帕！				
49	49		413	楊大哥，我們快去看看！					
49	49				咦？上面好像寫有字……				
50	50		413	楊大哥，$N，這真是天賜良機！只要你們拜他為師，答應替他報仇，就可以練習神功啦！		手帕書：余識人不明，為徒所害，逃至此處，武功盡失，十年苦修，終於創出神功蝕骨血仞，不但武功盡複，而且大有增長，奈何大限已到，不能手刃惡徒，特留此神功，得此神功者，便為我弟子，須發誓為師報仇，清理門戶。			
50	50				不必了，我身懷上乘內功心法，如今尚未大成，無法修習其他門派的武功，這武功倒是十分適合楊兄！				
50	50		415	（此等欺師滅祖之人，即使沒有神功，被我碰上，也萬萬饒他不得，此事並無不妥之處。）師父，徒兒定不會饒過那欺師滅祖之人，徒兒定會為你報仇雪恨！					think
50	50		413	恭喜影楓哥哥機緣巧合，拜得名師！早日治好內傷，練成神功，報仇雪恨！					
50	50				方才我們掉下來的洞口才是唯一的出口。楊兄內力尚未恢復，現在的功力絕無可能上去，只有先修煉武功，提高功力。（楊兄在修煉，我再看看屋中還有什麼吧！）				
50	50		413	好，等影楓哥哥功力回復了我們再出去。					
50	50		719	楊影楓開始潛心修煉絲帕上的蝕骨血仞神功……					
51	51				咦？這裡又有一張絲帕！上面也有字，好像是同一個人的筆跡……				
51	51		415	什麼？師父還留有其他的書信？					
51	51				原來這位前輩名叫月重天，乃無憂教的教主，膝下有一女名月明瑤，並收兩名徒弟，一個叫上官飛龍，為人忠厚，納於言詞，另一個叫玉潛凜，聰明伶俐，卻心懷奸詐。				
51	51				由於那玉潛凜善於討人歡心，天長日久，月重天終於為其所蒙蔽，不但將武功傾囊相授，而且不顧女兒與上官飛龍的深厚感情，強將女兒許配于玉潛凜，使上官飛龍黯然離去……				
51	51				從此之後月重天對玉潛凜更加看重，甚至連教中之事都交由其處理，那玉潛凜便趁此機會籠絡人心，培植勢力，逐漸的奪取教中的大權。終於在月重天閉關的時候，那玉潛凜的野心爆發了。				
51	51				他不但一舉奪取了教主之位，更帶來一大群人來欲置月重天於死地，月重天武功蓋世，雖身受重傷，卻也沖出重圍，來到此處，由於此處乃是月重天的秘密避難所，終於逃過那叛徒的追捕。				
51	51				納蘭姑娘？你怎麼了，你不舒服嗎？為何臉色如此蒼白？				
51	51		413	玉潛凜……就是我爹，玉是他當教主前的姓。不！我爹不是這樣的人！他絕不是忘恩負義之輩……					
51	51		415	真兒，你不要著急，如今我武功初成，我們回去找你爹問個明白就是。					
52	52		415	真兒，我就在這裡等你吧，絲帕給你。					
52	52		413	好吧。					
52	52				（看來楊兄是擔心萬一真相確實如此，不好收場）納蘭姑娘，我陪你一塊去吧。				
53	53		954	真兒，你沒事吧！回來就好，回來就好！這些天你去哪裡了？沒有傷著吧！還是有人欺負你？告訴爹爹！爹天天都在找你，這忘憂島的每一寸都被我搜了個遍！唉，我真擔心你有個閃失……					
53	53		413	（把絲帕遞給納蘭潛凜）爹爹……爹爹，女兒讓你擔心了！爹，你自己看吧……					
53	53		954	唉！十三年了，你都長得這麼大了，有些事該讓你知道了。當年你外公月重天修煉無憂教內功至第九層時走火入魔，猜疑心日益加重，後來性情變得極為暴虐，連敗無憂教弟子數十人…					
53	53		954	於是教中之人迫於無奈才另選我為教主，我本想只廢其內力，讓其無法作惡，使他得以安享晚年，誰知他武功如此之高，被他逃去，我實無害死他之心，是他多疑了。					
53	53		413	爹爹，你說的是真的嗎？你沒有騙我嗎？					
53	53		954	自然是真的，否則當年月教主又豈會將自己的親生女兒下嫁於我？雖然爹也時常捫心自問，當年是否過於心狠，可是身為一教之主，我焉能循私包庇？！					
53	53				（沉吟片刻）若真是如此便好，先前差些錯怪了島主，實在抱歉，那我就先告辭了。				
53	53		413	嗯，爹爹，我誤會你了，你可千萬不要生氣，我這就去給你們做些點心！					
6054	6054				咦？楊大哥呢？呃……他竟到懸崖上去了，看來是武功徹底恢復了，是在考較我的輕功麼？哼哼，楊大哥，恐怕不能讓你如願了，區區懸崖，可難不倒我！喝！				
54	54		719	你將納蘭潛凜所說原原本本的告訴了楊影楓					
54	54		415	既然中間尚有如此內情，那我也無話可說。對了，$N，如今我傷勢恢復，準備去尋找一個人，你有何打算？					think
54	54				我暫無去處，楊兄，我幫你去找吧！多一個人多一份助力！				
54	54		415	如此甚好！那就多謝了！你我先去向他們道別，然後武夷山再會！					
54	54				好！				
55	55		415	真兒，我在島上的日子也不短了，塞翁失馬，焉知非福？這些日子多謝你陪伴我，解我煩憂，如今我的功力不僅已經恢復，而且大有長進，因此我想即刻返回中原。					sad
55	55		413	什麼？你要回中原！					
55	55		415	真兒，自從被卓非凡打下山崖後，我無日無夜不在想著報仇，當初因功力全失，心灰意冷，現在練成神功，時機成熟，此仇不報非君子！我要把他的真面目公諸於世，一報墮崖之仇！					sad
55	55		413	我明白……影楓哥哥，你走了以後，還會記得我嗎？還會回忘憂島嗎？影楓哥哥，你不要走了好嗎？我真的捨不得你走呀，嗚嗚……					
55	55		415	真兒，如果有緣，我們自會有重逢的一天，對嗎？對不起，真兒，我……					sad
55	55		413	唉，留得住你的人，留不住你的心。我明白……天色已經不早，你還是抓緊時間上路吧！影楓哥哥，你要記住，無論發生什麼，我……總會在這裡等你。卓非凡老奸巨猾，你要小心謹慎啊。					
55	55		415	我記住了，你放心吧！					
56	56				納蘭姑娘……				
56	56		413	$N……你也要走了是不是？我知道，你們是不會長久留在這兒的，你們要一路小心。					
56	56				納蘭姑娘，保重！				
57	57		415	你總算是來了，走吧！我們這就出發去找紫軒，紫軒性格柔和討喜，你若見了，一定也會很喜歡她的！					
57	57				（看來楊兄對紫軒姑娘很是喜歡，恐怕納蘭姑娘……罷了，有情人終成眷屬便好）那我們趕緊出發吧！				
58	58		1750	站住！前路是我開，前面有我們的弟兄們在幹事，識趣點的就繞點路，否則就休怪我們不客氣了！					
58	58				（皺眉）如今我們趕路正急，你們趕緊讓開！楊兄你到前方先看看有什麼好事！這些小賊我一人解決即可！				
58	58		415	好，你多加小心！					
59	59				楊兄，可曾發現什麼？				
59	59		415	說來奇怪，前方什麼事都沒有發生，不知道他們阻攔你我所為何事，罷了，我們繼續趕路吧。					
61	61		1626	多謝公子出手相助，只是我還有要事在身，就此別過了。日後若是有緣再見，必當相報！					
61	61				姑娘，你我都是江湖中人，不必多禮。				
61	61		1626	後會有期！					
62	62				江湖紛亂，像這位姑娘一樣的漂亮女子最容易被盯上！				
62	62		415	江湖險惡，本該送她一程，但這位姑娘似乎不願別人相助。我還是先去見紫軒吧！					
63	63				楊兄，這屋子似乎並沒有人啊！				
63	63		415	紫軒怎麼會不在家？我去問一下周圍的鄉民吧！					
64	64		415	兄台，請問你家東邊那戶人家的主人哪裡去了？					
64	64		1068	你說的可是紫軒姑娘？她搬走了！這紫軒姑娘好生奇怪，幾個月前突然搬來清平鄉，前後不過幾日，隨後又匆匆搬走。					
64	64		415	搬走了？那姑娘可知她搬往何處？紫軒姑娘不是清平鄉人嗎？					
64	64		1068	當然不是。說不定是來清平鄉避難的。					
64	64		415	多謝。等等，難道又是先前那些惡霸來騷擾她，所以她才迫不得已要搬走的？我記得他好像是叫賈少！不行，我得去看看！					
66	66				楊兄！總算是追上你了！				
67	67		415	唉，我方才看了一下，如今這群惡霸人數眾多，動起手來怕是有些麻煩，這樣，我來引開他們，你找一些惡霸問清楚賈少的位置，替我問個清楚！然後在前方會合！					
67	67				好！就這麼辦！				
68	68		1751	大爺饒命啊！					
68	68				說！賈少在什麼地方！				
68	68		1751	（指了指地圖）就在前方不遠處，您饒過我們吧！					
69	69				說！是不是你擄走了紫軒？				
69	69		1009	饒命啊大俠！別別別別打了！自從上次被您教訓了一頓，我哪兒還敢再去招惹紫軒姑娘啊？再說紫軒姑娘來這兒住了不到一年就走了！我對天發誓！真不是小人幹的！					
69	69				這次就暫且放過你，若是讓我發現你們膽敢撒謊，休怪我不客氣！走！				
70	70				楊兄，我已經狠狠教訓了賈少一頓，看來不是他們做的。				
