nId	nFaction	szTitle	nAnswerId	szA1	szA2	szA3	szA4
3	14	[FFFE0D] 長歌 [-]克制哪些門派？	2	天王、少林和藏劍	峨嵋、翠煙	逍遙、唐門和五毒	桃花、天忍和丐幫
4	1	[FFFE0D] 金系 [-]被哪一系的屬性克制	3	木	水	火	土
4	2	[FFFE0D] 水系 [-]被哪一系的屬性克制	4	金	木	火	土
4	3	[FFFE0D] 火系 [-]被哪一系的屬性克制	3	金	木	水	土
4	4	[FFFE0D] 木系 [-]被哪一系的屬性克制	1	金	水	火	土
4	5	[FFFE0D] 土系 [-]被哪一系的屬性克制	2	金	木	水	火
4	6	[FFFE0D] 火系 [-]被哪一系的屬性克制	3	金	木	水	土
4	7	[FFFE0D] 金系 [-]被哪一系的屬性克制	3	木	水	火	土
4	8	[FFFE0D] 水系 [-]被哪一系的屬性克制	4	金	木	火	土
4	9	[FFFE0D] 木系 [-]被哪一系的屬性克制	1	金	水	火	土
4	10	[FFFE0D] 土系 [-]被哪一系的屬性克制	2	金	木	水	火
4	11	[FFFE0D] 火系 [-]被哪一系的屬性克制	3	金	木	水	土
4	12	[FFFE0D] 木系 [-]被哪一系的屬性克制	1	金	水	火	土
4	13	[FFFE0D] 金系 [-]被哪一系的屬性克制	3	木	水	火	土
4	14	[FFFE0D] 土系 [-]被哪一系的屬性克制	2	金	木	水	火
5	1	[FFFE0D] 天王 [-]被哪些門派克制？	1	桃花、天忍和丐幫	峨嵋、翠煙	武當、昆侖和長歌	逍遙、唐門和五毒
5	2	[FFFE0D] 峨嵋 [-]被哪些門派克制？	4	峨嵋、翠煙	桃花、天忍和丐幫	逍遙、唐門和五毒	武當、昆侖和長歌
5	3	[FFFE0D] 桃花 [-]被哪些門派克制？	2	天王、少林和藏劍	峨嵋、翠煙	逍遙、唐門和五毒	武當、昆侖和長歌
5	4	[FFFE0D] 逍遙 [-]被哪些門派克制？	1	天王、少林和藏劍	峨嵋、翠煙	逍遙、唐門和五毒	武當、昆侖和長歌
5	5	[FFFE0D] 武當 [-]被哪些門派克制？	3	天王、少林和藏劍	峨嵋、翠煙	逍遙、唐門和五毒	武當、昆侖和長歌
5	6	[FFFE0D] 天忍 [-]被哪些門派克制？	2	天王、少林和藏劍	峨嵋、翠煙	逍遙、唐門和五毒	武當、昆侖和長歌
5	7	[FFFE0D] 少林 [-]被哪些門派克制？	1	桃花、天忍和丐幫	峨嵋、翠煙	武當、昆侖和長歌	逍遙、唐門和五毒
5	8	[FFFE0D] 翠煙 [-]被哪些門派克制？	4	峨嵋、翠煙	桃花、天忍和丐幫	逍遙、唐門和五毒	武當、昆侖和長歌
5	9	[FFFE0D] 唐門 [-]被哪些門派克制？	1	天王、少林和藏劍	峨嵋、翠煙	逍遙、唐門和五毒	武當、昆侖和長歌
5	10	[FFFE0D] 崑崙 [-]被哪些門派克制？	3	天王、少林和藏劍	峨嵋、翠煙	逍遙、唐門和五毒	武當、昆侖和長歌
5	11	[FFFE0D] 丐幫 [-]被哪些門派克制？	2	天王、少林和藏劍	峨嵋、翠煙	逍遙、唐門和五毒	武當、昆侖和長歌
5	12	[FFFE0D] 五毒 [-]被哪些門派克制？	1	天王、少林和藏劍	峨嵋、翠煙	逍遙、唐門和五毒	武當、昆侖和長歌
5	13	[FFFE0D] 藏劍 [-]被哪些門派克制？	1	桃花、天忍和丐幫	峨嵋、翠煙	武當、昆侖和長歌	逍遙、唐門和五毒
5	14	[FFFE0D] 長歌 [-]被哪些門派克制？	3	天王、少林和藏劍	峨嵋、翠煙	逍遙、唐門和五毒	武當、昆侖和長歌
