nTaskId	szTaskIndex	szTaskTitle	szDetailDesc	szTaskDesc	szFinishDesc	szTrackInfo	szFinishTrackInfo	ShowClientNpc	DeleteClientNpc	Require_FinishTask	nAutoNextTaskId	nFinishTaskNpcId	nFinishDialogId	Target_PersonalFuben	bAutoFinish	Target_ExtPoint	nTaskItemId	bShowFinish	nNeedConfirmFinish	szAwardInfo	Target_ExtInfo	Target_KillNpc	bKillNpcToAllPlayer	nTaskType	bNotAutoNext	szOnFinishTrack	Target_OnTrap	Target_CollectItem	Target_Achievement	Target_EnterMap	Target_MinLevel	Require_MinLevel	Require_MaxLevel	nAcceptTaskNpcId	nAcceptDialogId	IsFinishGuide	bCanRepeat
6010	SpecialTask1_11	[活]終於等到你	挺師兄看來十分忐忑，不知道能不能順利擄獲小緣師姐的芳心，小心點跟過去看看！	[FFFE0D]到前面去看看[-]	[FFFE0D]到前面去看看[-]	[url=taskitem:test, $T]	[url=taskitem:test, $T]	801	801	6009	6011				1	1	801						2	1	[url=sceneAnimation:test, huaban_yufenggu_01,huaban_yufengshanggu, 1, false]											
6011	SpecialTask1_12	[活]終於等到你	有情人終成眷屬，先靜待他們兩人交談一番，回襄陽城後再去向他們道賀吧！	回去祝賀挺哥與小緣	回去祝賀挺哥與小緣	[url=npc:testtt,$F,10]	[url=npc:testtt,$F,10]	802|803	802|803	6010		1666	6009					1	1	Exp|20000;Item|1621|1;Item|222|5			2	1												
6020	SpecialTask2_1	[活]神秘俠侶	俠士正在進行代言人情緣任務，規則如下：1、任務步驟可以個人完成  2、秘境必須兩人組隊前往且兩人必須完成到同一任務步驟	找[FFFE0D]老闆娘[-]瞭解情況	找[FFFE0D]老闆娘[-]瞭解情況	[url=npc:testtt,$F,10]	[url=npc:testtt,$F,10]				6021	99	7020											2	1							15					
6021	SpecialTask2_2	[活]仗劍江湖	俠士正在進行代言人情緣任務，規則如下：1、任務步驟可以個人完成  2、秘境必須兩人組隊前往且兩人必須完成到同一任務步驟	詢問[FFFE0D]獨孤大俠[-]	詢問[FFFE0D]獨孤大俠[-]	[url=npc:testtt,$F,10]	[url=npc:testtt,$F,10]			6020	6022	88	7021					1	1	BasicExp|40;Item|4800|1				2	1												
6022	SpecialTask2_3	[活]神秘青年	俠士正在進行代言人情緣任務，規則如下：1、任務步驟可以個人完成  2、秘境必須兩人組隊前往且兩人必須完成到同一任務步驟	根據線索找到[FFFE0D]神秘青年[-]	根據線索找到[FFFE0D]神秘青年[-]	[url=npc:testtt,$F,10]	[url=npc:testtt,$F,10]			6021	6023	2326	7022											2	1												
6023	SpecialTask2_4	[活]並駕齊遊	俠士正在進行代言人情緣任務，規則如下：1、任務步驟可以個人完成  2、秘境必須兩人組隊前往且兩人必須完成到同一任務步驟	聽從[FFFE0D]青年[-]的線索前往	聽從[FFFE0D]青年[-]的線索前往	[url=npc:testtt, 2326 ,10]	[url=npc:testtt, 2326 ,10]			6022	6024				1						DaiYanRenAct			2	1												
6024	SpecialTask2_5	[活]斑駁古劍	俠士正在進行代言人情緣任務，規則如下：1、任務步驟可以個人完成  2、秘境必須兩人組隊前往且兩人必須完成到同一任務步驟	詢問[FFFE0D]神秘青年[-]是誰	詢問[FFFE0D]神秘青年[-]是誰	[url=npc:testtt,$F,10]	[url=npc:testtt,$F,10]			6023	6025	2326	7024					1	1	BasicExp|40;Item|4801|1				2	1												
6025	SpecialTask2_6	[活]破月殘紅	俠士正在進行代言人情緣任務，規則如下：1、任務步驟可以個人完成  2、秘境必須兩人組隊前往且兩人必須完成到同一任務步驟	問問[FFFE0D]老闆娘[-]劍的來歷	問問[FFFE0D]老闆娘[-]劍的來歷	[url=npc:testtt,$F,10]	[url=npc:testtt,$F,10]			6024	6026	99	7025											2	1												
6026	SpecialTask2_7	[活]名動武林	俠士正在進行代言人情緣任務，規則如下：1、任務步驟可以個人完成  2、秘境必須兩人組隊前往且兩人必須完成到同一任務步驟	詢問[FFFE0D]南宮飛雲[-]是否知道	詢問[FFFE0D]南宮飛雲[-]是否知道	[url=npc:testtt,$F,10]	[url=npc:testtt,$F,10]			6025	6027	89	7026											2	1												
6027	SpecialTask2_8	[活]兩國相爭	俠士正在進行代言人情緣任務，規則如下：1、任務步驟可以個人完成  2、秘境必須兩人組隊前往且兩人必須完成到同一任務步驟	找[FFFE0D]南宮飛雲[-]前往線索之地	找[FFFE0D]南宮飛雲[-]前往線索之地	[url=npc:testtt, 89 ,10]	[url=npc:testtt, 89 ,10]			6026	6028				1						DaiYanRenAct			2	1												
6028	SpecialTask2_9	[活]生離死別	俠士正在進行代言人情緣任務，規則如下：1、任務步驟可以個人完成  2、秘境必須兩人組隊前往且兩人必須完成到同一任務步驟	詢問[FFFE0D]楊大俠少俠[-]是否知道內情	詢問[FFFE0D]楊大俠少俠[-]是否知道內情	[url=npc:testtt,$F,10]	[url=npc:testtt,$F,10]			6027	6029	2326	7028					1	1	BasicExp|40;Item|4802|1				2	1												
6029	SpecialTask2_10	[活]四面楚歌	俠士正在進行代言人情緣任務，規則如下：1、任務步驟可以個人完成  2、秘境必須兩人組隊前往且兩人必須完成到同一任務步驟	問問[FFFE0D]老闆娘[-]線索	問問[FFFE0D]老闆娘[-]線索	[url=npc:testtt,$F,10]	[url=npc:testtt,$F,10]			6028	6030	99	7029											2	1												
6030	SpecialTask2_11	[活]捨己為人	俠士正在進行代言人情緣任務，規則如下：1、任務步驟可以個人完成  2、秘境必須兩人組隊前往且兩人必須完成到同一任務步驟	找[FFFE0D]老闆娘[-]暫避風頭	找[FFFE0D]老闆娘[-]暫避風頭	[url=npc:testtt, 99 ,10]	[url=npc:testtt, 99 ,10]			6029	6031				1						DaiYanRenAct			2	1												
6031	SpecialTask2_12	[活]重獲新生	俠士正在進行代言人情緣任務，規則如下：1、任務步驟可以個人完成  2、秘境必須兩人組隊前往且兩人必須完成到同一任務步驟	詢問[FFFE0D]獨孤大俠[-]事情原委	詢問[FFFE0D]獨孤大俠[-]事情原委	[url=npc:testtt,$F,10]	[url=npc:testtt,$F,10]			6030	6032	88	7030					1	1	BasicExp|40;Item|4803|1				2	1												
6032	SpecialTask2_13	[活]天霜山莊	俠士正在進行代言人情緣任務，規則如下：1、任務步驟可以個人完成  2、秘境必須兩人組隊前往且兩人必須完成到同一任務步驟	找[FFFE0D]張如夢[-]尋求線索	找[FFFE0D]張如夢[-]尋求線索	[url=npc:testtt, 625 ,10]	[url=npc:testtt, 625 ,10]			6031	6033	625	7032											2	1												
6033	SpecialTask2_14	[活]背水一戰	俠士正在進行代言人情緣任務，規則如下：1、任務步驟可以個人完成  2、秘境必須兩人組隊前往且兩人必須完成到同一任務步驟	跟隨[FFFE0D]張如夢[-]的指引	跟隨[FFFE0D]張如夢[-]的指引	[url=npc:testtt, 625 ,10]	[url=npc:testtt, 625 ,10]			6032	6034				1						DaiYanRenAct			2	1												
6034	SpecialTask2_15	[活]緣來如此	俠士正在進行代言人情緣任務，規則如下：1、任務步驟可以個人完成  2、秘境必須兩人組隊前往且兩人必須完成到同一任務步驟	詢問[FFFE0D]楊大俠少俠[-]怎麼回事	詢問[FFFE0D]楊大俠少俠[-]怎麼回事	[url=npc:testtt,$F,10]	[url=npc:testtt,$F,10]			6033	6035	2326	7034					1	1	BasicExp|40;Item|4804|1				2	1												
6035	SpecialTask2_16	[活]前塵舊事	俠士正在進行代言人情緣任務，規則如下：1、任務步驟可以個人完成  2、秘境必須兩人組隊前往且兩人必須完成到同一任務步驟	去見見[FFFE0D]真兒女俠[-]	去見見[FFFE0D]真兒女俠[-]	[url=npc:testtt,$F,10]	[url=npc:testtt,$F,10]			6034	6036	2279	7035											2	1												
6036	SpecialTask2_17	[活]世外桃源	俠士正在進行代言人情緣任務，規則如下：1、任務步驟可以個人完成  2、秘境必須兩人組隊前往且兩人必須完成到同一任務步驟	找[FFFE0D]真兒姑娘[-]前往世外桃源	找[FFFE0D]真兒姑娘[-]前往世外桃源	[url=npc:testtt,2279,10]	[url=npc:testtt,2279,10]			6035	6037				1						DaiYanRenAct			2	1												
6037	SpecialTask2_18	[活]不棄不離	俠士正在進行代言人情緣任務，規則如下：1、任務步驟可以個人完成  2、秘境必須兩人組隊前往且兩人必須完成到同一任務步驟	找[FFFE0D]真兒姑娘[-]道謝	找[FFFE0D]真兒姑娘[-]道謝	[url=npc:testtt,2279,10]	[url=npc:testtt,2279,10]			6036		2279	7037					1	1	Item|4805|1;Item|4806|1;Item|4807|1				2	1												
