BuildingId	Level	MainBuildingLimit	LevelUpCost	Desc
7	8	9	24000000	●  兵甲坊提供打造：[FFFE0D]武器[-]、[FFFE0D]衣服[-]\n●  兵甲坊等級越高打造成本折扣越優惠
7	9	10	32000000	●  兵甲坊提供打造：[FFFE0D]武器[-]、[FFFE0D]衣服[-]\n●  兵甲坊等級越高打造成本折扣越優惠
8	1	2	250000	●  首飾坊提供打造：[FFFE0D]項鍊[-]、[FFFE0D]戒指[-]、[FFFE0D]玉佩[-]、[FFFE0D]護身符[-]\n●  首飾坊等級越高打造成本折扣越優惠
8	2	3	500000	●  首飾坊提供打造：[FFFE0D]項鍊[-]、[FFFE0D]戒指[-]、[FFFE0D]玉佩[-]、[FFFE0D]護身符[-]\n●  首飾坊等級越高打造成本折扣越優惠
8	3	4	1000000	●  首飾坊提供打造：[FFFE0D]項鍊[-]、[FFFE0D]戒指[-]、[FFFE0D]玉佩[-]、[FFFE0D]護身符[-]\n●  首飾坊等級越高打造成本折扣越優惠
8	4	5	2000000	●  首飾坊提供打造：[FFFE0D]項鍊[-]、[FFFE0D]戒指[-]、[FFFE0D]玉佩[-]、[FFFE0D]護身符[-]\n●  首飾坊等級越高打造成本折扣越優惠
8	5	6	4000000	●  首飾坊提供打造：[FFFE0D]項鍊[-]、[FFFE0D]戒指[-]、[FFFE0D]玉佩[-]、[FFFE0D]護身符[-]\n●  首飾坊等級越高打造成本折扣越優惠
8	6	7	8000000	●  首飾坊提供打造：[FFFE0D]項鍊[-]、[FFFE0D]戒指[-]、[FFFE0D]玉佩[-]、[FFFE0D]護身符[-]\n●  首飾坊等級越高打造成本折扣越優惠
8	7	8	16000000	●  首飾坊提供打造：[FFFE0D]項鍊[-]、[FFFE0D]戒指[-]、[FFFE0D]玉佩[-]、[FFFE0D]護身符[-]\n●  首飾坊等級越高打造成本折扣越優惠
8	8	9	24000000	●  首飾坊提供打造：[FFFE0D]項鍊[-]、[FFFE0D]戒指[-]、[FFFE0D]玉佩[-]、[FFFE0D]護身符[-]\n●  首飾坊等級越高打造成本折扣越優惠
8	9	10	32000000	●  首飾坊提供打造：[FFFE0D]項鍊[-]、[FFFE0D]戒指[-]、[FFFE0D]玉佩[-]、[FFFE0D]護身符[-]\n●  首飾坊等級越高打造成本折扣越優惠
9	1	4	1000000	●  戰爭坊出售攻城戰道具：[FFFE0D]攻城車[-]、[FFFE0D]勁弩車[-]、[FFFE0D]鐵炮車[-]、[FFFE0D]神射手[-]、[FFFE0D]鼓舞旗[-]\n●  戰爭坊等級越高購買折扣越優惠
9	2	5	2000000	●  戰爭坊出售攻城戰道具：[FFFE0D]攻城車[-]、[FFFE0D]勁弩車[-]、[FFFE0D]鐵炮車[-]、[FFFE0D]神射手[-]、[FFFE0D]鼓舞旗[-]\n●  戰爭坊等級越高購買折扣越優惠
9	3	6	4000000	●  戰爭坊出售攻城戰道具：[FFFE0D]攻城車[-]、[FFFE0D]勁弩車[-]、[FFFE0D]鐵炮車[-]、[FFFE0D]神射手[-]、[FFFE0D]鼓舞旗[-]\n●  戰爭坊等級越高購買折扣越優惠
9	4	7	8000000	●  戰爭坊出售攻城戰道具：[FFFE0D]攻城車[-]、[FFFE0D]勁弩車[-]、[FFFE0D]鐵炮車[-]、[FFFE0D]神射手[-]、[FFFE0D]鼓舞旗[-]\n●  戰爭坊等級越高購買折扣越優惠
9	5	8	16000000	●  戰爭坊出售攻城戰道具：[FFFE0D]攻城車[-]、[FFFE0D]勁弩車[-]、[FFFE0D]鐵炮車[-]、[FFFE0D]神射手[-]、[FFFE0D]鼓舞旗[-]\n●  戰爭坊等級越高購買折扣越優惠
9	6	9	24000000	●  戰爭坊出售攻城戰道具：[FFFE0D]攻城車[-]、[FFFE0D]勁弩車[-]、[FFFE0D]鐵炮車[-]、[FFFE0D]神射手[-]、[FFFE0D]鼓舞旗[-]\n●  戰爭坊等級越高購買折扣越優惠
9	7	10	32000000	●  戰爭坊出售攻城戰道具：[FFFE0D]攻城車[-]、[FFFE0D]勁弩車[-]、[FFFE0D]鐵炮車[-]、[FFFE0D]神射手[-]、[FFFE0D]鼓舞旗[-]\n●  戰爭坊等級越高購買折扣越優惠
