nEventId	nTypeId	szTyepName	nTarget	nBaseGold	szAddGoldList	nCount	nAverageMin
79	48	購買周年慶緣起禮包		1000	5000_2000_1000	50	10
80	49	購買周年慶情韻禮包		600	3000_1200_600	40	6
81	50	購買周年慶俠蹤禮包		400	2000_800_400	30	5
82	51	購買周年慶劍影禮包		150	750_300_150	20	5
83	52	美女評選中獲得海選賽第一		15000	75000_30000_15000	100	150
84	53	美女評選中獲得海選賽前十		4000	20000_8000_4000	80	40
85	54	美女評選中海選賽獲投199票	199	400	2000_800_400	30	5
86	55	美女評選中獲得決賽第一		100000	500000_200000_100000	100	1000
87	56	美女評選海選賽第一（全服紅包）		15000	75000_30000_15000	500	30
88	57	美女評選決賽前十（全服紅包）		100000	500000_200000_100000	1000	100
89	58	美女評選決賽第一（全服紅包）		200000	1000000_400000_200000	1000	200
90	59	美女評選中獲得決賽前十		50000	250000_100000_50000	100	500
91	60	登上月度通天塔八層	8	2000	10000_4000_2000	100	20
92	61	購買每日禮包7日套包		300	1500_600_300	30	5
93	62	美女評選決賽獲投8000	8000	15000	75000_30000_15000	100	150
94	63	美女評選決賽獲投8000（全服紅包）	8000	20000	100000_40000_20000	500	40
96	65	武林大會冠軍		10000	50000_20000_10000	100	100
97	66	武林大會四強		5000	25000_10000_5000	100	50
98	67	武林大會十六強		3000	15000_6000_3000	80	30
99	68	武林大會組長		500	2500_1000_500	30	5
100	69	武林大會冠軍（全服紅包）		50000	250000_100000_50000	500	100
101	70	武林大會四強（全服紅包）		10000	50000_20000_10000	200	50
102	71	購買聖誕狂歡禮包		1000	5000_2000_1000	50	20
103	72	購買聖誕盛典禮包		600	3000_1200_600	40	15
104	73	購買聖誕祝福禮包		400	2000_800_400	30	13
105	74	購買聖誕平安禮包		150	750_300_150	20	7
106	75	行腳商拍賣競價超1千元寶		1000	5000_2000_1000	100	10
107	76	行腳商拍賣競價超2千元寶		2000	10000_4000_2000	100	20
108	77	行腳商拍賣競價超5千元寶		5000	25000_10000_5000	150	33
109	78	行腳商拍賣競價超1萬元寶		10000	50000_20000_10000	200	50
110	79	行腳商拍賣競價超2萬元寶		20000	100000_40000_20000	300	66
111	80	行腳商拍賣競價超5萬元寶		50000	250000_100000_50000	600	83
112	81	行腳商拍賣競價超10萬元寶		100000	500000_200000_100000	1000	100
113	82	行腳商拍賣競價超12萬元寶		120000	600000_240000_120000	1000	120
114	83	行腳商拍賣競價超15萬元寶		150000	750000_300000_150000	1000	150
115	84	行腳商拍賣競價超18萬元寶		180000	900000_360000_180000	1000	180
116	85	行腳商拍賣競價超20萬元寶		200000	1000000_400000_200000	1000	200
121	90	舉辦莊園·晚櫻連理婚禮	5	1000	5000_2000_1000	50	10
122	90	舉辦莊園·晚櫻連理婚禮	6	1000	5000_2000_1000	50	10
123	90	舉辦莊園·晚櫻連理婚禮	7	2000	10000_4000_2000	50	40
124	90	舉辦莊園·晚櫻連理婚禮	8	2000	10000_4000_2000	50	40
125	90	舉辦莊園·晚櫻連理婚禮	9	3500	17500_7000_3500	50	70
126	90	舉辦莊園·晚櫻連理婚禮	10	3500	17500_7000_3500	50	70
127	90	舉辦莊園·晚櫻連理婚禮	11	3500	17500_7000_3500	50	70
128	90	舉辦莊園·晚櫻連理婚禮	12	3500	17500_7000_3500	50	70
129	90	舉辦莊園·晚櫻連理婚禮	13	3500	17500_7000_3500	50	70
130	90	舉辦莊園·晚櫻連理婚禮	14	3500	17500_7000_3500	50	70
131	90	舉辦莊園·晚櫻連理婚禮	15	3500	17500_7000_3500	50	70
132	90	舉辦莊園·晚櫻連理婚禮	16	3500	17500_7000_3500	50	70
133	90	舉辦莊園·晚櫻連理婚禮	17	3500	17500_7000_3500	50	70
134	90	舉辦莊園·晚櫻連理婚禮	18	3500	17500_7000_3500	50	70
135	91	舉辦海島·紅鸞攬月婚禮	9	3000	15000_6000_3000	50	60
136	91	舉辦海島·紅鸞攬月婚禮	10	6000	30000_12000_6000	100	60
137	91	舉辦海島·紅鸞攬月婚禮	11	6000	30000_12000_6000	100	60
138	91	舉辦海島·紅鸞攬月婚禮	12	10000	50000_20000_10000	100	100
139	91	舉辦海島·紅鸞攬月婚禮	13	10000	50000_20000_10000	100	100
140	91	舉辦海島·紅鸞攬月婚禮	14	10000	50000_20000_10000	100	100
141	91	舉辦海島·紅鸞攬月婚禮	15	10000	50000_20000_10000	100	100
142	91	舉辦海島·紅鸞攬月婚禮	16	10000	50000_20000_10000	100	100
143	91	舉辦海島·紅鸞攬月婚禮	17	10000	50000_20000_10000	100	100
144	91	舉辦海島·紅鸞攬月婚禮	18	10000	50000_20000_10000	100	100
145	92	舉辦舫舟·乘龍配鳳婚禮	12	10000	50000_20000_10000	100	100
146	92	舉辦舫舟·乘龍配鳳婚禮	13	20000	100000_40000_20000	100	200
147	92	舉辦舫舟·乘龍配鳳婚禮	14	20000	100000_40000_20000	100	200
148	92	舉辦舫舟·乘龍配鳳婚禮	15	20000	100000_40000_20000	100	200
149	92	舉辦舫舟·乘龍配鳳婚禮	16	30000	150000_60000_30000	100	300
150	92	舉辦舫舟·乘龍配鳳婚禮	17	30000	150000_60000_30000	100	300
151	92	舉辦舫舟·乘龍配鳳婚禮	18	30000	150000_60000_30000	100	300
