Id	Info	Name	szGrowthType	Value	ShowTimeFrame	Series	AiType	GrowthType	QualityLevel	NpcTemplateId	BYNpcTemplateId	BaseSkillId	Skill1	Skill2	Skill3	ExtSkill1	ExtSkill2	ExtSkill3	ExtSkill4	ExtSkill5	Hide
17	SS級同伴，歷代名將	李元霸	近戰、控制	6000000	OpenDay128	1	11	7	2	295	1740	3201	2940	2619	3202						
18	SS級同伴，歷代名將	趙雲	近戰、輸出	6000000	OpenDay128	2	2	3	2	296	1741	3204	2931	2615	3205						
19	SS級同伴，歷代名將	李廣	遠程、控制	6000000	OpenDay128	4	4	4	2	297		3208	2933	2616	3209						
20	SS級同伴，歷代名將	荊軻	近戰、暴發	6000000	OpenDay52	4	4	6	2	298	1742	1779	2933	2618	1780						
21	SS級同伴，歷代名將	虞姬	遠端、輔助	6000000	OpenDay52	3	13	2	2	1344	1743	2856	2942	2614	2857						
22	SS級同伴，歷代名將	岳飛	遠端、輔助	6000000	OpenDay52	5	5	5	2	1345	1744	1771	2934	2617	1772						
23	S級同伴	月眉兒	遠程、控制	1500000		3	2	8	3	299	1458	2641	2931	2620	2642						
24	S級同伴，天王掌門	楊瑛	近戰、控制	1500000		1	3	1	3	300	1459	1111	2932	2613	1115						
25	S級同伴，逍遙掌門	祝子虛	近戰、控制	1500000		2	2	3	3	301	1460	1234	2931	2615	1238						
26	S級同伴，峨嵋掌門	清曉師太	遠端、輔助	1500000		3	9	2	3	302	1461	1140	2938	2614	1144						
27	S級同伴，桃花掌門	黃暮雲	遠程、均衡	1500000		4	3	4	3	303	1462	1191	2932	2616	1195						
28	S級同伴，武當掌門	道一真人	遠程、控制	1500000		5	4	5	3	304	1463	2809	2933	2617	2813						
29	S級同伴，天忍掌門	端木睿	近戰、暴發	1500000		4	6	6	3	305		2815	2935	2618	2819						
30	S級同伴，少林掌門	玄因	近戰	1500000		1	11	7	3	306	2222	1270	2940	2619	953						1
31	S級同伴，翠煙掌門	尹含煙	遠程	1500000		3	4	8	3	307		1270	2933	2620	953						1
32	S級同伴，五毒掌門	黑面郎君	遠程、均衡	1500000		2	1	11	3	308	1464	3286	2930	2621	3289						1
33	S級同伴，昆侖掌門	璿璣子	遠程	1500000		5	2	10	3	309		1270	2931	2622	953						1
34	S級同伴，丐幫掌門	何人我	近戰、爆發	1500000		4	10	12	3	310	2223	3291	2939	2624	3292						1
35	S級同伴，唐門掌門	唐仇	遠程、輸出	1500000		2	7	9	3	311	2224	3293	2936	2623	3295						1
36	S級同伴	孟知秋	近戰、輔助	1500000		1	4	7	3	312	1465	2873	2933	2619	2898						
37	S級同伴，歷代名將	高長恭	近戰、高閃	1500000	OpenDay7	4	11	12	3	313	1466	2645	2940	2624	2646						
38	S級同伴，歷代名將	哲別	遠程、輸出	1500000	OpenDay7	2	5	9	3	314	1467	2513	2934	2623	2516						
39	S級同伴，歷代名將	秦良玉	近戰、控制	1500000	OpenDay7	3	3	8	3	315	1745	2676	2932	2620	2677						
40	S級同伴，歷代名將	袁承志	遠程、控制	1500000	OpenDay7	5	4	10	3	316	1468	2518	2933	2622	2519						
41	S級同伴，歷代名將	鼇拜	近戰、輸出	1500000	OpenDay7	1	10	1	3	317	1469	2637	2939	2613	2638						
42	S級同伴，歷代名將	韓世忠	近戰、輸出	1500000	OpenDay7	2	11	11	3	318	1470	2842	2940	2621	2545						
145	S級同伴，野外首領	冰鱗蜥皇	遠程、輸出	1500000	OpenDay251	3	3	8	3	2281	2282	3904	2932	2620	3906						
146	S級同伴，野外首領	銀鉤蠍皇	遠程、控制	1500000	OpenDay251	2	11	11	3	2283	2284	3908	2940	2621	3909						
147	S級同伴，野外首領	狂鬃獒皇	近戰、輸出	1500000	OpenDay251	4	11	12	3	2285	2286	3913	2940	2624	3914						
43	S級同伴，野外首領	赤睛虎皇	近戰、暴發	1500000	OpenDay116	4	14	6	3	319		3212	2943	2618	3213						
44	S級同伴，野外首領	撼天熊皇	近戰、輸出	1500000	OpenDay116	1	10	7	3	320		3215	2939	2619	3216						
45	S級同伴，野外首領	紫背鱷皇	近戰、輸出	1500000	OpenDay116	2	1	11	3	321		3218	2930	2621	3219						
46	S級同伴，野外首領	定海金剛	遠程、控制	1500000	OpenDay35	5	5	5	3	322		944	2934	2617	942						
47	S級同伴，野外首領	金翅鵬皇	遠程、控制	1500000	OpenDay35	2	3	3	3	323		945	2932	2615	946						
48	S級同伴，野外首領	銀角犀皇	近戰、輔助	1500000	OpenDay35	3	11	2	3	324		947	2940	2614	948						
49	S級同伴	張風	遠程、控制	1500000		5	7	10	3	325	1471	951	2936	2622	953						
50	S級同伴	南宮滅	近戰、高閃	1500000		4	3	12	3	326	1472	2843	2932	2624	2844						
51	S級同伴	方勉	近戰、輸出	1500000		1	11	1	3	437	1473	2876	2940	2613	2880						
52	S級同伴，60組隊秘境	唐影	遠程、均衡	1500000		2	8	9	3	1051	1474	949	2937	2623	950						
53	S級同伴	秋依水	遠端、輔助	1500000		3	9	8	3	1052	1475	2863	2938	2620	2848						
54	S級同伴	天星道長	遠程、輸出	1500000		5	4	5	3	1053	1476	996	2933	2617	998						
55	S級同伴	燕若雪	近戰、控制	1500000		4	7	6	3	1054		2528	2936	2618	955						
56	S級同伴	楊熙烈	遠程、輸出	1500000		4	12	4	3	1055	1477	2687	2941	2616	2841						
57	S級同伴	上官飛龍	遠程、控制	1500000		5	1	5	3	1056	1746	2866	2930	2617	2867						
58	S級同伴	納蘭潛凜	近戰、控制	1500000		2	6	3	3	1057	1747	2574	2935	2615	2684						
148	S級同伴	黃真伊	遠程、輸出	1500000	OpenDay720	4	13	4	3	2419	2420	3916	2942	2616	3918						
59	A級同伴	納蘭真	遠端、輔助	500000		3	9	2	4	327		2560	2938	2614	2561						
60	A級同伴	少年楊影楓	近戰、輸出	500000		1	4	1	4	328		2564	2933	2613	2565						
61	A級同伴，天王大師兄	楊鐵心	近戰、高防	500000		1	11	1	4	329		1101	2940	2613	1105						
62	A級同伴，逍遙大師兄	柳瀟庭	近戰、輸出	500000		2	7	3	4	330		1221	2936	2614	1232						
63	A級同伴，峨嵋大師兄	無想	遠程、輸出	500000		3	2	2	4	331		1131	2931	2615	1136						
64	A級同伴，桃花大師姐	李恬兒	遠程、輸出	500000		4	3	4	4	332		1181	2932	2616	1188						
65	A級同伴，武當大師兄	李天目	遠程、高防	500000		5	9	5	4	333		2801	2938	2617	2803						
66	A級同伴，天忍大師姐	完顏襄	近戰、控制	500000		4	14	6	4	334		2825	2943	2618	2829						
67	A級同伴，少林大師兄	玄慈	近戰	500000		1	1	7	4	335		1270	2930	2619	953						1
68	A級同伴，翠煙大師姐	尹筱雨	遠程	500000		3	1	8	4	336		1270	2930	2620	953						1
69	A級同伴，五毒大師兄	古嫣然	近戰	500000		2	6	11	4	337		1270	2935	2621	953						1
70	A級同伴，昆侖大師兄	宋秋石	遠程	500000		5	4	10	4	338		1270	2933	2622	953						1
71	A級同伴，丐幫大師兄	石軒轅	近戰	500000		4	10	12	4	339		1270	2939	2624	953						1
72	A級同伴，唐門大師兄	唐曉	遠程	500000		2	9	9	4	340		1270	2938	2623	953						1
73	A級同伴，野外首領	雙首異獸	遠程、輸出	500000	OpenDay6	2	1	9	4	341		959	2930	2623	960						
74	A級同伴，野外首領	奔焰豹王	近戰、輸出	500000	OpenDay6	4	14	12	4	342		2539	2943	2624	2540						
75	A級同伴，野外首領	九尾狐王	遠程、輸出	500000	OpenDay6	5	9	10	4	343		2541	2938	2622	2544						
76	A級同伴	唐瀟	遠端、輔助	500000		2	9	9	4	344		962	2938	2623	963						
77	A級同伴	紫軒	遠程、控制	500000		2	13	3	4	345		964	2942	2616	965						
78	A級同伴	薔薇	遠程、輸出	500000		5	3	5	4	346		2501	2932	2617	2882						
79	A級同伴	卓非凡	近戰、輸出	500000		2	8	11	4	347		2865	2937	2621	967						
80	A級同伴	月明瑤	遠程、輸出	500000		4	9	4	4	348		968	2938	2616	970						
81	A級同伴	南宮彩虹	遠程、輸出	500000		4	4	4	4	349		2696	2933	2616	971						
82	A級同伴	張如夢	近戰、輸出	500000		1	7	7	4	350		2581	2936	2619	2582						
83	A級同伴	張琳心	遠端、輔助	500000		3	2	8	4	351		2698	2931	2620	973						
84	A級同伴	封玉書	近戰、控制	500000		1	6	1	4	352		974	2935	2615	975						
85	A級同伴	曲霞	近戰、輔助	500000		2	5	11	4	353		2694	2934	2621	995						
86	A級同伴	耶律辟離	近戰、輸出	500000		4	6	6	4	354		2629	2935	2618	2630						
87	A級同伴	林海	遠端、輔助	500000		5	8	10	4	355		2884	2937	2622	2886						
88	A級同伴	陸文龍	近戰、控制	500000		4	1	12	4	438		2836	2930	2624	2635						
89	A級同伴	趙無雙	遠程、控制	500000		3	4	2	4	1061		977	2933	2614	978						
90	A級同伴	無相	近戰、輸出	500000		1	6	7	4	1062		2885	2935	2619	1296						
91	A級同伴	趙節	近戰、輸出	500000		1	5	1	4	1063		2508	2934	2613	2509						
92	A級同伴	邵騎風	近戰、輸出	500000		4	8	6	4	1064		2862	2937	2618	980						
93	A級同伴	何暮雪	遠程、控制	500000		3	4	8	4	1065		983	2933	2620	984						
94	A級同伴	趙升權	近戰、均衡	500000		2	1	3	4	1066		1295	2930	2615	2888						
95	A級同伴	柴嵩	遠端、輔助	500000		5	2	5	4	1346		986	2931	2617	988						
96	B級同伴	小殷方	近戰、輸出	200000		2	4	11	5	356		2891	2933	2621	2591						
97	B級同伴	蘇墨芸	近戰、輸出	200000		4	3	12	5	357		1289	2932	2624	1290						
98	B級同伴	蕭動塵	近戰、輸出	200000		2	2	3	5	358		1281	2931	2615	1282						
99	B級同伴	白眉猴王	遠程、輸出	200000	OpenDay3C	4	9	4	5	359		994	2938	2616	992						
100	B級同伴	大地狼王	近戰、輸出	200000	OpenDay3C	1	6	1	5	360		2532	2935	2613	2533						
101	B級同伴	寒玉鹿王	遠程、輸出	200000	OpenDay3C	3	7	8	5	361		2552	2936	2620	2553						
102	B級同伴	胡神醫	遠端、輔助	200000		3	9	2	5	362		2693	2938	2614	999						
103	B級同伴	秦沐白	遠程、控制	200000		5	8	5	5	363		2568	2937	2617	2569						
104	B級同伴	張仲天	遠程、輸出	200000		2	5	9	5	364		2651	2934	2623	2657						
105	B級同伴	路達	近戰、輸出	200000		1	9	7	5	365		2652	2938	2619	2663						
106	B級同伴	李三	遠程、輸出	200000		4	8	4	5	366		2653	2937	2616	2664						
107	B級同伴	盧青	遠程、輸出	200000		5	4	10	5	367		2869	2933	2622	2893						
108	B級同伴	鶯兒	近戰、輸出	200000		4	9	6	5	368		2892	2938	2618	2660						
109	B級同伴	顧武	近戰、輸出	200000		1	10	1	5	369		1271	2939	2613	2662						
110	B級同伴	B15		200000			1	1	5	370		2652	2930	2614	2663						1
111	B級同伴	B16		200000			1	12	5	371		2650	2930	2615	2655						1
112	B級同伴	B17		200000			1	1	5	372		1270	2930	2616	1278						1
113	B級同伴	B18		200000			1	1	5	373		1270	2930	2617	1278						1
114	C級同伴	金錢豹	近戰、輸出	50000		1	2	1	6	374		1261	2931	2618	1262						
115	C級同伴	黑翼獵鷹	近戰、輸出	50000		5	5	10	6	375		989	2934	2619	1262						
116	C級同伴	武林惡徒	近戰、輸出	50000		2	10	3	6	376		991	2939	2620	1278						
117	C級同伴	猛虎	近戰、輸出	50000		1	10	7	6	377		1261	2939	2621	1262						
118	C級同伴	楓林衛	近戰、輸出	50000		4	5	12	6	378		991	2934	2622	1278						
119	C級同伴	猿猴	遠程、輸出	50000		2	8	3	6	379		1274	2937	2623	1280						
120	C級同伴	鐵面捕頭	近戰、輸出	50000		4	2	12	6	380		991	2931	2624	1278						
121	C級同伴	紅衣女童	近戰、輸出	50000		4	3	4	6	381		1270	2932	2613	1278						
122	C級同伴	鑄劍師	近戰、輸出	50000		4	1	6	6	382		991	2930	2614	1278						
123	C級同伴	獵人	遠程、輸出	50000		5	9	10	6	383		2557	2938	2615	2558						
124	C級同伴	紅纓侍	近戰、輸出	50000		3	1	8	6	384		1276	2930	2616	1278						
125	C級同伴	強盜	近戰、輸出	50000		5	14	10	6	385		991	2943	2617	1278						
126	C級同伴	藥王谷弟子	近戰、輸出	50000		3	8	8	6	386		1274	2937	2618	1280						
127	C級同伴	灰狼	近戰、輸出	50000		5	14	5	6	387		1261	2943	2619	1262						
128	C級同伴	東瀛忍者	近戰、輸出	50000		1	5	1	6	388		991	2934	2620	1278						
129	C級同伴	生使	近戰、輸出	50000		3	1	2	6	389		1270	2930	2621	1278						
130	C級同伴	死侍	近戰、輸出	50000		3	2	2	6	390		991	2931	2622	1278						
131	C級同伴	火狐	近戰、輸出	50000		4	9	4	6	391		989	2938	2623	1262						
132	C級同伴	九幽弟子	近戰、輸出	50000		1	14	1	6	392		991	2943	2624	1278						
133	C級同伴	黑熊	近戰、輸出	50000		5	10	5	6	393		990	2939	2613	1262						
134	C級同伴	無憂教弟子	近戰、輸出	50000		2	6	9	6	394		1274	2935	2614	1280						
135	C級同伴	天工匠者	近戰、輸出	50000		1	1	7	6	395		991	2930	2615	1278						
136	C級同伴	傀儡士兵	近戰、輸出	50000		2	10	11	6	396		991	2939	2616	1278						
137	C級同伴	機關人	近戰、輸出	50000		2	5	9	6	397		1274	2934	2617	1280						
138	C級同伴	C25		50000			1	1	6	398		1270	2930	2618	1278						1
139	C級同伴	C26		50000			1	1	6	399		1270	2930	2619	1278						1
140	C級同伴	C27		50000			1	1	6	400		1270	2930	2620	1278						1
141	C級同伴	C28		50000			1	1	6	401		1270	2930	2621	1278						1
142	C級同伴	C29		50000			1	1	6	402		1270	2930	2622	1278						1
143	C級同伴	C30		50000			1	1	6	403		1270	2930	2623	1278						1
