nPartnerId	Name	szStory
36	孟知秋	武林盟主，藏劍山莊第一任的外姓莊主，薔薇之父。武功極高，江湖上已無多少人能與之比劍，為人沉穩，相信只要心懷大志，無論是否姓葉，均可將藏劍山莊武學、名劍發揚光大，錯信卓非凡，幾乎導致藏劍山莊一蹶不振。
102	胡神醫	隱居藥王谷的蓋世神醫，性情古怪，一心專研醫術，手上武功平常，但下毒用毒的功夫一流。
98	蕭動塵	守護無憂教禁地的精英教徒，常年幽居，性格大變，對無憂教及納蘭潛凜有近乎狂熱的信仰。
97	蘇墨芸	幽居在忘憂島離憂山洞深處的神秘女人，思想瘋狂，頭腦有點不清楚，身份神秘，當看見楊影楓和納蘭真闖入後不問青紅皂白就痛下殺手。
104	張仲天	無憂教教徒，對納蘭潛凜一片忠心，卓非凡懷疑其擁有《武道德經》，意欲奪取。張仲天為脫身將一本假的經書交由楊影楓保管，使卓非凡將目標轉向來了後者。後來，納蘭潛凜得到真的《武道德經》後意欲殺死張仲天滅口，勉力逃出後將納蘭潛凜的陰謀詭計全部告訴了楊影楓。
83	張琳心	獨孤劍的戀人，“飛劍客”張風之女，張如夢之妹。她從來未曾想到一見鍾情的少年，竟與自己有血海深仇，徒自黯然神傷。當誤會被解開後，就一心跟著獨孤劍，以稚嫩的肩膀與他一起擔負拯救家國、為父報仇的使命。
82	張如夢	南宮彩虹的戀人，“飛劍客”張風之子，張琳心兄長。一心拯救家國，卻與仇人愛恨糾葛，只能以酒買醉。劍門關與南宮彩虹一戰後，放下一切包袱，與其隱居大漠。育有一子，取名南宮飛雲。
81	南宮彩虹	張如夢的戀人，“天心飛仙”之首“天劍客”、金國第一高手南宮滅之女，“五色教”紫劍堂堂主。本是來到宋國刺探情報，卻愛上了宋人張如夢，萬般煎熬，終於不顧一切與其隱居大漠，後育有一子——南宮飛雲。
49	張風	江湖四大劍客“天心飛仙”之“飛劍客”，張如夢和張琳心的父親，南宋臨安都指揮使。與“仙劍客”獨孤雲一起去金國想救出徽欽二帝，敗露後為保護寶圖“山河社稷圖”不得不假裝被金國高手“天劍客”南宮滅收買，親手殺死受盡折磨、生不如死的至交好友“仙劍客”獨孤雲。為了應對金國及秦檜的陰謀，忍辱偷生多年，獨孤劍不知實情，將其視為殺父仇人。
50	南宮滅	“天心飛仙”之首“天劍客”、金國第一高手，南宮彩虹之父。多年來一直為金國辦事，在中原明察暗訪，專門挑起武林爭鬥，手下沾滿了中原武林人士的鮮血。
51	方勉	“天心飛仙”之“心劍客”，武功高強，在與南宮滅一戰後武功盡失，為了威懾南宮滅使其不敢輕易下江南，於是隱跡江湖。其弟方頤冒用其名號，領著五色教徒為非作歹，將張琳心打下懸崖，被獨孤劍及楊瑛擊殺。後來，方勉將張琳心救起，使其與獨孤劍二人終成眷屬。
106	李三	住在華山腳下石塘鎮的樵夫，熟知上華山的險道，獨孤劍將其從監獄救下後，帶領獨孤劍從小道登上華山。
88	陸文龍	南宋抗金名將，岳飛手下猛將，為潞安州節度使陸登之子，潞安州被金兵攻破後成為金兀術的義子，後來從獨孤劍處得知自己身世後返回宋朝，並成為岳家軍中的一員猛將。
22	岳飛	南宋抗金名將，中國歷史上著名軍事家、戰略家，民族英雄，位列南宋中興四將之一。岳飛是南宋最傑出的統帥，他重視人民抗金力量，締造了“連結河朔”之謀，主張黃河以北的民間抗金義軍和宋軍互相配合，夾擊金軍，以收復失地。岳飛治軍，賞罰分明，紀律嚴整，又能體恤部屬，以身作則，他率領的“岳家軍”號稱“凍死不拆屋，餓死不打擄”，金人流傳有“撼山易，撼岳家軍難”的評語，表達對“岳家軍”的由衷敬畏。
42	韓世忠	兩宋之際的名將，與岳飛、張俊、劉光世合稱“中興四將”。韓世忠身材魁偉，勇猛過人。出身貧寒，18歲應募從軍。英勇善戰，胸懷韜略，在抗擊西夏和金的戰爭中為宋朝立下汗馬功勞，而且在平定各地的叛亂中也作出重大的貢獻。為官正派，不肯依附奸相秦檜，為岳飛遭陷害而鳴不平。
105	路達	臨安城酒樓裡的江湖人士，同意秦檜的主張，覺得向金國進貢能保太平。被獨孤劍和張如夢聽到，二人一起收拾了這個沒骨氣的小人。
87	林海	華山派長老，依附于五色教，乃五色教白劍堂堂主，謀害華山掌門顧楓，偷偷給其服用“神功散”，使其內力慢慢減弱，找時機與其比武並取而代之，獨孤劍和張琳心揭穿其陰謀，讓其付出了應有的代價。
107	盧青	衡山派弟子，與獨孤劍一同習武長大。獨孤劍成為掌門後，其成為衡山派大弟子。獨孤劍闖蕩江湖時，衡山派的事務都交給其打理。聽聞獨孤劍到了朱仙鎮欲對抗金國，不遠萬里送來鎮派寶劍——丹心劍。
108	鶯兒	天王幫幫主楊瑛的侍女，與萍兒一道常年照顧其飲食起居，深得楊瑛信任。天王幫左使封玉書投靠五色教，去楊瑛閨房盜取“山河社稷圖”，將鶯兒制住，幸好獨孤劍和楊瑛及時趕到，擊退封玉書將其救下。
90	無相	少林戒律院首座，一直覬覦少林掌門之位，意欲統領武林，於是投靠五色教成為黃劍堂堂主，潛伏少林陰謀暗算方丈無虛大師。後被張琳心用計挖出身份，被擊敗後遁逃。在五色教總壇，無相與封玉書、林對兒一起對付獨孤劍，卻不敵被殺。
12	南宮飛雲	張如夢和南宮彩虹獨子，具有金人血統，集漢人的機智和金人的威猛與一體。自幼和父母居住漠外，父母均為武林頂尖人物，故武功根基非同尋常。興趣廣泛，並不專心武學，武功雖不如父母期望的高，但與普通武林人物比較，已非同日可語。從小在沙漠中長大，加之父母均為豪放不羈之人，故對世事知之甚少，個性極為張揚。
55	燕若雪	本名完顏若雪，南宮飛雲的戀人，金國重臣、天忍創派教主完顏宏烈之女。機緣巧合下被南宮飛雲搭救，為了避免宋金矛盾，化名燕若雪，與南宮飛雲漸生情愫。她自幼學習漢文化，肩負國仇家恨，這段跨越民族的愛情顯得如此奢侈，帶來的是無盡苦澀的痛。
92	邵騎風	鳳池山莊莊主，江南首富。其在武林中以仗義疏財和禮賢下士著稱，引得各方賢能皆來投靠，堪比戰國四公子之一的齊國孟嘗君，得號“小孟嘗”，一身武藝更是驚人。實際上他是金國人兼天忍教左護法，是金國和天忍教派遣的打入中原武林內部的奸細。
11	獨孤劍	武林盟主，衡山派掌門，張琳心之夫，南宮飛雲姑父。一生為國為民，率中原武林人士北上抗金，不敵金國天忍教教主完顏宏烈，被活捉，入獄後遭人假扮。假扮者假冒獨孤劍從事所謂的抗金活動，實際上是將有志抗金者集中起來一網打盡，數百武林人士在這場假冒陰謀中喪生。後傳功與南宮飛雲，最後被楊瑛救走，繼續從事抗金活動。
94	趙升權	風雪山莊莊主，一手祖傳的風雪槍法使得出神入化，曾殺得金人聞風喪膽，故得號“風雪神槍”，以風雪槍法和自創的五十一路風雪狂刀縱橫江湖。為人正直仗義，力主抗金，在武林中廣有聲望。曾受邀至鳳池山莊參加八月十五的中秋武林大會，後因不慎中毒，在大會上被邵騎風等人率眾圍殺。
89	趙無雙	趙升權獨女，風雪山莊的少莊主兼唯一傳人，相貌嬌美可人，雖是女子，剛強勇毅卻不輸於尋常男子。因出身武學世家，武藝亦是不凡。她和長歌門門主、“白衣秀士”柴嵩神交已久，可惜一直未能得見。後來柴嵩為救南宮飛雲，隻身闖入風雪山莊，二人終能相見，最後更是私訂終身。曾受邀至鳳池山莊參加八月十五的中秋武林大會，後因不慎中毒被邵騎風等人生擒，南宮飛雲將其救下。
52	唐影	四川唐門門主唐離之子，唐門少門主。武功高強，性格溫良，與翠煙門主秋依水互相愛慕，後被天忍教護教使邵騎風用計擒住，被南宮飛雲救下。
53	秋依水	翠煙門門主，性格剛烈，敢愛敢恨，和戀人唐影（唐門大公子）之間的愛情歷經坎坷，在南宮飛雲幫助下二人終成眷屬。後被天忍教護教使邵騎風用計擒住，被南宮飛雲救下。
91	趙節	南宋將軍，在鳳池山莊與天忍教護教使邵騎風合謀毒殺眾多武林人士，以換取金國許諾的議和。南宮飛雲獨闖將軍府，追入地下密室，擊殺趙節。
86	耶律辟離	天忍教右護法，金國人，為人狂妄自負，卑鄙陰險，武功頗高。耶律辟離對天忍教和完顏宏烈忠心耿耿，加之行事縝密，幾乎從未失手，因此深受完顏宏烈的賞識，天忍教需要隱秘完成的事務多由他出馬，甚至完顏宏烈的一些家事都是交由他去辦，是完顏宏烈的得力助手。
109	顧武	葬馬崗強盜頭子，專門搶劫各路行商。但這次運氣不好，有個行商向南宮飛雲求助，飛雲為了討好新遇到的“小仙女”燕若雪，來到葬馬崗，懲治了這群強盜。
24	楊瑛	南宋初洞庭湖地區農民起義首領天王幫主楊么之女楊瑛，楊么死後楊瑛繼承其父幫主之位，成為天王幫第二位幫主。在楊瑛帶領下，天王幫如日中天，成為兩湖武林之總堂主。因為“山河社稷圖”而與年輕的衡山掌門獨孤劍結下情緣。
61	楊鐵心	天王幫前任左使、「八臂猿」古柏之子，後被天王幫幫主楊瑛收為義子，之後更被楊瑛任命為天王幫新一任的幫主。為人謙恭有禮，心存忠義，極有才幹，但有時卻因過於渴望建功立業而顯得衝動魯莽。曾師從于武林中上一輩的劍皇、崑崙派隱居高手楚欺天，武功高強，錘法尤為精湛，一對雙錘之下少有能走過十招的敵手。
25	祝子虛	逍遙派掌門，天資卓越，琴棋書畫、占卜卦象、天文地理無一不精，若僅如此也就罷了，偏生武功極高，又英俊瀟灑，風華絕代，江湖中人無不欣羡。
62	柳瀟庭	逍遙派大弟子，棋藝聖手，年紀雖輕卻有異于常人的沉穩，大局觀極為不凡，做事多能看到他人所不能目視之處。
28	道一真人	武當掌門，得道高人，有海納百川的心胸，十分受江湖中人敬重。充滿愛心，性格上有時給人一種返老還童的感覺，直率無忌。
65	李天目	“武當六傑”之一，為人心思縝密，性格謹慎，考慮問題十分周全，任何小事都逃不過他的眼睛，是一個非常理性的人。
26	清曉師太	峨嵋當代掌門人，做人一絲不苟，對門下弟子也要求極嚴，在不苟言笑的外表下，其實有顆非常慈愛的心。為人極有正義感，疾惡如仇，慷慨豪放不讓鬚眉。好勝心強，一心想把峨嵋派發揚光大，超過少林武當，為達到這個目的，具有強烈的自我犧牲意識
63	無想	峨嵋出家大弟子，佛法精深，武功高強，自小在峨嵋長大，深得峨嵋七仙子喜歡。
27	黃暮雲	桃花島主，其父取桃花島兩套武學各一字而成的名字，希望桃花島能夠在黃暮雲的帶領下發揚光大，黃暮雲也並未讓人失望，江湖盛傳，黃暮雲已是天下間武功最高的幾名女子之一，更是天下第一才女，博學多才，奇門八卦、天文地理均有所涉獵。
64	李恬兒	桃花島大弟子，雖年齡幼小，但天賦異稟，武功高強。深得島主及各位長老的喜歡，幾乎是默認的未來島主傳人了。
29	端木睿	天忍當代教主，金人，風流倜儻，文武雙全，心機頗深。曾潛入到中原武林，結識了峨嵋七仙之一的何憐飄，何對其一見鍾情，日夜不忘，雖然他也十分喜歡清純如水的何憐飄，但是他接近何憐飄更主要的目的是利用其刺探中原武林的情報，儘管何憐飄後來知道了他的真實身份，也因為他的緣故受到武林各派的指責，並最終離開了師門，但是她卻對這份感情癡心不改，心甘情願為了感情放棄一切。但是對端木睿而言，天忍教的利益高於一切，面對事業和感情，他選擇了犧牲何憐飄。何憐飄最後心碎自盡，他的心中是否也有著那麼一點點刺痛呢？
66	完顏襄	完顏襄本是金國大內的侍衛統領，偶然的機會進入了天忍教，他精于謀略，貪戀富貴和權勢，從此開始了他人生的輝煌史。
37	高長恭	高長恭（541年―573年），又名高孝瓘、高肅，祖籍渤海調蓨（今河北省景縣），神武帝高歡之孫，文襄帝高澄第四子，生母不詳，南北朝時期北齊宗室、將領，封爵蘭陵郡王。高長恭貌柔心壯，音容兼美。為將躬勤細事，累次升任至並州刺史。邙山之戰，高長恭為中軍，率領五百騎兵再入周軍包圍圈，直至金墉城下，因高長恭戴著頭盔，城中的人不確定是敵軍或是我軍，直到高長恭把頭盔脫下來城上的人才知道是高長恭，派弓箭手開始放箭保護他，之後高長恭成功替金墉解圍，高長恭在此次戰中威名大振，士兵們為此戰而謳歌他，即後來知名的《蘭陵王入陣曲》。
38	哲別	哲別（？－約1224年），原名只兒豁阿歹，蒙古別速部人，蒙古帝國名將。最初臣服泰赤烏部，後投降成吉思汗，賜名哲別（蒙古語，箭之意，又譯者別，姓哲名別，哲姓的起源）。哲別驍勇善戰，由十戶長屢升至千戶長。1211年，隨成吉思汗南下攻金，破烏沙堡、烏月營，拔德興府，入居庸關，直抵中都（今北京）。1218年，率二萬人滅西遼，執斬屈出律。1219年，隨成吉思汗西征。1223年，在迦勒迦河之戰中擊潰斡羅思與欽察聯軍，班師回國途中病逝。
40	袁承志	袁承志是薊遼督師袁崇煥的兒子，取名「承志」，寓意「續承父親的遺志」。袁崇煥枉死後被父親的舊部救出，這時他還只是一個七歲的小孩子。後來朱安國等袁崇煥舊部成員教他讀書寫字，並打好武功根基，好讓他為父親袁崇煥報仇。機緣巧合下拜了華山派的掌門「神劍仙猿」穆人清為師，並在華山上從「鐵劍門」的「千變萬劫」木桑道長和「金蛇郎君」夏雪宜的金蛇秘笈中學得一身驚人的武功。多年後，袁承志已成了一個武功高強的青年人，下山後，他行俠仗義，結識紅顏知己夏青青，並在七省豪傑的支持下成為武林盟主，協助闖王起義並幫助闖軍攻破明王朝首都北京。後來李自成入京，眼見闖軍腐化，義兄李岩慘死，因而與青青、何惕守和其他朋友們收復一座位于渤泥國（今汶萊）附近、荷蘭所殖民的大島嶼，從此隱居海外。
41	鼇拜	鰲拜（？—1669年，滿語：Oboi），清初權臣，出身瓜爾佳氏，蘇完部堂主索爾果之孫，後金開國五大臣之一費英東之侄，生年不可考，滿洲鑲黃旗人，清朝三代元勳，康熙帝早年輔政大臣之一。以戰功封公爵。鰲拜前半生軍功赫赫，號稱“滿洲第一勇士”，後半生則操握權柄、結黨營私。康熙在黃錫袞、王弘祚等大臣的支持下，主政於朝，後定下計策，在武英殿擒拿鰲拜。鰲拜被生擒之後，老死於囚牢中，他是位影響清初政局的一個重要人物。
15	玄天道人	神秘人物，不知從何處得到《武道德經》，為了平息江湖紛爭， 玄天道人以神秘莫測的武功擊敗眾人， 而據受其指點的天星道長透露，玄天道人的武功則是出自這《武道德經》之中。
21	虞姬	虞姬，是楚漢之爭時期西楚霸王項羽的美人，名虞，生卒年、出生地、結局等均無定論，曾在四面楚歌的困境下一直陪伴在項羽身邊，項羽為其作《垓下歌》。相傳虞姬容顏傾城，才藝並重，舞姿美豔，並有“虞美人”之稱。後人曾根據《垓下歌》，以及相傳是虞姬所作的《和垓下歌》，臆想她的結局是在楚營內自刎，由此流傳了一段關於“霸王別姬”的傳說。
39	秦良玉	秦良玉（1574年―1648年7月11日），字貞素，四川忠州（今重慶忠縣）人，明朝末年著名女將。丈夫馬千乘是漢伏波將軍馬援後人，世襲石砫宣撫使（俗稱土司），馬千乘被害後，因其子馬祥麟年幼，秦良玉於是代領夫職。秦良玉率領兄弟秦邦屏、秦民屏先後參加抗擊清軍、奢崇明之亂、張獻忠之亂等戰役，戰功顯赫，被封為二品誥命夫人。
20	荊軻	荊軻（？—西元前227年），姜姓，慶氏（古時“荊”音似“慶”）。戰國末期衛國朝歌（今河南鶴壁淇縣）人，戰國時期著名刺客，也稱慶卿、荊卿、慶軻，是春秋時期齊國大夫慶封的後代。喜好讀書擊劍，為人慷慨俠義。後遊歷到燕國，隨之由田光推薦給太子丹。西元前227年，荊軻帶燕督亢地圖和樊於期首級，前往秦國刺殺秦王。臨行前，燕太子丹、高漸離等許多人在易水邊為荊軻送行，場面十分悲壯。“風蕭蕭兮易水寒，壯士一去兮不復還”，這是荊軻在告別時所吟唱的詩句。荊軻與秦舞陽入秦後，秦王在咸陽宮隆重召見了他，在交驗樊於期頭顱，獻督亢（今河北涿縣、易縣、固安一帶）之地圖，圖窮匕首見，荊軻刺秦王不中，被秦王拔劍擊成重傷後為秦侍衛所殺。
19	李廣	李廣（？－前119年），漢族，隴西成紀（今甘肅天水秦安縣）人，中國西漢時期的名將。漢文帝十四年（前166年）從軍擊匈奴，因功而為中郎。景帝時，先後任北部邊域七郡太守。武帝即位，召為未央宮衛尉。元光六年（前129年），任驍騎將軍，領萬餘騎出雁門（今山西右玉南）擊匈奴，因眾寡懸殊負傷被俘。匈奴兵將其置臥于兩馬間，李廣佯死，於途中趁隙躍起，奔馬返回。後任右北平郡（治平剛縣，今內蒙古寧城西南）太守。匈奴畏服，稱之為飛將軍，數年不敢來犯。元狩四年（前119年），漠北之戰中，李廣任前將軍，因迷失道路，未能參戰，憤愧自殺。
18	趙雲	趙雲（？－229年），字子龍，常山真定（今河北省正定）人。身長八尺，姿顏雄偉，三國時期蜀漢名將。漢末軍閥混戰，趙雲受本郡推舉，率領義從加入白馬將軍公孫瓚。期間結識了漢室皇親劉備，但不久之後，趙雲因為兄長去世而離開。趙雲離開公孫瓚大約七年左右的時間，在鄴城與劉備相見，從此追隨劉備。趙雲跟隨劉備將近三十年，除了四處征戰，趙雲還先後以偏將軍任桂陽太守，以留營司馬留守公安，以翊軍將軍督江州，被後世贊為有大臣局量的儒將。於建興七年壽終正寢。景耀四年（西元261年），劉禪下令追諡趙雲，薑維與眾臣商議後建議劉禪追諡趙雲為順平侯。
17	李元霸	李元霸為上界大鵬金翅鳥臨凡，力大無窮，所向無敵，隋唐十八好漢之首。晉陽宮比武，力挫天寶大將軍宇文成都，一戰成名。後奉旨赴四明山保駕，三錘擊走第三條好漢裴元慶，匹馬雙錘，一下午將十八路反王180萬人馬殺的只剩60余萬。曾見義勇為，救下清官劉文靜。後於紫金山再挫各路反軍，玉璽獨收。收軍回長安時，舉錘罵天，死于雷雨霹靂之中。
54	天星道長	武當前代掌門人，與武林盟主孟知秋是至交。武林名宿，得道高人，傳言其武功得玄天道人指點，深不可測，在江湖上聲望極高，曾受邀見證楊影楓戳穿卓非凡陰謀的生死決鬥。後來，楊影楓成功摧毀納蘭潛凜的驚天奇謀，也得到了他的極大幫助。
14	唐簡	童年的唐簡，得益于母親的教導，琴棋書畫皆有造詣。武學天賦更是高，父親從唐簡三歲起教他修習唐家的內功心法。在二十五歲時練成《天魔無相》，縱橫江湖二十餘年間未嘗一敗。唐簡年紀輕輕便武功卓絕，以唐門第一人之姿順利當選唐門門主，後名望更盛，江湖眾人對其武藝、人品均無不服，受推擔任武林盟主之重任。如日中天的唐簡在三十八歲那年金盤洗手退出江湖，並在那之後隱姓埋名，至今無人得知其行蹤。
