nSkillBookId	Name	nType	nLevel	nQuality	nSeries	nSkillId	nLevelupId	nLevelValue1	nLevelValue2	nLevelValue3	nLevelValue4	nLevelValue5	nLevelValue6	nLevelValue7	nLevelValue8	nLevelValue9	nLevelValue10
111	【高級】忽略全系抗性	1027	3	5		1984	1	5000000									
112	【初級】反擊	1028	1	3		1985	1	500000									
113	【中級】反擊	1028	2	4		1988	1	1500000									
114	【高級】反擊	1028	3	5		1991	1	5000000									
115	【初級】攻擊速度	1029	1	3		1994	1	500000									
116	【中級】攻擊速度	1029	2	4		1995	1	1500000									
117	【高級】攻擊速度	1029	3	5		1996	1	5000000									
118	青龍分海爪	1011	6	6		3232	1	15000000									
119	玄武大荒鐘	1012	6	6		3233	1	15000000									
120	金矢	11	6	6	1	3235	1	15000000									
121	密林鬥繁星	13	6	6	2	3238	1	15000000									
122	逆流	12	6	6	3	3241	1	15000000									
123	三昧離火獄	14	6	6	4	3244	1	15000000									
124	八方星雷慟	15	6	6	5	3247	1	15000000									
125	高級群體金剛	22	6	6		3250	1	15000000									
126	高級群體明王	24	6	6		3252	1	15000000									
127	輪回往生	26	6	6		3254	1	15000000									
128	破天一擊	27	6	6		3257	1	15000000									
129	十方俱靜	1030	6	6		3259	1	15000000									
130	高級群體毒瘴	20	6	6		3261	1	15000000									
