MapID	PosX	PosY	Rate	NpcGroupID
405	8539	3471	1	1
405	9776	9707	1	1
405	11389	12661	1	1
405	10518	10673	1	1
405	13415	12647	1	1
405	14353	11035	1	1
405	12152	10709	1	1
405	11920	8023	1	1
405	12634	9348	1	1
405	14005	8671	1	1
405	12932	4041	1	1
405	10864	3722	1	1
405	8227	4469	1	1
405	10781	5024	1	1
405	9536	4890	1	1
405	5303	4027	1	1
405	4238	12118	1	1
405	5683	11245	1	1
405	3961	10296	1	1
405	5348	10264	1	1
405	5451	12337	1	1
405	6233	12855	1	1
405	13236	10728	1	1
405	10445	13339	1	1
405	9004	12985	1	1
405	13245	11632	1	1
405	11792	4258	1	1
405	7060	4125	1	1
405	3271	12119	1	1
405	5613	13496	1	1
406	3146	10511	1	1
406	8395	12090	1	1
406	10441	5864	1	1
406	7176	2974	1	1
406	4309	6693	1	1
406	2981	7640	1	1
406	4549	8517	1	1
406	5736	9412	1	1
406	9488	7167	1	1
406	10194	4268	1	1
406	5682	1109	1	1
406	3216	2823	1	1
406	3502	5484	1	1
406	8978	8496	1	1
406	13067	6738	1	1
406	8572	4098	1	1
406	2486	9281	1	1
406	3412	8641	1	1
406	4519	10229	1	1
406	2221	11413	1	1
406	3046	11395	1	1
406	7500	10005	1	1
406	5810	12047	1	1
406	10025	11801	1	1
406	11081	11539	1	1
406	11916	12156	1	1
406	11386	10813	1	1
406	12175	10357	1	1
406	10992	9704	1	1
406	10224	8102	1	1
406	9632	2535	1	1
406	2245	4061	1	1
406	3289	4448	1	1
406	3963	3618	1	1
406	4662	4464	1	1
406	7135	12083	1	1
406	10483	3236	1	1
406	5647	2499	1	1
406	4914	3170	1	1
406	6419	5087	1	1
407	11280	10097	1	1
407	9792	8253	1	1
407	9032	9531	1	1
407	11328	6903	1	1
407	10980	3183	1	1
407	8894	3490	1	1
407	5215	3466	1	1
407	4940	4784	1	1
407	3274	4930	1	1
407	4123	6628	1	1
407	4819	8601	1	1
407	4924	10121	1	1
407	3209	10437	1	1
407	6784	8617	1	1
407	13051	6143	1	1
407	6759	10243	1	1
407	14297	4476	1	1
407	14214	6059	1	1
407	3093	12236	1	1
407	5158	12171	1	1
407	4070	12909	1	1
407	4959	13659	1	1
407	6110	11298	1	1
407	8565	12421	1	1
407	10683	11163	1	1
407	11163	12353	1	1
407	13362	11886	1	1
407	12138	11257	1	1
407	11989	9119	1	1
407	7707	4547	1	1
407	12218	3328	1	1
407	12175	4271	1	1
407	12968	3822	1	1
407	11754	5248	1	1
407	10722	5958	1	1
407	7380	11169	1	1
407	9432	11142	1	1
407	8117	7393	1	1
407	3291	8420	1	1
407	10517	5006	1	1
408	2496	10258	1	1
408	3777	12204	1	1
408	4183	11119	1	1
408	3252	14429	1	1
408	5603	11035	1	1
408	7150	12106	1	1
408	8346	12078	1	1
408	7765	11028	1	1
408	7639	13295	1	1
408	8500	15213	1	1
408	11624	14650	1	1
408	14363	13824	1	1
408	15938	12315	1	1
408	16070	10461	1	1
408	11935	7705	1	1
408	10606	9526	1	1
408	10040	10715	1	1
408	13235	5665	1	1
408	10703	4248	1	1
408	6753	3896	1	1
408	4010	6057	1	1
408	4759	12989	1	1
408	2198	11783	1	1
408	10080	15176	1	1
408	12839	9378	1	1
408	14222	9637	1	1
408	10155	8452	1	1
408	11960	10577	1	1
408	6183	11809	1	1
408	5784	12598	1	1
408	5016	7561	1	1
408	6114	7981	1	1
408	4040	7877	1	1
408	6178	6947	1	1
408	6223	5998	1	1
408	8006	4332	1	1
408	10811	6463	1	1
408	9169	4922	1	1
408	11518	5597	1	1
408	12131	12193	1	1
410	5145	12865	1	2
410	3299	12071	1	2
410	3760	10036	1	2
410	5944	10096	1	2
410	6649	11138	1	2
410	2093	8761	1	2
410	5939	8929	1	2
410	4182	6751	1	2
410	5383	5765	1	2
410	6483	7931	1	2
410	5017	8404	1	2
410	7453	3696	1	2
410	9842	3809	1	2
410	10133	4973	1	2
410	13202	4886	1	2
410	12242	4027	1	2
410	11456	4958	1	2
410	10685	5933	1	2
410	9798	6748	1	2
410	11420	6660	1	2
410	12817	6711	1	2
410	4431	10788	1	2
410	5484	11326	1	2
410	8347	12105	1	2
410	9391	12891	1	2
410	11529	12487	1	2
410	12425	11305	1	2
410	11790	9763	1	2
410	9505	11858	1	2
410	5348	7139	1	2
410	6974	5894	1	2
410	7689	5030	1	2
410	8981	4649	1	2
410	4695	4688	1	2
410	4088	8911	1	2
410	3260	8429	1	2
410	4497	12219	1	2
410	10015	10801	1	2
410	9560	9664	1	2
410	10769	9209	1	2
411	3267	12105	1	2
411	7767	10603	1	2
411	12495	13772	1	2
411	13252	10855	1	2
411	13023	9281	1	2
411	14000	8861	1	2
411	8241	6317	1	2
411	6492	4996	1	2
411	6942	6478	1	2
411	5292	3766	1	2
411	4139	4683	1	2
411	4002	3461	1	2
411	8251	12745	1	2
411	9389	12235	1	2
411	11965	12937	1	2
411	12492	11959	1	2
411	8101	4846	1	2
411	7493	5591	1	2
411	5525	9528	1	2
411	4521	10968	1	2
411	4960	13012	1	2
411	10639	10495	1	2
411	10993	11957	1	2
411	10403	12760	1	2
411	10332	13766	1	2
411	12428	7810	1	2
411	10854	5639	1	2
411	12344	3107	1	2
411	12849	4033	1	2
411	5539	6635	1	2
411	4021	6172	1	2
411	4754	8900	1	2
411	4415	7596	1	2
411	4468	12113	1	2
411	6788	11462	1	2
411	13771	11864	1	2
411	9377	4578	1	2
411	8242	3429	1	2
411	13662	5239	1	2
411	12404	6218	1	2
412	6214	13319	1	2
412	4263	12279	1	2
412	6011	11307	1	2
412	5710	12335	1	2
412	3554	10485	1	2
412	3311	8498	1	2
412	5307	5131	1	2
412	13020	3247	1	2
412	11901	5448	1	2
412	11006	9468	1	2
412	13403	10242	1	2
412	13682	12182	1	2
412	8524	14537	1	2
412	8404	11964	1	2
412	9597	12471	1	2
412	13962	7839	1	2
412	12289	6606	1	2
412	12842	4587	1	2
412	11443	3860	1	2
412	9404	3847	1	2
412	8371	4700	1	2
412	6858	5247	1	2
412	6738	7653	1	2
412	9888	7856	1	2
412	8549	7224	1	2
412	9227	6265	1	2
412	10788	5467	1	2
412	4867	6713	1	2
412	3244	6006	1	2
412	4867	8162	1	2
412	5679	7623	1	2
412	5797	9746	1	2
412	4720	10011	1	2
412	4679	8960	1	2
412	12322	11833	1	2
412	12431	10885	1	2
412	12708	9638	1	2
412	12241	7696	1	2
412	11151	7524	1	2
412	12664	8707	1	2
413	3270	12867	1	3
413	4979	13224	1	3
413	4036	12086	1	3
413	7744	13193	1	3
413	8408	13820	1	3
413	10253	12971	1	3
413	11102	12040	1	3
413	12255	11662	1	3
413	12513	12981	1	3
413	14081	14198	1	3
413	15004	10933	1	3
413	15456	9485	1	3
413	15742	11495	1	3
413	11600	9485	1	3
413	10432	10261	1	3
413	9931	8483	1	3
413	11967	7340	1	3
413	10386	6627	1	3
413	8709	5397	1	3
413	6449	4886	1	3
413	2950	6581	1	3
413	4991	6864	1	3
413	2332	7764	1	3
413	4849	8110	1	3
413	13398	10324	1	3
413	8880	3521	1	3
413	3712	4642	1	3
413	4989	5003	1	3
413	4821	3464	1	3
413	7309	3648	1	3
413	11341	3334	1	3
413	2803	5461	1	3
413	3902	14921	1	3
413	3546	10678	1	3
413	6349	11231	1	3
413	6090	12554	1	3
413	11256	5099	1	3
413	13417	6677	1	3
413	13303	4764	1	3
414	2628	12620	1	3
414	3586	10282	1	3
414	4633	11220	1	3
414	4657	10235	1	3
414	5704	10313	1	3
414	5454	8438	1	3
414	9125	12253	1	3
414	11381	12373	1	3
414	9273	9940	1	3
414	13042	11219	1	3
414	8333	9124	1	3
414	13056	2426	1	3
414	10246	2527	1	3
414	6921	4422	1	3
414	4864	3825	1	3
414	9563	6394	1	3
414	11244	5929	1	3
414	7441	11093	1	3
414	9134	11197	1	3
414	10557	11190	1	3
414	11879	11185	1	3
414	12091	10065	1	3
414	4243	1922	1	3
414	9238	5340	1	3
414	10106	4366	1	3
414	11185	4450	1	3
414	12146	3959	1	3
414	8333	3976	1	3
414	8230	2648	1	3
414	10233	7591	1	3
414	10459	9096	1	3
414	12947	9180	1	3
414	11574	8952	1	3
414	3748	3024	1	3
414	4797	3111	1	3
414	2834	3653	1	3
414	4187	6605	1	3
414	5565	5962	1	3
414	3674	8509	1	3
414	3149	7236	1	3
415	3331	14310	1	3
415	4936	13031	1	3
415	4112	12057	1	3
415	6202	12079	1	3
415	6165	14207	1	3
415	6794	13016	1	3
415	8233	14207	1	3
415	7903	12169	1	3
415	9432	12087	1	3
415	10436	13548	1	3
415	13957	12484	1	3
415	13808	10214	1	3
415	12182	9382	1	3
415	11148	7614	1	3
415	12908	7763	1	3
415	11470	3755	1	3
415	8210	6610	1	3
415	9417	4399	1	3
415	7236	7501	1	3
415	3677	5808	1	3
415	4102	10326	1	3
415	7654	10261	1	3
415	5804	8744	1	3
415	10709	10206	1	3
415	11137	11498	1	3
415	12943	13164	1	3
415	5680	10408	1	3
415	5922	4578	1	3
415	9362	5823	1	3
415	13955	4944	1	3
415	14041	3667	1	3
415	10997	6181	1	3
415	13029	5590	1	3
415	11643	5162	1	3
415	5302	5831	1	3
415	5309	7148	1	3
415	3964	9072	1	3
415	12526	11988	1	3
415	11930	10682	1	3
415	7725	4547	1	3
416	2464	11298	1	4
416	3640	10253	1	4
416	5413	11201	1	4
416	8309	11409	1	4
416	7523	12531	1	4
416	9824	11139	1	4
416	12517	12991	1	4
416	13482	11914	1	4
416	11197	7093	1	4
416	10471	5956	1	4
416	11787	4036	1	4
416	9686	4113	1	4
416	6298	3000	1	4
416	5092	3294	1	4
416	4731	4878	1	4
416	3525	3161	1	4
416	2311	5028	1	4
416	3666	5802	1	4
416	4379	7308	1	4
416	2451	8804	1	4
416	4934	9359	1	4
416	6202	10116	1	4
416	13002	9206	1	4
416	12420	10350	1	4
416	11713	6043	1	4
416	10668	4057	1	4
416	11128	2923	1	4
416	7193	5509	1	4
416	6169	4991	1	4
416	3900	4201	1	4
416	4317	11300	1	4
416	3299	11983	1	4
416	4121	12672	1	4
416	11304	12918	1	4
416	11112	11923	1	4
416	11854	11163	1	4
416	10345	10231	1	4
416	10020	9333	1	4
416	11449	9315	1	4
416	11159	8218	1	4
417	3357	16344	1	4
417	6785	12947	1	4
417	9530	15614	1	4
417	11240	15207	1	4
417	13115	14963	1	4
417	16299	17215	1	4
417	15076	14265	1	4
417	14835	15727	1	4
417	13697	10180	1	4
417	10673	9798	1	4
417	9881	13931	1	4
417	8570	13865	1	4
417	7502	14992	1	4
417	6212	14206	1	4
417	5794	10663	1	4
417	6702	7294	1	4
417	8349	7490	1	4
417	12177	6807	1	4
417	14077	7836	1	4
417	15700	11244	1	4
417	14437	12150	1	4
417	15538	12765	1	4
417	12974	13730	1	4
417	13000	12493	1	4
417	12197	11386	1	4
417	13136	11160	1	4
417	4953	14662	1	4
417	5698	15374	1	4
417	11283	12931	1	4
417	5154	6184	1	4
417	5596	8493	1	4
417	6949	9451	1	4
417	6617	8455	1	4
417	15685	6455	1	4
417	15932	5151	1	4
417	10302	6006	1	4
417	10445	7328	1	4
417	8597	6126	1	4
417	6480	6006	1	4
417	11180	14109	1	4
418	2188	14588	1	4
418	4102	12966	1	4
418	5815	13681	1	4
418	5264	12234	1	4
418	8121	12040	1	4
418	7625	13075	1	4
418	9392	13835	1	4
418	9610	12110	1	4
418	6592	12037	1	4
418	4755	11232	1	4
418	3127	12152	1	4
418	11850	10162	1	4
418	10570	7844	1	4
418	8680	6705	1	4
418	5412	4682	1	4
418	5513	7630	1	4
418	2835	7608	1	4
418	2419	4172	1	4
418	3932	4817	1	4
418	3694	9700	1	4
418	11265	13430	1	4
418	10879	12175	1	4
418	11883	12151	1	4
418	13126	12010	1	4
418	11234	10963	1	4
418	12030	7851	1	4
418	12139	5832	1	4
418	11157	5128	1	4
418	11394	3840	1	4
418	10285	5659	1	4
418	6462	6133	1	4
418	8974	5728	1	4
418	7668	5807	1	4
418	7798	4996	1	4
418	8147	4080	1	4
418	3993	6138	1	4
418	4134	7536	1	4
418	4680	9809	1	4
418	5809	9869	1	4
418	10040	4124	1	4
