szHelpKey	szBigTitle	nHead	nIndex	szTitle	Function	FunParam	szContent
FubenHelp	关卡须知		2	关卡经验			关卡获得经验的多少只与[FFFE0D] 角色等级 [-]和[FFFE0D] 消耗体力 [-]相关，所以不用担心在低级关卡收集符文的时候会损失经验哦！
FubenHelp	关卡须知		3	关卡设置			普通关卡以掉落[FFFE0D] 同伴符文 [-]为主，精英关卡以掉落[FFFE0D] 同伴魂魄 [-]为主，每章的第[FFFE0D] 3 [-]关、第[FFFE0D] 5 [-]关是头目关，第[FFFE0D] 7 [-]关则是boss关，每日可以重复进行的次数较少，但掉落更好哦！
HonorLevelHelp	头衔须知		1	头衔作用			头衔是侠士综合能力的体现，除了会给予侠士[FFFE0D] 名前标识 [-]，还将获得[FFFE0D] 战力 [-]，此外，头衔高的侠士对头衔低的侠士有着天然的优势！
HonorLevelHelp	头衔须知		2	晋升要求			低级头衔的晋升仅有一个要求——[FFFE0D] 战力[-]，高级头衔的晋升除了战力以外，还需要缴纳[FFFE0D] 特定的头衔令牌 [-]，不同的活动会产出不同的头衔令牌。
ActivityQuestionHelp	答题须知		1	答题规则			答题每天可以参加1次，共10题，[FFFE0D]没有时间限制[-]，遇见不会的题目不要着急，不妨先去找好友或者家族寻求帮助哦。
ActivityQuestionHelp	答题须知		2	答题奖励			答题将获得经验奖励，答对的经验略高于答错；全部题目回答完毕后，[FFFE0D] 无论对错[-]，都将获得[FFFE0D] 藏宝图[-]。
FamilyHelp	家族须知		1	进族限制			每 [FFFE0D]24小时[-] 只能进 [FFFE0D]一次[-] 家族，请谨慎选择家族。
FamilyHelp	家族须知		2	家族领袖			第一任族长即为第一任领袖，领袖只拥有 [FFFE0D]任免族长[-] 的权限。
FamilyHelp	家族须知		3	领袖更替			现任领袖 [FFFE0D]离线7天[-]，会自动进行下一任领袖的评选。评选 [FFFE0D]准备期3天[-]，3天后家族内 [FFFE0D]历史贡献最多[-] 且 [FFFE0D]“最近登录过游戏”[-] 的成员自动被评选为新一任领袖。
FamilyHelp	家族须知		4	威望获得			家族成员参与特定活动，家族将根据规则获得威望值。\n活动包括：[FFFE0D] 武林盟主、历代名将、家族试炼、家族烤火、白虎堂、家族运镖、攻城战 [-]
FamilyHelp	家族须知		5	威望规则			[FFFE0D]白虎堂[-]活动每天增加的家族威望是有上限的，达到上限后当日不再获得。\n威望值在[FFFE0D]每周一凌晨0点[-]衰减[FFFE0D]20%[-]
FamilyHelp	家族须知		6	家族工资			每周一凌晨4点，根据家族上周活跃评价给予 [FFFE0D]族长、副族长、长老、家族宝贝[-] 发放工资。家族工资与 [FFFE0D]职位、个人日均活跃、家族总活跃[-] 有关。\n[FFFE0D]（活跃即每日目标完成度，周一凌晨4点重置。任职未满24小时无工资）[-]
FamilyHelp	家族须知		7	历史贡献			离开家族后 [FFFE0D]7天内[-] 在未加入其他家族的情况下，重新加入原家族会恢复原有的 [FFFE0D]历史贡献[-]，否则将清空在上一个家族的 [FFFE0D]历史贡献[-]，但不会影响已经拥有的 [FFFE0D]贡献[-] 货币。
FamilyHelp	家族须知		8	建设资金			建设资金用以升级家族建筑以及部分家族功能消耗。\n获得途径：[FFFE0D]家族捐献 、 家族成员达成每日目标[-]
FamilyHelp	家族须知		9	精英成员			每天凌晨12点正式成员根据 [FFFE0D]历史贡献排名[-] 自动评选出精英成员。
FamilyHelp	家族须知		10	家族宝贝			家族达到 [FFFE0D]3级[-] 后开放家族宝贝职位，家族宝贝不拥有家族的管理权限。\n[FFFE0D]（建议任命家族中较为活跃的女性玩家）[-]
FamilyHelp	家族须知		11	见习成员			开放49级上限后等级较低的侠士，进入家族将自动成为 [FFFE0D]见习成员[-]。\n见习成员每天额外拥有 [FFFE0D]2次被传功机会[-]；\n见习成员提供的 [FFFE0D]建设资金、武林盟主家族积分、家族总活跃[-] 只有1/4。
FamilyHelp	家族须知		12	家族解散			家族连续两周评价为 [FFFE0D]【非常不活跃】[-]，将会在第三周的周一凌晨4点被强制解散。\n[FFFE0D]（新建家族第一周为保护期，不会触发解散规则）[-]
RandomFubenHelp	凌绝峰须知		1	背景简介			凌绝峰一直均为武林中人视为圣地，自古以来，常有侠士决斗于峰顶，其中又有不少虽败而不服，隐居山中苦思破敌之法，留有武学，也有许多人选择放弃，另觅它道，反而成就了另一番技艺。
RandomFubenHelp	凌绝峰须知		2	玩法简介			千百年来，无数奇人异事发生在这座山峰，故而凌绝峰上将会面对千奇百怪的敌人，所以，最好能组满4人，和其他门派的侠士结伴而行哦。
RandomFubenHelp	凌绝峰须知		3	噩梦难度			当服务器开放69级等级上限后，凌绝峰将开放噩梦难度。此难度下依然进行5次闯关，但起始关卡为第二层，最高可以达到新的第六层关卡，将可能获得更好的奖励。
RandomFubenHelp	凌绝峰须知		4	苦痛难度			当服务器开放99级等级上限后，凌绝峰将开放苦痛难度。此难度下依然进行5次闯关，但起始关卡为第三层，最高可以达到新的第六七层关卡，将可能获得更好的奖励。
TeamFubenHelp	组队秘境须知		1	背景简介			江湖中有许多武功高强、心思狡诈之辈，乃至门派，或因一时失足，或因长久如此，一直无恶不作，最终引起武林公愤，为铲除这些武林毒瘤，需要诸位侠士同心协力！
TeamFubenHelp	组队秘境须知		2	协助战斗			组队秘境能进行协助战斗，在组队平台界面选择“协助战斗”选项后，参加活动不消耗次数，但也不会获得奖励。
ImityHelp	亲密度须知		1	野怪经验加成			亲密度等级与组队野外打怪经验共享加成对应关系：[FFFE0D]\n10~19级  加成2%      20~29级  加成4%      30~39级  加成6%\n40~49级  加成8%      50级以上  加成10%[-]   
ImityHelp	亲密度须知		2	提升亲密度①			组队参加[FFFE0D]山贼秘窟、惩恶任务、组队秘境、凌绝峰、野外击杀精英、高级藏宝图、野外首领、历代名将、白虎堂、通天塔、心魔幻境[-]等活动
ImityHelp	亲密度须知		3	提升亲密度②			[FFFE0D]参与好友发起的地宫邀请、协助好友完成商会任务、家族传功、挑战好友发布追影令的敌人[-]等活动
ImityHelp	亲密度须知		4	提升亲密度③			为好友赠送[FFFE0D]玫瑰花、99朵玫瑰花、幸运草、99朵幸运草[-]等
MarketStall	摆摊须知		1	上架数量			物品的上架数量必须是 [FFFE0D]1个、5个、10个、50个、100个[-]，可根据个人需要选择不同的上架数量！
MarketStall	摆摊须知		2	上架时间			上架时间持续 [FFFE0D]24小时[-]。
MarketStall	摆摊须知		3	摊位刷新			每 [FFFE0D]30分钟[-] 自动免费刷新一次商品
PartnerHelp	同伴须知		1	同伴品质			不同同伴之间的武功高低有所不同，综合能力排名由高至低依次是 [e6d012]SSS级[-]、[ff8f06]SS级[-]、[ff578c]S级[-]、[aa62fc]A级[-]、[11adf6]B级[-]、[64db00]C级[-]。
PartnerHelp	同伴须知		2	同伴个性			同伴个性主要影响同伴的 [FFFE0D]战斗行为[-]。\n[FFFE0D]（同伴个性只在同伴出战时生效）[-]
PartnerHelp	同伴须知		3	护主技能			每个同伴天生都会自带一个“护主技能”且不能被替换，护主技能随着 [FFFE0D]同伴战力[-] 的提升而 [FFFE0D]自动提升等级[-]，上阵同伴的护主技能直接对 [FFFE0D]角色加成[-]。\n[FFFE0D]（相同的护主技能高等级的生效）[-]
PartnerHelp	同伴须知		4	天赋技能			每个同伴天生都会自带一个“天赋技能”且不能被替换，B级以上同伴的天赋技能各不相同。\n[FFFE0D]（天赋技能不可升级）[-]
PartnerHelp	同伴须知		5	同伴技能			获得同伴时，同伴有可能会随机附带 [FFFE0D]0~5个[-] 同伴技能。也可以通过 [FFFE0D]同伴技能书[-] 让同伴学会相应的 [FFFE0D]同伴技能[-]。[FFFE0D]\n（同伴技能学满后可以用同伴技能书替换已有技能）[-]
PartnerHelp	同伴须知		6	潜能等级			潜能等级决定同伴的 [FFFE0D]潜能上限[-]。由高至低依次是 [ff8f06]完美[-]、[aa62fc]卓越[-]、[11adf6]优秀[-]、[64db00]良好[-]、[848484]普通[-]。\n[FFFE0D]（可以通过 [FFFE0D]资质丹[-] 来提升同伴的当前潜能）[-]
PartnerHelp	同伴须知		7	同伴突破			同伴 [FFFE0D]60级之前[-] 每10级可以进行一次突破，同伴 [FFFE0D]60级之后[-] 每2级可以进行一次突破，突破后根据同伴的潜能等级提升相应的潜能上限。
PartnerHelp	同伴须知		8	奇才			获得同伴或进行同伴洗髓时，有一定概率获得奇才，奇才同伴的潜能等级、同伴技能通常好于普通同伴。\n[FFFE0D]（奇才同伴进行洗髓后可能变回普通同伴）[-]
PartnerHelp	同伴须知		9	同伴洗髓			消耗一定数量的 [FFFE0D]洗髓丹[-] 可以对同伴进行洗髓，洗髓后的同伴将会重新随机 [FFFE0D]当前潜能[-]、[FFFE0D]潜能等级[-] 和 [FFFE0D]同伴技能[-]，但不会重置同伴等级。\n[FFFE0D]（同伴洗髓后资质丹将会全部返还，消耗的技能书则会折算成洗髓丹）[-]
PartnerHelp	同伴须知		10	同伴升级			角色获得经验的同时，已上阵的同伴会获得一定比例的经验值，也可以通过 [FFFE0D]经验药水[-] 来使同伴快速获得经验。
PartnerHelp	同伴须知		11	同伴遣散			遣散同伴后，有可能获得 [FFFE0D]资质丹[-]、[FFFE0D]洗髓丹[-]、[FFFE0D]经验药水[-]，遣散后的同伴将会消失。\n[FFFE0D]（遣散后本命武器和资质丹将会全部返还，同伴技能则会折算成洗髓丹）[-]
EnemyHelp	敌人须知		1	敌人结成			特定场合[FFFE0D] 被其他玩家击败 [-]时将[FFFE0D] 添加对方为敌人 [-]，若击败其他玩家则被进入对方的敌人列表。
EnemyHelp	敌人须知		2	挑战规则			挑战每天有一定的[FFFE0D] 次数限制 [-]，凌晨4点刷新，挑战[FFFE0D] 若干次 [-]后，会进入冷却时间。
EnemyHelp	敌人须知		3	挑战敌人			找敌人挑战之后，将从[FFFE0D] 对方身上 [-]获取一定数量的[FFFE0D] 银两 [-]，挑战成功后，和对方的敌对度将会降低，为0后对方将从你的敌人列表中去除。
FamilyVault	职位工资须知		1	工资报酬			[FFFE0D]每周一凌晨00:00[-] 家族排行榜 [FFFE0D]前X名[-] 的家族，[FFFE0D]族长、副族长、长老[-] 可领取工资！
FamilyVault	职位工资须知		2	工资数额			[FFFE0D]家族排名越高[-]、[FFFE0D]个职位越高[-]，所获得的工资就越多！
FamilyRedBag	家族红包须知		1	红包获得			家族成员达成特定条件后，可获得[FFFE0D]1个[-]一定金额的家族红包。\n获得途径：[FFFE0D]每周首次战场第一、每周首次武林盟主第一、每周首次登上通天塔七层、每周首次击杀白虎堂四层首领、等等……[-]
FamilyRedBag	家族红包须知		2	红包期限			获得红包后须在[FFFE0D]24小时[-]之内发放，[FFFE0D]24小时[-]内没发放的红包将在下一场 [FFFE0D]家族烤火[-] 活动中自动发放。
FamilyRedBag	家族红包须知		3	红包金额			花费元宝可以增加红包的金额，可选金额：[FFFE0D]双倍金额、三倍金额、六倍金额[-]
FamilyRedBag	家族红包须知		4	红包领取			家族红包发放后所有家族成员均可参与领取[FFFE0D]拼手气红包[-]。\n[FFFE0D]（每人每天最多只能领取50个红包）[-]
YxlHelp	头衔令牌须知		1	它是什么			头衔升级令牌乃是晋升高级头衔必备的道具，象征着在武林中闯出的声名以及荣耀，[FFFE0D] 不同等级 [-]的头衔晋升需要消耗不同等级的[FFFE0D] 头衔令牌 [-]，英雄令共有三个主要的获取途径。
YxlHelp	头衔令牌须知		2	重要活动			通过参与江湖中一些重要活动可以获得，[FFFE0D] 不同活动 [-]将产出[FFFE0D] 不同的头衔令牌 [-]，也是侠士获取头衔令牌最常规的方式之一！
YxlHelp	头衔令牌须知		3	两大拍卖			拍卖分为[FFFE0D] 家族拍卖 [-]及[FFFE0D] 世界拍卖 [-]，通过竞拍也能够获得头衔令牌。
YxlHelp	头衔令牌须知		4	侠士摆摊			有部分侠士不需要某些头衔令牌，会将它放进自己的摊位，通过[FFFE0D] 摆摊 [-]购买也是获取的手段之一哦。
SkillHelp	技能须知		1	技能简介			技能是侠士唯一的攻击手段，每个门派均拥有一个无冷却的普通攻击技能及四个冷却技能。
SkillHelp	技能须知		2	技能提升			每次升级都将获得一个技能点，每点技能点可以对单个技能进行一次升级，[FFFE0D]五十级前 [-]可以[FFFE0D] 免费重置 [-]技能加点。技能点有限，要注意选择技能进行升级哦！
SkillHelp	技能须知		3	通用技能			所有门派都拥有两个通用技能，分别是轻功与打坐。\n轻功，施展轻功将移动一段距离，期间可以免疫来自敌方的攻击；\n打坐，使用打坐不可移动，将持续恢复生命值。
RefinementHelp	洗练须知		1	洗练简介			装备有多条属性，可以从[FFFE0D]同级[-]、[FFFE0D]高一级[-]或[FFFE0D]低级[-]装备的属性转移到当前装备上，将好属性集中
RefinementHelp	洗练须知		2	洗练规则			每次只能洗练一条属性，洗练后[FFFE0D]材料装备上的属性[-]将转移到当前装备上，同时[FFFE0D]当前装备的被替换属性[-]将消失
RefinementHelp	洗练须知		3	洗练提示			优先将装备上的空属性填满，然后再用高级属性替换低级属性\n属性由高至低是[ff8f06]橙[-]＞[ff578c]粉[-]＞[aa62fc]紫[-]＞[11adf6]蓝[-]＞[64db00]绿[-]＞白
FactionBattleHelp	门派竞技须知		1	门派竞技			门派竞技是各门派最热血沸腾的盛事，同一门派所有等级≥30级以上的弟子均可参与，是通过群战和混战两次选拔，最终成为门派第一人的盛举！
FactionBattleHelp	门派竞技须知		2	混战阶段			经过准备时间后，将进入混战阶段，所有参与比赛的角色将[FFFE0D]随机分为两队[-]进行混战，[FFFE0D]击败对手[-]将获得[FFFE0D]积分[-]，被击败后等待一段时间将自动复活，最终积分[FFFE0D]前十六[-]的门派弟子进入单挑赛。
FactionBattleHelp	门派竞技须知		3	单挑比武			前十六名玩家将进行[FFFE0D] 一对一 [-]的比试，晋级八强、四强、准决赛、决赛，最终得出本届[FFFE0D]「新人王」[-]；
FactionBattleHelp	门派竞技须知		4	参赛奖励			每一阶段的比赛奖励都好于上一阶段，混战后的比赛过程将[FFFE0D]随机刷新宝箱[-]；\n「新人王」诞生后别急着离开，除了[FFFE0D]炫目称号[-]外，还能[FFFE0D]点击门派旗帜[-]给所有门派弟子[FFFE0D]发奖[-]哦！
FactionBattleHelp	门派竞技须知		5	开启条件			当参与人数达到4人及以上，则正常开启门派竞技比赛。如果人数不超16人，则跳过混战预选赛，直接进入16强赛。
WhiteTigerFubenHelp	白虎堂须知		1	规则简介			白虎堂是凶险异常的争夺之地，角色等级≥30级可以参与，每个人[FFFE0D] 有且只有一次机会 [-]，一旦失败就将被驱逐出场，活得越久夺得最终大宝藏的机会就越大！
WhiteTigerFubenHelp	白虎堂须知		2	报名阶段			白虎堂共分为八个入口，不同入口的玩家将在不同阶段相遇展开争斗，同队伍的成员要记得从同一个入口进入，避免分散哦！
WhiteTigerFubenHelp	白虎堂须知		3	参赛阶段			白虎堂共分为四层，每层时间结束后都将[FFFE0D] 刷新首领 [-]，击败首领的队伍可获得奖励，同时开启下层入口，与另一侧获胜的队伍不期而遇。
WhiteTigerFubenHelp	白虎堂须知		4	生存提示			与[FFFE0D] 家族成员 [-]和[FFFE0D] 好友 [-]等熟悉的侠士结成队伍一同前往将增加生存几率哦！\n有时候不幸遇见太强大的队伍，暂时避其锋芒等待时机也是不错的选择哦！
WhiteTigerFubenHelp	白虎堂须知		5	第五层			开服[FFFE0D] 89天 [-]后，白虎堂将开启第五层。第五层为[FFFE0D] 跨服[-]，将会遇到来自其他服务器的人。只有对第四层守关敌人造成最高输出的家族，才有资格进入到跨服的第五层
TeamBattleHelp	通天塔须知		1	活动简介			通天塔共有[FFFE0D] 5次 [-]挑战机会，每层都会遇见[FFFE0D] 同层 [-]另一支侠士队伍，与他们较量决出胜负！胜者上升一层，而负者停留本层，继续与下一组侠士对战。
TeamBattleHelp	通天塔须知		2	报名规则			通天塔单人也可报名，开赛时所有单人侠士将随机组成队伍参赛；最好和[FFFE0D] 家族成员 [-]或是[FFFE0D] 好友 [-]组成队伍，会更容易取得好成绩哦！
TeamBattleHelp	通天塔须知		3	系列赛			通天塔将在[FFFE0D]开放109等级上限[-]时开启系列赛，分为[FFFE0D]月度、季度、年度[-]三个阶段。在日常通天塔竞技中取得优异战绩将获得月度赛的参赛资格，以此类推。系列赛各个阶段都会有丰厚的奖励！
BattleHelp	战场须知		1	规则简介			每日特定时段角色等级≥24级的玩家均可报名参加，报名后所有玩家随机分入「宋」或「金」进行对战，无法提前组队，以击败[FFFE0D] 对方阵营玩家 [-]为目的，最终[FFFE0D] 总积分 [-]高的一方胜利。
BattleHelp	战场须知		2	积分获取			1、[FFFE0D]击败对方玩家 [-]将获得积分，击败的玩家连斩数越高，则积分越多；\n2、击败场地中央随机刷新的[FFFE0D] 野生生物 [-]将获得强力增益效果和大量积分\n3、击败一定时间后刷新的对方[FFFE0D] 大将 [-]将获得大量积分；
BattleHelp	战场须知		3	奖励结算			最终根据[FFFE0D] 个人积分 [-]排名发放奖励，排名越高奖励越好；[FFFE0D] 胜利方 [-]在结算个人积分时将增加大量积分；
BattleHelp	战场须知		4	战场提示			要谨记各个门派的五行，找准机会，挑选自己克制的门派进行攻击，更容易将目标击败哦，遇见克制自己的门派要考虑清楚，不要一味硬拼！另外，别忘记到无人的地方打坐回血哦！
BattleHelp	战场须知		5	跨服战场			开放[FFFE0D] 79级 [-]等级上限后，将开放跨服战场。[FFFE0D] 每周三、五晚上20:30和22:30 [-]，可以与其他服的玩家一起进入宋金战场进行厮杀。
BattleHelp	战场须知		6	系列赛			战场将在[FFFE0D]开放109等级上限时[-]开启系列赛，分为[FFFE0D]月度、季度、年度[-]三个阶段。在日常战场竞技中取得优异战绩将获得月度赛的参赛资格，以此类推。系列赛各个阶段都会有丰厚的奖励！
DomainHelp	攻城战须知		1	活动简介			攻城战以家族为参与单位，宣战后，进入特定地图争夺属于家族的领地。每个家族只能占据[FFFE0D]一块[-]领地，最终占据襄阳成为城主。首次攻城战只开放野外领地，后续依次开放村镇和主城襄阳。
DomainHelp	攻城战须知		2	活动时间			每周二、周六21：00~21：30为攻城战进行时间。当日0点到活动开始前为“宣战”时间，活动开始前宣战目标可以随时更换，[FFFE0D]开始后只能攻打宣战目标[-]及防守家族的已有领地。
DomainHelp	攻城战须知		3	宣战规则			家族必须[FFFE0D]宣战[-]以后才具有攻城战资格。无领地的家族可以在“[FFFE0D] 家族——领地[-]”界面进行宣战，已有领地的家族，系统会自动帮其向链接的高一级领地宣战。只有村镇的占据者才有资格宣战主城襄阳。
DomainHelp	攻城战须知		4	征战营地			攻打一块领地时，系统会默认给家族分配一个[FFFE0D]征战营地[-]，此处为重伤后的重生点。为避免征战营地被敌方围攻，族长、副族长及长老可以在[FFFE0D]即时战报[-]界面更换征战营地，这样家族成员重伤后将在新的营地重生。
DomainHelp	攻城战须知		5	领地说明			领地分为三级：城市、村镇和野外，前两者属于攻城战具有[FFFE0D]城门[-] ，野外无城门只需要[FFFE0D]争夺龙柱[-]来决定领地归属。城门能阻止攻方进入龙柱区域，守方可以通过城门[FFFE0D]出城迎战[-]，以抵挡攻方破坏城门。
DomainHelp	攻城战须知		6	胜负规则			领地上龙柱分为[FFFE0D]日耀龙柱[-]、[FFFE0D]月华龙柱[-]及[FFFE0D]星辉龙柱[-]，攻城战结束时根据家族占据的龙柱数量决定该领地的归属，数量一致时，占据[FFFE0D]日耀龙柱[-]的家族获胜。
DomainHelp	攻城战须知		7	奖励说明			攻城战结束时，根据[FFFE0D]占据龙柱[-]的情况会给与家族拍卖行奖励。个人通过击杀敌人及摧毁龙柱可以获得[FFFE0D]积分[-]，积分在家族内部进行排行以获得奖励，所以参与就能得奖，千万不能错过。
DomainHelp	攻城战须知		8	襄阳城主			占据襄阳的家族领袖将成为[FFFE0D]襄阳城主[-]，获得专属[FFFE0D]称号[-]、专属[FFFE0D]城主马[-]及在襄阳城树立个人[FFFE0D]雕像[-]。这些奖励在下次攻城战结束时失效，所以领袖要积极带领家族攻占襄阳，以持续获得无上荣耀。
DomainHelp	攻城战须知		9	领地行商			每天[FFFE0D]19：10[-]，[FFFE0D]领地行商[-]会到占据领地的家族拍卖珍稀物品。拍卖物品多寡与占据的[FFFE0D]领地等级[-]相关，参加了上一次攻城战的家族成员可以获得拍卖分红。
DomainItemHelp	攻城道具须知		1	道具简介			攻城战中可以使用一些道具，包含[FFFE0D]变身道具[-]（攻城车、劲弩车和铁炮车）和[FFFE0D]召唤道具[-]（神射手和鼓舞旗），这些道具可以帮助家族更容易的获得胜利。变身道具使用后会出现一个对话npc在身边，需要与其对话变身。
DomainItemHelp	攻城道具须知		2	道具作用			攻城车能对城门和龙柱造成大量伤害。劲弩车和铁炮车是攻击装置，[FFFE0D]能力较弱[-]的玩家进入能获得很大提升。神射手可帮助防守一些关键地点，鼓舞旗能使周围家族成员获得能力加成。
DomainItemHelp	攻城道具须知		3	获得方法			攻城道具通过在[FFFE0D]战争坊[-]购买获得，只有长老、副族长和族长可以购买。购买后道具被自动计入“家族——领地”界面中，不会出现在玩家背包。
DomainItemHelp	攻城道具须知		4	使用规则			长老、副族长和族长有使用权限，每场战斗有使用限制，攻城车(限4个)仅在城市和村镇的征战营地使用，劲弩车(限5个)和铁炮车(限3个)仅在安全区使用，神射手(限10个)和鼓舞旗(限2个)仅在战斗区域使用。
SkillHelp	门派技能须知		1	技能点			提升技能等级时，需要消耗技能点。每提升1级，消耗1个技能点。\n主角每升1级，会自动获得1个技能点，同时通过使用道具，额外增加一定数量的技能点
CardCollection_1Help	凌绝峰收集活动		1	活动简介			开放59级等级上限后，参加凌绝峰能获得各种挑战卡片，将其收集起来进行为期一月的排行，最终获得高额排行奖励。
CardCollection_1Help	凌绝峰收集活动		2	规则简介			卡片使用会加入收集册激活收集条目，每张卡片具有珍稀度，收集册根据已经获得卡片种类数累计总珍稀度，最后根据收集册总的珍稀度和完成度进行排行。
CardCollection_1Help	凌绝峰收集活动		3	活动时间			开放当天日期若已超过20号，活动将在下月开始第一次活动。活动每月一次，月底发放奖励，每月一日开始新一轮活动。
ControlHelp	精准操作须知		1	使用说明			开启“精准操作”模式后，在技能释放前，自由的选择技能释放的位置和方向，实现精准操作
ControlHelp	精准操作须知		2	适用范围			该模式，适用于指向型技能，以及定点范围类技能。其他处于对自身适用，在自身周围释放的技能，不适用于该类操作模式
ControlHelp	精准操作须知		3	操作要点			按住技能按钮后，会出现技能方式指示框。此时，保持手指的挪动状态，并且拖动手指，可以改变技能释放的朝向和位置。选定后，松开手指，即可释放技能
ArenaHelp	比武场须知		1	规则简介			首个登上擂台的一方默认成为擂主并且等待挑战者，挑战者发起挑战后需要等待擂主确认，擂主必须在 [FFFE0D]60秒[-] 内选择接受某个挑战者的挑战。
ArenaHelp	比武场须知		2	胜负			比武场PK胜负均不会有奖励和惩罚，获胜的一方成为新的擂主，败的一方将会传下擂台。
HuaShanLunJianHelp	华山论剑须知		1	活动介绍			华山论剑是江湖的盛事，每月一个赛季，武林中人可以结成战队互相比试。通过[FFFE0D]预选赛[-]阶段的积分、胜场数及比赛时间排行，[FFFE0D]前八[-]进入[FFFE0D]决赛[-]进行残酷的争夺，最终登临华山之巅，成为武林至尊。
HuaShanLunJianHelp	华山论剑须知		2	活动开放			华山论剑在服务器开放[FFFE0D]69级[-]等级上限后开放，[FFFE0D]60级[-]以上的大侠可以参加。每月[FFFE0D]7号[-]开始赛季比赛。开放当日若未超过[FFFE0D]15号[-]，则开启第一届比赛，否则将于下月7号开启。
HuaShanLunJianHelp	华山论剑须知		3	活动时间			预选赛于每月[FFFE0D]7~27[-]号，每周[FFFE0D]一、三、五、七[-]进行比赛，比赛场地开放时间为[FFFE0D]21：30[-]，每[FFFE0D]3[-]分钟开启1场，共开[FFFE0D]8[-]场。决赛于[FFFE0D]28号[-]开始，时间与预选赛一致，分别举行[FFFE0D]八强赛[-]、[FFFE0D]半决赛[-]及[FFFE0D]冠军赛[-]（3局2胜）。
HuaShanLunJianHelp	华山论剑须知		4	赛制说明			华山论剑未来会有多种赛制，每种赛制比赛要求的战队人数不同，比赛形式也会有多种变化。第一届开放双人赛，允许两人组队并各自携带一个同伴助战，助战同伴可以在准备场中更换。
HuaShanLunJianHelp	华山论剑须知		5	胜负规则			比赛时根据战队伤敌数、剩余同伴数量及伤害量判定胜负。
HuaShanLunJianHelp	华山论剑须知		6	战队相关			参加华山论剑必须进入一个[FFFE0D]战队[-]。预选赛开始后，可以通过[FFFE0D]比赛界面[-]（活动日历处打开）提供的功能按钮进行组建、退出及组人等战队操作。战队相关操作必须与目标单独组队才可进行。
HuaShanLunJianHelp	华山论剑须知		7	预选赛			赛季开始后，每周能获得[FFFE0D]16次[-]预选赛参与次数，最多获得[FFFE0D]32次[-]。预选赛排行榜根据战队[FFFE0D]积分[-]、[FFFE0D]胜场数[-]及[FFFE0D]比赛时间[-]综合排行。预选赛胜、平、负分别获得3、1、0积分，每场比赛耗时计入比赛时间作为晋级参考。
