Desc	ActEventID	EventType	Frame	EventName	EventParam1	EventParam2	EventParam3	EventParam4	EventParam5	EventParamStr
NPC出場（神秘劍客）	900007	2	4	PlayEffect	9055					
NPC出場（神秘劍客）	900007	2	15	PlayEffect	9054					
NPC出場（神秘劍客）	900007	2	18	PlayEffect	9056					
NPC出場（神秘劍客）	900007	2	7	CastSkill	1515	1				
NPC出場（神秘劍客）	900007	3		CrossFade	1					
Npc001_at01	900101	2	8	CastSkill						
Npc004_at01	900401	2	5	PlayEffect						
Npc004_at01	900401	2	9	CastSkill						
Npc008_at01	900801	2	7	CastSkill						
Npc014_at01	901401	2	5	CastSkill						
Npc023_at01	902301	2	5	CastSkill						
Npc024_at01	902401	2	2	PlayEffect						
Npc024_at01	902401	2	6	CastSkill						
Npc025_at01	902501	2	6	CastSkill						
小骷髏_at01	911001	2	16	CastSkill						
天王輕功	7	1		PlaySound	2001					
天王輕功	7	1		PlayEffect	5				15	
天王輕功	7	3		DoCommonAct	30	1015				
天王輕功	7	2	16	ClearEffect	5					
峨嵋輕功	8	1		PlaySound	2002					
峨嵋輕功	8	1		PlayEffect	5				15	
峨嵋輕功	8	3		DoCommonAct	30	1016				
峨嵋輕功	8	2	16	ClearEffect	5					
桃花輕功	9	1		PlaySound	2003					
桃花輕功	9	1		PlayEffect	5				15	
桃花輕功	9	3		DoCommonAct	30	1017				
桃花輕功	9	2	16	ClearEffect	5					
逍遙輕功	10	1		PlaySound	2004					
逍遙輕功	10	1		PlayEffect	5				15	
逍遙輕功	10	3		DoCommonAct	30	1018				
逍遙輕功	10	2	16	ClearEffect	5					
天王過場輕功	11	1		PlaySound	2001					
天王過場輕功	11	1		PlayEffect	5					
天王過場輕功	11	1		ShadowActive	0					
天王過場輕功	11	3		ClearEffect	5					
天王過場輕功	11	3		ShadowActive	1					
峨嵋過場輕功	12	1		PlaySound	2002					
峨嵋過場輕功	12	1		PlayEffect	5					
峨嵋過場輕功	12	1		ShadowActive	0					
峨嵋過場輕功	12	3		ClearEffect	5					
峨嵋過場輕功	12	3		ShadowActive	1					
桃花過場輕功	13	1		PlaySound	2003					
桃花過場輕功	13	1		PlayEffect	5					
桃花過場輕功	13	1		ShadowActive	0					
桃花過場輕功	13	3		ClearEffect	5					
桃花過場輕功	13	3		ShadowActive	1					
逍遙過場輕功	14	1		PlaySound	2004					
逍遙過場輕功	14	1		PlayEffect	5					
逍遙過場輕功	14	1		ShadowActive	0					
逍遙過場輕功	14	3		ClearEffect	5					
逍遙過場輕功	14	3		ShadowActive	1					
天王輕功落地	1015	1		CrossFade	1000					
天王輕功落地	1015	2	1	PlayEffect	1010					
天王輕功落地	1015	2	4	CanDoRun						
天王輕功落地	1015	3		CrossFade	850					
峨嵋輕功落地	1016	1		CrossFade	1000					
峨嵋輕功落地	1016	2	1	PlayEffect	1010					
峨嵋輕功落地	1016	2	4	CanDoRun						
峨嵋輕功落地	1016	3		CrossFade	850					
桃花輕功落地	1017	1		CrossFade	1000					
桃花輕功落地	1017	2	1	PlayEffect	1010					
桃花輕功落地	1017	2	4	CanDoRun						
桃花輕功落地	1017	3		CrossFade	800					
逍遙輕功落地	1018	1		CrossFade	1000					
逍遙輕功落地	1018	2	1	PlayEffect	1010					
逍遙輕功落地	1018	2	4	CanDoRun						
逍遙輕功落地	1018	3		CrossFade	500					
輕功落地通用	15	1		CrossFade	1000					
輕功落地通用	15	3		CrossFade	500					
測試跳躍前搖後搖	16	1		PlayEffect						
測試跳躍前搖後搖	16	2		PlayEffect	10					
測試跳躍前搖後搖	16	2	14	CastSkill	14					
測試跳躍前搖後搖	16	2	9	PlayShake	10	4000	2			
測試跳躍前搖後搖	16	3		UnbindEffect	10					
測試跳躍前搖後搖_子	17	1		CastSkill	14					
測試跳躍前搖後搖_子	17	2	5	PlayShake	50	4000	2			
測試跳躍前搖後搖_子	17	3		UnbindEffect	10					
紅色預警	19	1		CastSkill	19					
紅色預警_子1	20	1		CastSkill	20					
紅色預警_子1	20	1		CastSkill	18					
紅色預警_子2	18	1		CastSkill	18					
NPC近身單體1	21	2	5	CastSkill	21					
NPC近身單體2	22	2	5	CastSkill	22					
NPC近身群體1	23	2	5	CastSkill	23					
NPC近身群體1	23	2	5	PlayEffect	23					
骷髏王刀光	90	1		PlayEffect	90					
骷髏王刀光	90	2	17	CastSkill	90					
骷髏王刀光	90	3		UnbindEffect	90					
骷髏王衝擊波	92	1		CastSkill	92					
骷髏王衝擊波	92	3		DoCommonAct	7			15		
骷髏王絞殺	93	2	12	CastSkill	93					
骷髏王絞殺	93	2	26	CastSkill	94					
骷髏王絞殺	93	3		DoCommonAct	7			15		
通用紅色預警_半徑圓4.9米	95	1		CastSkill	95					
通用紅色預警_矩形8*2米	96	1		CastSkill	96					
通用紅色預警_扇形90度3米	97	1		CastSkill	97					
骷髏王_紅色預警_半徑圓4.9米	98	1		DoCommonAct	7	95		12		
骷髏王_紅色預警_矩形8*2米	99	1		DoCommonAct	7	96		23		
測試擊飛	101	1		CrossFade	1					
測試擊飛	101	1		InstantDir	1000					
測試擊飛	101	1		CastSkill	101					
測試特殊死亡冰凍	102	1		CrossFade	1					
測試特殊死亡冰凍	102	1		InstantDir	1000					
測試特殊死亡冰凍	102	1		CastSkill	102					
錘擊	110	1		CrossFade	1					
錘擊	110	1		InstantDir	1000					
錘擊	110	2	4	CastSkill	110					
錘擊	110	2	0	PlayEffect	9091					
蠻橫霸道	109	1		CrossFade	1					
蠻橫霸道	109	1		InstantDir	1000					
蠻橫霸道	109	1		CastSkill	111					
蠻橫霸道	109	1		CastSkill	112					
蠻橫霸道	109	1		PlayEffect						
蠻橫霸道	109	3		ClearEffect						
蠻橫霸道	109	3		DoCommonAct	7			20		
蠻橫霸道_傷害	111	1		CastSkill	111					
神力	113	1		CrossFade	1					
神力	113	1		InstantDir	1000					
神力	113	1		PlayEffect	513					
神力	113	2	6	CastSkill	113					
神力	113	3		UnbindEffect	513					
鋼之鎧甲	114	1		CastSkill	114					
鋼之鎧甲	114	1		PlayEffect	6213					
萬象天引	115	1		CrossFade	1					
萬象天引	115	1		InstantDir	1000					
萬象天引	115	2	5	CastSkill	115					
萬象天引	115	2		PlayEffect	212					
萬象天引	115	3		UnbindEffect	212					
萬象天引_子	116	1		CastSkill	116					
劍擊	117	1		CrossFade	1					
劍擊	117	1		InstantDir	1000					
劍擊	117	2	4	CastSkill	117					
劍擊	117	2	0	PlayEffect	117					
金蛇擒鶴拳	118	1		CrossFade	1					
金蛇擒鶴拳	118	1		InstantDir	1000					
金蛇擒鶴拳	118	2	1	CastSkill	118					
金蛇擒鶴拳	118	2		PlayEffect	118					
金蛇擒鶴拳	118	3		UnbindEffect	212					
狂劍訣	119	2	3	CastSkill	119					
狂劍訣_子1	120	2	3	CastSkill	120					
狂劍訣_子2	121	2	6	CastSkill	121					
金蛇劍法	122	1		CrossFade	1					
金蛇劍法	122	1		InstantDir	1000					
金蛇劍法	122	2	4	CastSkill	122					
金蛇劍法	122	2	4	PlayEffect						
金蛇劍法_子1	123	1		CrossFade	1					
金蛇劍法_子1	123	1		InstantDir	1000					
金蛇劍法_子1	123	2	4	CastSkill	123					
金蛇劍法_子1	123	2	4	PlayEffect						
金蛇劍法_子2	124	1		CrossFade	1					
金蛇劍法_子2	124	1		InstantDir	1000					
金蛇劍法_子2	124	2	4	CastSkill	124					
金蛇劍法_子2	124	2	4	PlayEffect						
神行百變	125	1		PlayEffect	6507				10	
神行百變	125	1		CrossFade	1					
神行百變	125	1		InstantDir	1000					
神行百變_子1	126	1		RetsetPos						
神行百變_子1	126	1		CrossFade	1					
神行百變_子1	126	1		InstantDir	1000					
神行百變_子1	126	2	5	CastSkill	126					
神行百變_子2	127	2	3	PlayEffect	508					
神行百變_子2	127	3		CrossFade	1					
神行百變_子2	127	3		UnbindEffect	508					
箭術	129	1		CrossFade	1					
箭術	129	1		InstantDir	1000					
箭術	129	2	7	PlayEffect	6402					
箭術	129	2	7	CastSkill	129					
箭術	129	3		UnbindEffect	6401					
箭無虛發	130	1		CrossFade	1					
箭無虛發	130	1		InstantDir	1000					
箭無虛發	130	1		PlayEffect						
箭無虛發	130	2	7	CastSkill	130					
箭無虛發_子	131	1		CrossFade	1					
箭無虛發_子	131	1		InstantDir	1000					
箭無虛發_子	131	1		CastSkill	131					
連環箭	132	1		CrossFade	1					
連環箭	132	1		InstantDir	1000					
連環箭	132	1		PlayEffect						
連環箭	132	2	3	CastSkill	132					
連環箭	132	3		DoCommonAct	7			15		
鐵騎突襲	133	1		CrossFade	1					
鐵騎突襲	133	1		InstantDir	1000					
鐵騎突襲	133	1		PlayEffect						
鐵騎突襲	133	2	6	CastSkill	133					
鐵騎突襲	133	3		DoCommonAct	7			15		
萬箭齊發	134	1		CrossFade	1					
萬箭齊發	134	1		InstantDir	1000					
萬箭齊發	134	1		PlayEffect	134					
萬箭齊發	134	1		CastSkill	134					
萬箭齊發	134	3		DoCommonAct	7			20		
萬箭齊發_子	135	1		CrossFade	1					
萬箭齊發_子	135	1		InstantDir	1000					
萬箭齊發_子	135	1		CastSkill	135					
焚星落羽	136	1		PlayEffect						
焚星落羽	136	1		CastSkill						
焚星落羽	136	3		DoCommonAct	7			30		
槍法	140	1		CrossFade	1					
槍法	140	1		InstantDir	1000					
槍法	140	2	3	CastSkill	140					
槍法	140	2	0	PlayEffect	501					
遣散	141	1		CrossFade	1					
遣散	141	1		InstantDir	1000					
遣散	141	1		CastSkill	141					
橫掃千軍	142	1		CrossFade	1					
橫掃千軍	142	1		InstantDir	1000					
橫掃千軍	142	1		PlayEffect	513					
橫掃千軍	142	2	6	CastSkill	142					
橫掃千軍	142	3		UnbindEffect	513					
長槍貫日	143	1		CrossFade	1					
長槍貫日	143	1		InstantDir	1000					
長槍貫日	143	1		PlayEffect	510	1				
長槍貫日	143	2	2	CastSkill	144					
長槍貫日	143	3		ClearEffect	510					
長槍貫日_子	144	1		CastSkill	144					
聖盾護體	145	1		CastSkill	145					
聖盾護體	145	1		PlayEffect	6213					
撕咬	146	2	5	CastSkill	146					
潛土突刺	147	2	5	CastSkill	152					
潛土突刺	147	2	6	CastSkill	147					
狼王地裂	148	2	7	CastSkill	148					
瞬身撕咬_子1	150	1		RetsetPos						
瞬身撕咬_子1	150	1		CrossFade	1					
瞬身撕咬_子1	150	1		InstantDir	1000					
瞬身撕咬_子1	150	1		PlayEffect	508					
瞬身撕咬_子1	150	2	6	CastSkill	150					
瞬身撕咬_子2	151	2	3	PlayEffect	508					
瞬身撕咬_子2	151	3		CrossFade	1					
瞬身撕咬_子2	151	3		UnbindEffect	508					
角擊	153	2	5	CastSkill	153					
寒冰沖頂	155	1		CrossFade	1					
寒冰沖頂	155	1		InstantDir	35					
寒冰沖頂	155	3		CastSkill	156					
寒冰沖頂	155	3		PlayEffect	156					
寒冰沖頂	155	3		UnbindEffect	156					
寒冰沖頂_子	156	1		CastSkill	156					
撕咬	157	1		CrossFade	1					
撕咬	157	1		InstantDir	1000					
撕咬	157	2	5	CastSkill	146					
烈焰奔襲	158	1		CrossFade	1					
烈焰奔襲	158	1		InstantDir	35					
烈焰奔襲	158	1		PlayEffect	206					
烈焰奔襲	158	2	5	CastSkill	159					
烈焰奔襲	158	3		UnbindEffect	206					
烈焰奔襲_子	159	1		CastSkill	159					
甩尾	160	1		CrossFade	1					
甩尾	160	1		InstantDir	1000					
甩尾	160	2	5	CastSkill	160					
風刃舞	162	1		CrossFade	1					
風刃舞	162	1		InstantDir	1000					
風刃舞	162	1		PlayEffect	513					
風刃舞	162	2	10	CastSkill	162					
風刃舞	162	3		UnbindEffect	513					
影風斬	163	1		CrossFade	1					
影風斬	163	1		InstantDir	1000					
影風斬	163	1		CastSkill	163					
影風斬	163	1		CastSkill	172					
龍卷呼嘯	164	1		CrossFade	1					
龍卷呼嘯	164	1		InstantDir	1000					
龍卷呼嘯	164	2	6	CastSkill	164					
天火烈爪	165	1		CrossFade	1					
天火烈爪	165	1		InstantDir	1000					
天火烈爪	165	2	6	CastSkill	165					
狼王地裂_效果	171	2	5	CastSkill	171					
群體刀光重擊	178	2	5	CastSkill	178					
群體刀光重擊	178	2	5	CastSkill	179					
自爆	181	1		CastSkill	181					
自爆	181	1		PlaySceneEffect	26					
弓箭	182	2	6	PlayEffect	3182					
弓箭	182	2	6	CastSkill	182					
烈焰奔襲_蓄力	185	1		CastSkill	185					
烈焰奔襲_蓄力	185	1		PlayEffect	9018					
烈焰奔襲_蓄力	185	3		ClearEffect	9018					
烈焰奔襲	186	1		CrossFade	1					
烈焰奔襲	186	1		InstantDir	1000					
烈焰奔襲	186	1		CastSkill	187					
烈焰奔襲	186	1		CastSkill	188					
烈焰奔襲	186	3		DoCommonAct	7			20		
烈焰奔襲_傷害	187	1		CastSkill	187					
衝鋒	189	1		CrossFade	1					
衝鋒	189	1		InstantDir	1000					
衝鋒	189	1		CastSkill	190					
衝鋒	189	1		PlayEffect	1330					
衝鋒	189	3		ClearEffect	1330					
衝鋒	189	3		DoCommonAct	7			20		
衝鋒_子	190	1		CastSkill	190					
飛刃	191	1		CrossFade	1					
飛刃	191	1		InstantDir	1000					
飛刃	191	2	7	CastSkill	191					
飛刃	191	3		DoCommonAct	7			20		
七煞地裂	192	2	12	CastSkill	192					
七煞地裂	192	3		DoCommonAct	7			20		
七煞使普攻	10194	1		DoCommonAct	16	194		20		
七煞使普攻	10194	3		CrossFade	1200					
七煞使普攻	194	2	5	CastSkill	194					
飛剪	196	2	5	CastSkill	196					
天王錘法	201	1		CrossFade	1					
天王錘法	201	1		InstantDir	1000					
天王錘法	201	1	0	LinkSkillInit	20	202				
天王錘法	201	2	1	CanDoSkill						
天王錘法	201	2	4	CastSkill	201					
天王錘法	201	1		PlayEffect	9091				3	
天王錘法	201	2	5	CanDoRun						
天王錘法	201	2	6	CastLinkSkill						
天王錘法	201	2	3	PlayShake	30	120	1	1		
天王錘法	201	2	4	MovePos	25	35	160			
驚雷訣	202	1		CrossFade	1					
驚雷訣	202	1		InstantDir	1000					
驚雷訣	202	2	1	CanDoSkill						
驚雷訣	202	2	3	CastSkill	202					
驚雷訣	202	1	0	LinkSkillInit	20	203				
驚雷訣	202	1		PlayEffect	9092				-1	
驚雷訣	202	2	5	CanDoRun						
驚雷訣	202	2	4	CastLinkSkill						
驚雷訣	202	2	3	PlayShake	30	120	1	1		
驚雷訣	202	2	3	MovePos	50	50	160			
降龍訣	203	1		CrossFade	1					
降龍訣	203	1		InstantDir	1000					
降龍訣	203	1	0	LinkSkillInit	20	204				
降龍訣	203	2	1	CanDoSkill						
降龍訣	203	2	3	CastSkill	203					
降龍訣	203	2	5	CanDoRun						
降龍訣	203	2	6	CastLinkSkill						
降龍訣	203	1		PlayEffect	9093				-1	
降龍訣	203	2	4	PlayShake	100	180	1	1		
降龍訣	203	2	3	MovePos	50	40	130			
破天訣	204	1		CrossFade	500					
破天訣	204	1		InstantDir	1000					
破天訣	204	2	1	CanDoSkill						
破天訣	204	2	5	CastSkill	204					
破天訣	204	2	0	PlayEffect	9094				-1	
破天訣	204	2	7	PlayShake	120	180	1	1		
破天訣	204	2	8	CanDoRun						
破天訣	204	2	5	MovePos	50	50	150			
野蠻衝撞	206	1		CrossFade	1					
野蠻衝撞	206	1		InstantDir	35					
野蠻衝撞	206	1		PlayEffect	206				-1	
野蠻衝撞	206	2	5	CastSkill	207					
野蠻衝撞	206	2	8	PlayShake	60	120	2	1		
野蠻衝撞	206	3		UnbindEffect	206					
野蠻衝撞	206	2	15	CanDoRun						
野蠻衝撞_子	207	1		CastSkill	207					
霸王怒吼	208	1		PlayEffect	9079					
霸王怒吼	208	2	6	CastSkill	208					
霸王怒吼	208	2	3	PlayShake	60	160	3	1		
霸王怒吼	208	3		UnbindEffect	9079					
血戰八方	210	1		PlayEffect	210	1				
血戰八方	210	1		IgnoreSpeState	1					
血戰八方	210	2	1	CastSkill	211					
血戰八方	210	2	5	CastSkill	211					
血戰八方	210	2	10	CastSkill	211					
血戰八方	210	2	15	CastSkill	211					
血戰八方	210	2	20	CastSkill	211					
血戰八方	210	2	25	CastSkill	211					
血戰八方	210	2	30	CastSkill	211					
血戰八方	210	2	35	CastSkill	211					
血戰八方	210	2	40	CastSkill	211					
血戰八方	210	2	45	CastSkill	211					
血戰八方	210	2	50	CastSkill	211					
血戰八方	210	2	55	CastSkill	211					
血戰八方	210	2	60	CastSkill	211					
血戰八方	210	2	65	CastSkill	211					
血戰八方	210	2	70	CastSkill	211					
血戰八方	210	2	75	CastSkill	211					
血戰八方	210	1		CastSkill	227					
血戰八方	210	2	0	CastSkill	228					
血戰八方	210	2	4	CastSkill	228					
血戰八方	210	2	9	CastSkill	228					
血戰八方	210	2	14	CastSkill	228					
血戰八方	210	2	19	CastSkill	228					
血戰八方	210	2	24	CastSkill	228					
血戰八方	210	2	29	CastSkill	228					
血戰八方	210	2	34	CastSkill	228					
血戰八方	210	2	39	CastSkill	228					
血戰八方	210	2	44	CastSkill	228					
血戰八方	210	2	49	CastSkill	228					
血戰八方	210	2	54	CastSkill	228					
血戰八方	210	2	59	CastSkill	228					
血戰八方	210	2	64	CastSkill	228					
血戰八方	210	2	69	CastSkill	228					
血戰八方	210	2	74	CastSkill	228					
血戰八方	210	3		ClearEffect	210					
血戰八方	210	3		RemoveBuff	227					
血戰八方	210	3		RemoveBuff	228					
血戰八方_子1	211	1		CastSkill	211					
血戰八方_子1	211	1		PlayEffect	210					
血戰八方_子1	211	3		UnbindEffect	210					
血戰八方_子2	212	1		CastSkill	212					
金鐘罩	213	1		CastSkill	213					
金鐘罩	213	1		PlayEffect	9077					
金鐘罩	213	1		PlaySound	5213					
日月山河碎	214	2	9	PlaySound	5214					
日月山河碎	214	1		CrossFade	1					
日月山河碎	214	1		InstantDir	1000					
日月山河碎	214	1		PlayEffect	214					
日月山河碎	214	1		OpenSceneGray						
日月山河碎	214	1		ChangeBright	300					
日月山河碎	214	1		CastSkill	226					
日月山河碎	214	2	7	PlayShake	8	4000	2			
日月山河碎	214	2	7	CastSkill	215					
日月山河碎	214	2	12	PlayShake	8	4000	2			
日月山河碎	214	2	12	CastSkill	215					
日月山河碎	214	2	24	PlayShake	8	4000	2			
日月山河碎	214	2	24	CastSkill	215					
日月山河碎	214	2	45	PlayShake	30	4000	2			
日月山河碎	214	2	45	CastSkill	215					
日月山河碎	214	3		UnbindEffect	214					
日月山河碎	214	3		CloseSceneGray						
日月山河碎	214	3		ClearBright						
日月山河碎_子	215	1		CastSkill	215					
力拔山河	251	1		CrossFade	1					
力拔山河	251	1		InstantDir	1000					
力拔山河	251	2	2	CastSkill	213					
力拔山河	251	2	10	CastSkill	212					
力拔山河	251	2	10	PlayShake	50	160	2	1		
力拔山河	251	2		PlayEffect	212					
力拔山河	251	3		UnbindEffect	212					
力拔山河_子	252	1		CastSkill	213					
少林棍法	261	1		CrossFade	1					
少林棍法	261	1		InstantDir	1000					
少林棍法	261	1		PlayEffect	261				3	
少林棍法	261	1		LinkSkillInit	20	262				
少林棍法	261	1		PlaySound	5801					
少林棍法	261	2	1	CanDoSkill						
少林棍法	261	2	4	CastSkill	261					
少林棍法	261	2	5	CanDoRun						
少林棍法	261	2	5	CastLinkSkill						
少林棍法	261	2	4	PlayShake	30	120	1	1		
少林棍法	261	2	4	MovePos	50	50	160			
少林棍法2	262	1		CrossFade	1					
少林棍法2	262	1		InstantDir	1000					
少林棍法2	262	1		PlayEffect	262				-1	
少林棍法2	262	1		LinkSkillInit	20	263				
少林棍法2	262	1		PlaySound	5802					
少林棍法2	262	2	1	UnbindEffect	262					
少林棍法2	262	2	1	CanDoSkill						
少林棍法2	262	2	4	CastSkill	262					
少林棍法2	262	2	6	CanDoRun						
少林棍法2	262	2	8	CastLinkSkill						
少林棍法2	262	2	5	PlayShake	50	120	1	1		
少林棍法2	262	2	5	MovePos	50	50	160			
少林棍法3	263	1		CrossFade	1					
少林棍法3	263	1		InstantDir	1000					
少林棍法3	263	1		PlayEffect	263				-1	
少林棍法3	263	1		LinkSkillInit	20	264				
少林棍法3	263	1		PlaySound	5803					
少林棍法3	263	2	1	UnbindEffect	263					
少林棍法3	263	2	1	CanDoSkill						
少林棍法3	263	2	4	CastSkill	263					
少林棍法3	263	2	5	CanDoRun						
少林棍法3	263	2	5	CastLinkSkill						
少林棍法3	263	2	5	PlayShake	100	180	1	1		
少林棍法3	263	2	5	MovePos	35	35	130			
少林棍法4	264	1		CrossFade	500					
少林棍法4	264	1		InstantDir	1000					
少林棍法4	264	1		PlayEffect	264				-1	
少林棍法4	264	1		PlaySound	5802					
少林棍法4	264	2	4	UnbindEffect	264					
少林棍法4	264	2	1	CanDoSkill						
少林棍法4	264	2	3	CastSkill	264					
少林棍法4	264	2	3	PlayShake	120	180	1	1		
少林棍法4	264	2	5	CanDoRun						
少林棍法4	264	2	3	MovePos	35	35	130			
降龍棍	266	1		CrossFade	1					
降龍棍	266	1		InstantDir	1000					
降龍棍	266	1		PlayEffect	266				-1	
降龍棍	266	1		PlaySound	5806					
降龍棍	266	2	1	UnbindEffect	266					
降龍棍	266	2	3	PlayShake	140	200	1	1		
降龍棍	266	2	2	CastSkill	266					
降龍棍	266	2	4	CanDoRun						
大力金剛指	268	1		CrossFade	1					
大力金剛指	268	1		InstantDir	1000					
大力金剛指	268	1		PlaySound	5807					
大力金剛指	268	2	0	PlayEffect	268				-1	
大力金剛指	268	2	1	UnbindEffect	268					
大力金剛指	268	2	2	CastSkill	268					
大力金剛指	268	2	2	PlayShake	60	180	1	1		
大力金剛指	268	2	9	CanDoRun						
大力金剛指	268	3		CrossFade	500					
金剛伏魔	270	1		CrossFade	1					
金剛伏魔	270	1		InstantDir	1000					
金剛伏魔	270	1		PlaySound	5808					
金剛伏魔	270	1		CastSkill	270					
金剛伏魔	270	1		CastSkill	289					
金剛伏魔	270	1		PlayEffect	270				-1	
金剛伏魔	270	2	1	UnbindEffect	270					
十二擒龍手	272	1		PlayEffect	272					
十二擒龍手	272	1		PlaySound	5809					
十二擒龍手	272	2	1	UnbindEffect	272					
十二擒龍手	272	2	4	CastSkill	272					
十二擒龍手	272	2	4	PlayShake	80	160	1	1		
