NpcResId	NpcResFile	ResAttribID	Desc	RunSoundID	DeathSoundID	HitSoundID	Height	Width	at_frame	at_cross	bat_frame	bat_cross	die_frame	die_event	die_cross	dz_frame	dz_cross	jf_frame	jf_cross	jfd_frame	jfd_cross	jt_frame	jt_cross	wlk_frame	wlk_cross	wlk_event	run_frame	run_cross	run_event	st_frame	st_cross	st_event	st01_frame	st01_cross	st02_frame	st02_cross	sta_frame	sta_cross	qg_frame	qg_cross	at01_frame	at01_cross	at01_event	at02_frame	at02_cross	at03_frame	at03_cross	at04_frame	at04_cross	jn01_frame	jn01_cross	jn02_frame	jn02_cross	jn03_frame	jn03_cross	jn04_frame	jn04_cross	jn05_frame	jn05_cross	ex01_frame	ex01_cross	jn02a_frame	jn02a_cross	jn02b_frame	jn02b_cross	qg01_frame	qg01_cross	qg02_frame	qg02_cross	qg03_frame	qg03_cross	qg04_frame	qg04_cross	qg05_frame	qg05_cross	jn04(dl)_frame	jn04(dl)_cross	jsrun_frame	jsrun_cross	dl_frame	dl_cross	jf_gz_frame	jf_gz_cross	zx_frame	zx_cross	zst_frame	zst_cross	ts01_frame	ts01_cross	ts02_frame	ts02_cross	ts03_frame	ts03_cross
24	Player/Npcs/Prefabs/boss014.prefab		神秘人				2.5	0.5	20	0.1	6	0.1	20		0			18	0.1	18	0.1		0.1	15	0.1		12	0.2		30	0.1		30	0.1	30	0.1	20	0.1		0.15	15	0.1		15	0.08		0.1		0.1	30	0.09		0.15		0.15		0.15		0.15		0.15	18	0.08			140	0.08																										
25	Player/Npcs/Prefabs/boss015.prefab		鼇拜				2.5	0.5	20	0.1	6	0.1	16		0			20	0.1	20	0.1		0.1	15	0.1		12	0.2		30	0.1		30	0.1	30	0.1	20	0.1		0.15	15	0.1		15	0.08		0.1		0.1	30	0.09		0.15		0.15		0.15		0.15		0.15	18	0.08																														
26	Player/Npcs/Prefabs/boss016.prefab		九尾狐王				2.5	0.5	20	0.1	6	0.1	20		0			20	0.1	20	0.1		0.1	15	0.1		12	0.2		30	0.1		30	0.1	30	0.1	20	0.1		0.15	15	0.1		15	0.08		0.1		0.1	30	0.09		0.15		0.15		0.15		0.15		0.15	18	0.08																														
27	Player/Npcs/Prefabs/boss017.prefab		南宮飛雲				2.5	0.5	20	0.1	6	0.1	20		0			20	0.1	20	0.1		0.1	15	0.1		12	0.2		30	0.1		30	0.1	30	0.1	20	0.1		0.15	15	0.1		15	0.08		0.1		0.1	30	0.09		0.15		0.15		0.15		0.15		0.15	18	0.08																														
28	Player/Npcs/Prefabs/boss018.prefab		寒玉鹿王				2.5	0.5	20	0.1	6	0.1	15		0			17	0.1	17	0.1		0.1	15	0.1		9	0.2		30	0.1		30	0.1	30	0.1	20	0.1		0.15	20	0.1		16	0.08		0.1		0.1	30	0.09		0.15		0.15		0.15		0.15		0.15	18	0.08																														
29	Player/Npcs/Prefabs/boss019.prefab		大地狼王				2.5	0.5	20	0.1	6	0.1	20		0			20	0.1	20	0.1		0.1	15	0.1		12	0.2		30	0.1		30	0.1	30	0.1	20	0.1		0.15	15	0.1		15	0.08		0.1		0.1	30	0.09		0.15		0.15		0.15		0.15		0.15	18	0.08																														
30	Player/Npcs/Prefabs/boss020.prefab		奔焰豹王				2.5	0.5	20	0.1	6	0.1	20		0			20	0.1	20	0.1		0.1	15	0.1		12	0.2		30	0.1		30	0.1	30	0.1	20	0.1		0.15	15	0.1		15	0.08		0.1		0.1	30	0.09		0.15		0.15		0.15		0.15		0.15	18	0.08																														
31	Player/Npcs/Prefabs/boss021.prefab		完顏宏烈				2.5	0.5	20	0.1	6	0.1	20		0			30	0.1	16	0.1		0.1	16	0.1		12	0.2		30	0.1		30	0.1	30	0.1	20	0.1		0.15	15	0.1		15	0.08		0.1		0.1	30	0.09		0.15		0.15		0.15		0.15		0.15	18	0.08																														
32	Player/Npcs/Prefabs/boss022.prefab		獨孤劍				2.5	0.5	20	0.1	6	0.1	20		0			30	0.1	16	0.1		0.1	16	0.1		12	0.2		30	0.1		30	0.1	30	0.1	20	0.1		0.15	15	0.1		18	0.08		0.1		0.1	30	0.09		0.15		0.15		0.15		0.15		0.15	18	0.08																														
34	Player/Npcs/Prefabs/boss024.prefab		雙首異獸				2.5	0.5	20	0.1	13	0.1	20		0			30	0.1	16	0.1		0.1	16	0.1		12	0.2		30	0.1		30	0.1	30	0.1	20	0.1		0.15	15	0.1		15	0.08		0.1		0.1	30	0.09		0.15		0.15		0.15		0.15		0.15	18	0.08																														
35	Player/Npcs/Prefabs/boss025.prefab		白眉猴王				2.5	0.5	20	0.1	6	0.1	20		0			30	0.1	16	0.1		0.1	16	0.1		12	0.2		30	0.1		30	0.1	30	0.1	20	0.1		0.15	15	0.1		15	0.08		0.1		0.1	30	0.09		0.15		0.15		0.15		0.15		0.15	18	0.08																														
36	Player/Npcs/Prefabs/boss026.prefab		金翅鵬皇				2.5	0.5	20	0.1	6	0.1	20		0			30	0.1	16	0.1		0.1	16	0.1		12	0.2		30	0.1		30	0.1	30	0.1	20	0.1		0.15	15	0.1		15	0.08		0.1		0.1	30	0.09		0.15		0.15		0.15		0.15		0.15	18	0.08																														
37	Player/Npcs/Prefabs/boss027.prefab		撼天熊王				3	0.5	20	0.1	6	0.1	20		0			30	0.1	16	0.1		0.1	16	0.1		12	0.2		30	0.1		30	0.1	30	0.1	20	0.1		0.15	15	0.1		15	0.08		0.1		0.1	30	0.09		0.15		0.15		0.15		0.15		0.15	18	0.08																														
38	Player/Npcs/Prefabs/boss028.prefab		銀角犀皇				2.5	0.5	20	0.1	6	0.1	20		0			30	0.1	16	0.1		0.1	16	0.1		12	0.2		30	0.1		30	0.1	30	0.1	20	0.1		0.15	15	0.1		15	0.08		0.1		0.1	30	0.09		0.15		0.15		0.15		0.15		0.15	18	0.08																														
39	Player/Npcs/Prefabs/boss029.prefab	66	赤睛虎皇				2.5	0.5	20	0.1	6	0.1	20		0			30	0.1	16	0.1		0.1	16	0.1		12	0.2		30	0.1		30	0.1	30	0.1	20	0.1		0.15	15	0.1		15	0.08		0.1		0.1	30	0.09		0.15		0.15		0.15		0.15		0.15	18	0.08																														
40	Player/Npcs/Prefabs/boss030.prefab		定海金剛				2.5	0.5	20	0.1	6	0.1	20		0			30	0.1	16	0.1		0.1	16	0.1		12	0.2		30	0.1		30	0.1	30	0.1	20	0.1		0.15	15	0.1		15	0.08		0.1		0.1	30	0.09		0.15		0.15		0.15		0.15		0.15	18	0.08																														
41	Player/Npcs/Prefabs/boss031.prefab	203	紫背鱷皇				2.5	0.5	20	0.1	6	0.1	15		0			30	0.1	16	0.1		0.1	16	0.1		8	0.2		30	0.1		30	0.1	30	0.1	20	0.1		0.15	17	0.1		15	0.08		0.1		0.1	30	0.09		0.15		0.15		0.15		0.15		0.15	18	0.08																														
42	Player/Npcs/Prefabs/boss032.prefab	64	冰鱗蜥皇				2.5	0.5	20	0.1	6	0.1	15		0			17	0.1	17	0.1		0.1	15	0.1		9	0.2		30	0.1		30	0.1	30	0.1	20	0.1		0.15	20	0.1		16	0.08		0.1		0.1	30	0.09		0.15		0.15		0.15		0.15		0.15	18	0.08																														
43	Player/Npcs/Prefabs/boss033.prefab	63	銀鉤蠍皇				2.5	0.5	20	0.1	6	0.1	20		0			20	0.1	20	0.1		0.1	15	0.1		12	0.2		30	0.1		30	0.1	30	0.1	20	0.1		0.15	15	0.1		15	0.08		0.1		0.1	30	0.09		0.15		0.15		0.15		0.15		0.15	18	0.08																														
44	Player/Npcs/Prefabs/boss034.prefab		狂鬃獒皇				2.5	0.5	20	0.1	6	0.1	20		0			20	0.1	20	0.1		0.1	15	0.1		12	0.2		30	0.1		30	0.1	30	0.1	20	0.1		0.15	15	0.1		15	0.08		0.1		0.1	30	0.09		0.15		0.15		0.15		0.15		0.15	18	0.08																														
101	Player/Npcs/Prefabs/npc_001.prefab		徐鐵心				1.75	0.5	16	0.1	6	0.1	24		0			30	0.1	22	0.5		0.1	15	0.1		16	0.2		30	0.2		30	0.2	30	0.2	16	0.2		0.15	18	0.1	900101		0.08		0.1		0.1	33	0.09	30	0.1	30	0.05	5	0.15		0.15		0.15		0.08																														
102	Player/Npcs/Prefabs/npc_002.prefab		單晶晶				1.75	0.5	16	0.1	6	0.1	21		0			30	0.1	17	0.5		0.1	15	0.1		14	0.2		30	0.2		30	0.2	30	0.2	18	0.2		0.15	18	0.1			0.08		0.1		0.1		0.09		0.15		0.15		0.15		0.15		0.15		0.08																														
103	Player/Npcs/Prefabs/npc_152.prefab		新薔薇				1.9	0.5	16	0.1	6	0.1	13		0			18	0.5	18	0.5		0.1	15	0.1		12	0.2		30	0.2		30	0.2	30	0.2	18	0.2	23	0.15	15	0.1			0.08		0.1		0.1	50	0.09		0.15		0.15		0.15		0.15		0.15		0.08																														
104	Player/Npcs/Prefabs/npc_004.prefab		紅衣女童				1.75	0.5	16	0.1	6	0.1	31		0			30	0.1	16	0.5		0.1	15	0.1		11	0.2		30	0.2		30	0.2	30	0.2	20	0.2	13	0.15	17	0.1	900401		0.08		0.1		0.1		0.09		0.15		0.15		0.15		0.15		0.15		0.08																														
105	Player/Npcs/Prefabs/npc_005.prefab		甯素心				1.75	0.5	16	0.1	6	0.1	14		0			30	0.1	13	0.5		0.1	15	0.1		12	0.2		30	0.2		30	0.2	30	0.2	18	0.2		0.15	15	0.1			0.08		0.1		0.1		0.09		0.15		0.15		0.15		0.15		0.15		0.08																														
106	Player/Npcs/Prefabs/npc_006.prefab		楓林衛				1.9	0.5	16	0.1	6	0.1	20		0			30	0.1	16	0.5		0.1	15	0.1		10	0.2		30	0.2		30	0.2	30	0.2	20	0.2		0.15	15	0.1		22	0.08		0.1		0.1		0.09		0.15		0.15		0.15		0.15		0.15		0.08																														
107	Player/Npcs/Prefabs/npc_007.prefab		官員				1.9	0.5	15	0.1	6	0.1	32		0			15	0.5	15	0.5		0.1	15	0.1		10	0.2		30	0.2		30	0.2	30	0.2	20	0.2		0.15	18	0.1			0.08		0.1		0.1		0.09		0.15		0.15		0.15		0.15		0.15		0.08																														
108	Player/Npcs/Prefabs/npc_008.prefab		紅纓侍				1.9	0.5	15	0.1	6	0.1	24		0			30	0.1	15	0.5		0.1	15	0.1		10	0.2		30	0.2		30	0.2	30	0.2	20	0.2		0.15	18	0.1	900801	23	0.08		0.1		0.1		0.09		0.15		0.15		0.15		0.15		0.15	23	0.08																														
109	Player/Npcs/Prefabs/npc_009.prefab		紫色蠍子				1.75	0.5	5	0.1	6	0.1	23		0			17	0.5	17	0.5		0.1	15	0.1		8	0.2		30	0.2		30	0.2	30	0.2	20	0.2		0.15	14	0.1			0.08		0.1		0.1		0.09		0.15		0.15		0.15		0.15		0.15		0.08																														
110	Player/Npcs/Prefabs/npc_010.prefab		火狐				1.75	0.5	5	0.1	6	0.1	41		0			23	0.5	23	0.5		0.1	15	0.1		8	0.2		30	0.2		30	0.2	30	0.2	15	0.2		0.15	15	0.1			0.08		0.1		0.1		0.09		0.15		0.15		0.15		0.15		0.15		0.08																														
111	Player/Npcs/Prefabs/npc_011.prefab		金錢豹				1.75	0.5	15	0.1	6	0.1	21		0			24	0.5	24	0.5		0.1	15	0.1		8	0.2		30	0.2		30	0.2	30	0.2	20	0.2		0.15	20	0.1			0.08		0.1		0.1		0.09		0.15		0.15		0.15		0.15		0.15		0.08																														
112	Player/Npcs/Prefabs/npc_012.prefab		蜘蛛				1.75	0.5	16	0.1	6	0.1	38		0			18	0.5	18	0.5		0.1	15	0.1		4	0.2		30	0.2		30	0.2	30	0.2	30	0.2		0.15	17	0.1			0.08		0.1		0.1		0.09		0.15		0.15		0.15		0.15		0.15		0.08																														
113	Player/Npcs/Prefabs/npc_013.prefab		1.烏鴉2.鷹				5	0.5	16	0.1	6	0.1	14		0			18	0.5	18	0.5		0.1	15	0.1		15	0.2		30	0.2		30	0.2	30	0.2	15	0.2		0.15	15	0.1			0.08		0.1		0.1		0.09		0.15		0.15		0.15		0.15		0.15		0.08																														
114	Player/Npcs/Prefabs/npc_014.prefab		猛虎				1.75	0.5	16	0.1	6	0.1	12		0			1	0.5	1	0.5		0.1	15	0.1		10	0.2		30	0.2		30	0.2	30	0.2	15	0.2		0.15	20	0.1	901401		0.08		0.1		0.1		0.09		0.15		0.15		0.15		0.15		0.15		0.08																														
115	Player/Npcs/Prefabs/npc_015.prefab		灰狼				1.75	0.5	16	0.1	6	0.1	13		0			1	0.5	1	0.5		0.1	15	0.1		8	0.2		30	0.2		30	0.2	30	0.2	20	0.2		0.15	22	0.1		12	0.08		0.1		0.1	30	0.09		0.15		0.15		0.15		0.15		0.15		0.08																														
116	Player/Npcs/Prefabs/npc_016.prefab		黑熊				1.75	0.5	16	0.1	6	0.1	18		0			10	0.5	10	0.5		0.1	15	0.1		12	0.2		30	0.2		30	0.2	30	0.2	20	0.2		0.15	10	0.1			0.08		0.1		0.1		0.09		0.15		0.15		0.15		0.15		0.15		0.08																														
117	Player/Npcs/Prefabs/npc_017.prefab		猴子				1.75	0.5	16	0.1	6	0.1	15		0			18	0.5	18	0.5		0.1	15	0.1		6	0.2		30	0.2		30	0.2	30	0.2	20	0.2		0.15	15	0.1			0.08		0.1		0.1		0.09		0.15		0.15		0.15		0.15		0.15		0.08																														
118	Player/Npcs/Prefabs/npc_018.prefab		月明瑤				1.85	0.5	16	0.1	6	0.1	20		0			11	0.5	11	0.5		0.1	15	0.1		11	0.2		30	0.2		30	0.2	30	0.2	20	0.2		0.15	17	0.1		19	0.08		0.1		0.1		0.09		0.15		0.15		0.15		0.15		0.15		0.08																														
119	Player/Npcs/Prefabs/npc_019.prefab		唐影				1.85	0.5	16	0.1	6	0.1	19		0			17	0.5	17	0.5		0.1	15	0.1		11	0.2		30	0.2		30	0.2	30	0.2	20	0.2	16	0.15	16	0.1		18	0.08		0.1		0.1		0.09		0.15		0.15		0.15		0.15		0.15		0.08																														
120	Player/Npcs/Prefabs/npc_020.prefab		1.逍遙派弟子2.門派棄徒				1.75	0.5	16	0.1	6	0.1	14		0			16	0.5	16	0.5		0.1	15	0.1		10	0.2		30	0.2		30	0.2	30	0.2	20	0.2		0.15	12	0.1		13	0.08		0.1		0.1		0.09		0.15		0.15		0.15		0.15		0.15		0.08																														
121	Player/Npcs/Prefabs/npc_021.prefab						2.5	0.5	16	0.1	6	0.1	14		0			12	0.5	12	0.5		0.1	15	0.1		10	0.2		30	0.2		30	0.2	30	0.2	20	0.2	22	0.15	13	0.1		20	0.08		0.1		0.1		0.09		0.15		0.15		0.15		0.15		0.15		0.08			88	0.08																										
122	Player/Npcs/Prefabs/npc_022.prefab		耶律辟離				2.5	0.5	16	0.1	6	0.1	14		0			16	0.5	16	0.5		0.1	15	0.1		10	0.2		30	0.2		30	0.2	30	0.2	20	0.2	32	0.15	15	0.1		20	0.08		0.1		0.1		0.09		0.15		0.15		0.15		0.15		0.15		0.08																														
123	Player/Npcs/Prefabs/npc_023.prefab		水賊				1.75	0.5	16	0.1	6	0.1	20		0			30	0.1	15	0.5		0.1	15	0.1		10	0.2		30	0.2		30	0.2	30	0.2	20	0.2	20	0.15	14	0.1	902301	18	0.08		0.1		0.1		0.09		0.15		0.15		0.15		0.15		0.15		0.08																														
124	Player/Npcs/Prefabs/npc_024.prefab		1.東瀛忍者2.刺客				1.75	0.5	16	0.1	6	0.1	20		0			30	0.1	12	0.5		0.1	15	0.1		10	0.2		30	0.2		30	0.2	30	0.2	20	0.2	13	0.4	15	0.1	902401	18	0.08		0.1		0.1		0.09		0.15		0.15		0.15		0.15		0.15		0.08																														
125	Player/Npcs/Prefabs/npc_025.prefab		小武				1.75	0.5	16	0.1	6	0.1	18		0			18	0.5	18	0.5		0.1	15	0.1		12	0.2		30	0.2		30	0.2	30	0.2	20	0.2	26	0.4	15	0.1	902501	20	0.08		0.1		0.1		0.09		0.15		0.15		0.15		0.15		0.15		0.08																														
126	Player/Npcs/Prefabs/npc_026.prefab		南宮彩虹				1.75	0.5	16	0.1	6	0.1	15		0			15	0.5	15	0.5		0.1	15	0.1		12	0.2		30	0.2		30	0.2	30	0.2	20	0.2	42	0.4	12	0.1		18	0.08		0.1		0.1		0.09		0.15		0.15		0.15		0.15		0.15		0.08																														
127	Player/Npcs/Prefabs/npc_027.prefab		趙無雙				1.75	0.5	16	0.1	6	0.1	13		0			15	0.5	15	0.5		0.1	15	0.1		12	0.2		30	0.2		30	0.2	30	0.2	20	0.2	13	0.4	11	0.1		22	0.08		0.1		0.1		0.09		0.15		0.15		0.15		0.15		0.15		0.08																														
128	Player/Npcs/Prefabs/npc_028.prefab						1.75	0.5	16	0.1	6	0.1	20		0			18	0.5	18	0.5		0.1	15	0.1		9	0.2		30	0.2		30	0.2	30	0.2	20	0.2	13	0.4	15	0.1		15	0.08		0.1		0.1		0.09		0.15		0.15		0.15		0.15		0.15		0.08																														
129	Player/Npcs/Prefabs/npc_029.prefab		南宮滅				3	0.5	16	0.1	6	0.1	20		0			15	0.5	15	0.5		0.1	15	0.1		10	0.2		30	0.2		30	0.2	30	0.2	20	0.2	39	0.4	20	0.1		20	0.08		0.1		0.1	35	0.09		0.15		0.15		0.15		0.15		0.15		0.08																														
130	Player/Npcs/Prefabs/npc_030.prefab		韓世忠				1.75	0.5	16	0.1	6	0.1	15		0			14	0.5	14	0.5		0.1	18	0.1		12	0.2		30	0.2		30	0.2	30	0.2	20	0.2	34	0.4	15	0.1		15	0.08		0.1		0.1		0.09		0.15		0.15		0.15		0.15		0.15		0.08																														
131	Player/Npcs/Prefabs/npc_031.prefab		紫軒				1.75	0.5	16	0.1	6	0.1	16		0			14	0.5	14	0.5		0.1	15	0.1		9	0.2		30	0.2		30	0.2	30	0.2	20	0.2	43	0.4	15	0.1		14	0.08		0.1		0.1		0.09		0.15		0.15		0.15		0.15		0.15		0.08																														
132	Player/Npcs/Prefabs/npc_032.prefab		柴嵩				1.75	0.5	16	0.1	6	0.1	15		0			15	0.5	15	0.5		0.1	15	0.1		12	0.2		30	0.2		30	0.2	30	0.2	20	0.2	13	0.4	12	0.1		15	0.08		0.1		0.1		0.09		0.15		0.15		0.15		0.15		0.15		0.08																														
133	Player/Npcs/Prefabs/npc_033.prefab		蘇墨芸				1.75	0.5	16	0.1	6	0.1	18		0			18	0.5	18	0.5		0.1	15	0.1		12	0.2		30	0.2		30	0.2	30	0.2	20	0.2	30	0.05	15	0.1		15	0.08		0.1		0.1		0.09		0.15		0.15		0.15		0.15		0.15		0.08			60																											
