BaseId	SubId	DetailId	Name	Desc	Icon	IconAtlas	Stars	Level	TimeFrame	Action
3	2	1	組隊秘境	參與組隊秘境有機會獲得	zuduimijing	UI/Atlas/NewAtlas/Icon/ActivityIcon/ActivityIcon.prefab	5	15		Ui:OpenWindow('TeamFubenPanel')
3	2	2	幫派防具坊	在幫派防具坊中可以購買	jiazurenwu	UI/Atlas/NewAtlas/Icon/ActivityIcon/ActivityIcon.prefab	4	11		Ui:OpenWindow('KinDetailPanel','FamilyBuilding')
3	3		項鍊							
3	3	1	武神殿	挑戰武神殿有機會獲得	wushendian	UI/Atlas/NewAtlas/Icon/ActivityIcon/ActivityIcon.prefab	5	17		Ui:OpenWindow('RankPanel')
3	3	2	幫派首飾坊	在幫派首飾坊中可以購買	jiazurenwu	UI/Atlas/NewAtlas/Icon/ActivityIcon/ActivityIcon.prefab	4	11		Ui:OpenWindow('KinDetailPanel','FamilyBuilding')
3	4		護腕							
3	4	1	懲惡任務	完成懲惡任務有機會獲得	chengjierenwu	UI/Atlas/NewAtlas/Icon/ActivityIcon/ActivityIcon.prefab	5	22		Ui:OpenWindow('CalendarPanel',1,6)
3	4	2	幫派防具坊	在幫派防具坊中可以購買	jiazurenwu	UI/Atlas/NewAtlas/Icon/ActivityIcon/ActivityIcon.prefab	4	11		Ui:OpenWindow('KinDetailPanel','FamilyBuilding')
3	5		戒指							
3	5	1	宋金戰場	參加宋金戰場有機會獲得	songjinzhanchang	UI/Atlas/NewAtlas/Icon/ActivityIcon/ActivityIcon.prefab	5	24		Ui:OpenWindow('CalendarPanel',1,3)
3	5	2	幫派首飾坊	在幫派首飾坊中可以購買	jiazurenwu	UI/Atlas/NewAtlas/Icon/ActivityIcon/ActivityIcon.prefab	4	11		Ui:OpenWindow('KinDetailPanel','FamilyBuilding')
3	6		衣服							
3	6	1	武林盟主	挑戰武林盟主有機會獲得	wulinmengzhu	UI/Atlas/NewAtlas/Icon/ActivityIcon/ActivityIcon.prefab	5	20		Ui:OpenWindow('CalendarPanel',1,1)
3	6	2	幫派兵甲坊	在幫派兵甲坊中可以購買	jiazurenwu	UI/Atlas/NewAtlas/Icon/ActivityIcon/ActivityIcon.prefab	4	11		Ui:OpenWindow('KinDetailPanel','FamilyBuilding')
3	7		玉佩							
3	7	1	商會任務	完成商會任務有機會獲得	shanghuirenwu	UI/Atlas/NewAtlas/Icon/ActivityIcon/ActivityIcon.prefab	5	30	OpenDay3	Ui:OpenWindow('CalendarPanel',1,2)
3	7	2	幫派首飾坊	在幫派首飾坊中可以購買	jiazurenwu	UI/Atlas/NewAtlas/Icon/ActivityIcon/ActivityIcon.prefab	4	11		Ui:OpenWindow('KinDetailPanel','FamilyBuilding')
3	8		腰帶							
3	8	1	英雄挑戰	完成英雄挑戰有機會獲得	jiazurenwu	UI/Atlas/NewAtlas/Icon/ActivityIcon/ActivityIcon.prefab	5	5	OpenDay3	Ui:OpenWindow('HeroChallenge')
3	8	2	幫派防具坊	在幫派防具坊中可以購買	jiazurenwu	UI/Atlas/NewAtlas/Icon/ActivityIcon/ActivityIcon.prefab	4	11		Ui:OpenWindow('KinDetailPanel','FamilyBuilding')
3	9		護身符							
3	9	1	野外首領	挑戰野外首領有機會獲得	yewaishouling	UI/Atlas/NewAtlas/Icon/ActivityIcon/ActivityIcon.prefab	5	20	OpenDay3	Ui:OpenWindow('BossLeaderPanel','Leader')
3	9	2	幫派首飾坊	在幫派首飾坊中可以購買	jiazurenwu	UI/Atlas/NewAtlas/Icon/ActivityIcon/ActivityIcon.prefab	4	11		Ui:OpenWindow('KinDetailPanel','FamilyBuilding')
3	10		鞋子							
3	10	1	通天塔	挑戰通天塔有機會獲得	zhaixinglou	UI/Atlas/NewAtlas/Icon/ActivityIcon/ActivityIcon.prefab	3	30	OpenDay4	Ui:OpenWindow('CalendarPanel',1,26)
3	10	2	幫派防具坊	在幫派防具坊中可以購買	jiazurenwu	UI/Atlas/NewAtlas/Icon/ActivityIcon/ActivityIcon.prefab	4	11		Ui:OpenWindow('KinDetailPanel','FamilyBuilding')
4			我要水晶							
4		1	珍寶閣	珍寶閣可以購買各種水晶，每週限量折扣	zhaixinglou	UI/Atlas/NewAtlas/Icon/ActivityIcon/ActivityIcon.prefab	5	10		Ui:OpenWindow('CommonShop','Treasure')
4		2	山賊密窟	挑戰山賊密窟有機會獲得	shanzeimiku	UI/Atlas/NewAtlas/Icon/ActivityIcon/ActivityIcon.prefab	4	13		Ui:OpenWindow('CalendarPanel',1,21)
4		3	白虎堂	挑戰白虎堂有機會獲得	baihutang	UI/Atlas/NewAtlas/Icon/ActivityIcon/ActivityIcon.prefab	4	30	OpenDay3	Ui:OpenWindow('CalendarPanel',1,25)
4		4	每日目標	完成每日目標有機會獲得	meiridati	UI/Atlas/NewAtlas/Icon/ActivityIcon/ActivityIcon.prefab	3	20		Ui:OpenWindow('CalendarPanel',3)
5			我要魂石							
5		1	凌絕峰	挑戰凌絕峰有機會獲得	lingjuefeng	UI/Atlas/NewAtlas/Icon/ActivityIcon/ActivityIcon.prefab	5	30	OpenDay2	Ui:OpenWindow('CalendarPanel',1,10)
5		2	組隊秘境	參與組隊秘境有機會獲得	zuduimijing	UI/Atlas/NewAtlas/Icon/ActivityIcon/ActivityIcon.prefab	4	11		Ui:OpenWindow('TeamFubenPanel')
5		3	擺攤	可以從擺攤中購買到魂石	meiridati	UI/Atlas/NewAtlas/Icon/ActivityIcon/ActivityIcon.prefab	4	20		Ui:OpenWindow('MarketStallPanel', 1, 5)
5		4	超值白銀禮包	購買超值白銀禮包，可獲得	xinmohuanjing	UI/Atlas/NewAtlas/Icon/ActivityIcon/ActivityIcon.prefab	4	10		Ui:OpenWindow('WelfareActivity', 'DailyRechargeGift')
6			我要元寶							
6		1	7日/30日禮包	購買7日/30日禮包後，每天可以領取大量元寶	xinmohuanjing	UI/Atlas/NewAtlas/Icon/ActivityIcon/ActivityIcon.prefab	5	10		Ui:OpenWindow('WelfareActivity', 'RechargeGift')
6		2	一本萬利	購買一本萬利，達到指定等級，可獲得大量元寶	xinmohuanjing	UI/Atlas/NewAtlas/Icon/ActivityIcon/ActivityIcon.prefab	5	21		Ui:OpenWindow('WelfareActivity','GrowInvest')
6		3	超值白銀禮包	購買超值白銀禮包，可獲得	xinmohuanjing	UI/Atlas/NewAtlas/Icon/ActivityIcon/ActivityIcon.prefab	5	10		Ui:OpenWindow('WelfareActivity', 'DailyRechargeGift')
6		4	儲值	通過儲值可直接獲得元寶	xinmohuanjing	UI/Atlas/NewAtlas/Icon/ActivityIcon/ActivityIcon.prefab	4	10		Ui:OpenWindow('CommonShop','Recharge')
6		5	成就	每達成一項成就，均有機會獲得元寶獎勵	xinmohuanjing	UI/Atlas/NewAtlas/Icon/ActivityIcon/ActivityIcon.prefab	3	1		Ui:OpenWindow('AchievementPanel')
6		6	歷代名將	參與歷代名將挑戰，有機會獲得幫派分紅的元寶	lidaimingjiang	UI/Atlas/NewAtlas/Icon/ActivityIcon/ActivityIcon.prefab	3	30	OpenDay4	Ui:OpenWindow('BossLeaderPanel','Boss')
6		7	武林盟主	參與武林盟主挑戰，有機會獲得幫派分紅的元寶	wulinmengzhu	UI/Atlas/NewAtlas/Icon/ActivityIcon/ActivityIcon.prefab	3	20		Ui:OpenWindow('CalendarPanel',1,1)
7			我要銀兩							
7		1	搖錢樹	每天搖一搖，就會獲得大量銀兩	shiliangu	UI/Atlas/NewAtlas/Icon/ActivityIcon/ActivityIcon.prefab	5	8		Ui:OpenWindow('WelfareActivity','MoneyTreePanel')
7		2	商會任務	完成商會任務有機會獲得大量銀兩	shanghuirenwu	UI/Atlas/NewAtlas/Icon/ActivityIcon/ActivityIcon.prefab	4	30	OpenDay3	Ui:OpenWindow('CalendarPanel',1,2)
7		3	挑戰敵人	對敵人挑戰可以獲得其身上的銀兩	qunyinghui	UI/Atlas/NewAtlas/Icon/ActivityIcon/ActivityIcon.prefab	3	10		Ui:OpenWindow('SocialPanel','EnemyPanel')
8			我要貢獻							
8		1	幫派捐獻	每天給幫派捐獻，可以獲得大量幫派貢獻	xinmohuanjing	UI/Atlas/NewAtlas/Icon/ActivityIcon/ActivityIcon.prefab	5	11		Ui:OpenWindow('KinVaultPanel')
8		2	武林盟主	每天參與挑戰武林盟主，可以獲得幫派貢獻	wulinmengzhu	UI/Atlas/NewAtlas/Icon/ActivityIcon/ActivityIcon.prefab	4	20		Ui:OpenWindow('CalendarPanel',1,1)
8		3	幫派烤火	每天參與幫派烤火，可以獲得幫派貢獻	jiazujuji	UI/Atlas/NewAtlas/Icon/ActivityIcon/ActivityIcon.prefab	3	11		Ui:OpenWindow('CalendarPanel',1,18)
8		4	武神殿	每天挑戰武神殿，可以獲得幫派貢獻	wushendian	UI/Atlas/NewAtlas/Icon/ActivityIcon/ActivityIcon.prefab	3	17		Ui:OpenWindow('RankPanel')
8		5	通天塔	挑戰通天塔，可以獲得幫派貢獻	zhaixinglou	UI/Atlas/NewAtlas/Icon/ActivityIcon/ActivityIcon.prefab	3	30	OpenDay4	Ui:OpenWindow('CalendarPanel',1,26)
9			我要同伴							
9		1	同伴招募	使用銀兩或者元寶可以招募同伴	xinmohuanjing	UI/Atlas/NewAtlas/Icon/ActivityIcon/ActivityIcon.prefab	5	9		Ui:OpenWindow('Partner','CardPickingPanel')
9		2	凌絕峰	凌絕峰中，會有機會獲得同伴	lingjuefeng	UI/Atlas/NewAtlas/Icon/ActivityIcon/ActivityIcon.prefab	4	30	OpenDay2	Ui:OpenWindow('CalendarPanel',1,10)
9		3	組隊秘境	組隊秘境中，會有機會獲得同伴	zuduimijing	UI/Atlas/NewAtlas/Icon/ActivityIcon/ActivityIcon.prefab	3	15		Ui:OpenWindow('TeamFubenPanel')
