TemplateId	Name	Kind	ShowType	ItemType	DetailType	Level	RequireLevel	RealLevel	Icon	BigIcon	ObjID	Intro	Price	Quality	ItemValue	Sellable	ClassName	ResEffect	FightPower	Attrib1Type	Attrib1Value1	Attrib1Value2	Attrib1Value3	Attrib2Type	Attrib2Value1	Attrib2Value2	Attrib2Value3	Attrib3Type	Attrib3Value1	Attrib3Value2	Attrib3Value3	Attrib4Type	Attrib4Value1	Attrib4Value2	Attrib4Value3	Attrib5Type	Attrib5Value1	Attrib5Value2	Attrib5Value3	Attrib6Type	Attrib6Value1	Attrib6Value2	Attrib6Value3	Attrib7Type	Attrib7Value1	Attrib7Value2	Attrib7Value3	Attrib8Type	Attrib8Value1	Attrib8Value2	Attrib8Value3	Attrib9Type	Attrib9Value1	Attrib9Value2	Attrib9Value3	Attrib10Type	Attrib10Value1	Attrib10Value2	Attrib10Value3	Attrib9Value1	Attrib9Value2	Attrib9Value3	Attrib10Type	Attrib10Value1	Attrib10Value2	Attrib10Value3	HoleCount	InsetLevel
4963	T13衣服	T13_Armor_Q1	6313	2	1	13	145	27			1		2400000	8	2400000	1	equip		0	lifemax_v	6750			metal_resist_v	220																																										7	6
4964	T14衣服	T14_Armor_Q1	6314	2	1	14	155	27			1		2400000	8	2400000	1	equip		0	lifemax_v	6750			metal_resist_v	220																																										7	6
4965	T15衣服	T15_Armor_Q1	6315	2	1	15	165	27			1		2400000	8	2400000	1	equip		0	lifemax_v	6750			metal_resist_v	220																																										7	6
4966	T16衣服	T16_Armor_Q1	6316	2	1	16	175	27			1		2400000	8	2400000	1	equip		0	lifemax_v	6750			metal_resist_v	220																																										7	6
4967	T17衣服	T17_Armor_Q1	6317	2	1	17	185	27			1		2400000	8	2400000	1	equip		0	lifemax_v	6750			metal_resist_v	220																																										7	6
4968	T18衣服	T18_Armor_Q1	6318	2	1	18	195	27			1		2400000	8	2400000	1	equip		0	lifemax_v	6750			metal_resist_v	220																																										7	6
4969	T19衣服	T19_Armor_Q1	6319	2	1	19	205	27			1		2400000	8	2400000	1	equip		0	lifemax_v	6750			metal_resist_v	220																																										7	6
4970	T20衣服	T20_Armor_Q1	6320	2	1	20	215	27			1		2400000	8	2400000	1	equip		0	lifemax_v	6750			metal_resist_v	220																																										7	6
161	【稀有】1階衣服	T1_Armor_Q2	6201	2	2	1	1	4			1		150000	1	150000	1	equip		0	lifemax_v	1290			metal_resist_v	64																																											
162	【稀有】2階衣服	T2_Armor_Q2	6202	2	2	2	30	7			1		300000	2	300000	1	equip		0	lifemax_v	1725			metal_resist_v	79																																										3	3
163	【稀有】3階衣服	T3_Armor_Q2	6203	2	2	3	45	10			1		750000	3	750000	1	equip		0	lifemax_v	2475			metal_resist_v	96																																										3	4
164	【稀有】4階衣服	T4_Armor_Q2	6204	2	2	4	55	13			1		1800000	4	1800000	1	equip		0	lifemax_v	3225			metal_resist_v	119																																										4	4
165	【稀有】5階衣服	T5_Armor_Q2	6205	2	2	5	65	16			1		3750000	5	3750000	1	equip		0	lifemax_v	3975			metal_resist_v	141																																										4	5
166	【稀有】6階衣服	T6_Armor_Q2	6206	2	2	6	75	19			1		4500000	6	4500000	1	equip		0	lifemax_v	4725			metal_resist_v	164																																										5	5
167	【稀有】7階衣服	T7_Armor_Q2	6207	2	2	7	85	22			1		6000000	7	6000000	1	equip		0	lifemax_v	5775			metal_resist_v	198																																										5	6
168	【稀有】8階衣服	T8_Armor_Q2	6208	2	2	8	95	25			1		8100000	8	8100000	1	equip		0	lifemax_v	6300			metal_resist_v	217																																										6	6
169	【稀有】9階衣服	T9_Armor_Q2	6209	2	2	9	105	28			1		12000000	8	12000000	1	equip		0	lifemax_v	7500			metal_resist_v	257																																										7	6
170	【稀有】10階衣服	T10_Armor_Q2	6210	2	2	10	115	31			1		15000000	8	15000000	1	equip		0	lifemax_v	8250			metal_resist_v	282																																										7	7
5061	【稀有】11階衣服	T11_Armor_Q2	6211	2	2	11	125	34			1		18750000	8	18750000	1	equip		0	lifemax_v	9000			metal_resist_v	290																																										7	7
5062	【稀有】12階衣服	T12_Armor_Q2	6212	2	2	12	135	31			1		15000000	8	15000000	1	equip		0	lifemax_v	8250			metal_resist_v	282																																										7	7
5063	【稀有】13階衣服	T13_Armor_Q2	6213	2	2	13	145	31			1		15000000	8	15000000	1	equip		0	lifemax_v	8250			metal_resist_v	282																																										7	7
5064	【稀有】14階衣服	T14_Armor_Q2	6214	2	2	14	155	31			1		15000000	8	15000000	1	equip		0	lifemax_v	8250			metal_resist_v	282																																										7	7
5065	【稀有】15階衣服	T15_Armor_Q2	6215	2	2	15	165	31			1		15000000	8	15000000	1	equip		0	lifemax_v	8250			metal_resist_v	282																																										7	7
5066	【稀有】16階衣服	T16_Armor_Q2	6216	2	2	16	175	31			1		15000000	8	15000000	1	equip		0	lifemax_v	8250			metal_resist_v	282																																										7	7
5067	【稀有】17階衣服	T17_Armor_Q2	6217	2	2	17	185	31			1		15000000	8	15000000	1	equip		0	lifemax_v	8250			metal_resist_v	282																																										7	7
5068	【稀有】18階衣服	T18_Armor_Q2	6218	2	2	18	195	31			1		15000000	8	15000000	1	equip		0	lifemax_v	8250			metal_resist_v	282																																										7	7
5069	【稀有】19階衣服	T19_Armor_Q2	6219	2	2	19	205	31			1		15000000	8	15000000	1	equip		0	lifemax_v	8250			metal_resist_v	282																																										7	7
5070	【稀有】20階衣服	T20_Armor_Q2	6220	2	2	20	215	31			1		15000000	8	15000000	1	equip		0	lifemax_v	8250			metal_resist_v	282																																										7	7
1570	【傳承】1階衣服	T1_Armor_Q3	6501	2	3	1	1	2			1		60000	1	60000	1	equip		0	lifemax_v	1050			metal_resist_v	52																																											
1571	【傳承】2階衣服	T2_Armor_Q3	6502	2	3	2	30	5			1		120000	2	120000	1	equip		0	lifemax_v	1350			metal_resist_v	67																																										2	2
1572	【傳承】3階衣服	T3_Armor_Q3	6503	2	3	3	45	8			1		240000	3	240000	1	equip		0	lifemax_v	1875			metal_resist_v	82																																										3	3
1573	【傳承】4階衣服	T4_Armor_Q3	6504	2	3	4	55	11			1		600000	4	600000	1	equip		0	lifemax_v	2625			metal_resist_v	101																																										3	4
1574	【傳承】5階衣服	T5_Armor_Q3	6505	2	3	5	65	14			1		1350000	5	1350000	1	equip		0	lifemax_v	3375			metal_resist_v	124																																										4	4
1575	【傳承】6階衣服	T6_Armor_Q3	6506	2	3	6	75	17			1		1800000	6	1800000	1	equip		0	lifemax_v	4125			metal_resist_v	146																																										4	5
1576	【傳承】7階衣服	T7_Armor_Q3	6507	2	3	7	85	20			1		2400000	7	2400000	1	equip		0	lifemax_v	4875			metal_resist_v	169																																										5	5
1577	【傳承】8階衣服	T8_Armor_Q3	6508	2	3	8	95	23			1		3600000	8	3600000	1	equip		0	lifemax_v	6000			metal_resist_v	207																																										5	6
3611	【傳承】9階衣服	T9_Armor_Q3	6509	2	3	9	105	26			1		5400000	8	5400000	1	equip		0	lifemax_v	6750			metal_resist_v	220																																										6	6
3612	【傳承】10階衣服	T10_Armor_Q3	6510	2	3	10	115	29			1		7200000	8	7200000	1	equip		0	lifemax_v	7500			metal_resist_v	257																																										7	6
5161	【傳承】11階衣服	T11_Armor_Q3	6511	2	3	11	125	32			1		9600000	8	9600000	1	equip		0	lifemax_v	8250			metal_resist_v	270																																										7	7
5162	【傳承】12階衣服	T12_Armor_Q3	6512	2	3	12	135	29			1		7200000	8	7200000	1	equip		0	lifemax_v	7500			metal_resist_v	257																																										7	6
5163	【傳承】13階衣服	T13_Armor_Q3	6513	2	3	13	145	29			1		7200000	8	7200000	1	equip		0	lifemax_v	7500			metal_resist_v	257																																										7	6
5164	【傳承】14階衣服	T14_Armor_Q3	6514	2	3	14	155	29			1		7200000	8	7200000	1	equip		0	lifemax_v	7500			metal_resist_v	257																																										7	6
5165	【傳承】15階衣服	T15_Armor_Q3	6515	2	3	15	165	29			1		7200000	8	7200000	1	equip		0	lifemax_v	7500			metal_resist_v	257																																										7	6
5166	【傳承】16階衣服	T16_Armor_Q3	6516	2	3	16	175	29			1		7200000	8	7200000	1	equip		0	lifemax_v	7500			metal_resist_v	257																																										7	6
5167	【傳承】17階衣服	T17_Armor_Q3	6517	2	3	17	185	29			1		7200000	8	7200000	1	equip		0	lifemax_v	7500			metal_resist_v	257																																										7	6
5168	【傳承】18階衣服	T18_Armor_Q3	6518	2	3	18	195	29			1		7200000	8	7200000	1	equip		0	lifemax_v	7500			metal_resist_v	257																																										7	6
5169	【傳承】19階衣服	T19_Armor_Q3	6519	2	3	19	205	29			1		7200000	8	7200000	1	equip		0	lifemax_v	7500			metal_resist_v	257																																										7	6
5170	【傳承】20階衣服	T20_Armor_Q3	6520	2	3	20	215	29			1		7200000	8	7200000	1	equip		0	lifemax_v	7500			metal_resist_v	257																																										7	6
2782	【黃金】6階衣服	T6_Armor_Q4	6306	2	4	6	75	101			1		58500000	7	58500000	1	equip		54000	lifemax_v	6100			metal_resist_v	215																																										5	6
2783	【黃金】7階衣服	T7_Armor_Q4	6307	2	4	7	85	102			1		92400000	7	92400000	1	equip		86400	lifemax_v	7000			metal_resist_v	257																																										6	6
2784	【黃金】8階衣服	T8_Armor_Q4	6308	2	4	8	95	103			1		137700000	7	137700000	1	equip		129600	lifemax_v	7500			metal_resist_v	282																																										7	6
3631	【黃金】9階衣服	T9_Armor_Q4	6309	2	4	9	105	104			1		184800000	7	184800000	1	equip		172800	lifemax_v	9000			metal_resist_v	300																																										7	7
3632	【黃金】10階衣服	T10_Armor_Q4	6310	2	4	10	115	105			1		231000000	7	231000000	1	equip		216000	lifemax_v	10500			metal_resist_v	350																																										7	7
5390	【黃金】11階衣服	T11_Armor_Q4	6611	2	4	11	125	106			1		277950000	7	277950000	1	equip		259200	lifemax_v	11250			metal_resist_v	400																																										7	7
5391	【黃金】12階衣服	T12_Armor_Q4	6612	2	4	12	135	107			1		231000000	7	231000000	1	equip		216000	lifemax_v	10500			metal_resist_v	350																																										7	7
5392	【黃金】13階衣服	T13_Armor_Q4	6613	2	4	13	145	108			1		231000000	7	231000000	1	equip		216000	lifemax_v	10500			metal_resist_v	350																																										7	7
5393	【黃金】14階衣服	T14_Armor_Q4	6614	2	4	14	155	109			1		231000000	7	231000000	1	equip		216000	lifemax_v	10500			metal_resist_v	350																																										7	7
5394	【黃金】15階衣服	T15_Armor_Q4	6615	2	4	15	165	110			1		231000000	7	231000000	1	equip		216000	lifemax_v	10500			metal_resist_v	350																																										7	7
364	T1衣服（低）	T1_Armor_Test_Q1	6101	2	1	1	1	1			1		20000	1	3000	1	equip		0	lifemax_v	900			metal_resist_v	45																																											
365	T2衣服（低）	T2_Armor_Test_Q1	6102	2	1	2	1	3			1		40000	2	3000	1	equip		0	lifemax_v	1200			metal_resist_v	60																																										3	1
366	T3衣服（低）	T3_Armor_Test_Q1	6103	2	1	3	1	6			1		80000	3	3000	1	equip		0	lifemax_v	1500			metal_resist_v	75																																										3	2
367	T4衣服（低）	T4_Armor_Test_Q1	6104	2	1	4	1	9			1		200000	4	3000	1	equip		0	lifemax_v	1800			metal_resist_v	90																																										3	3
368	T5衣服（低）	T5_Armor_Test_Q1	6105	2	1	5	1	12			1		500000	5	3000	1	equip		0	lifemax_v	2250			metal_resist_v	113																																										3	3
369	T6衣服（低）	T6_Armor_Test_Q1	6106	2	1	6	1	15			1		1200000	6	3000	1	equip		0	lifemax_v	3750			metal_resist_v	135																																										4	5
370	T7衣服（低）	T7_Armor_Test_Q1	6107	2	1	7	85	18			1		3200000	7	3000	1	equip		0	lifemax_v	4500			metal_resist_v	158																																										4	5
371	T8衣服（低）	T8_Armor_Test_Q1	6108	2	1	8	95	21			1		7000000	8	3000	1	equip		0	lifemax_v	5250			metal_resist_v	180																																										5	5
3830	T9衣服（低）	T9_Armor_Test_Q1	6109	2	1	9	105	24			1		7000000	8	3000	1	equip		0	lifemax_v	6000			metal_resist_v	200																																										6	6
3831	T10衣服（低）	T10_Armor_Test_Q1	6110	2	1	10	115	27			1		7000000	8	3000	1	equip		0	lifemax_v	6750			metal_resist_v	220																																										7	6
372	T1衣服（中）	T1_Armor_Test_Q2	6101	2	2	1	1	1			1		20000	1	3000	1	equip		0	lifemax_v	900			metal_resist_v	45																																											
373	T2衣服（中）	T2_Armor_Test_Q2	6102	2	2	2	20	3			1		40000	2	3000	1	equip		0	lifemax_v	1200			metal_resist_v	60																																										3	1
374	T3衣服（中）	T3_Armor_Test_Q2	6103	2	2	3	44	6			1		80000	3	3000	1	equip		0	lifemax_v	1500			metal_resist_v	75																																										3	2
375	T4衣服（中）	T4_Armor_Test_Q2	6104	2	2	4	54	9			1		200000	4	3000	1	equip		0	lifemax_v	1800			metal_resist_v	90																																										3	3
376	T5衣服（中）	T5_Armor_Test_Q2	6105	2	2	5	64	12			1		500000	5	3000	1	equip		0	lifemax_v	2250			metal_resist_v	113																																										3	3
377	【傳承】6階衣服	T6_Armor_Test_Q2	6506	2	2	6	75	15			1		1800000	6	1800000	1	equip		0	lifemax_v	4125			metal_resist_v	146																																										4	5
378	T7衣服（中）	T7_Armor_Test_Q2	6107	2	2	7	85	18			1		3200000	7	3000	1	equip		0	lifemax_v	4875			metal_resist_v	169																																										5	5
379	T8衣服（中）	T8_Armor_Test_Q2	6108	2	2	8	95	21			1		7000000	8	3000	1	equip		0	lifemax_v	6000			metal_resist_v	207																																										5	6
3832	T9衣服（中）	T9_Armor_Test_Q2	6109	2	2	9	105	24			1		7000000	8	3000	1	equip		0	lifemax_v	6750			metal_resist_v	220																																										6	6
3833	T10衣服（中）	T10_Armor_Test_Q2	6110	2	2	10	115	27			1		7000000	8	3000	1	equip		0	lifemax_v	7500			metal_resist_v	257																																										7	6
380	T1衣服（高）	T1_Armor_Test_Q3	6201	2	3	1	1	1			1		20000	1	3000	1	equip		0	lifemax_v	900			metal_resist_v	45																																											
381	T2衣服（高）	T2_Armor_Test_Q3	6202	2	3	2	30	3			1		40000	2	3000	1	equip		0	lifemax_v	1200			metal_resist_v	60																																										3	3
382	T3衣服（高）	T3_Armor_Test_Q3	6203	2	3	3	45	6			1		80000	3	3000	1	equip		0	lifemax_v	1500			metal_resist_v	75																																										3	4
383	T4衣服（高）	T4_Armor_Test_Q3	6204	2	3	4	55	9			1		200000	4	3000	1	equip		0	lifemax_v	1800			metal_resist_v	90																																										4	4
384	T5衣服（高）	T5_Armor_Test_Q3	6205	2	3	5	65	12			1		500000	5	3000	1	equip		0	lifemax_v	2250			metal_resist_v	113																																										4	5
385	T6衣服（高）	T6_Armor_Test_Q3	6206	2	3	6	75	15			1		1200000	6	3000	1	equip		0	lifemax_v	4725			metal_resist_v	164																																										5	5
386	T7衣服（高）	T7_Armor_Test_Q3	6207	2	3	7	85	18			1		3200000	7	3000	1	equip		0	lifemax_v	3150			metal_resist_v	158																																										5	6
387	T8衣服（高）	T8_Armor_Test_Q3	6208	2	3	8	95	21			1		7000000	8	3000	1	equip		0	lifemax_v	3600			metal_resist_v	180																																										6	6
3834	T9衣服（高）	T9_Armor_Test_Q3	6209	2	3	9	105	24			1		7000000	8	3000	1	equip		0	lifemax_v	7500			metal_resist_v	257																																										7	6
3835	T10衣服（高）	T10_Armor_Test_Q3	6210	2	3	10	115	27			1		7000000	8	3000	1	equip		0	lifemax_v	8250			metal_resist_v	282																																										7	7
1252	T1衣服（訂製）	Cus_T1_Armor_Q1	6101	2	1	1	1	1			1		15000	1	15000	1	equip		0	lifemax_v	900			metal_resist_v	45																																											
1529	T1衣服（訂製）	Task_T1_Armor_Q1	6101	2	1	1	1	1			1		15000	1	15000	1	equip		0	lifemax_v	900			metal_resist_v	45																																											
