nTemplateId	szInfo	szType	szSubType	szResPath	nDepth	nWidth	nLength	nHeight	bCanOperation	bHasObstacle	nBarrierType	szLimitRotation	szScale	bShowDir	nAllowRelation
507	樺木書架			Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_guizi02_02s.prefab	1	3	7	250		1		90|180			
508	墨香書架			Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_guizi03_02s.prefab	1	3	7	250		1		90|180			
509	幻彩流光書架			Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_guizi04_02s.prefab	1	3	7	250		1		90|180			
510	紫檀鎏金書架			Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_guizi05_02s.prefab	1	3	7	250		1		90|180			
511	松木博古架			Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_guizi01_03s.prefab	1	3	6	250		1		90|180			
512	樺木博古架			Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_guizi02_03s.prefab	1	3	7	250		1		90|180			
513	墨香博古架			Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_guizi03_03s.prefab	1	3	7	250		1		90|180			
514	幻彩流光博古架			Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_guizi04_03s.prefab	1	3	7	250		1		90|180			
515	紫檀鎏金博古架			Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_guizi05_03s.prefab	1	3	7	250		1		90|180			
516	松木雜物架			Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_guizi01_04s.prefab	1	7	3	160		1		90|180			
517	樺木雜物架			Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_guizi02_04s.prefab	1	8	3	180		1		90|180			
518	墨香雜物架			Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_guizi03_04s.prefab	1	7	3	160		1		90|180			
519	幻彩流光雜物架			Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_guizi04_04s.prefab	1	8	3	180		1		90|180			
520	紫檀鎏金雜物架			Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_guizi05_04s.prefab	1	8	4	250		1		90|180			
521	松木多寶格			Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_guizi01_05s.prefab	1	4	3	170		1		90|180			
522	樺木多寶格			Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_guizi02_05s.prefab	1	4	3	200		1		90|180			
523	墨香多寶格			Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_guizi03_05s.prefab	1	5	3	170		1		90|180			
524	幻彩流光多寶格			Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_guizi04_05s.prefab	1	4	3	175		1		90|180			
525	紫檀鎏金多寶格			Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_guizi05_05s.prefab	1	5	3	135		1		90|180			
526	松木小方櫃			Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_guizi01_06s.prefab	1	4	4	100		1		90|180			
527	樺木小方櫃			Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_guizi02_06s.prefab	1	4	4	120		1		90|180			
528	墨香小方櫃			Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_guizi03_06s.prefab	1	4	4	100		1		90|180			
529	幻彩流光小方櫃			Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_guizi04_06s.prefab	1	4	4	170		1		90|180			
530	紫檀鎏金小方櫃			Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_guizi05_06s.prefab	1	4	4	150		1		90|180			
1001	松木方桌			Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_zhuozi01_01s.prefab	1	6	6	90		1		90|180			
1002	樺木方桌			Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_zhuozi02_01s.prefab	1	6	6	90		1		90|180			
1003	墨香圓桌			Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_zhuozi03_01s.prefab	1	8	8	90		1		90|180			
1004	幻彩流光圓桌			Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_zhuozi04_01s.prefab	1	8	8	90		1		90|180			
1005	紫檀鎏金圓桌			Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_zhuozi05_01s.prefab	1	8	8	90		1		90|180			
1006	松木案			Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_zhuozi01_02s.prefab	1	3	8	30		1		90|180			
1007	樺木案			Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_zhuozi02_02s.prefab	1	3	8	30		1		90|180			
1008	墨香案			Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_zhuozi03_02s.prefab	1	3	8	30		1		90|180			
1009	幻彩流光案			Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_zhuozi04_02s.prefab	1	3	8	35		1		90|180			
1010	紫檀鎏金案			Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_zhuozi05_02s.prefab	1	3	8	30		1		90|180			
1011	松木方案			Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_zhuozi01_03s.prefab	1	3	6	20		1		90|180			
1012	樺木方案			Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_zhuozi02_03s.prefab	1	3	6	20		1		90|180			
1013	墨香方案			Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_zhuozi03_03s.prefab	1	3	6	20		1		90|180			
1014	幻彩流光方案			Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_zhuozi04_03s.prefab	1	3	6	20		1		90|180			
1015	紫檀鎏金方案			Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_zhuozi05_03s.prefab	1	3	6	20		1		90|180			
1016	松木翹頭案			Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_zhuozi01_04s.prefab	1	3	10	90		1		90|180			
1017	樺木翹頭案			Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_zhuozi02_04s.prefab	1	3	11	100		1		90|180			
1018	墨香翹頭案			Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_zhuozi03_04s.prefab	1	3	11	125		1		90|180			
1019	幻彩流光翹頭案			Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_zhuozi04_04s.prefab	1	3	11	120		1		90|180			
1020	紫檀鎏金翹頭案			Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_zhuozi05_04s.prefab	1	3	12	125		1		90|180			
1021	松木盆景架			Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_zhuozi01_05s.prefab	1	2	2	95		1		90|180			
1022	樺木盆景架			Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_zhuozi02_05s.prefab	1	2	2	125		1		90|180			
1023	墨香盆景架			Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_zhuozi03_05s.prefab	1	2	2	170		1		90|180			
1024	幻彩流光盆景架			Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_zhuozi04_05s.prefab	1	2	2	175		1		90|180			
1025	紫檀鎏金盆景架			Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_zhuozi05_05s.prefab	1	4	4	130		1		90|180			
1026	松木棋盤			Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_weiqi01_01s.prefab	1	5	5	30		1		90|180			
1027	樺木棋盤			Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_weiqi02_01s.prefab	1	5	5	45		1		90|180			
1028	墨香棋盤			Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_weiqi03_01s.prefab	1	5	5	65		1		90|180			
1029	幻彩流光棋盤			Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_weiqi04_01s.prefab	1	7	7	60		1		90|180			
1030	紫檀鎏金棋盤			Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_weiqi05_01s.prefab	1	7	7	70		1		90|180			
1501	稻禾蒲團			Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_zuodian01_01s.prefab	1	3	3	10		0		90|180			
1502	筍殼蒲團			Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_zuodian02_01s.prefab	1	3	3	10		0		90|180			
1503	紫羅蘭			Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_zuodian03_01s.prefab	1	3	3	10		0		90|180			
1504	冷玉琅繯			Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_zuodian04_01s.prefab	1	3	3	15		0		90|180			
1505	紫玉成煙			Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_zuodian05_01s.prefab	1	3	3	10		0		90|180			
1506	粗麻方墊			Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_zuodian01_02s.prefab	1	3	3	10		0		90|180			
1507	棉質方墊			Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_zuodian02_02s.prefab	1	3	3	10		0		90|180			
1508	幽芳			Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_zuodian03_02s.prefab	1	3	3	10		0		90|180			
1509	紅塵客夢			Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_zuodian04_02s.prefab	1	3	3	10		0		90|180			
1510	金蘭			Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_zuodian05_02s.prefab	1	3	3	10		0		90|180			
1511	松木長凳		DengZi	Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_dengzi01_01s.prefab	1	2	5	55	1	1				1	
1512	樺木長凳		DengZi	Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_dengzi02_01s.prefab	1	2	5	45	1	1				1	
1513	墨香圓凳		DengZi	Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_dengzi03_01s.prefab	1	2	2	55	1	1				1	
1514	幻彩流光圓凳		DengZi	Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_dengzi04_01s.prefab	1	2	2	55	1	1				1	
1515	紫檀鎏金圓凳		DengZi	Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_dengzi05_01s.prefab	1	2	2	55	1	1				1	
1516	松木椅		DengZi	Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_yizi01s.prefab	1	3	3	100	1	1				1	
1517	核桃木扶手椅		DengZi	Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_yizi02s.prefab	1	3	3	100	1	1				1	
1518	朱丹描金椅		DengZi	Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_yizi03s.prefab	1	3	4	100	1	1				1	
2001	松木浴盆	NormalAddRes	YuGang	Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_yupen01s.prefab	1	9	10	80	1	1		90|180			
2002	樺木浴盆	NormalAddRes	YuGang	Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_yupen02s.prefab	1	12	12	100	1	1		90|180			
2003	墨香浴盆	NormalAddRes	YuGang	Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_yupen03s.prefab	1	10	12	100	1	1		90|180			
2004	鏡花水月	NormalAddRes	YuGang	Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_yupen04s.prefab	1	12	12	130	1	1		90|180			
2005	瓊瑤碧落	NormalAddRes	YuGang	Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_yupen05s.prefab	1	15	15	70	1	1		90|180			
2501	虎嘯山林			Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_ditan02_01s.prefab	0	16	10	5		0		90|180			
2502	飛熊入夢			Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_ditan02_02s.prefab	0	21	12	5		0		90|180			
2503	星懸長空（中）			Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_ditan01_04s.prefab	0	12	14	5		0		90|180	100|117;100|115		
2504	海枯石爛（中）			Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_ditan01_02s.prefab	0	12	14	5		0		90|180	100|117;100|115		
2505	火鳳金鸞地衣（中）			Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_ditan01_01s.prefab	0	15	15	5		0		90|180	100|114;100|114		
2506	金榜提名（中）			Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_ditan01_03s.prefab	0	14	19	5		0		90|180	100|115;100|111		
2507	星懸長空（大）			Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_ditan03_04s.prefab	0	20	24	5		0		90|180	100|110;100|108		
2508	海枯石爛（大）			Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_ditan03_02s.prefab	0	20	26	5		0		90|180	100|110;100|108		
2509	火鳳金鸞地衣（大）			Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_ditan03_01s.prefab	0	22	26	5		0		90|180	100|109;100|108		
2510	金榜提名（大）			Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_ditan03_03s.prefab	0	22	28	5		0		90|180	100|109;100|107		
2511	幻彩流光地衣（中）			Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_ditan01_05s.prefab	0	12	14	5		0		90|180	100|117;100|115		
2512	幻彩流光地衣（大）			Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_ditan03_05s.prefab	0	16	26	5		0		90|180	100|110;100|108		
3001	松木錦盒			Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_baoxiang01s.prefab	1	7	10	75		1		90|180			
3002	百寶箱			Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_baoxiang02s.prefab	1	7	11	75		1		90|180			
3003	雙龍銜珠			Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_baoxiang03s.prefab	1	7	11	75		1		90|180			
3004	金枝玉葉（合）			Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_pingfeng01_02s.prefab	1	2	8	380		1		90|180			
3005	寒梅傲雪			Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_penjing02s.prefab	1	4	7	145		1		90|180			
3006	青松迎客			Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_penjing01s.prefab	1	4	10	165		1		90|180			
3007	粗麻屏風			Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_pingfeng04s.prefab	1	2	14	335		1		90|180			
3008	金枝玉葉（張）			Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_pingfeng01_01s.prefab	1	2	8	380		1		90|180			
3009	太嶽入雲			Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_pingfeng03s.prefab	1	2	14	380		1		90|180			
3010	三生連理			Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_pingfeng02s.prefab	1	2	14	335		1		90|180			
3011	星懸長空（小）			Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_ditan04_04s.prefab	0	6	12	5		0		90|180	100|134;100|117		
3012	海枯石爛（小）			Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_ditan04_02s.prefab	0	6	12	5		0		90|180	100|134;100|117		
3013	火鳳金鸞地衣（小）			Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_ditan04_01s.prefab	0	6	12	5		0		90|180	100|134;100|117		
3014	金榜提名（小）			Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_ditan04_03s.prefab	0	6	12	5		0		90|180	100|134;100|117		
3015	銅雀香爐	DoCmd	XiangLu	Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_xianglu04s.prefab	1	4	2	135	1	1		90|180			
3016	玉蓮香爐	DoCmd	XiangLu	Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_xianglu02s.prefab	1	4	4	100	1	1		90|180			
3017	熟銅香爐	DoCmd	XiangLu	Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_xianglu01s.prefab	1	4	6	120	1	1		90|180			
3018	七繡雲香	DoCmd	XiangLu	Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_xianglu03s.prefab	1	4	5	135	1	1		90|180			
3019	翠玉爐襯紫金葫蘆	DoCmd	XiangLu	Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_xianglu05s.prefab	1	4	2	170	1	1		90|180			
3020	幻彩流光地衣（小）			Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_ditan04_05s.prefab	0	6	12	5		0		90|180	100|134;100|117		
3501	松木燈	DoCmd	Deng	Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_deng01_01s.prefab	1	2	2	200	1	1		90|180|270			
3502	樺木燈	DoCmd	Deng	Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_deng02_01s.prefab	1	3	3	220	1	1		90|180|270			
3503	墨香燈	DoCmd	Deng	Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_deng03_01s.prefab	1	2	2	240	1	1		90|180|270			
3504	幻彩流光燈	DoCmd	Deng	Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_deng04_01s.prefab	1	3	3	280	1	1		90|180|270			
3505	紫檀鎏金燈	DoCmd	Deng	Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_deng05_01s.prefab	1	2	2	260	1	1		90|180|270			
3506	絳桃春			Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_huaping02s.prefab	1	3	3	110		1		90|180			
3507	鬱金香			Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_huaping01s.prefab	1	2	2	125		1		90|180			
3508	青玉瓷瓶			Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_huaping04s.prefab	1	3	3	300		1		90|180			
3509	一剪梅			Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_huaping03s.prefab	1	3	3	300		1		90|180			
3510	七菱冰玄花			Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_huaping05s.prefab	1	2	2	150		1		90|180			
3511	檀香木盒			Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_zawu01s.prefab	1	2	3	40		1		90|180			
3512	畫筒			Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_shujuan01s.prefab	1	2	2	130		1		90|180			
3513	金獅攬玉瓶			Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_huaping07s.prefab	1	3	3	120		1		90|180			
3514	瑞鶴仙			Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_diaoxiang01s.prefab	1	3	3	185		1		90|180			
3515	青花孔雀花卉紋瓶			Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_huaping06s.prefab	1	4	4	140		1		90|180			
4001	輕竹簾			Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_chuanglian01_01s.prefab	1	2	12	380		1	200	90|180			
4002	蘇幕遮			Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_chuanglian02_01s.prefab	1	2	12	380		1	200	90|180			
4003	一簾幽夢			Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_chuanglian02_02s.prefab	1	2	12	380		1	200	90|180			
4004	珥金拖紫			Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_chuanglian02_03s.prefab	1	2	12	380		1	200	90|180			
4005	金玉滿堂	長歌大師姐		Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_chuanglian01_02s.prefab	1	2	8	380		1	200	90|180			
4006	半透紗簾			Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_chuanglian01_03s.prefab	1	2	8	380		1	200	90|180			
4007	落霞映山圖			Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_guahua01s.prefab	1	2	8	350		1	200	90|180			
4008	翠笛			Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_hulu01s.prefab	1	2	3	290		1	200	90|180			
4009	滿月阮			Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_qin02s.prefab	1	2	4	290		1	200	90|180			
4010	浣花琵琶			Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_qin03s.prefab	1	2	4	290		1	200	90|180			
4011	獨幽			Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_qin01s.prefab	1	2	3	320		1	200	90|180			
4012	大聖遺音			Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_qin04s.prefab	1	2	4	320		1	200	90|180			
4013	紅鸞星動			Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_xiangbao01s.prefab	1	2	3	290		1	200	90|180			
4014	祥雲紙鳶			Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_fengzheng01s.prefab	1	2	7	320		1	200	90|180			
4015	紫珠號角			Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_haojiao01s.prefab	1	2	4	290		1	200	90|180			
4016	山水繪卷			Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_guahua02s.prefab	1	2	4	350		1	200	90|180			
4017	銀翎柘木弓			Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_gong01s.prefab	1	2	4	320		1	200	90|180			
4501	孩童秋千	DoCmd	QiuQian	Scenes/Meshes/sn_jiayuan/Prefabs/sy_qiuqian01.prefab	1	8	14	270	1	1		90|180			
4502	銅木兵器架			Scenes/Meshes/sn_jiayuan/Prefabs/sy_wuqijia01.prefab	1	5	10	230		1		90|180			
4503	百花繚亂			Scenes/Meshes/sn_jiayuan/Prefabs/sy_huatan03.prefab	1	6	8	90		1		90|180			
4504	萬紫千紅			Scenes/Meshes/sn_jiayuan/Prefabs/sy_huatan01.prefab	1	3	3	190		1		90|180			
4505	月明花影	DoCmd	QiuQian	Scenes/Meshes/sn_jiayuan/Prefabs/sy_qiuqian02.prefab	1	8	14	320	1	1		90|180			
4506	青石圓桌			Scenes/Meshes/sn_jiayuan/Prefabs/sy_shizhuo02.prefab	1	5	5	100		1		90|180			
4507	三人行			Scenes/Meshes/sn_jiayuan/Prefabs/sy_shizhuo01.prefab	1	12	7	63		1		90|180			
4508	海角奇石			Scenes/Meshes/sn_jiayuan/Prefabs/sy_jiashan02.prefab	1	11	15	340		1		90|180			
4509	群峰聳翠			Scenes/Meshes/sn_jiayuan/Prefabs/sy_jiashan01.prefab	1	11	15	340		1		90|180			
4510	三生三世			Scenes/Meshes/sn_jiayuan/Prefabs/sy_pengzhai01.prefab	1	7	10	270		1		90|180			
4511	青石古井			Scenes/Meshes/sn_jiayuan/Prefabs/sy_shuijing01.prefab	1	7	7	150		1		90|180			
4512	樺木鼓架	DoCmd		Scenes/Meshes/sn_jiayuan/Prefabs/sy_yueqi04.prefab	1	3	7	240	1	1		90|180			
4513	燕語	DoCmd		Scenes/Meshes/sn_jiayuan/Prefabs/sy_yueqi01.prefab	1	3	7	240	1	1		90|180			
4514	編鐘	DoCmd		Scenes/Meshes/sn_jiayuan/Prefabs/sy_yueqi02.prefab	1	3	7	240	1	1		90|180			
4515	遏雲	DoCmd		Scenes/Meshes/sn_jiayuan/Prefabs/sy_yueqi03.prefab	1	3	7	240	1	1		90|180			
4516	朝顏花欄			Scenes/Meshes/sn_jiayuan/Prefabs/sy_mumen02.prefab	1	5	8	100		1		90|180			
4517	小綠陰			Scenes/Meshes/sn_jiayuan/Prefabs/sy_lvshu01.prefab	1	13	13	530		0		90|180			
4518	十裡桃花			Scenes/Meshes/sn_jiayuan/Prefabs/sy_yinghuashu01.prefab	1	13	13	530		0		90|180			
4519	朝顏花棚架			Scenes/Meshes/sn_jiayuan/Prefabs/sy_mumen01.prefab	1	6	16	390		0		90|180			
4520	銀石雙人椅		DengZi	Scenes/Meshes/sn_jiayuan/Prefabs/sy_shuangrenyi01.prefab	1	5	9	140	1	1				1	
4521	鎏金雙人椅		DengZi	Scenes/Meshes/sn_jiayuan/Prefabs/sy_shuangrenyi02.prefab	1	3	11	140	1	1				1	
4522	浮雕照壁			Scenes/Meshes/sn_jiayuan/Prefabs/sy_zhaobi01.prefab	1	4	22	480		1		90|180			
4523	荷花小池			Scenes/Meshes/sn_jiayuan/Prefabs/sy_jiashan03.prefab	1	13	13	220		1		90|180|270			
5001	青石圓凳		DengZi	Scenes/Meshes/sn_jiayuan/Prefabs/sy_shideng01.prefab	1	2	2	60	1	1				1	
5002	陳年老酒罈			Scenes/Meshes/sn_jiayuan/Prefabs/sy_tanzi01.prefab	1	2	2	75		1		90|180			
5003	赤銅壺			Scenes/Meshes/sn_jiayuan/Prefabs/sy_tanzi02.prefab	1	2	2	75		1		90|180			
5004	湛藍紋金象耳罐			Scenes/Meshes/sn_jiayuan/Prefabs/sy_tanzi03.prefab	1	3	3	90		1		90|180			
5005	海納百川			Scenes/Meshes/sn_jiayuan/Prefabs/sy_tanzi04.prefab	1	4	4	100		1		90|180			
5006	青石護欄			Scenes/Meshes/sn_jiayuan/Prefabs/sy_langan01.prefab	1	1	9	110		1		90|180			
5007	稻草人			Scenes/Meshes/sn_jiayuan/Prefabs/sy_caoren01.prefab	1	2	2	230		1		90|180			
5008	百花盞			Scenes/Meshes/sn_jiayuan/Prefabs/sy_huatan04.prefab	1	3	3	60		1		90|180			
5009	姹紫嫣紅			Scenes/Meshes/sn_jiayuan/Prefabs/sy_huatan02.prefab	1	3	3	190		1		90|180			
5010	月上柳梢頭	DoCmd	Deng	Scenes/Meshes/sn_jiayuan/Prefabs/sy_ludeng01.prefab	1	5	1	360	1	1					
5011	石獅子			Scenes/Meshes/sn_jiayuan/Prefabs/sy_shizi01.prefab	1	6	4	230		1		90|180			
