nTaskId	szTaskIndex	szTaskTitle	szDetailDesc	szTaskDesc	szFinishDesc	szTrackInfo	szFinishTrackInfo	ShowClientNpc	DeleteClientNpc	Require_FinishTask	nAutoNextTaskId	nFinishDialogId	nFinishTaskNpcId	Target_PersonalFuben	bAutoFinish	Target_ExtPoint	nTaskItemId	bShowFinish	nNeedConfirmFinish	szAwardInfo	Target_KillNpc	bKillNpcToAllPlayer	nTaskType	bNotAutoNext	szOnFinishTrack	Target_OnTrap	Target_CollectItem	Target_Achievement	Target_EnterMap	Target_MinLevel	Require_MinLevel	Require_MaxLevel	nAcceptTaskNpcId	nAcceptDialogId	IsFinishGuide	bCanRepeat
11	MainTask1_11	[主]所為何事	納蘭姑娘似乎有話想說，不過不便在楊公子面前直言，去看看她想要對我說什麼吧！	問問[FFFE0D]納蘭姑娘[-]想說什麼	問問[FFFE0D]納蘭姑娘[-]想說什麼	[url=clientnpcbyidx:test, 9]	[url=clientnpcbyidx:test, 9]	4|8|9	9	10	12	11								Exp|4000			1		[url=openwnd:test, ChapterPanel, "ChapterTitle_01"]											
12	MainTask1_12	[主]神醫藥王	原來藥王谷穀主竟然也在此地做客，看來此處的一些獨特的生物、藥物即便是藥王穀都不得不心動啊！聽說神醫大多脾氣古怪，只能自求多福了希望這位胡神醫莫要太過刁難我！	向[FFFE0D]$NF[-]虛心求教	向[FFFE0D]$NF[-]虛心求教	[url=npc:testtt,$F,999]	[url=npc:testtt,$F,999]	4|8|10	4|10	11	13	12	417							Exp|4000			1	1												
13	MainTask1_13	[主]說來湊巧	連藥王谷胡神醫都讚不絕口，想必這位殷童姑娘一定醫術非凡！希望她能夠告訴我「赤心花」的生長地！	問問[FFFE0D]小殷童[-]赤心花在哪	找[FFFE0D]小殷童[-]問問赤心花在哪	[url=clientnpcbyidx:test, 11]	[url=clientnpcbyidx:test, 11]	8|11|14	11	12	14	13						1	1	Exp|4000;Item|1247|1			1	1												
14	MainTask1_14	[主]萬物相克	小時便經常聽人提起，但凡劇毒之物，一定範圍之內必有克制之物，雖然不知道此事是真是假，不過如今看來倒也有幾分根據，萬物相克，理應如此，區區懸崖，還難不倒我！	區區懸崖，看我取[FFFE0D]赤心花[-]	區區懸崖，看我取[FFFE0D]赤心花[-]	[url=npcpath:955,999,500<999,3500,6950>]	[url=npcpath:955,999,500<999,3500,6950>]	8|12|14		13	15				1	1				Exp|4000			1	1												
15	MainTask1_15	[主]配製藥水	赤心花本就十分稀少，生長之地更是如此險峻，尋常人難以採摘，難怪這毒蜂如此倡狂，有了這草藥，看你們還如何阻攔我和納蘭姑娘前去採集銀絲草！	把赤心花帶去給[FFFE0D]胡神醫[-]	把赤心花帶去給[FFFE0D]胡神醫[-]	[url=npc:testtt,$F,999]	[url=npc:testtt,$F,999]	8|14	8|14	14	16	15	417							Exp|4000			1	1												
16	MainTask1_16	[主]千里尋藥	如今萬物俱備，是時候出發前去摘採銀絲草了，納蘭姑娘身子柔弱，一路上恐怕還得多多照看她，否則因為救一個人導致她又中毒倒下，可就不妙了！	陪同納蘭姑娘前往[FFFE0D]$NP[-]	陪同納蘭姑娘前往[FFFE0D]$NP[-]	[url=gotofuben:test, 1, 2, 1]		13		15	17			1|2|1	1			1		Exp|10000			1	1												
17	MainTask1_17	[主]熬制秘藥	終於得到忘憂島獨有的神秘草藥——「銀絲草」了！這草藥看上去普普通通的，想不到竟對醫治如此嚴重的內傷有奇效，看來不僅是人不可貌相，連這小小的草藥都不能小覷啊！	拿銀絲草給[FFFE0D]納蘭姑娘[-]熬制	拿銀絲草給[FFFE0D]納蘭姑娘[-]熬制	[url=clientnpcbyidx:test, 13]	[url=clientnpcbyidx:test, 13]	13	13	16	18	17						1	1	Exp|24000;Item|1253|1			1	1												
18	MainTask1_18	[主]銀絲秘藥	幸虧有小童告訴我赤心花的所在，得向她道謝才是！	去向[FFFE0D]小殷童[-]道謝	去向[FFFE0D]小殷童[-]道謝	[url=clientnpcbyidx:test, 11]	[url=clientnpcbyidx:test, 11]	11|14	11|14	17	19	18								Exp|4000			1	1												
19	MainTask1_19	[主]戰場徵兵	如今宋金連年交戰，我雖身在江湖，不問朝廷之事，卻也不能置身之外，不顧百姓！枉費一身的功夫！去找[FFFE0D] 劉將軍 [-]前往戰場！	前往襄陽城找[FFFE0D]劉將軍[-]	前往襄陽城找[FFFE0D]劉將軍[-]	[url=npc:testtt,$F,10]	[url=npc:testtt,$F,10]	12	12	18	20	19	91							Exp|4000			1	1												
20	MainTask1_20	[主]戰場演練	戰場上果然兇險萬分，有了這次的經驗，下次要更加小心！回去稟告戰況！	向[FFFE0D]劉將軍[-]彙報戰況	向[FFFE0D]劉將軍[-]彙報戰況	[url=npc:testtt,$F,10]	[url=npc:testtt,$F,10]			19	21	20	91					1	1	Exp|36000;Item|1248|1			1	1												
21	MainTask1_21	[主]鎖雲會合	唉，如今敵軍倡狂，將來還得多為國效力才是，先去鎖雲淵和納蘭姑娘回合吧！	該去[FFFE0D]鎖雲淵[-]找納蘭姑娘了	該去[FFFE0D]鎖雲淵[-]找納蘭姑娘了	[url=clientnpcbyidx:test, 19]	[url=clientnpcbyidx:test, 19]	19|24	19|24	20	22	21						1	1	Exp|4000;Item|1252|1			1	1												
22	MainTask1_22	[主]再尋藥草	萬金財……這個名字倒是挺有富貴氣的，去找找他看看能不能買到藥材吧！	看看[FFFE0D]萬金財[-]在不在鎖雲淵	看看[FFFE0D]萬金財[-]在不在鎖雲淵	[url=clientnpcbyidx:test, 31]	[url=clientnpcbyidx:test, 31]	15|31|183	15|31	21	23	22								Exp|4000			1	1												
23	MainTask1_23	[主]散落貨物	唉，如今戰火連天，行商者亦是十分艱難，去找找看他的貨物吧！	到附近尋找[FFFE0D]商品貨物[-]	到附近尋找[FFFE0D]商品貨物[-]	[url=taskitem:test, $T]	[url=taskitem:test, $T]	15|32|183		22	24				1	1	23			Exp|6000			1	1	[url=dialog:test, 23]											
24	MainTask1_24	[主]惡賊逞兇	想不到附近也有如此猖獗的大刀馬賊，既然遇見了，順手懲治一下倒也不壞。	懲治[FFFE0D]大刀馬賊[-]	懲治[FFFE0D]大刀馬賊[-]	[url=goanddosomething:test, 400, 4310, 13000, autofight, 1]		15|32|183		23	25				1					Exp|16000	1749|3	1	1	1	[url=dialog:test, 24]											
25	MainTask1_25	[主]收集貨物	這些箱子倒是十分牢固，竟然沒有絲毫鬆動！	取走附近散落的[FFFE0D]商品貨物[-]	取走附近散落的[FFFE0D]商品貨物[-]	[url=npc:testtt,1284,400]	[url=npc:testtt,1284,400]	15|32|183	32	24	26				1	1				Exp|6000			1	1	[url=dialog:test, 25]											
26	MainTask1_26	[主]物歸原主	這些應該就是萬金財的貨物了，拿回去給他換取藥草！	將[FFFE0D]貨物[-]交還給萬金財	將[FFFE0D]貨物[-]交還給萬金財	[url=clientnpcbyidx:test, 31]	[url=clientnpcbyidx:test, 31]	15|31|183	31|183	25	27	26						1	1	Exp|4000;Item|1528|1;Coin|1000;ComposeValue|1|3			1	1												
27	MainTask1_27	[主]武功恢復	唉，如今敵軍倡狂，將來還得多為國效力才是，先去鎖雲淵和納蘭姑娘回合吧！	把藥草拿給[FFFE0D]納蘭姑娘[-]	把藥草拿給[FFFE0D]納蘭姑娘[-]	[url=clientnpcbyidx:test, 19]	[url=clientnpcbyidx:test, 19]	15|16|19	15|16|19	26	28	27								Exp|8000			1	1												
28	MainTask1_28	[主]林中小屋	楊兄先前服用了銀絲草，不知道傷勢恢復得如何了！	到[FFFE0D]屋中[-]見見楊影楓	到[FFFE0D]屋中[-]見見楊影楓	[url=pos:test,400,7700,8500]	[url=pos:test,400,7700,8500]	17|20|24	20|24	27	29				1					Exp|6000			1	1	[url=dialog:test, 28]				484							
29	MainTask1_29	[主]詢問傷勢	看起來楊兄的起色不錯，想必內傷已經好的差不多了！	詢問[FFFE0D]楊影楓[-]傷勢如何	詢問[FFFE0D]楊影楓[-]傷勢如何	[url=clientnpcbyidx:test, 17]	[url=clientnpcbyidx:test, 17]	17|205	205	28	30	29								Exp|8000			1	1	[url=dialog:test, 6029]											
30	MainTask1_30	[主]閒話家常	跟楊兄談談。	和[FFFE0D]楊影楓[-]交談	和[FFFE0D]楊影楓[-]交談	[url=clientnpcbyidx:test, 17]	[url=clientnpcbyidx:test, 17]	17|206	206	29	31	30								Exp|8000			1	1	[url=dialog:test, 6030]											
31	MainTask1_31	[主]精通醫術	不知道納蘭前輩是否能夠幫楊兄恢復內功	詢問是否能夠[FFFE0D]恢復內功[-]	詢問是否能夠[FFFE0D]恢復內功[-]	[url=clientnpcbyidx:test, 17]	[url=clientnpcbyidx:test, 17]	17|205|207	207	30	32	31								Exp|8000			1	1	[url=dialog:test, 6031]											
32	MainTask1_32	[主]稍作安慰	想不到最終仍是這般結果，去對他安慰一番。	安慰[FFFE0D]楊影楓[-]	安慰[FFFE0D]楊影楓[-]	[url=clientnpcbyidx:test, 17]	[url=clientnpcbyidx:test, 17]	17|205|208	17|205|208	31	33	32								Exp|6000			1	1												
33	MainTask1_33	[主]情況如何	不知道納蘭姑娘去追納蘭前輩結果如何了，出去問問吧。	到[FFFE0D]屋外[-]去找納蘭真	到[FFFE0D]屋外[-]去找納蘭真	[url=clientnpcbyidx:test, 19]	[url=clientnpcbyidx:test, 19]	18|19|206	18|19|206	32	34	33						1	1	Exp|6000;Item|1249|1			1	1												
34	MainTask1_34	[主]再入小屋	看來只能另尋他法了，先回屋中找楊兄吧！	陪[FFFE0D]納蘭真[-]再去看看楊影楓	陪[FFFE0D]納蘭真[-]再去看看楊影楓	[url=pos:test,400,7700,8500]	[url=pos:test,400,7700,8500]	20|223		33	35				1					Exp|6000			1	1	[url=dialog:test, 34]				484							
35	MainTask1_35	[主]蛛絲馬跡	咦，此處還有一些足跡，腳印較深，楊兄武功尚未完全恢復，也許就是他！追！	去尋找[FFFE0D]楊影楓[-]的蹤跡	去尋找[FFFE0D]楊影楓[-]的蹤跡	[url=taskitem:test, $T]	[url=taskitem:test, $T]	20|26|223	20|26|223	34	36				1	1	35			Exp|6000			1	1	[url=dialog:test, 35]											
36	MainTask1_36	[主]再次相見	總算是找到他了！「天下第一」，這四字讓多少人趨之若鶩，又讓多少人黯然神傷？唉，畢竟天下高手千千百，最終「天下第一」卻只能有一人。不過，這回這天下第一的執念倒是救了他一命……	總算是找到[FFFE0D]楊影楓[-]了	總算是找到[FFFE0D]楊影楓[-]了	[url=clientnpcbyidx:test, 25]	[url=clientnpcbyidx:test, 25]	25|27	25|27	35	37	36								Exp|8000			1	1												
37	MainTask1_37	[主]查探一番	此處到底是什麼地方？看起來除了入口隱蔽一些之外，倒也沒什麼特別的地方，不知道裡面是否機關重重。	入口的位置就在[FFFE0D]茅屋[-]附近	入口的位置就在[FFFE0D]茅屋[-]附近	[url=taskitem:test, $T]	[url=taskitem:test, $T]	20|23		36	38				1	1	37			Exp|6000			1	1	[url=dialog:test, 37]											
38	MainTask1_38	[主]偷入禁地	不知道納蘭島主是哪門哪派的，門派禁地，且不論是因為禁忌、秘寶還是機關陷阱，聽這名字便像是不應亂闖的地方……只是既然他們兩人都想去看看，也只有前去看看了！	偷偷前往[FFFE0D]$NP[-]	偷偷前往[FFFE0D]$NP[-]	[url=goanddosomething:test, 400, 14050, 2900, gotofuben, 1, 3, 1]		20|23	20|23	37	39			1|3|1	1			1		Exp|2000;Item|1032|1;Item|1072|1;Item|1092|1			1	1												
39	MainTask1_39	[主]無憂聖地	想不到竟然被發現了……唉，納蘭姑娘獨自跑開了，此處並非忘憂島，危機重重，恐怕有危險，得趕緊找到她！	詢問[FFFE0D]楊影楓[-]如何是好	詢問[FFFE0D]楊影楓[-]如何是好	[url=clientnpcbyidx:test, 29]	[url=clientnpcbyidx:test, 29]	6|29	6|29	38	40	39						1	1	Exp|32000;Item|1254|1			1	1												
40	MainTask1_40	[主]時不湊巧	看來楊兄對那本「武道德經」很是在意，不知道究竟是什麼來頭，選了，還是先去找納蘭姑娘吧！	前去尋找[FFFE0D]納蘭姑娘[-]	前去尋找[FFFE0D]納蘭姑娘[-]	[url=taskitem:test, $T]	[url=taskitem:test, $T]	15|30	30	39	41				1	1	40			Exp|6000			1	1	[url=dialog:test, 40]											
41	MainTask1_41	[主]無可奈何	這些流氓地痞，竟敢口出汙言，看我不好好教訓教訓他們！	教訓[FFFE0D]地痞潑皮[-]	教訓[FFFE0D]地痞潑皮[-]	[url=goanddosomething:test, 400, 4500, 4660, autofight, 1]		15		40	42				1					Exp|10000	1748|3	1	1	1	[url=dialog:test, 41]											
42	MainTask1_42	[主]尋找納蘭	看來他們確實見到過納蘭姑娘，按照他們的說法，應該是往這個方向！	[FFFE0D]繼續尋找納蘭姑娘[-]	[FFFE0D]繼續尋找納蘭姑娘[-]	[url=taskitem:test, $T]	[url=taskitem:test, $T]	15|209	209	41	43				1	1	42			Exp|6000			1	1	[url=dialog:test, 42]											
43	MainTask1_43	[主]溫言安撫	總算是找到納蘭姑娘了，實在是萬幸她沒有受傷！趕緊去看看她狀況如何！	看看[FFFE0D]納蘭姑娘[-]狀況如何	看看[FFFE0D]納蘭姑娘[-]狀況如何	[url=clientnpcbyidx:test, 309]	[url=clientnpcbyidx:test, 309]	15|210|309	15|210|309	42	44	6042						1	1	Exp|14000			1	1												
44	MainTask1_44	[主]兒時舊地	看來納蘭姑娘小時候也是個不安分的主，竟然能找到這麼一個洞窟！	前往[FFFE0D]納蘭真所說的山洞[-]	前往[FFFE0D]納蘭真所說的山洞[-]	[url=pos:test, 400, 2900, 8350]	[url=pos:test,400,2900,8350]	20|23		43	45				1					Exp|4000			1	1	[url=dialog:test, 43]				499							
45	MainTask1_45	[主]神秘山洞	這個洞窟陰風陣陣的，不知道其中到底有什麼東西，還是要小心一些！	闖過[FFFE0D]$NP[-]	闖過[FFFE0D]$NP[-]	[url=goanddosomething:test, 499, 1900, 3700, pos, 499, 1900, 3900]		20|23|211|212	20|23|211|212	44	46			1|4|1	1			1		Exp|40000			1	1												
46	MainTask1_46	[主]洞中乾坤	這洞窟之中竟然還有下層，納蘭姑娘已墜入其中，看不清外面究竟是何等光景，問問楊兄如何是好！	問問[FFFE0D]楊影楓[-]怎麼辦	問問[FFFE0D]楊影楓[-]怎麼辦	[url=clientnpcbyidx:test, 213]	[url=clientnpcbyidx:test, 213]	213	213	45	47	45					45	1	1	Exp|6000;Item|1250|1;ComposeValue|1|6			1	1												
47	MainTask1_47	[主]意料之外	此處下去不知是何險境，只能先施展輕功下去看看了！	穿過[FFFE0D]光亮處繼續前進[-]	穿過[FFFE0D]光亮處繼續前進[-]	[url=pos:test,499,6100,2860]	[url=pos:test,499,6100,2860]	214|216|218	214	46	48				1					Exp|8000			1	1	[url=dialog:test, 46]				485							
48	MainTask1_48	[主]幽靜小穀	這第二層似乎更像是有人專門修建的了，莫非真的有武林高手在此隱居？不過此處像是許久未曾有人居住了，也許那人早已離開了？	到[FFFE0D]山谷周圍看看[-]	到[FFFE0D]山谷周圍看看[-]	[url=taskitem:test, $T]	[url=taskitem:test, $T]	216|218		47	49				1	1	47			Exp|12000			1	1	[url=dialog:test, 47]											
49	MainTask1_49	[主]入屋一觀	想不到此處竟然有一處屋子，莫非真的有人居住在此？	進[FFFE0D]屋子看看[-]	進[FFFE0D]屋子看看[-]	[url=pos:test,485,900,3500]	[url=pos:test,485,900,3500]	216|218	216|218	48	50				1					Exp|12000			1	1	[url=dialog:test, 48]				481							
50	MainTask1_50	[主]探索小屋	奇怪，屋中並無一人，而且從屋中事物看來，已有許久沒有人居住了，莫非是曾經的居住者已經離開了？	[FFFE0D]四處看看[-]有什麼古怪	[FFFE0D]四處看看[-]有什麼古怪	[url=taskitem:test, $T]	[url=taskitem:test, $T]	219|221	219|221	49	51				1	1	49			Exp|12000			1	1	[url=dialog:test, 49]											
51	MainTask1_51	[主]再有所獲	這絲絹上的文字隱隱透出一股霸氣，想必是某個大人物留下的！	看看[FFFE0D]絲絹上寫了什麼[-]	看看[FFFE0D]絲絹上寫了什麼[-]	[url=taskitem:test, $T]	[url=taskitem:test, $T]	220|222	220|222	50	52				1	1	50			Exp|12000			1	1	[url=dialog:test, 50]											
52	MainTask1_52	[主]再探小屋	想不到這裡竟是無憂教主月重天的喪命之處，我也曾聽人說過，難怪數十年前無憂教悄然隱沒於江湖。	繼續[FFFE0D]探索屋子[-]	繼續[FFFE0D]探索屋子[-]	[url=taskitem:test, $T]	[url=taskitem:test, $T]	215|217	215|217	51	53				1	1	51			Exp|16000			1	1	[url=dialog:test, 51]											
53	MainTask1_53	[主]詢問真相	此處已經沒有什麼值得眷戀的了，是時候該返回忘憂島了！	先返回[FFFE0D]忘憂島[-]	先返回[FFFE0D]忘憂島[-]	[url=pos:test,481,2800,2100]	[url=pos:test,481,2800,2100]	223|224	223|224	52	54				1					Exp|12000			1	1	[url=dialog:test, 52]				999							
54	MainTask1_54	[主]各執一詞	想不到納蘭島主竟然是弑師之人……無論如何此事一定要問個清楚！	陪納蘭姑娘質問[FFFE0D]納蘭潛凜[-]	陪納蘭姑娘質問[FFFE0D]納蘭潛凜[-]	[url=npc:testtt,$F,999]	[url=npc:testtt,$F,999]	65	65	53	55	53	954							Exp|16000			1	1												
55	MainTask1_55	[主]是非難辨	楊兄先前曾立下誓言，定會為絲絹的主人報仇雪恨……不知道他與納蘭姑娘對此事有何看法……雖然只是納蘭島主的一面之詞，畢竟死無對證，先聽聽他們的看法吧！	詢問[FFFE0D]楊影楓[-]是否相信	詢問[FFFE0D]楊影楓[-]是否相信	[url=taskitem:test, $T]	[url=taskitem:test, $T]	225	225	54	56				1	1	54			Exp|8000			1	1	[url=cameraAnimation:test, 1]											
56	MainTask1_56	[主]分道揚鑣	楊兄武功已經更勝往昔了，真是可喜可賀，不過如今也到分離的時候了，畢竟楊兄以天下第一為目標，不可能一直留在忘憂島，跟納蘭姑娘道別吧。	準備去找[FFFE0D]納蘭真[-]道別	準備去找[FFFE0D]納蘭真[-]道別	[url=taskitem:test, $T]	[url=taskitem:test, $T]			55	57	55			1	1	55			Exp|8000			1	1	[url=dialog:test, 55]											
57	MainTask1_57	[主]一路相伴	唉，看來楊兄心中仍是放不下天下第一的執念，我也去找納蘭姑娘道別吧！	和[FFFE0D]$NF[-]道別	和[FFFE0D]$NF[-]道別	[url=npc:testtt,$F,999]	[url=npc:testtt,$F,999]	226	226	56	58	56	418					1	1	Exp|32000;Item|1255|1;ComposeValue|1|2			1	1												
58	MainTask1_58	[主]兩人再會	想不到納蘭姑娘如此重情重義，趕緊前往武夷山與楊兄會合吧。	前往[FFFE0D]武夷山[-]找楊影楓	前往[FFFE0D]武夷山[-]找楊影楓	[url=clientnpcbyidx:test, 33]	[url=clientnpcbyidx:test, 33]	33	33	57	59	57								Exp|16000			1	1	[url=openwnd:test, ChapterPanel, "ChapterTitle_02"]											
59	MainTask1_59	[主]尋覓芳蹤	我還是第一次聽楊兄提起紫軒姑娘，不過從他的語氣中明顯聽出濃濃的癡戀意味，看來楊兄是真的很喜歡這位紫軒姑娘，我也有些好奇這位紫軒姑娘到底是怎樣的人！	先出發尋找[FFFE0D]紫軒姑娘[-]	先出發尋找[FFFE0D]紫軒姑娘[-]	[url=taskitem:test, $T]	[url=taskitem:test, $T]	67	67	58	60				1	1	58			Exp|20000			1	1	[url=dialog:test, 58]											
60	MainTask1_60	[主]攔路打劫	想不到光天化日之下竟然有不長眼的傢伙打主意到我們的身上！正好教訓教訓他們！	解決[FFFE0D]鬼面刺客[-]	解決[FFFE0D]鬼面刺客[-]	[url=goanddosomething:test, 401, 10000, 11000, autofight, 1]		63	63	59	61				1					Exp|40000	1750|3	1	1	1												
61	MainTask1_61	[主]事有蹊蹺	不知道楊兄有沒有什麼發現，若是遇見不平之事，倒是可以出手相助，行俠仗義一番！	問問[FFFE0D]楊影楓[-]發生了什麼事	問問[FFFE0D]楊影楓[-]發生了什麼事	[url=clientnpcbyidx:test, 35]	[url=clientnpcbyidx:test, 35]	35	35	60	62	59								Exp|20000			1	1												
62	MainTask1_62	[主]虛驚一場	原來是虛驚一場，那就奇怪了，這些小嘍嘍到底為什麼要阻攔我們？	沒什麼事，[FFFE0D]繼續趕路[-]	沒什麼事，[FFFE0D]繼續趕路[-]	[url=gotofuben:test, 2, 1, 1]		36	36	61	63			2|1|1	1			1		Exp|4000			1	1												
63	MainTask1_63	[主]神秘姑娘	果然是有所圖謀，這位紅衣少女武功不凡，且容貌極美，恐怕那些刺客沒按什麼好心！	詢問[FFFE0D]神秘少女[-]怎麼回事	詢問[FFFE0D]神秘少女[-]怎麼回事	[url=clientnpcbyidx:test, 37]	[url=clientnpcbyidx:test, 37]	36|37	36|37	62	64	61						1	1	Exp|68000;Item|1022|1			1	1												
64	MainTask1_64	[主]再覓芳蹤	先前那些人武功雖然並非一流，但也均不是弱手，但願這少女能夠安然逃脫，我們也不便再插手其中了。當務之急，是要先找到紫軒姑娘！	詢問[FFFE0D]楊影楓[-]接下來怎麼辦	詢問[FFFE0D]楊影楓[-]接下來怎麼辦	[url=clientnpcbyidx:test, 35]	[url=clientnpcbyidx:test, 35]	35|38	35|38	63	65	62								Exp|12000			1	1												
65	MainTask1_65	[主]寧靜小村	紫軒姑娘竟不辭而別了，不知道她是個怎麼樣的人，讓楊兄如此迷戀惦記，想必是個傾國傾城的美人，唉，只是納蘭姑娘未免……罷了，多想無益，還是到附近找找看線索吧。	去紫軒[FFFE0D]住過的村子[-]找線索	去紫軒[FFFE0D]住過的村子[-]找線索	[url=taskitem:test, $T]	[url=taskitem:test, $T]	67		64	66				1	1	64			Exp|12000			1	1	[url=dialog:test, 63]											
66	MainTask1_66	[主]詢問村民	奇怪，難道真是紫軒姑娘是自行離開的？還是找附近的村民詢問一番！	找附近的[FFFE0D]村民[-]詢問一番	找附近的[FFFE0D]村民[-]詢問一番	[url=npc:testtt,$F,401]	[url=npc:testtt,$F,401]	67	67	65	67	64	1068							Exp|12000			1	1												
67	MainTask1_67	[主]心急如焚	楊兄如此心急，看來紫軒姑娘對他而言真是十分重要，只是這樣一來，恐怕納蘭姑娘……唉！罷了！先追上去吧！	追上[FFFE0D]楊影楓[-]	追上[FFFE0D]楊影楓[-]	[url=taskitem:test, $T]	[url=taskitem:test, $T]	40|64	40|64	66	68				1	1	66			Exp|12000		1	1	1	[url=dialog:test, 66]											
68	MainTask1_68	[主]擒賊擒王	看來楊兄沒找到紫軒姑娘被擄走的證據，還得另想別的辦法，問問他打算怎麼辦。	詢問[FFFE0D]楊影楓[-]怎麼辦	詢問[FFFE0D]楊影楓[-]怎麼辦	[url=clientnpcbyidx:test, 39]	[url=clientnpcbyidx:test, 39]	39	39	67	69	67								Exp|12000			1	1												
