nTaskId	szTaskIndex	szTaskTitle	szDetailDesc	szTaskDesc	szFinishDesc	szTrackInfo	szFinishTrackInfo	Require_FinishTask	nAutoNextTaskId	nFinishDialogId	nFinishTaskNpcId	Target_PersonalFuben	Target_Achievement	Target_KillNpc	bNotAutoNext	bKillNpcToAllPlayer	bAutoFinish	Target_ExtPoint	szAwardInfo	nTaskType	bShowFinish	nNeedConfirmFinish	Target_ExtInfo	szOnFinishTrack	nAcceptTaskNpcId	Target_CollectItem	Target_MinLevel	Require_MinLevel	Require_MaxLevel	bCanRepeat	nAcceptDialogId	IsFinishGuide	Target_ExpPoint	Target_EnterMap
3024	PedagogicalTask1_24	[支]藏寶圖	根據[FFFE0D] 藏寶圖 [-]上的線索前往野外地圖挖掘寶藏，能夠獲得各式各樣稀奇古怪的獎勵，還能挖出價值連城的[FFFE0D] 古董 [-]，俠士可千萬不要錯過！	使用[FFFE0D]藏寶圖[-]挖寶	向[FFFE0D]$NF[-]彙報情況	[url=openwnd:test, CalendarPanel, 1, 4]	[url=npc:testtt,$F,10]			3024	623		Cangbaotu|1		1				Exp|80000;Item|2157|1	2	1	1												
3025	PedagogicalTask1_25	[支]懲惡任務	[FFFE0D]20級[-] 以上的野外地圖有江湖大盜出沒，專門打家劫舍、無惡不作，組成 [FFFE0D] 3人以上 [-] 的隊伍前去剿滅他們，有豐厚的獎勵哦！	追捕一名[FFFE0D]江湖大盜[-]	向[FFFE0D]$NF[-]彙報情況	[url=openwnd:test, CalendarPanel, 1, 6]	[url=npc:testtt,$F,10]			3025	97		PunishTask|1		1				Exp|80000;Contrib|500	2	1	1												
3026	PedagogicalTask1_26	[支]每日答題	每日答題可獲得[FFFE0D] 豐厚的獎勵 [-]，簡單又輕鬆，不要忘記參加噢！	進行一輪[FFFE0D]每日答題[-]	向[FFFE0D]$NF[-]彙報情況	[url=openwnd:test, CalendarPanel, 1, 14]	[url=npc:testtt,$F,10]			3026	1350				1				Exp|80000;Coin|5000	2	1	1	DaTi											
3027	PedagogicalTask1_27	[支]擺攤	擺攤可以將身上不需要的東西上架，來賣給其他的玩家獲取元寶！系統只會收取少量的手續費哦！也可以選購自己需要的東西哦！	任意購買[FFFE0D]擺攤物品[-]	向[FFFE0D]$NF[-]彙報情況	[url=openwnd:test, MarketStallPanel, 2]	[url=npc:testtt,$F,10]			3027	631				1				Exp|80000;Gold|50	2	1	1	BaiTan											
3028	PedagogicalTask1_28	[支]野外修煉	前往 [FFFE0D]野外地圖[-] 擊敗野外怪物可以獲得經驗獎勵。使用 [FFFE0D]修煉珠[-] 開啟修煉狀態更可獲得 [FFFE0D]10倍[-] 打怪經驗和物品掉落哦！	進行一次[FFFE0D]野外修煉[-]	向[FFFE0D]$NF[-]彙報情況	[url=openwnd:test, CalendarPanel, 1, 29]	[url=npc:testtt,$F,10]			3028	694		XiuLian|1		1				Exp|80000;Item|212|10	2	1	1												
3029	PedagogicalTask1_29	[支]宋金戰場	每日的特定時間，「宋金戰場」將會開啟！俠之大者，為國為民！去為自己所選的勢力貢獻一份力量吧！	參與一次[FFFE0D]宋金戰場[-]	向[FFFE0D]$NF[-]彙報情況	[url=openwnd:test, CalendarPanel, 1, 3]	[url=npc:testtt,$F,10]			3029	630		Battle|1		1				Exp|80000;Item|1970|1	2	1	1												
3030	PedagogicalTask1_30	[支]高級藏寶圖	集齊「狼毫」、「朱砂」、「羅盤」、「龜甲」、「絲帛」能夠合成高級藏寶圖，獎勵更豐厚！	使用[FFFE0D]高級藏寶圖[-]挖寶	向[FFFE0D]$NF[-]彙報情況	[url=openwnd:test, ItemBox]	[url=npc:testtt,$F,10]			3030	623		HighCangbaotu|1		1				Coin|5000	2	1	1												
3031	PedagogicalTask1_31	[支]幫派傳功	可以給幫派成員傳功，或是接受來自幫派成員的傳功請求，完成後被傳功方將獲得大量經驗，傳功者也將獲得部分經驗！互惠互利的事情可千萬不要錯過哦！	進行一次[FFFE0D]傳功[-]	向[FFFE0D]$NF[-]彙報情況	[url=openwnd:test, CalendarPanel, 1, 15]	[url=npc:testtt,$F,10]			3031	92		GetMeFight|1		1				Exp|80000;Contrib|500	2	1	1												
3032	PedagogicalTask1_32	[支]歷代名將	每日特定時間，各個朝代的知名將士會出現在特定的地圖，擊敗他們將獲得大量獎勵！	參與一次[FFFE0D]歷代名將[-]	向[FFFE0D]$NF[-]彙報情況	[url=openwnd:test, CalendarPanel, 1, 12]	[url=npc:testtt,$F,10]			3032	89		FieldBoss|1		1				Exp|80000;Item|1969|1	2	1	1												
3033	PedagogicalTask1_33	[支]商會任務	完成商會老闆萬金財的任務，可以獲得大量的銀兩獎勵哦！	商會任務[FFFE0D]繳納一組貨物[-]	向[FFFE0D]$NF[-]彙報情況	[url=openwnd:test, CalendarPanel, 1, 2]	[url=npc:testtt,$F,10]			3033	190		CommerceTask|1		1				Exp|80000;Gold|50	2	1	1												
3034	PedagogicalTask1_34	[支]野外首領	每日的特定時間，20級以上的野外地圖均會出現一批野獸首領，擊敗它們將獲得高額獎勵！	參與一次[FFFE0D]野外首領[-]	向[FFFE0D]$NF[-]彙報情況	[url=openwnd:test, CalendarPanel, 1, 13]	[url=npc:testtt,$F,10]			3034	89		FieldLeader|1		1				Exp|80000;Item|212|10	2	1	1												
3035	PedagogicalTask1_35	[支]凌絕峰	凌絕峰乃江湖中最為神秘的場所，有無數奇人異事出現、發生在其中，危險和豐厚的獎勵並存，快去探險吧！	通關[FFFE0D]凌絕峰一層[-]	向[FFFE0D]$NF[-]彙報情況	[url=openwnd:test, CalendarPanel, 1, 10]	[url=npc:testtt,$F,10]			3035	1529		RandomFuben|1		1				Exp|80000;Item|2157|1	2	1	1												
3036	PedagogicalTask1_36	[支]英雄挑戰	江湖中有許多與你一樣的成名俠少，擊敗他們以證明自己！	成功完成[FFFE0D]一輪英雄挑戰[-]	向[FFFE0D]$NF[-]彙報情況	[url=openwnd:test, CalendarPanel, 1, 23]	[url=npc:testtt,$F,10]			3036	1528		HeroChallenge|1		1				Exp|80000;Item|1968|1	2	1	1												
3037	PedagogicalTask1_37	[支]同伴上陣	同伴乃是行走江湖的好幫手，按照基礎能力由高至低為SSS級→SS級→S級→A級→B級→C級，他們將在許多不同的場合給你提供説明，部分場合能夠出戰[FFFE0D] 兩名同伴[-]，部分場合能夠出戰[FFFE0D] 四名同伴[-]，要注意培養同伴哦！	[FFFE0D]上陣任意同伴[-]	向[FFFE0D]$NF[-]彙報情況	[url=openwnd:test, Partner, "PartnerMainPanel"]	[url=npc:testtt,$F,10]		3038	3037	622				1				Exp|10000;Item|1016|5	2	1	1	ShangZhenTongBan											
3038	PedagogicalTask1_38	[支]同伴升級	同伴能夠與你一同成長，在你獲得經驗值的時候，同伴同樣能夠獲得一定比例的經驗值，除此之外，還有一個更加快速提升同伴等級的方式——使用[FFFE0D] 經驗藥水[-]，現在就來試試吧！	[FFFE0D]為任意同伴使用經驗藥水[-]	向[FFFE0D]$NF[-]彙報情況	[url=openwnd:test, Partner, "PartnerMainPanel"]	[url=npc:testtt,$F,10]	3037		3038	622				1				Exp|10000	2	1	1	TongBanJiaJingYan											
3050	PedagogicalTask1_50	[支]五行相剋	江湖中有五行一說，天下各大門派武功盡皆源於此，五行間存[FFFE0D] 相剋 [-]一說，[FFFE0D] 金剋木[-]、[FFFE0D]木剋土[-]、[FFFE0D]水剋火[-]、[FFFE0D]火剋金[-]、[FFFE0D]土剋水[-]，門派間相互牽制，若克制對方則傷害增加，且受到的傷害減少。	找[FFFE0D]納蘭姑娘[-]瞭解五行	找[FFFE0D]納蘭姑娘[-]瞭解五行	[url=npc:testtt,$F,482]	[url=npc:testtt,$F,482]		3051	3050	1101				1					2														
3051	PedagogicalTask1_51	[支]五行相剋	江湖中有五行一說，天下各大門派武功盡皆源於此，五行間存[FFFE0D] 相剋 [-]一說，[FFFE0D] 金剋木[-]、[FFFE0D]木剋土[-]、[FFFE0D]水剋火[-]、[FFFE0D]火剋金[-]、[FFFE0D]土剋水[-]，門派間相互牽制，若克制對方則傷害增加，且受到的傷害減少。	擊敗[FFFE0D]天機制式傀儡·土[-]	擊敗[FFFE0D]天機制式傀儡·土[-]	[url=npcanddosomething:test, 1378, 482, autofight, 1]		3050	3052					1378|3	1	1	1			2				[url=dialog:test, 3051]										
3052	PedagogicalTask1_52	[支]五行相剋	江湖中有五行一說，天下各大門派武功盡皆源於此，五行間存[FFFE0D] 相剋 [-]一說，[FFFE0D] 金剋木[-]、[FFFE0D]木剋土[-]、[FFFE0D]水剋火[-]、[FFFE0D]火剋金[-]、[FFFE0D]土剋水[-]，門派間相互牽制，若克制對方則傷害增加，且受到的傷害減少。	擊敗[FFFE0D]天機制式傀儡·木[-]	擊敗[FFFE0D]天機制式傀儡·木[-]	[url=npcanddosomething:test, 1375, 482, autofight, 1]		3051	3053					1375|3	1	1	1			2				[url=dialog:test, 3052]										
3053	PedagogicalTask1_53	[支]五行相剋	江湖中有五行一說，天下各大門派武功盡皆源於此，五行間存[FFFE0D] 相剋 [-]一說，[FFFE0D] 金剋木[-]、[FFFE0D]木剋土[-]、[FFFE0D]水剋火[-]、[FFFE0D]火剋金[-]、[FFFE0D]土剋水[-]，門派間相互牽制，若克制對方則傷害增加，且受到的傷害減少。	擊敗[FFFE0D]天機制式傀儡·火[-]	擊敗[FFFE0D]天機制式傀儡·火[-]	[url=npcanddosomething:test, 1377, 482, autofight, 1]		3052	3054					1377|3	1	1	1			2				[url=dialog:test, 3053]										
3054	PedagogicalTask1_54	[支]五行相剋	江湖中有五行一說，天下各大門派武功盡皆源於此，五行間存[FFFE0D] 相剋 [-]一說，[FFFE0D] 金剋木[-]、[FFFE0D]木剋土[-]、[FFFE0D]水剋火[-]、[FFFE0D]火剋金[-]、[FFFE0D]土剋水[-]，門派間相互牽制，若克制對方則傷害增加，且受到的傷害減少。	回去找[FFFE0D]納蘭姑娘[-]	回去找[FFFE0D]納蘭姑娘[-]	[url=npc:testtt,$F,482]	[url=npc:testtt,$F,482]	3053	3055	3054	1101				1					2														
3055	PedagogicalTask1_55	[支]五行相剋	江湖中有五行一說，天下各大門派武功盡皆源於此，五行間存[FFFE0D] 相剋 [-]一說，[FFFE0D] 金剋木[-]、[FFFE0D]木剋土[-]、[FFFE0D]水剋火[-]、[FFFE0D]火剋金[-]、[FFFE0D]土剋水[-]，門派間相互牽制，若克制對方則傷害增加，且受到的傷害減少。	回答關於[FFFE0D]五行[-]的問題	回答關於[FFFE0D]五行[-]的問題	[url=openwnd:test, ActivityQuestion, "Task"]	[url=npc:testtt,$F,482]	3054		3055	1101								Exp|40000	2	1	1	Task_DaTi	[url=openwnd:test, FiveElements]										
3060	PedagogicalTask1_60	[支]五行相剋	江湖中有五行一說，天下各大門派武功盡皆源於此，五行間存[FFFE0D] 相剋 [-]一說，[FFFE0D] 金剋木[-]、[FFFE0D]木剋土[-]、[FFFE0D]水剋火[-]、[FFFE0D]火剋金[-]、[FFFE0D]土剋水[-]，門派間相互牽制，若克制對方則傷害增加，且受到的傷害減少。	找[FFFE0D]納蘭姑娘[-]瞭解五行	找[FFFE0D]納蘭姑娘[-]瞭解五行	[url=npc:testtt,$F,482]	[url=npc:testtt,$F,482]		3061	3060	1101				1					2														
3061	PedagogicalTask1_61	[支]五行相剋	江湖中有五行一說，天下各大門派武功盡皆源於此，五行間存[FFFE0D] 相剋 [-]一說，[FFFE0D] 金剋木[-]、[FFFE0D]木剋土[-]、[FFFE0D]水剋火[-]、[FFFE0D]火剋金[-]、[FFFE0D]土剋水[-]，門派間相互牽制，若克制對方則傷害增加，且受到的傷害減少。	擊敗[FFFE0D]天機制式傀儡·水[-]	擊敗[FFFE0D]天機制式傀儡·水[-]	[url=npcanddosomething:test, 1376, 482, autofight, 1]		3060	3062					1376|3	1	1	1			2				[url=dialog:test, 3061]										
3062	PedagogicalTask1_62	[支]五行相剋	江湖中有五行一說，天下各大門派武功盡皆源於此，五行間存[FFFE0D] 相剋 [-]一說，[FFFE0D] 金剋木[-]、[FFFE0D]木剋土[-]、[FFFE0D]水剋火[-]、[FFFE0D]火剋金[-]、[FFFE0D]土剋水[-]，門派間相互牽制，若克制對方則傷害增加，且受到的傷害減少。	擊敗[FFFE0D]天機制式傀儡·土[-]	擊敗[FFFE0D]天機制式傀儡·土[-]	[url=npcanddosomething:test, 1378, 482, autofight, 1]		3061	3063					1378|3	1	1	1			2				[url=dialog:test, 3062]										
3063	PedagogicalTask1_63	[支]五行相剋	江湖中有五行一說，天下各大門派武功盡皆源於此，五行間存[FFFE0D] 相剋 [-]一說，[FFFE0D] 金剋木[-]、[FFFE0D]木剋土[-]、[FFFE0D]水剋火[-]、[FFFE0D]火剋金[-]、[FFFE0D]土剋水[-]，門派間相互牽制，若克制對方則傷害增加，且受到的傷害減少。	擊敗[FFFE0D]天機制式傀儡·金[-]	擊敗[FFFE0D]天機制式傀儡·金[-]	[url=npcanddosomething:test, 1374, 482, autofight, 1]		3062	3064					1374|3	1	1	1			2				[url=dialog:test, 3063]										
3064	PedagogicalTask1_64	[支]五行相剋	江湖中有五行一說，天下各大門派武功盡皆源於此，五行間存[FFFE0D] 相剋 [-]一說，[FFFE0D] 金剋木[-]、[FFFE0D]木剋土[-]、[FFFE0D]水剋火[-]、[FFFE0D]火剋金[-]、[FFFE0D]土剋水[-]，門派間相互牽制，若克制對方則傷害增加，且受到的傷害減少。	回去找[FFFE0D]納蘭姑娘[-]	回去找[FFFE0D]納蘭姑娘[-]	[url=npc:testtt,$F,482]	[url=npc:testtt,$F,482]	3063	3065	3064	1101				1					2														
3065	PedagogicalTask1_65	[支]五行相剋	江湖中有五行一說，天下各大門派武功盡皆源於此，五行間存[FFFE0D] 相剋 [-]一說，[FFFE0D] 金剋木[-]、[FFFE0D]木剋土[-]、[FFFE0D]水剋火[-]、[FFFE0D]火剋金[-]、[FFFE0D]土剋水[-]，門派間相互牽制，若克制對方則傷害增加，且受到的傷害減少。	回答關於[FFFE0D]五行[-]的問題	回答關於[FFFE0D]五行[-]的問題	[url=openwnd:test, ActivityQuestion, "Task"]	[url=npc:testtt,$F,482]	3064		3065	1101								Exp|40000	2	1	1	Task_DaTi	[url=openwnd:test, FiveElements]										
3070	PedagogicalTask1_70	[支]五行相剋	江湖中有五行一說，天下各大門派武功盡皆源於此，五行間存[FFFE0D] 相剋 [-]一說，[FFFE0D] 金剋木[-]、[FFFE0D]木剋土[-]、[FFFE0D]水剋火[-]、[FFFE0D]火剋金[-]、[FFFE0D]土剋水[-]，門派間相互牽制，若克制對方則傷害增加，且受到的傷害減少。	找[FFFE0D]納蘭姑娘[-]瞭解五行	找[FFFE0D]納蘭姑娘[-]瞭解五行	[url=npc:testtt,$F,482]	[url=npc:testtt,$F,482]		3071	3070	1101				1					2														
3071	PedagogicalTask1_71	[支]五行相剋	江湖中有五行一說，天下各大門派武功盡皆源於此，五行間存[FFFE0D] 相剋 [-]一說，[FFFE0D] 金剋木[-]、[FFFE0D]木剋土[-]、[FFFE0D]水剋火[-]、[FFFE0D]火剋金[-]、[FFFE0D]土剋水[-]，門派間相互牽制，若克制對方則傷害增加，且受到的傷害減少。	擊敗[FFFE0D]天機制式傀儡·金[-]	擊敗[FFFE0D]天機制式傀儡·金[-]	[url=npcanddosomething:test, 1374, 482, autofight, 1]		3070	3072					1374|3	1	1	1			2				[url=dialog:test, 3071]										
3072	PedagogicalTask1_72	[支]五行相剋	江湖中有五行一說，天下各大門派武功盡皆源於此，五行間存[FFFE0D] 相剋 [-]一說，[FFFE0D] 金剋木[-]、[FFFE0D]木剋土[-]、[FFFE0D]水剋火[-]、[FFFE0D]火剋金[-]、[FFFE0D]土剋水[-]，門派間相互牽制，若克制對方則傷害增加，且受到的傷害減少。	擊敗[FFFE0D]天機制式傀儡·火[-]	擊敗[FFFE0D]天機制式傀儡·火[-]	[url=npcanddosomething:test, 1377, 482, autofight, 1]		3071	3073					1377|3	1	1	1			2				[url=dialog:test, 3072]										
3073	PedagogicalTask1_73	[支]五行相剋	江湖中有五行一說，天下各大門派武功盡皆源於此，五行間存[FFFE0D] 相剋 [-]一說，[FFFE0D] 金剋木[-]、[FFFE0D]木剋土[-]、[FFFE0D]水剋火[-]、[FFFE0D]火剋金[-]、[FFFE0D]土剋水[-]，門派間相互牽制，若克制對方則傷害增加，且受到的傷害減少。	擊敗[FFFE0D]天機制式傀儡·土[-]	擊敗[FFFE0D]天機制式傀儡·土[-]	[url=npcanddosomething:test, 1378, 482, autofight, 1]		3072	3074					1378|3	1	1	1			2				[url=dialog:test, 3073]										
