FaceId	Atlas	Sprite	Desc
209	UI/Atlas/Head/Partner/Partner_Male_02.prefab	Head_npc_113	趙雲
210	UI/Atlas/Head/Partner/Partner_Male_01.prefab	Head_boss011	上官飛龍
211	UI/Atlas/Head/Partner/Partner_Male_03.prefab	Head_boss002	九尾狐
212	UI/Atlas/Head/Partner/Partner_Male_02.prefab	Head_npc_087	納蘭潛凜
213	UI/Atlas/Head/Partner/Partner_Male_03.prefab	Head_npc_007	官員
214	UI/Atlas/Head/Partner/Partner_Male_02.prefab	Head_npc_093	張如夢
215	UI/Atlas/Head/Partner/Partner_Male_01.prefab	Head_boss003	天星道長
216	UI/Atlas/Head/Partner/Partner_Male_02.prefab	Head_pet_003	祝子虛
217	UI/Atlas/Head/Partner/Partner_Male_02.prefab	Head_pet_004	柳瀟庭
218	UI/Atlas/Head/Partner/Partner_Male_02.prefab	Head_npc_094	卓非凡
219	UI/Atlas/Head/Partner/Partner_Male_01.prefab	Head_npc_049	高長恭
220	UI/Atlas/Head/Partner/Partner_Male_01.prefab	Head_boss005	哲別
221	UI/Atlas/Head/Partner/Partner_Male_01.prefab	Head_boss009	袁承志
222	UI/Atlas/Head/Partner/Partner_Male_01.prefab	Head_boss015	鼇拜
223	UI/Atlas/Head/Partner/Partner_Male_01.prefab	Head_boss012	胡神醫
224	UI/Atlas/Head/Partner/Partner_Male_02.prefab	Head_pet_006	封玉書
225	UI/Atlas/Head/Partner/Partner_Male_02.prefab	Head_npc_101	楊影楓
226	UI/Atlas/Head/Partner/Partner_Male_01.prefab	Head_boss006	玄天道人
227	UI/Atlas/Head/Partner/Partner_Male_01.prefab	Head_npc_022	耶律辟離
228	UI/Atlas/Head/Partner/Partner_Male_01.prefab	Head_npc_044	陸文龍
229	UI/Atlas/Head/Partner/Partner_Male_01.prefab	Head_boss004	蕭動塵
230	UI/Atlas/Head/Partner/Partner_Male_03.prefab	MaleHead30	新少林
231	UI/Atlas/Head/Partner/Partner_Male_03.prefab	MaleHead31	新唐門
232	UI/Atlas/Head/Partner/Partner_Male_03.prefab	MaleHead32	新天王
233	UI/Atlas/Head/Partner/Partner_Male_03.prefab	MaleHead33	新武當
234	UI/Atlas/Head/Partner/Partner_Male_03.prefab	MaleHead34	新逍遙
235	UI/Atlas/Head/Partner/Partner_Male_04.prefab	MaleHead35	楊大俠
301	UI/Atlas/NPC/Male_01/Male_01.prefab	MaleBust01	唐影
302	UI/Atlas/NPC/Male_01/Male_01.prefab	MaleBust02	楊鐵心
303	UI/Atlas/NPC/Male_01/Male_01.prefab	MaleBust03	孟知秋
304	UI/Atlas/NPC/Male_01/Male_01.prefab	MaleBust04	少年獨孤劍
305	UI/Atlas/NPC/Male_01/Male_01.prefab	MaleBust05	-
306	UI/Atlas/NPC/Male_01/Male_01.prefab	MaleBust06	商會老闆
307	UI/Atlas/NPC/Male_01/Male_01.prefab	MaleBust07	南宮飛雲
308	UI/Atlas/NPC/Male_01/Male_01.prefab	MaleBust08	劍童
309	UI/Atlas/NPC/Male_02/Male_02.prefab	MaleBust09	趙雲
310	UI/Atlas/NPC/Male_02/Male_02.prefab	MaleBust10	上官飛龍
311	UI/Atlas/NPC/Male_02/Male_02.prefab	MaleBust11	葉無心
312	UI/Atlas/NPC/Male_02/Male_02.prefab	MaleBust12	納蘭潛凜
313	UI/Atlas/NPC/Male_02/Male_02.prefab	MaleBust13	劉雲將軍
314	UI/Atlas/NPC/Male_02/Male_02.prefab	MaleBust14	張如夢
315	UI/Atlas/NPC/Male_02/Male_02.prefab	MaleBust15	天星道長
316	UI/Atlas/NPC/Male_02/Male_02.prefab	MaleBust16	祝子虛
317	UI/Atlas/NPC/Male_02/Male_02.prefab	MaleBust17	柳瀟庭
318	UI/Atlas/NPC/Male_03/Male_03.prefab	MaleBust18	卓非凡
319	UI/Atlas/NPC/Male_03/Male_03.prefab	MaleBust19	高長恭
320	UI/Atlas/NPC/Male_03/Male_03.prefab	MaleBust20	哲別
321	UI/Atlas/NPC/Male_03/Male_03.prefab	MaleBust21	袁承志
322	UI/Atlas/NPC/Male_03/Male_03.prefab	MaleBust22	鼇拜
323	UI/Atlas/NPC/Male_03/Male_03.prefab	MaleBust23	胡神醫
324	UI/Atlas/NPC/Male_03/Male_03.prefab	MaleBust24	封玉書
325	UI/Atlas/NPC/Male_04/Male_04.prefab	MaleBust25	楊影楓
326	UI/Atlas/NPC/Male_04/Male_04.prefab	MaleBust26	玄天道人
327	UI/Atlas/NPC/Male_04/Male_04.prefab	MaleBust27	耶律辟離
328	UI/Atlas/NPC/Male_04/Male_04.prefab	MaleBust28	陸文龍
329	UI/Atlas/NPC/Male_04/Male_04.prefab	MaleBust29	蕭動塵
330	UI/Atlas/NPC/Male_05/Male_05.prefab	MaleBust30	新少林
331	UI/Atlas/NPC/Male_05/Male_05.prefab	MaleBust31	新唐門
332	UI/Atlas/NPC/Male_05/Male_05.prefab	MaleBust32	新天王
333	UI/Atlas/NPC/Male_05/Male_05.prefab	MaleBust33	新武當
334	UI/Atlas/NPC/Male_05/Male_05.prefab	MaleBust34	新逍遙
335	UI/Atlas/NPC/Male_05/Male_05.prefab	MaleBust35	楊大俠
601	UI/Atlas/Head/Partner/Partner_Male_01.prefab	Head_boss003	天星道長
602	UI/Atlas/Head/Partner/Partner_Male_01.prefab	Head_boss004	蕭動塵
603	UI/Atlas/Head/Partner/Partner_Male_01.prefab	Head_boss005	哲別
604	UI/Atlas/Head/Partner/Partner_Male_01.prefab	Head_boss006	玄天道人
605	UI/Atlas/Head/Partner/Partner_Male_01.prefab	Head_boss007	黑面郎君
606	UI/Atlas/Head/Partner/Partner_Male_01.prefab	Head_boss009	袁承志
607	UI/Atlas/Head/Partner/Partner_Male_01.prefab	Head_boss011	上官飛龍
608	UI/Atlas/Head/Partner/Partner_Male_01.prefab	Head_boss012	胡神醫
609	UI/Atlas/Head/Partner/Partner_Male_01.prefab	Head_boss015	鼇拜
610	UI/Atlas/Head/Partner/Partner_Male_01.prefab	Head_boss017	南宮飛雲
611	UI/Atlas/Head/Partner/Partner_Male_01.prefab	Head_npc_019	唐影
612	UI/Atlas/Head/Partner/Partner_Male_01.prefab	Head_npc_022	耶律辟離
613	UI/Atlas/Head/Partner/Partner_Male_01.prefab	Head_npc_025	小殷方
614	UI/Atlas/Head/Partner/Partner_Male_01.prefab	Head_npc_029	南宮滅
615	UI/Atlas/Head/Partner/Partner_Male_01.prefab	Head_npc_030	韓世忠
616	UI/Atlas/Head/Partner/Partner_Male_01.prefab	Head_npc_038	路達
617	UI/Atlas/Head/Partner/Partner_Male_01.prefab	Head_npc_040	??
618	UI/Atlas/Head/Partner/Partner_Male_01.prefab	Head_npc_043	顧武
619	UI/Atlas/Head/Partner/Partner_Male_01.prefab	Head_npc_044	陸文龍
620	UI/Atlas/Head/Partner/Partner_Male_01.prefab	Head_npc_049	高長恭
621	UI/Atlas/Head/Partner/Partner_Male_01.prefab	Head_npc_053	趙節
622	UI/Atlas/Head/Partner/Partner_Male_01.prefab	Head_npc_056	孟知秋
623	UI/Atlas/Head/Partner/Partner_Male_01.prefab	Head_npc_059	李三
624	UI/Atlas/Head/Partner/Partner_Male_01.prefab	Head_npc_060	張仲天
625	UI/Atlas/Head/Partner/Partner_Male_01.prefab	Head_npc_086	岳飛（舊）
626	UI/Atlas/Head/Partner/Partner_Male_02.prefab	Head_npc_087	納蘭潛凜
627	UI/Atlas/Head/Partner/Partner_Male_02.prefab	Head_npc_093	張如夢
628	UI/Atlas/Head/Partner/Partner_Male_02.prefab	Head_npc_094	卓非凡
629	UI/Atlas/Head/Partner/Partner_Male_02.prefab	Head_npc_098	少年楊影楓
630	UI/Atlas/Head/Partner/Partner_Male_02.prefab	Head_npc_101	楊影楓
631	UI/Atlas/Head/Partner/Partner_Male_02.prefab	Head_npc_107	李元霸
632	UI/Atlas/Head/Partner/Partner_Male_02.prefab	Head_npc_109	趙升權
633	UI/Atlas/Head/Partner/Partner_Male_02.prefab	Head_npc_110	楊熙烈
634	UI/Atlas/Head/Partner/Partner_Male_02.prefab	Head_npc_111	李天目
635	UI/Atlas/Head/Partner/Partner_Male_02.prefab	Head_npc_113	趙雲
636	UI/Atlas/Head/Partner/Partner_Male_02.prefab	Head_npc_116	道一真人
637	UI/Atlas/Head/Partner/Partner_Male_02.prefab	Head_npc_117	方勉
638	UI/Atlas/Head/Partner/Partner_Male_02.prefab	Head_npc_118	無相
639	UI/Atlas/Head/Partner/Partner_Male_02.prefab	Head_npc_119	張風
640	UI/Atlas/Head/Partner/Partner_Male_02.prefab	Head_npc_120	林海
641	UI/Atlas/Head/Partner/Partner_Male_02.prefab	Head_npc_121	盧青
642	UI/Atlas/Head/Partner/Partner_Male_02.prefab	Head_pet_003	祝子虛
643	UI/Atlas/Head/Partner/Partner_Male_02.prefab	Head_pet_004	柳瀟庭
644	UI/Atlas/Head/Partner/Partner_Male_02.prefab	Head_pet_005	楊鐵心
645	UI/Atlas/Head/Partner/Partner_Male_02.prefab	Head_pet_006	封玉書
646	UI/Atlas/Head/Partner/Partner_Male_03.prefab	Head_boss001	心魔
647	UI/Atlas/Head/Partner/Partner_Male_03.prefab	Head_boss002	九尾狐
648	UI/Atlas/Head/Partner/Partner_Male_03.prefab	Head_npc_007	官員
649	UI/Atlas/Head/Partner/Partner_Male_03.prefab	Head_npc_046	商會老闆
650	UI/Atlas/Head/Partner/Partner_Male_02.prefab	Head_boss013	唐瀟
651	UI/Atlas/Head/Partner/Partner_Male_02.prefab	Head_npc_032	柴嵩
652	UI/Atlas/Head/Partner/Partner_Male_02.prefab	Head_npc_099	邵騎風
653	UI/Atlas/Head/Partner/Partner_Male_03.prefab	Head_boss021	完顏宏烈
654	UI/Atlas/Head/Partner/Partner_Male_03.prefab	Head_boss022	獨孤劍
655	UI/Atlas/Head/Partner/Partner_Male_03.prefab	Head_npc_108	荊軻
656	UI/Atlas/Head/Partner/Partner_Male_02.prefab	Head_npc_122	端木睿
657	UI/Atlas/Head/Partner/Partner_Male_02.prefab	Head_npc_130	岳飛
658	UI/Atlas/Head/Partner/Partner_Male_03.prefab	Head_npc_131	完顏襄
659	UI/Atlas/Head/Partner/Partner_Male_03.prefab	Head_npc_135	李廣
660	UI/Atlas/Head/Partner/Partner_Male_03.prefab	Head_npc_136	秦始皇
661	UI/Atlas/Head/Partner/Partner_Male_03.prefab	Head_npc_190	唐簡
662	UI/Atlas/Head/Partner/Partner_Male_03.prefab	Head_npc_167	黑面郎君
663	UI/Atlas/Head/Partner/Partner_Male_03.prefab	Head_npc_170	何人我
664	UI/Atlas/Head/Partner/Partner_Male_03.prefab	Head_npc_175	唐仇
665	UI/Atlas/Head/Partner/Partner_Male_04.prefab	Head_npc_173	項羽
701	UI/Atlas/Head/Partner/Partner_Male_03.prefab	Head_npc_135	占位
702	UI/Atlas/Head/Partner/Partner_Female_01.prefab	Head_boss111	秦沐白
703	UI/Atlas/Head/Partner/Partner_Female_01.prefab	Head_npc_003	薔薇
704	UI/Atlas/Head/Partner/Partner_Female_01.prefab	Head_npc_005	？？
705	UI/Atlas/Head/Partner/Partner_Female_01.prefab	Head_npc_018	月明瑤
706	UI/Atlas/Head/Partner/Partner_Female_01.prefab	Head_npc_026	南宮彩虹
707	UI/Atlas/Head/Partner/Partner_Female_01.prefab	Head_npc_027	趙無雙
708	UI/Atlas/Head/Partner/Partner_Female_01.prefab	Head_npc_031	紫軒
709	UI/Atlas/Head/Partner/Partner_Female_01.prefab	Head_npc_033	蘇墨芸
710	UI/Atlas/Head/Partner/Partner_Female_01.prefab	Head_npc_041	楊瑛
711	UI/Atlas/Head/Partner/Partner_Female_01.prefab	Head_npc_058	秋依水
712	UI/Atlas/Head/Partner/Partner_Female_01.prefab	Head_npc_077	納蘭真
713	UI/Atlas/Head/Partner/Partner_Female_01.prefab	Head_npc_085	清曉師太
714	UI/Atlas/Head/Partner/Partner_Female_01.prefab	Head_npc_096	鶯兒
715	UI/Atlas/Head/Partner/Partner_Female_01.prefab	Head_npc_100	張琳心
716	UI/Atlas/Head/Partner/Partner_Female_01.prefab	Head_npc_102	月眉兒
717	UI/Atlas/Head/Partner/Partner_Female_01.prefab	Head_npc_112	虞姬
718	UI/Atlas/Head/Partner/Partner_Female_01.prefab	Head_pet_001	黃暮雲
719	UI/Atlas/Head/Partner/Partner_Female_01.prefab	Head_pet_002	李恬兒
720	UI/Atlas/Head/Partner/Partner_Female_01.prefab	Head_pet_007	無想
721	UI/Atlas/Head/Partner/Partner_Female_02.prefab	Head_npc_214	黃真伊
722	UI/Atlas/Head/Partner/Partner_Female_02.prefab	Head_npc_205	武則天
723	UI/Atlas/Head/Partner/Partner_Female_01.prefab	Head_pet_007	占位
724	UI/Atlas/Head/Partner/Partner_Female_01.prefab	Head_pet_007	占位
725	UI/Atlas/Head/Partner/Partner_Female_01.prefab	Head_pet_007	占位
726	UI/Atlas/Head/Partner/Partner_Female_01.prefab	Head_npc_125	秦良玉
727	UI/Atlas/Head/Partner/Partner_Female_01.prefab	Head_npc_129	燕若雪
728	UI/Atlas/Head/Partner/Partner_Female_01.prefab	Head_npc_106	-
801	UI/Atlas/Head/Partner/Partner_Others.prefab	Head_normal_001	通用-男
802	UI/Atlas/Head/Partner/Partner_Others.prefab	Head_normal_002	通用-女
803	UI/Atlas/Head/Partner/Partner_Others.prefab	Head_normal_003	通用-獸
804	UI/Atlas/Head/Partner/Partner_Others.prefab	Head_boss016	狐王
805	UI/Atlas/Head/Partner/Partner_Others.prefab	Head_boss018	鹿王
806	UI/Atlas/Head/Partner/Partner_Others.prefab	Head_boss019	狼王
807	UI/Atlas/Head/Partner/Partner_Others.prefab	Head_boss020	豹王
808	UI/Atlas/Head/Partner/Partner_Others.prefab	Head_boss025	白眉猴王
809	UI/Atlas/Head/Partner/Partner_Others.prefab	Head_boss024	雙首異獸
810	UI/Atlas/Head/Partner/Partner_Others.prefab	Head_boss030	定海金剛
811	UI/Atlas/Head/Partner/Partner_Others.prefab	Head_boss026	金翅鵬皇
812	UI/Atlas/Head/Partner/Partner_Others.prefab	Head_boss028	銀角犀皇
813	UI/Atlas/Head/Partner/Partner_Others.prefab	Head_npc_064	絲巾妹子
814	UI/Atlas/Head/Partner/Partner_Others.prefab	Head_npc_076	紫衣妹子
815	UI/Atlas/Head/Partner/Partner_Others.prefab	Head_npc_092	藍色桃花
816	UI/Atlas/Head/Partner/Partner_Others.prefab	Head_pet_008	峨嵋大師姐
817	UI/Atlas/Head/Partner/Partner_Others.prefab	Head_npc_002	曲霞
818	UI/Atlas/Head/Partner/Partner_Others.prefab	Head_nil_001	舊楊影楓
819	UI/Atlas/Head/Partner/Partner_Others.prefab	Head_nil_002	白髮楊瑛
820	UI/Atlas/Head/Partner/Partner_Others.prefab	Head_nil_003	幫派管理員
821	UI/Atlas/Head/Partner/Partner_Others.prefab	Head_npc_005b	白衣女子
822	UI/Atlas/Head/Partner/Partner_Others_02.prefab	Head_boss027	熊王
823	UI/Atlas/Head/Partner/Partner_Others.prefab	Head_boss029	虎皇
824	UI/Atlas/Head/Partner/Partner_Others.prefab	Head_boss031	鱷皇
825	UI/Atlas/Head/Partner/Partner_Others_02.prefab	Head_boss032	蜥王
826	UI/Atlas/Head/Partner/Partner_Others_02.prefab	Head_boss033	蠍王
827	UI/Atlas/Head/Partner/Partner_Others_02.prefab	Head_boss034	獒王
851	UI/Atlas/Head/Partner/Partner_Female_01.prefab	Head_npc_005a	何暮雪
992	UI/Atlas/Home/HomeScreenAtlas.prefab 	Collection	採集頭像
993	UI/Atlas/NPC/Female_01/Female_01.prefab	TransparentRole	旁白專用
994	UI/Atlas/NPC/Male_04/Male_04.prefab	MaleBust99	神秘人
995	UI/Atlas/Home/HomeScreenAtlas.prefab	OpenIcon	機關開啟
996	UI/Atlas/Head/HeadAtlas.prefab	FemaleHead	女剪影頭像
997	UI/Atlas/NPC/Female_01/Female_01.prefab	Female	女性角色剪影
998	UI/Atlas/Head/HeadAtlas_02.prefab	MaleHead	男剪影頭像
999	UI/Atlas/NPC/Male_01/Male_01.prefab	Male	男剪影
1000	UI/Atlas/Head/HeadAtlas_03.prefab	CompanionHead	小獸頭像
1001	UI/Atlas/Head/Partner/Partner_Male_03.prefab	TianWangHead	天王頭像
1002	UI/Atlas/Head/Partner/Partner_Female_01.prefab	EmeiHead	峨嵋頭像
1003	UI/Atlas/Head/Partner/Partner_Female_01.prefab	TaoHuaHead	桃花頭像
1004	UI/Atlas/Head/Partner/Partner_Male_03.prefab	XiaoYaoHead	逍遙頭像
1005	UI/Atlas/Head/Partner/Partner_Male_03.prefab	WuDangHead	武當頭像
1006	UI/Atlas/Head/Partner/Partner_Female_01.prefab	TianRenHead	天忍頭像
1007	UI/Atlas/Head/Partner/Partner_Male_03.prefab	ShaoLinHead	少林頭像
1008	UI/Atlas/Head/Partner/Partner_Female_02.prefab	CuiYanHead	翠煙頭像
1009	UI/Atlas/Head/Partner/Partner_Male_03.prefab	TangMenHead	唐門頭像
1010	UI/Atlas/Head/Partner/Partner_Female_02.prefab	KunLunHead	崑崙頭像
1011	UI/Atlas/Head/Partner/Partner_Male_03.prefab	GaiBangHead	丐幫頭像
1012	UI/Atlas/Head/Partner/Partner_Female_02.prefab	WuDuHead	五毒頭像
1013	UI/Atlas/Head/Partner/Partner_Male_04.prefab	CangJianHead	藏劍頭像
1014	UI/Atlas/Head/Partner/Partner_Female_02.prefab	ChangGeHead	長歌頭像
1121	UI/Atlas/NPC/Male_03/Male_03.prefab	TianWangBust	天王半身像
1122	UI/Atlas/NPC/Female_01/Female_01.prefab	EmeiBust	峨嵋半身像
1123	UI/Atlas/NPC/Female_02/Female_02.prefab	TaoHuaBust	桃花半身像
1124	UI/Atlas/NPC/Male_03/Male_03.prefab	XiaoYaoBust	逍遙半身像
1125	UI/Atlas/NPC/Male_04/Male_04.prefab	WuDangBust	武當半身像
1126	UI/Atlas/NPC/Female_03/Female_03.prefab	TianRenBust	天忍半身像
1127	UI/Atlas/NPC/Male_04/Male_04.prefab	ShaoLinBust	少林半身像
1128	UI/Atlas/NPC/Female_03/Female_03.prefab	CuiYanBust	翠煙半身像
1129	UI/Atlas/NPC/Male_04/Male_04.prefab	TangMenBust	唐門半身像
1130	UI/Atlas/NPC/Female_04/Female_04.prefab	KunLunBust	崑崙半身像
1131	UI/Atlas/NPC/Male_05/Male_05.prefab	GaiBangBust	丐幫半身像
1132	UI/Atlas/NPC/Female_04/Female_04.prefab	WuDuBust	五毒半身像
1133	UI/Atlas/NPC/Male_05/Male_05.prefab	CangJianBust	藏劍半身像
1134	UI/Atlas/NPC/Female_04/Female_04.prefab	ChangGeBust	長歌半身像
8000	UI/Atlas/Head/HomeScreenHeadAtlas.prefab	MaleHead37	秦始皇
8001	UI/Atlas/Head/HomeScreenHeadAtlas.prefab	MaleHead38	玄天武機
8002	UI/Atlas/Head/HomeScreenHeadAtlas.prefab	MaleHead36	白起
8003	UI/Atlas/Head/HomeScreenHeadAtlas.prefab	MaleHead39	李斯
9001	UI/Atlas/Head/HomeScreenHeadAtlas.prefab	MaleHead19	（朝右）高長恭
9002	UI/Atlas/Head/HomeScreenHeadAtlas.prefab	MaleHead20	（朝右）哲別
9003	UI/Atlas/Head/HomeScreenHeadAtlas.prefab	MaleHead21	（朝右）袁承志
9004	UI/Atlas/Head/HomeScreenHeadAtlas.prefab	MaleHead22	（朝右）鰲拜
9005	UI/Atlas/Head/HomeScreenHeadAtlas.prefab	CompanionHead	（朝右）首領
9006	UI/Atlas/Head/HomeScreenHeadAtlas.prefab	MaleHead30	（朝右）韓世忠
9007	UI/Atlas/Head/HomeScreenHeadAtlas.prefab	FemaleHead14	（朝右）秦良玉
9008	UI/Atlas/Head/HomeScreenHeadAtlas.prefab	Animal01	（朝右）狐王
9009	UI/Atlas/Head/HomeScreenHeadAtlas.prefab	Animal02	（朝右）鹿王
9010	UI/Atlas/Head/HomeScreenHeadAtlas.prefab	Animal03	（朝右）狼王
9011	UI/Atlas/Head/HomeScreenHeadAtlas.prefab	Animal04	（朝右）豹王
9012	UI/Atlas/Head/HomeScreenHeadAtlas.prefab	Animal08	（朝右）猴王
9013	UI/Atlas/Head/HomeScreenHeadAtlas.prefab	Animal07	（朝右）雙首異獸
9014	UI/Atlas/Head/HomeScreenHeadAtlas.prefab	MaleHead31	荊軻
9015	UI/Atlas/Head/HomeScreenHeadAtlas.prefab	FemaleHead24	虞姬
9016	UI/Atlas/Head/HomeScreenHeadAtlas.prefab	MaleHead33	岳飛
9017	UI/Atlas/Head/HomeScreenHeadAtlas.prefab	MaleHead35	李廣
9018	UI/Atlas/Head/HomeScreenHeadAtlas.prefab	MaleHead34	趙雲
9019	UI/Atlas/Head/HomeScreenHeadAtlas.prefab	MaleHead32	李元霸
9020	UI/Atlas/Head/HomeScreenHeadAtlas.prefab	Animal11	定海金剛
9021	UI/Atlas/Head/HomeScreenHeadAtlas.prefab	Animal09	金翅鵬皇
9022	UI/Atlas/Head/HomeScreenHeadAtlas.prefab	Animal10	銀角犀皇
9023	UI/Atlas/Head/HomeScreenHeadAtlas.prefab	Animal12	（朝右）熊王
9024	UI/Atlas/Head/HomeScreenHeadAtlas.prefab	Animal13	（朝右）虎皇
9025	UI/Atlas/Head/HomeScreenHeadAtlas.prefab	Animal14	（朝右）鱷皇
9026	UI/Atlas/Head/HomeScreenHeadAtlas02.prefab	Animals15	（朝右）蜥王
9027	UI/Atlas/Head/HomeScreenHeadAtlas02.prefab	Animals16	（朝右）蠍王
9028	UI/Atlas/Head/HomeScreenHeadAtlas02.prefab	Animals17	（朝右）獒王
9029	UI/Atlas/Head/HomeScreenHeadAtlas02.prefab	MaleHead45	項羽
9030	UI/Atlas/Head/HomeScreenHeadAtlas02.prefab	MaleHead47	無字碑
9031	UI/Atlas/Head/HomeScreenHeadAtlas02.prefab	MaleHead48	狄仁傑
9032	UI/Atlas/Head/HomeScreenHeadAtlas02.prefab	MaleHead49	李元芳
9033	UI/Atlas/Head/HomeScreenHeadAtlas02.prefab	FemaleHead31	武則天
9034	UI/Atlas/Home/HomeScreenAtlas2.prefab	Head_jh_zhuozi01	結婚1-滿桌
