Index	TemplateID	Name	Kind	Camp	ClassName	ScriptParam	NpcResID	FaceID	BigFaceID	ReviveFrame	NpcAttribID	NormalSkill1	NormalSkillLevel1	NormalSkill2	NormalSkillLevel2	NormalSkill3	NormalSkillLevel3	VisionRadius	ActiveRadius	AiFile	Treasure	DropFile	FightMode	RunSpeed	BloodStyle	ForbitMove	AuraSkillId	AuraSkillLevel	StartActEvent	TitleID	BigFaceID	Tag	DropType	DefaultDialog	WalkSpeed	NameColor	Experience	GouHuoRate	TransBossNpcTID	TransBossRate	IsNotShowShadow	FixExperience																																																																																								SyncFirst	IsNotBYStealLife
RandomFuben_xueyinyao	445	薛銀藥	0	0	FubenDeath		158	200	300		323	1615	1	91	1			560	980				1	20	2																																																																																																										
RandomFuben_xueyinyao_1	702	薛銀藥	0	1	FubenDeath		158	200	300		323	1615	1	91	1			560	980				1	20	2																																																																																																										
RandomFuben_gongshuling	446	公輸鈴	0	1	FubenDeath		318	200	300		323	1317	1	91	1			1500	1500	Setting/Npc/Ai/fuben/Boss3.ini			1	25	2																																																																																																										
RandomFuben_pilihuo	447	霹靂火	0	1	FubenDeath		122	200	300		323	1632	1	91	1			1500	1500	Setting/Npc/Ai/random/pilihuo.ini			1	20	2																																																																																																										
RandomFuben_pilihuo1	649	霹靂火	0	0	FubenDeath		122	200	300		323									Setting/Npc/Ai/Stay.ini			1	25	2																																																																																																										
RandomFuben_aili	448	艾黎	0	1	FubenDeath		23	200	300		323	21	1	46	1			1500	1500	Setting/Npc/Ai/CommonSkill.ini			1	18	2																																																																																																										
RandomFuben_qiangwei	449	薔薇	0	1	FubenDeath		103	200	300		323	1570	1	91	1			3000	3000	Setting/Npc/Ai/random/qiangwei.ini			1	20	2																																																																																																										
RandomFuben_qiangwei1	660	薔薇	0	0	FubenDeath		103	200	300		323									Setting/Npc/Ai/Stay.ini			1	20	2																																																																																																										
RandomFuben_shangguanfeilong	450	上官飛龍	0	1	FubenDeath		21	200	300		343	23	1	91	1			1500	1500	Setting/Npc/Ai/CommonActive.ini			1	18	2																																																																																																										
RandomFuben_xiaodongchen	566	蕭動塵	0	1	FubenDeath		14	200	300		331	1335	1					1500	1500	Setting/Npc/Ai/fuben/Boss6.ini			1	20	2																																																																																																										
RandomFuben_jiantong	567	小殷方	0	1	FubenDeath		116	200	300		322	166	1	50	1			1500	1500	Setting/Npc/Ai/CommonSkill.ini			1	18	2																																																																																																										
RandomFuben_shanjingjing	568	單晶晶	0	1	FubenDeath		116	200	300		323	37	1	2367	1			1500	1500	Setting/Npc/Ai/CommonSkill.ini			1	18	2																																																																																																										
RandomFuben_zhuofeifan	569	卓非凡	0	0	FubenDeath		194	200	300		323	37	1	2363	1			1500	1500	Setting/Npc/Ai/CommonSkill.ini			1	18	2											5																																																																																															
RandomFuben_zhuofeifan1	647	卓非凡	0	0	FubenDeath		425	200	300		323									Setting/Npc/Ai/Stay.ini			1	25	2																																																																																																										
RandomFuben_yewuxin	570	葉無心	0	1	FubenDeath		119	200	300		343	1629	1	91	1			1500	1500				1	18	2																																																																																																										
RandomFuben_yangxilie	571	楊熙烈	0	1	FubenDeath		463	200	300		343	1386	1	91	1			1500	1500	Setting/Npc/Ai/random/yangxilie.ini			1	18	2																																																																																																										
RandomFuben_yangying	572	楊瑛	0	1	FubenDeath		629	200	300		343	1655	1	91	1			1500	1500	Setting/Npc/Ai/random/yangying.ini			1	18	2																																																																																																										
RandomFuben_yuemeier	573	月眉兒	0	1	FubenDeath		430	200	300		343	1643	1	91	1			1500	1500	Setting/Npc/Ai/random/yuemeier.ini			1	18	2																																																																																																										
RandomFuben_nalanzhen	574	納蘭真	0	1	FubenDeath		616	200	300		343	39	1	91	1			1500	1500	Setting/Npc/Ai/CommonActive.ini			1	18	2																																																																																																										
RandomFuben_yangyingfeng	653	楊影楓	2	0	FubenDeath		175	200	300		343	170	1							Setting/Npc/Ai/CommonActive.ini			1	18	2																																																																																																										
A_3_enemy_1	1539	機關人	0	1	FubenDeath		157	200	300		314	21	1	91	1			1500	1500	Setting/Npc/Ai/CommonActive.ini			1	18	1											1																																																																																															
A_3_Elite_1	1540	強力機關人	0	1	FubenDeath		465	200	300		322	21	1	2380	1	91	1	1500	1500	Setting/Npc/Ai/CommonSkill.ini			1	18	2											3																																																																																															
A_3_Leader_1	1541	鶯兒	0	0	FubenDeath		196	200	300		322	38	1	2486	1			1500	1500	Setting/Npc/Ai/CommonSkill.ini			1	30	1											2																																																																																															
A_5_enemy_1	1542	灰狼	0	1	FubenDeath		115	200	300		314	22	1	91	1			1500	1500	Setting/Npc/Ai/CommonActive.ini			1	18	1											1																																																																																															
A_5_Elite_1	1543	狼王	0	1	FubenDeath		357	200	300		322	1362	1	91	1			1500	1500	Setting/Npc/Ai/fuben/Boss9.ini			1	20	2											3																																																																																															
A_5_Leader_1	1544	盧青	0	0	FubenDeath		1121	200	300		322	167	1	2393	1			1500	1500	Setting/Npc/Ai/CommonSkill.ini			1	30	1											2																																																																																															
A_6_enemy_1	1315	猛虎	0	1	FubenDeath		114	200	300		314	22	1	91	1			1500	1500	Setting/Npc/Ai/CommonActive.ini			1	18	1											1																																																																																															
A_6_enemy_2	1316	虎王	0	1	FubenDeath		114	200	300		322	22	1	25	1	91	1	1500	1500	Setting/Npc/Ai/CommonSkill.ini			1	18	2											3																																																																																															
A_8_enemy_1	1313	攔路響馬	0	1	FubenDeath		143	200	300		314	21	1	91	1			1500	1500	Setting/Npc/Ai/CommonActive.ini			1	18	1											1																																																																																															
A_8_enemy_2	1314	顧武	0	1	FubenDeath		400	200	300		322	21	1	29	1	91	1	1500	1500	Setting/Npc/Ai/CommonSkill.ini	2	Setting/Npc/DropFile/RandomFuben/House_A/guwu.tab	1	18	2								1			3																																																																																															
A_9_enemy_1	1545	山賊	0	1	FubenDeath		136	200	300		314	21	1	91	1			1500	1500	Setting/Npc/Ai/CommonActive.ini			1	18	1											1																																																																																															
A_9_enemy_2	1546	山賊頭目	0	1	FubenDeath		369	200	300		322	21	1	43	1	91	1	1500	1500	Setting/Npc/Ai/CommonSkill.ini			1	18	2											3																																																																																															
A_10_Leader_1	1547	李三	0	0	FubenDeath		159	200	300		322	182	1	47	1			1500	1500	Setting/Npc/Ai/CommonSkill.ini			1	30	1											2																																																																																															
B_1_enemy_1	1548	武林惡徒	0	1	FubenDeath		123	200	300		314	21	1	91	1			1500	1500	Setting/Npc/Ai/CommonActive.ini			1	18	1											1																																																																																															
B_1_enemy_2	1549	刺客	0	1	FubenDeath		124	200	300		314	40	1	91	1			1500	1500	Setting/Npc/Ai/RangeActive.ini			1	18	1											1																																																																																															
B_1_Elite_1	1550	刺客頭目	0	1	FubenDeath		365	200	300		323	1811	1	91	1			1500	1500	Setting/Npc/Ai/fuben/Boss18.ini			1	18	2											3																																																																																															
B_1_Leader_1	1551	張仲天	0	0	FubenDeath		160	200	300		323	106	1	51	1			1500	1500	Setting/Npc/Ai/CommonSkill.ini			1	30	2											2																																																																																															
B_2_Leader_1	1552	蘇墨芸	0	1	FubenDeath		615	200	300		331	1597	1	91	1			1500	1500	Setting/Npc/Ai/random/sumoyun.ini	2	Setting/Npc/DropFile/RandomFuben/House_B/sumoyun.tab	1	18	2								1			4																																																																																															
B_3_xiaodongc_sl	734	蕭動塵	0	1	FubenDeath		14	229	329		331	1335	1	91	1			1500	1500	Setting/Npc/Ai/fuben/Boss6.ini	2	Setting/Npc/DropFile/RandomFuben/House_B/xiaodongchen.tab	1	20	2								1			4																																																																																															
B_3_wyjdz_gw	735	無憂教弟子	0	1	FubenDeath		134	200	300		314	21	1	91	1			1500	1500	Setting/Npc/Ai/CommonActive.ini			1	18	1											1																																																																																															
B_3_wyjdz_jy	736	無憂高手	0	1	FubenDeath		134	200	300		313	21	1	91	1			1500	1500	Setting/Npc/Ai/CommonActive.ini			1	18	2		1503	1								3																																																																																															
B_3_wyjgs_jy	737	無憂高手	0	1	FubenDeath		134	200	300		313	37	1	91	1			1500	1500	Setting/Npc/Ai/CommonActive.ini			1	18	2		1535	1								3																																																																																															
B_4_enemy_1	1614	猛虎	0	1	FubenDeath		114	200	300		314	22	1	91	1			1500	1500	Setting/Npc/Ai/CommonActive.ini			1	18	1											1																																																																																															
B_4_Elite_1	1615	虎王	0	1	FubenDeath		114	200	300		323	22	1	2439	1	91	1	1500	1500	Setting/Npc/Ai/CommonSkill.ini			1	18	2											3																																																																																															
B_4_Xiyou_1	1553	小殷方	0	0	FubenDeath		125	200	300		323	168	1	2441	1			1500	1500	Setting/Npc/Ai/CommonSkill.ini			1	30	1											2																																																																																															
B_5_enemy_1	1554	機關人	0	1	FubenDeath		157	200	300		314	21	1	91	1			1500	1500	Setting/Npc/Ai/CommonActive.ini			1	18	1											1																																																																																															
B_5_enemy_2	1555	機關戰車	0	1	FubenDeath		154	200	300		314	1874	1	91	1			1500	1500	Setting/Npc/Ai/CommonActive.ini			1	18	1											1																																																																																															
B_5_Leader_1	1556	秦沐白	0	1	FubenDeath		318	200	300		331	1317	1	91	1			1500	1500	Setting/Npc/Ai/fuben/Boss3.ini	2	Setting/Npc/DropFile/RandomFuben/House_B/qinmubai.tab	1	18	2								1			4																																																																																															
B_6_enemy_1	1557	蒼鷹	0	1	FubenDeath		147	200	300		314	22	1	91	1			1500	1500	Setting/Npc/Ai/CommonActive.ini			1	18	1											1																																																																																															
B_6_Elite_1	1558	大型蒼鷹	0	1	FubenDeath		147	200	300		322	22	1	2472	1	91	1	1500	1500	Setting/Npc/Ai/CommonSkill.ini			1	18	2											3																																																																																															
B_6_Leader_1	1559	胡神醫	0	0	FubenDeath		5022	200	300		322	21	1	2364	1			1500	1500	Setting/Npc/Ai/CommonSkill.ini			1	30	1											2																																																																																															
B_7_enemy_1	1560	武林惡徒	0	1	FubenDeath		123	200	300		314	21	1	91	1			1500	1500	Setting/Npc/Ai/CommonActive.ini			1	18	1											1																																																																																															
B_7_Elite_1	1561	惡徒頭目	0	1	FubenDeath		364	200	300		322	21	1	2380	1	91	1	1500	1500	Setting/Npc/Ai/CommonSkill.ini			1	18	2											3																																																																																															
B_7_Xiyou_1	1562	小殷方	0	0	FubenDeath		125	200	300		323	168	1	2441	1			1500	1500	Setting/Npc/Ai/CommonSkill.ini			1	30	1											2																																																																																															
B_8_yangyingf_hs	774	楊影楓	0	0	FubenDeath		1101	225	325		341	170	1	91	1			1500	1500	Setting/Npc/Ai/KeepRunning.ini			1	30	1											2																																																																																															
B_8_yangyingf_dh	810	楊影楓	2	0	FubenDeath		1101	225	325		341	170	1	91	1			1500	1500	Setting/Npc/Ai/CommonActive.ini			1	30	1									對付心魔要專心，否則會墜入萬劫不復的深淵！		2																																																																																															
B_8_xinmo_sl	811	心魔	0	1	FubenDeath		11	200	300		342	22	1	91	1			1500	1500	Setting/Npc/Ai/random/murongyue.ini			1	20	2										20	7																																																																																															
B_8_kongjutt_zh	812	恐懼圖騰	2	0	FubenDeath		378	200	300		314	40	1	91	1			1500	1500	Setting/Npc/Ai/CommonActive.ini			1	20	1									（心魔召喚的圖騰，散發出神秘的力量，讓人不由的無法轉移視線）	20	2																																																																																															
B_8_kongjuhx_zh	813	恐懼幻象	0	1	FubenDeath		154	200	300		314	40	1	91	1			1500	1500	Setting/Npc/Ai/CommonActive.ini			1	5	1										4	1																																																																																															
B_8_kongjust_zhjy	814	恐懼實體	0	1	FubenDeath		317	200	300		331	90	1	91	1			1500	1500	Setting/Npc/Ai/fuben/Boss1.ini			1	15	2											3																																																																																															
B_9_enemy_1	1563	潑皮	0	1	FubenDeath		170	200	300		314	21	1	91	1			1500	1500	Setting/Npc/Ai/CommonActive.ini			1	18	1											1																																																																																															
B_9_enemy_2	1564	兇惡打手	0	1	FubenDeath		171	200	300		314	21	1	91	1			1500	1500	Setting/Npc/Ai/CommonActive.ini			1	18	1											1																																																																																															
B_9_Leader_1	1565	路達	0	1	FubenDeath		371	200	300		323	21	1	91	1			1500	1500	Setting/Npc/Ai/fuben/Boss3.ini	2	Setting/Npc/DropFile/RandomFuben/House_B/luda.tab	1	18	2								1			4																																																																																															
B_10_jiantong_hs	818	小殷方	0	0	FubenDeath		125	200	300		323	169	1	61	1	2470	1	1500	1500	Setting/Npc/Ai/CommonSkill.ini			1	30	1										20	2																																																																																															
B_10_jiantong_sl	819	小殷方	0	1	FubenDeath		125	200	300		323	169	1	91	1			1500	1500	Setting/Npc/Ai/random/murongyue.ini			1	20	2										20	4																																																																																															
B_10_cangjiandz_gw	820	藏劍弟子	0	1	FubenDeath		135	200	300		314	166	1	91	1			1500	1500	Setting/Npc/Ai/CommonActive.ini			1	20	1										20	1																																																																																															
B_10_cangjiangs_jy	821	藏劍高手	0	1	FubenDeath		135	200	300		322	32	1	91	1			1500	1500	Setting/Npc/Ai/CommonActive.ini			1	20	2										20	3																																																																																															
B_10_cangjiangs1_jy	822	藏劍高手	0	1	FubenDeath		135	200	300		322	33	1	91	1			1500	1500	Setting/Npc/Ai/CommonActive.ini			1	20	2										20	3																																																																																															
C_1_sumoyun_sl	1136	蘇墨芸-廢棄	0	1	FubenDeath																																																																																																																														
C_1_enemy_1	1566	五色教弟子	0	1	FubenDeath		174	200	300		314	21	1	91	1			1500	1500	Setting/Npc/Ai/CommonActive.ini			1	18	1											1																																																																																															
C_1_enemy_2	1567	刺客	0	1	FubenDeath		124	200	300		314	40	1	91	1			1500	1500	Setting/Npc/Ai/CommonActive.ini			1	18	1											1																																																																																															
C_1_enemy_3	1665	滾石控制者	0	1	FubenDeath		106	200	300		321	1843	1	91	1	1058	1	1500	1500	Setting/Npc/Ai/CommonActive.ini			1	18	1											3																																																																																															
C_1_Leader_1	1568	南宮彩虹	0	1	FubenDeath		455	200	300		331	2920	1	91	1			1500	1500	Setting/Npc/Ai/random/nangongcaihong.ini	3	Setting/Npc/DropFile/RandomFuben/House_C/nangongcaihong.tab	1	20	2								1			5																																																																																															
C_1_Gunshi	1664	滾石烈焰	6	1	FubenDeath		375	200	300		343							1500	1500	Setting/Npc/Ai/AlwaysRunning.ini			1	20	1		2700	3								1																																																																																															
C_2_jiguan_1	1321	秒殺陷阱	6	1	FubenDeath		456	200	300		323	2468	30										1																																																																																																												
C_2_jiguan_2	1322	毒水機關	0	1	FubenDeath		416	200	300		314			91	1								1	18	1	1						NoTurn				3																																																																																															
C_2_enemy_1	1323	機關守衛	0	1	FubenDeath		173	200	300		314	166	1	91	1			1500	1500	Setting/Npc/Ai/CommonActive.ini			1	20	1											1																																																																																															
C_2_enemy_2	1324	機關守衛	0	1	FubenDeath		151	200	300		314	166	1	91	1			1500	1500	Setting/Npc/Ai/CommonActive.ini			1	20	1											1																																																																																															
C_2_Leader_1	1325	林海	0	1	FubenDeath		453	200	300		332	2926	1	91	1			1500	1500	Setting/Npc/Ai/random/linhai.ini	3	Setting/Npc/DropFile/RandomFuben/House_C/linhai.tab	1	18	2								1			5																																																																																															
C_3_zhuofeifan_sl	1137	卓非凡-廢棄	0	1	FubenDeath		425	200	300		341	22	1	91	1			1500	1500	Setting/Npc/Ai/teamfb/zhuofeifan.ini			1	18	2																																																																																																										
C_3_enemy_1	1624	江湖流寇	0	1	FubenDeath		134	200	300		314	21	1	91	1			1500	1500	Setting/Npc/Ai/CommonActive.ini			1	18	1											1																																																																																															
C_3_enemy_2	1625	勁弩手	0	1	FubenDeath		165	200	300		314	182	1	91	1			1500	1500	Setting/Npc/Ai/CommonActive.ini			1	18	1											1																																																																																															
C_3_Elite_1	1569	無名壯漢	0	1	FubenDeath		368	200	300		323	1807	1	91	1			1500	1500	Setting/Npc/Ai/fuben/Boss17.ini			1	20	2											4																																																																																															
C_3_Xiyou_1	1570	唐瀟	0	0	FubenDeath		5023	200	300		331	57	1	45	1	2389	1	1500	1500	Setting/Npc/Ai/CommonSkill.ini			1	30	1											2																																																																																															
C_4_qiangwei_hs	941	薔薇	0	0	FubenDeath		103	200	300		323	34	1	2382	1			1500	1500	Setting/Npc/Ai/CommonSkill.ini			1	30	1											2																																																																																															
C_4_qiangwei_dh	942	被俘的薔薇	2	0	FubenDeath		103	200	300		323	34	1	2382	1			1500	1500	Setting/Npc/Ai/CommonSkill.ini			1	30	1											2																																																																																															
C_4_wuyoujiaotu_gw	943	五色教弟子	0	1	FubenDeath		134	200	300		314	168	1	91	1			1500	1500	Setting/Npc/Ai/CommonActive.ini			1	20	1											1																																																																																															
C_4_wuyouss_jy	944	五色教刺客	0	1	FubenDeath		134	200	300		322	35	1	2487	1	91	1	1500	1500	Setting/Npc/Ai/CommonSkill.ini			1	20	2											3																																																																																															
C_4_wuyouyh_jy	945	機關	0	1	FubenDeath		377	200	300		321	91	1										1	20	2	1	2776	1				NoTurn				3																																																																																															
C_4_wuyoutm_sl	946	放技能	6	1	FubenDeath		469	200	300		343							1000	1000	Setting/Npc/Ai/CommonActive.ini			1	0	1											1					1																																																																																										
C_4_Leader_1	1571	張風	0	1	FubenDeath		452	200	300		331	2923	1	91	1			1500	1500	Setting/Npc/Ai/random/zhangfeng.ini	3	Setting/Npc/DropFile/RandomFuben/House_C/zhangfeng.tab	1	20	2								1			5																																																																																															
C_5_jinbing_gw	998	金兵	0	1	FubenDeath		143	200	300		314	21	1	91	1			1000	1000	Setting/Npc/Ai/CommonActive.ini			1	20	1										20	1																																																																																															
C_5_shifz_jy	999	十夫長	0	1	FubenDeath		181	200	300		322	169	1	26	1	91	1	1000	1000	Setting/Npc/Ai/CommonSkill.ini			1	20	1										20	3																																																																																															
C_5_tianrdz_gw	1000	天忍弟子	0	1	FubenDeath		174	200	300		314	21	1	91	1			1000	1000	Setting/Npc/Ai/CommonActive.ini			1	20	1										20	1																																																																																															
C_5_tianrgs_jy	1001	天忍高手	0	1	FubenDeath		373	200	300		323	170	1	30	1	91	1	1000	1000	Setting/Npc/Ai/CommonSkill.ini			1	20	2										20	4																																																																																															
C_5_yelvbili_sl	1002	耶律辟離	0	1	FubenDeath		122	200	300		331	168	1					1000	1000	Setting/Npc/Ai/random/pilihuo.ini			1	20	2										20	4																																																																																															
C_5_Xiyou_1	1572	唐瀟	0	0	FubenDeath		5023	200	300		331	57	1	45	1	2389	1	1500	1500	Setting/Npc/Ai/CommonSkill.ini			1	30	1											2																																																																																															
C_6_enemy_1	1326	猛虎	0	1	FubenDeath		114	200	300		314	22	1	91	1			1500	1500	Setting/Npc/Ai/CommonActive.ini			1	18	1											1																																																																																															
C_6_enemy_2	1327	猛虎·精英	0	1	FubenDeath		114	200	300		322	22	1	2443	1	91	1	1500	1500	Setting/Npc/Ai/CommonSkill.ini			1	18	2		1535	1		3000						3																																																																																															
C_6_enemy_3	1328	火狐	0	1	FubenDeath		110	200	300		314	22	1	91	1			1500	1500	Setting/Npc/Ai/CommonActive.ini			1	20	1											1																																																																																															
C_6_enemy_gongjigh	1329	火狐·精英	0	1	FubenDeath		110	200	300		322	22	1	91	1			1500	1500	Setting/Npc/Ai/CommonSkill.ini			1	20	2		1503	4		3002						3																																																																																															
C_6_enemy_huifugh	1330	蠍子	0	1	FubenDeath		109	200	300		314	22	1	91	1	2418	9	1500	1500	Setting/Npc/Ai/CommonActive.ini			1	18	1					3003						1																																																																																															
C_6_enemy_shibao	1331	蠍子·精英	0	1	FubenDeath		109	200	300		322	22	1	2418	9	91	1	1500	1500	Setting/Npc/Ai/CommonSkill.ini			1	18	2					3003						3																																																																																															
