Index	TemplateID	Name	Kind	Camp	ClassName	ScriptParam	NpcResID	FaceID	ReviveFrame	NpcAttribID	NormalSkill1	NormalSkillLevel1	NormalSkill2	NormalSkillLevel2	NormalSkill3	NormalSkillLevel3	VisionRadius	ActiveRadius	AiFile	Treasure	DropFile	FightMode	RunSpeed	BloodStyle	AuraSkillId	AuraSkillLevel	TitleID	BigFaceID	DefaultDialog	DropType	ForbitMove	StartActEvent	Tag	NameColor	Experience	GouHuoRate	TransBossNpcTID	TransBossRate	WalkSpeed	IsNotShowShadow	FixExperience	SyncFirst	IsNotBYStealLife
Field_Boss_2_3	129	岳飛	0	1	BossLeader		494	9016	10	702	2973	1	91	1	1065	2			Setting/Npc/Ai/fieldboss/60boss_yuefei.ini			1	25	2																		1	
Field_Boss_2_3_false	1709	岳飛	0	1	BossLeader		494	9016	10	702	2973	1	91	1	1065	2			Setting/Npc/Ai/fieldboss/60boss_yuefei.ini			1	25	2																		1	
Field_Boss_2_4	130	李廣	0	1	BossLeader		495	9017	10	703	3317	1	91	1	1065	2	1000	1000	Setting/Npc/Ai/fieldboss/80boss_liguang.ini			1	25	2																		1	
Field_Boss_2_4_false	1710	李廣	0	1	BossLeader		495	9017	10	703	3317	1	91	1	1065	2	1000	1000	Setting/Npc/Ai/fieldboss/80boss_liguang.ini			1	25	2																		1	
Field_Boss_2_5	1705	趙雲	0	1	BossLeader		496	9018	10	703	3307	1	91	1	1065	2	1000	1000	Setting/Npc/Ai/fieldboss/80boss_zhaoyun.ini			1	25	2																		1	
Field_Boss_2_5_false	1711	趙雲	0	1	BossLeader		496	9018	10	703	3307	1	91	1	1065	2	1000	1000	Setting/Npc/Ai/fieldboss/80boss_zhaoyun.ini			1	25	2																		1	
Field_Boss_2_6	1706	李元霸	0	1	BossLeader		497	9019	10	703	3301	1	91	1	1065	2	1000	1000	Setting/Npc/Ai/fieldboss/80boss_liyuanba.ini			1	25	2																		1	
Field_Boss_2_6_false	1712	李元霸	0	1	BossLeader		497	9019	10	703	3301	1	91	1	1065	2	1000	1000	Setting/Npc/Ai/fieldboss/80boss_liyuanba.ini			1	25	2																		1	
Field_Boss_3_1	2235	項羽	0	1	BossLeader		1173	9029	10	703	3671	1	91	1	1065	2	1000	1000	Setting/Npc/Ai/fieldboss/110boss_xiangyu.ini			1	25	2																		1	
Field_Boss_3_1_false	2236	項羽	0	1	BossLeader		1173	9029	10	703	3671	1	91	1	1065	2	1000	1000	Setting/Npc/Ai/fieldboss/110boss_xiangyu.ini			1	25	2																		1	
Field_Boss_3_1_kuafu	2498	項羽	0	1	BossLeader		1173	9029	10	703	3671	1	91	1	1065	2	1000	1000	Setting/Npc/Ai/fieldboss/110boss_kuafuxiangyu.ini			1	25	2																		1	
Field_Boss_3_1_kuafuF	2499	項羽	0	1	BossLeader		1173	9029	10	703	3671	1	91	1	1065	2	1000	1000	Setting/Npc/Ai/fieldboss/110boss_kuafuxiangyu.ini			1	25	2																		1	
Field_Boss_3_2	2237	張三豐	0	1	BossLeader		1172	9018	10	703	2801	1	91	1	1065	2	1000	1000	Setting/Npc/Ai/fieldboss/100boss_zhangsanfeng.ini			1	25	2																		1	
Field_Boss_3_2_false	2238	張三豐	0	1	BossLeader		1172	9018	10	703	2801	1	91	1	1065	2	1000	1000	Setting/Npc/Ai/fieldboss/100boss_zhangsanfeng.ini			1	25	2																		1	
Field_Boss_3_3	2239	鬼穀子	0	1	BossLeader		1171	9019	10	703	3001	1	91	1	1065	2	1000	1000	Setting/Npc/Ai/fieldboss/100boss_guiguzi.ini			1	25	2																		1	
Field_Boss_3_3_false	2240	鬼穀子	0	1	BossLeader		1171	9019	10	703	3001	1	91	1	1065	2	1000	1000	Setting/Npc/Ai/fieldboss/100boss_guiguzi.ini			1	25	2																		1	
Field_Boss_4_1	2377	武則天	0	1	BossLeader		1205	9019	10	703	3001	1	91	1	1065	2	1000	1000	Setting/Npc/Ai/fieldboss/100boss_guiguzi.ini			1	25	2																		1	
Field_Boss_4_1_false	2378	武則天	0	1	BossLeader		1205	9019	10	703	3001	1	91	1	1065	2	1000	1000	Setting/Npc/Ai/fieldboss/100boss_guiguzi.ini			1	25	2																		1	
Dungeon_Header_1_1	193	寒玉鹿王	0	1	BossLeaderDung		28	9009	10	601	153	1	91	1	195	1			Setting/Npc/Ai/fieldboss/20leader_luwang.ini			1	25	2																			
Dungeon_Header_1_2	194	大地狼王	0	1	BossLeaderDung		29	9010	10	601	146	1	91	1	195	1			Setting/Npc/Ai/fieldboss/20leader_langwang.ini			1	25	2																			
Dungeon_Header_1_3	195	白眉猴王	0	1	BossLeaderDung		35	9012	10	601	153	1	91	1	195	1			Setting/Npc/Ai/fieldboss/20leader_langwang.ini			1	25	2																			
Dungeon_Header_2_1	197	奔焰豹王	0	1	BossLeaderDung		30	9011	10	601	157	1	91	1	195	1			Setting/Npc/Ai/fieldboss/20leader_baowang.ini			1	25	2																			
Dungeon_Header_2_2	198	九尾狐王	0	1	BossLeaderDung		26	9008	10	601	160	1	91	1	195	1			Setting/Npc/Ai/fieldboss/20leader_huwang.ini			1	25	2																			
Dungeon_Header_2_3	199	雙首異獸	0	1	BossLeaderDung		34	9013	10	601	160	1	91	1	195	1			Setting/Npc/Ai/fieldboss/20leader_huwang.ini			1	25	2																			
Dungeon_Header_3_1	1768	定海金剛	0	1	BossLeaderDung		40	9020	10	601	153	1	91	1	195	1			Setting/Npc/Ai/fieldboss/20leader_baowang.ini			1	25	2																			
Dungeon_Header_3_2	1769	金翅鵬皇	0	1	BossLeaderDung		36	9021	10	601	160	1	91	1	195	1			Setting/Npc/Ai/fieldboss/20leader_huwang.ini			1	25	2																			
Dungeon_Header_3_3	1770	銀角犀皇	0	1	BossLeaderDung		38	9022	10	601	153	1	91	1	195	1			Setting/Npc/Ai/fieldboss/20leader_luwang.ini			1	25	2																			
Dungeon_Header_4_1	2186	赤睛虎皇	0	1	BossLeaderDung		39	9024	10	601	3346	1	91	1	195	1			Setting/Npc/Ai/fieldboss/80leader_huhuang.ini			1	25	2																		1	
Dungeon_Header_4_2	2187	撼天熊皇	0	1	BossLeaderDung		37	9023	10	601	3353	1	91	1	195	1			Setting/Npc/Ai/fieldboss/80leader_xionghuang.ini			1	25	2																		1	
Dungeon_Header_4_3	2188	紫背鱷皇	0	1	BossLeaderDung		41	9025	10	601	3356	1	91	1	195	1			Setting/Npc/Ai/fieldboss/80leader_ehuang.ini			1	25	2																		1	
Dungeon_Header_5_1	2445	冰鱗蜥皇	0	1	BossLeaderDung		42	9026	10	602	3681	1	91	1	195	1			Setting/Npc/Ai/fieldboss/100leader_xihuang.ini			1	25	2																		1	
Dungeon_Header_5_2	2446	銀鉤蠍皇	0	1	BossLeaderDung		43	9027	10	602	3687	1	91	1	195	1			Setting/Npc/Ai/fieldboss/100leader_xiehuang.ini			1	25	2																		1	
Dungeon_Header_5_3	2447	狂鬃獒皇	0	1	BossLeaderDung		44	9028	10	602	3691	1	91	1	195	1			Setting/Npc/Ai/fieldboss/100leader_aohuang.ini			1	25	2																		1	
CangbaoTu_Header_lv20_1	1602	寒玉鹿王	0	1	RandomBoss		28	9009	10	602	153	1	91	1	195	1			Setting/Npc/Ai/fieldboss/20leader_luwang.ini			1	25	2																			
CangbaoTu_Header_lv20_2	1603	大地狼王	0	1	RandomBoss		29	9010	10	602	146	1	91	1	195	1			Setting/Npc/Ai/fieldboss/20leader_langwang.ini			1	25	2																			
CangbaoTu_Header_lv20_3	1604	白眉猴王	0	1	RandomBoss		35	9012	10	602	153	1	91	1	195	1			Setting/Npc/Ai/fieldboss/20leader_langwang.ini			1	25	2																			
CangbaoTu_Header_lv40_1	1605	奔焰豹王	0	1	RandomBoss		30	9011	10	602	157	1	91	1	195	1			Setting/Npc/Ai/fieldboss/20leader_baowang.ini			1	25	2																			
CangbaoTu_Header_lv40_2	1606	九尾狐王	0	1	RandomBoss		26	9008	10	602	160	1	91	1	195	1			Setting/Npc/Ai/fieldboss/20leader_huwang.ini			1	25	2																			
CangbaoTu_Header_lv40_3	1607	雙首異獸	0	1	RandomBoss		475	9012	10	602	160	1	91	1	195	1			Setting/Npc/Ai/fieldboss/20leader_huwang.ini			1	25	2																			
CangbaoTu_Header_lv60_1	1765	定海金剛	0	1	RandomBoss		40	9020	10	602	153	1	91	1	195	1			Setting/Npc/Ai/fieldboss/20leader_baowang.ini			1	25	2																			
CangbaoTu_Header_lv60_2	1766	金翅鵬皇	0	1	RandomBoss		36	9021	10	602	160	1	91	1	195	1			Setting/Npc/Ai/fieldboss/20leader_huwang.ini			1	25	2																			
CangbaoTu_Header_lv60_3	1767	銀角犀皇	0	1	RandomBoss		38	9022	10	602	153	1	91	1	195	1			Setting/Npc/Ai/fieldboss/20leader_luwang.ini			1	25	2																			
CangbaoTu_Header_lv80_1	2195	赤睛虎皇	0	1	RandomBoss		39	9024	10	602	3346	1	91	1	195	1			Setting/Npc/Ai/fieldboss/80leader_huhuang.ini			1	25	2																		1	
CangbaoTu_Header_lv80_2	2196	撼天熊皇	0	1	RandomBoss		37	9023	10	602	3353	1	91	1	195	1			Setting/Npc/Ai/fieldboss/80leader_xionghuang.ini			1	25	2																		1	
CangbaoTu_Header_lv80_3	2197	紫背鱷皇	0	1	RandomBoss		41	9025	10	602	3356	1	91	1	195	1			Setting/Npc/Ai/fieldboss/80leader_ehuang.ini			1	25	2																		1	
CangbaoTu_Header_lv100_1	2297	冰鱗蜥皇	0	1	RandomBoss		42	9026	10	602	3681	1	91	1	195	1			Setting/Npc/Ai/fieldboss/100leader_xihuang.ini			1	25	2																		1	
CangbaoTu_Header_lv100_2	2298	銀鉤蠍皇	0	1	RandomBoss		43	9027	10	602	3687	1	91	1	195	1			Setting/Npc/Ai/fieldboss/100leader_xiehuang.ini			1	25	2																		1	
CangbaoTu_Header_lv100_3	2299	狂鬃獒皇	0	1	RandomBoss		44	9028	10	602	3691	1	91	1	195	1			Setting/Npc/Ai/fieldboss/100leader_aohuang.ini			1	25	2																		1	
