TargetTemplateID	Desc	BagSort	IsShowFrag	IsHideTip	ConsumeType	ConsumeCount	ChildTemplateID1	NeedCount1	ChildTemplateID2	NeedCount2	ChildTemplateID3	NeedCount3	ChildTemplateID4	NeedCount4	ChildTemplateID5	NeedCount5	ChildTemplateID6	NeedCount6	ChildTemplateID7	NeedCount7
1210	【稀有】9階腰帶(未鑒定)	103	1				2993	10												
1220	【稀有】9階鞋子(未鑒定)	103	1				2999	10												
3647	【傳承】9階武器(未鑒定)	104	1				2948	5												
3659	【傳承】9階衣服(未鑒定)	104	1				2984	5												
3649	【傳承】朝露之鏈(未鑒定)	104	1				2954	5												
3651	【傳承】應龍之戒(未鑒定)	104	1				2960	5												
3653	【傳承】鯤鵬佩(未鑒定)	104	1				2966	5												
3655	【傳承】仙緣符(未鑒定)	104	1				2972	5												
3657	【傳承】9階帽子(未鑒定)	104	1				2978	5												
3661	【傳承】9階護腕(未鑒定)	104	1				2990	5												
3663	【傳承】9階腰帶(未鑒定)	104	1				2996	5												
3665	【傳承】9階鞋子(未鑒定)	104	1				3002	5												
1129	【稀有】8階武器(未鑒定)	105	1				2944	10												
1189	【稀有】8階衣服(未鑒定)	105	1				2980	10												
1139	【稀有】群鳥之鏈(未鑒定)	105	1				2950	10												
1149	【稀有】邢天之戒(未鑒定)	105	1				2956	10												
1159	【稀有】龍首佩(未鑒定)	105	1				2962	10												
1169	【稀有】清虛符(未鑒定)	105	1				2968	10												
1179	【稀有】8階帽子(未鑒定)	105	1				2974	10												
1199	【稀有】8階護腕(未鑒定)	105	1				2986	10												
1209	【稀有】8階腰帶(未鑒定)	105	1				2992	10												
1219	【稀有】8階鞋子(未鑒定)	105	1				2998	10												
1619	【傳承】8階武器(未鑒定)	106	1				2947	5												
1667	【傳承】8階衣服(未鑒定)	106	1				2983	5												
1627	【傳承】群鳥之鏈(未鑒定)	106	1				2953	5												
1635	【傳承】邢天之戒(未鑒定)	106	1				2959	5												
1643	【傳承】龍首佩(未鑒定)	106	1				2965	5												
1651	【傳承】清虛符(未鑒定)	106	1				2971	5												
1659	【傳承】8階帽子(未鑒定)	106	1				2977	5												
1675	【傳承】8階護腕(未鑒定)	106	1				2989	5												
1683	【傳承】8階腰帶(未鑒定)	106	1				2995	5												
1691	【傳承】8階鞋子(未鑒定)	106	1				3001	5												
1128	【稀有】7階武器(未鑒定)	107	1				2943	10												
1188	【稀有】7階衣服(未鑒定)	107	1				2979	10												
1138	【稀有】北辰之鏈(未鑒定)	107	1				2949	10												
1148	【稀有】蒼穹之戒(未鑒定)	107	1				2955	10												
1158	【稀有】勾雲佩(未鑒定)	107	1				2961	10												
1168	【稀有】天魔符(未鑒定)	107	1				2967	10												
1178	【稀有】7階帽子(未鑒定)	107	1				2973	10												
1198	【稀有】7階護腕(未鑒定)	107	1				2985	10												
1208	【稀有】7階腰帶(未鑒定)	107	1				2991	10												
1218	【稀有】7階鞋子(未鑒定)	107	1				2997	10												
1618	【傳承】7階武器(未鑒定)	108	1				2946	5												
1666	【傳承】7階衣服(未鑒定)	108	1				2982	5												
1626	【傳承】北辰之鏈(未鑒定)	108	1				2952	5												
1634	【傳承】蒼穹之戒(未鑒定)	108	1				2958	5												
1642	【傳承】勾雲佩(未鑒定)	108	1				2964	5												
1650	【傳承】天魔符(未鑒定)	108	1				2970	5												
1658	【傳承】7階帽子(未鑒定)	108	1				2976	5												
1674	【傳承】7階護腕(未鑒定)	108	1				2988	5												
1682	【傳承】7階腰帶(未鑒定)	108	1				2994	5												
1690	【傳承】7階鞋子(未鑒定)	108	1				3000	5												
1127	【稀有】6階武器(未鑒定)	109	1				2090	10												
1187	【稀有】6階衣服(未鑒定)	109	1				2126	10												
1137	【稀有】秘隱之鏈(未鑒定)	109	1				2096	10												
1147	【稀有】火府之戒(未鑒定)	109	1				2102	10												
1157	【稀有】雁行佩(未鑒定)	109	1				2108	10												
1167	【稀有】雷神符(未鑒定)	109	1				2114	10												
1177	【稀有】6階帽子(未鑒定)	109	1				2120	10												
1197	【稀有】6階護腕(未鑒定)	109	1				2132	10												
1207	【稀有】6階腰帶(未鑒定)	109	1				2138	10												
1217	【稀有】6階鞋子(未鑒定)	109	1				2144	10												
1617	【傳承】6階武器(未鑒定)	110	1				2093	5												
1665	【傳承】6階衣服(未鑒定)	110	1				2129	5												
1625	【傳承】秘隱之鏈(未鑒定)	110	1				2099	5												
1633	【傳承】火府之戒(未鑒定)	110	1				2105	5												
1641	【傳承】雁行佩(未鑒定)	110	1				2111	5												
1649	【傳承】雷神符(未鑒定)	110	1				2117	5												
1657	【傳承】6階帽子(未鑒定)	110	1				2123	5												
1673	【傳承】6階護腕(未鑒定)	110	1				2135	5												
1681	【傳承】6階腰帶(未鑒定)	110	1				2141	5												
1689	【傳承】6階鞋子(未鑒定)	110	1				2147	5												
1126	【稀有】5階武器(未鑒定)	111	1				2089	10												
1186	【稀有】5階衣服(未鑒定)	111	1				2125	10												
1136	【稀有】溫潤之鏈(未鑒定)	111	1				2095	10												
1146	【稀有】荒蕪之戒(未鑒定)	111	1				2101	10												
1156	【稀有】龍魚佩(未鑒定)	111	1				2107	10												
1166	【稀有】天罡符(未鑒定)	111	1				2113	10												
1176	【稀有】5階帽子(未鑒定)	111	1				2119	10												
1196	【稀有】5階護腕(未鑒定)	111	1				2131	10												
1206	【稀有】5階腰帶(未鑒定)	111	1				2137	10												
1216	【稀有】5階鞋子(未鑒定)	111	1				2143	10												
1616	【傳承】5階武器(未鑒定)	112	1				2092	5												
1664	【傳承】5階衣服(未鑒定)	112	1				2128	5												
1624	【傳承】溫潤之鏈(未鑒定)	112	1				2098	5												
1632	【傳承】荒蕪之戒(未鑒定)	112	1				2104	5												
1640	【傳承】龍魚佩(未鑒定)	112	1				2110	5												
1648	【傳承】天罡符(未鑒定)	112	1				2116	5												
1656	【傳承】5階帽子(未鑒定)	112	1				2122	5												
1672	【傳承】5階護腕(未鑒定)	112	1				2134	5												
1680	【傳承】5階腰帶(未鑒定)	112	1				2140	5												
1688	【傳承】5階鞋子(未鑒定)	112	1				2146	5												
1125	【稀有】4階武器(未鑒定)	113	1				2088	10												
1185	【稀有】4階衣服(未鑒定)	113	1				2124	10												
1135	【稀有】五色項鍊(未鑒定)	113	1				2094	10												
1145	【稀有】破軍之戒(未鑒定)	113	1				2100	10												
1155	【稀有】玉蟬佩(未鑒定)	113	1				2106	10												
1165	【稀有】出雲符(未鑒定)	113	1				2112	10												
1175	【稀有】4階帽子(未鑒定)	113	1				2118	10												
1195	【稀有】4階護腕(未鑒定)	113	1				2130	10												
1205	【稀有】4階腰帶(未鑒定)	113	1				2136	10												
1215	【稀有】4階鞋子(未鑒定)	113	1				2142	10												
1615	【傳承】4階武器(未鑒定)	114	1				2091	5												
1663	【傳承】4階衣服(未鑒定)	114	1				2127	5												
1623	【傳承】五色項鍊(未鑒定)	114	1				2097	5												
1631	【傳承】破軍之戒(未鑒定)	114	1				2103	5												
1639	【傳承】玉蟬佩(未鑒定)	114	1				2109	5												
1647	【傳承】出雲符(未鑒定)	114	1				2115	5												
1655	【傳承】4階帽子(未鑒定)	114	1				2121	5												
1671	【傳承】4階護腕(未鑒定)	114	1				2133	5												
1679	【傳承】4階腰帶(未鑒定)	114	1				2139	5												
1687	【傳承】4階鞋子(未鑒定)	114	1				2145	5												
3021	裡飛沙	201	1				3395	10												
3392	紅驪	202	1				3396	10												
3393	綠蹤	203	1				3397	10												
3311	八家將衣服	301	1				3312	10												
1378	同伴·獨孤劍	401	1				3406	10												
2253	同伴·南宮飛雲	402	1				3407	10												
2254	同伴·楊影楓	403	1				3408	10												
1398	同伴·荊軻	404	1				3409	10												
2258	同伴·虞姬	405	1				3410	10												
2259	同伴·岳飛	406	1				3411	10												
1399	同伴·李廣	407	1				3412	10												
1400	同伴·趙雲	408	1				3413	10												
1401	同伴·李元霸	409	1				3414	10												
3449	7階韁繩	501	1				3466	20												
3454	7階馬鞍	501	1				3473	20												
3459	7階腳蹬	501	1				3480	20												
3448	6階韁繩	502	1				3465	20												
3453	6階馬鞍	502	1				3472	20												
3458	6階腳蹬	502	1				3479	20												
3447	5階韁繩	503	1				3464	20												
3452	5階馬鞍	503	1				3471	20												
3457	5階腳蹬	503	1				3478	20												
3446	4階韁繩	504	1				3463	20												
3451	4階馬鞍	504	1				3470	20												
3456	4階腳蹬	504	1				3477	20												
3445	3階韁繩	505	1				3462	20												
3450	3階馬鞍	505	1				3469	20												
3455	3階腳蹬	505	1				3476	20												
3416	2階韁繩	506	1				3461	10												
3418	2階馬鞍	506	1				3468	10												
3420	2階腳蹬	506	1				3475	10												
3415	1階韁繩	507	1				3460	5												
3417	1階馬鞍	507	1				3467	5												
3419	1階腳蹬	507	1				3474	5												
